segmentnr	original	folio	analyzed
ZH_X63_1254_001:0735b24	無不順。義無不忠。躰察智慧。審別賢愚。不以多求而	001	無 不 順  義 無 不 忠  躰 察 智 慧  審 別 賢 愚  不 以 多 求 而 
ZH_X63_1254_001:0735c01	亂心。不以貪暴而害己。不以塗炭而樂禍。不以忘舊	001	亂 心  不 以 貪 暴 而 害 己  不 以 塗 炭 而 樂 禍  不 以 忘 舊 
ZH_X63_1254_001:0735c02	而逐新。故任道而含弘。常堅心而守志。此四者。大人	001	而 逐 新  故 任 道 而 含 弘  常 堅 心 而 守 志  此 四 者  大 人 
ZH_X63_1254_001:0735c03	君子之要道也。又須行同日月。量比山川。順四時。合	001	君 子 之 要 道 也  又 須 行 同 日 月  量 比 山 川  順 四 時  合 
ZH_X63_1254_001:0735c04	萬物。行同日月者。使之無偏照。量比山川者。使之無	001	萬 物  行 同 日 月 者  使 之 無 偏 照  量 比 山 川 者  使 之 無 
ZH_X63_1254_001:0735c05	遷改。順四時者。使之有期信。合萬物者。使之知動靜。	001	遷 改  順 四 時 者  使 之 有 期 信  合 萬 物 者  使 之 知 動 靜  
ZH_X63_1254_001:0735c06	故曰。君子有德。四方美之。郡守有德。百姓欽之。鄉閭	001	故 曰  君 子 有 德  四 方 美 之  郡 守 有 德  百 姓 欽 之  鄉 閭 
ZH_X63_1254_001:0735c07	有德。眾人仰之。家尊有德。門風顯之	001	有 德  眾 人 仰 之  家 尊 有 德  門 風 顯 之 
ZH_X63_1254_001:0735c08	皇天無親。惟德是輔。如蓬生於麻中。不扶而自直。如	001	皇 天 無 親  惟 德 是 輔  如 蓬 生 於 麻 中  不 扶 而 自 直  如 
ZH_X63_1254_001:0735c09	蘭雜於叢芳。不待薰而自馨。不以利己而損人。不以	001	蘭 雜 於 叢 芳  不 待 薰 而 自 馨  不 以 利 己 而 損 人  不 以 
ZH_X63_1254_001:0735c10	非他而自是。不以卑人而自尊。不以輕人而自重。不	001	非 他 而 自 是  不 以 卑 人 而 自 尊  不 以 輕 人 而 自 重  不 
ZH_X63_1254_001:0735c11	以非道而交友。不以結怨而讎人。不窺無義之財。不	001	以 非 道 而 交 友  不 以 結 怨 而 讎 人  不 窺 無 義 之 財  不 
ZH_X63_1254_001:0735c12	受無功之賞。施恩而不望報。報恩而恨不深。故書云。	001	受 無 功 之 賞  施 恩 而 不 望 報  報 恩 而 恨 不 深  故 書 云  
ZH_X63_1254_001:0735c13	臨之以財。則見其廉。近之以色。則見其貞。告之以危。	001	臨 之 以 財  則 見 其 廉  近 之 以 色  則 見 其 貞  告 之 以 危  
ZH_X63_1254_001:0735c14	則見其勇。醉之以酒。則見其態。莊子曰。遠使之而觀	001	則 見 其 勇  醉 之 以 酒  則 見 其 態  莊 子 曰  遠 使 之 而 觀 
ZH_X63_1254_001:0735c15	其忠。近使之而觀其敬。煩使之而觀其能。卒問之而	001	其 忠  近 使 之 而 觀 其 敬  煩 使 之 而 觀 其 能  卒 問 之 而 
ZH_X63_1254_001:0735c16	觀其智。急期之而觀其信。寵貴之人。觀其不驕奢。榮	001	觀 其 智  急 期 之 而 觀 其 信  寵 貴 之 人  觀 其 不 驕 奢  榮 
ZH_X63_1254_001:0735c17	顯之人。觀其不矜誇。少者觀其恭敬。好學者觀其廉	001	顯 之 人  觀 其 不 矜 誇  少 者 觀 其 恭 敬  好 學 者 觀 其 廉 
ZH_X63_1254_001:0735c18	潔務行。老者觀其思慎而不逾。父子之間。觀其慈孝。	001	潔 務 行  老 者 觀 其 思 慎 而 不 逾  父 子 之 間  觀 其 慈 孝  
ZH_X63_1254_001:0735c19	兄弟之間。觀其知友。鄉閭之間。觀其信義。君臣之間。	001	兄 弟 之 間  觀 其 知 友  鄉 閭 之 間  觀 其 信 義  君 臣 之 間  
ZH_X63_1254_001:0735c20	觀其忠惠。是故慎初護末。砥名礪行。邪正不變其心。	001	觀 其 忠 惠  是 故 慎 初 護 末  砥 名 礪 行  邪 正 不 變 其 心  
ZH_X63_1254_001:0735c21	反覆不改其志。臨下以寬。居上不危。如此則可為廓	001	反 覆 不 改 其 志  臨 下 以 寬  居 上 不 危  如 此 則 可 為 廓 
ZH_X63_1254_001:0735c22	之材。永免愆瑕矣。	001	之 材  永 免 愆 瑕 矣  
ZH_X63_1254_001:0735c23	四十八等。	001	四 十 八 等  
ZH_X63_1254_001:0735c24	　聖人則天法地　　賢人杳冥難測	001	 聖 人 則 天 法 地   賢 人 杳 冥 難 測 
ZH_X63_1254_001:0736a01	　道人心無滯碍　　覺人知其本性	001	 道 人 心 無 滯 碍   覺 人 知 其 本 性 
ZH_X63_1254_001:0736a02	　捨人知無便與　　戒人察其罪福	001	 捨 人 知 無 便 與   戒 人 察 其 罪 福 
ZH_X63_1254_001:0736a03	　忍人口無過失　　進人修無懈怠	001	 忍 人 口 無 過 失   進 人 修 無 懈 怠 
ZH_X63_1254_001:0736a04	　定人心無散亂　　智人遠於機變	001	 定 人 心 無 散 亂   智 人 遠 於 機 變 
ZH_X63_1254_001:0736a05	　義人推功讓德　　審人視聽不非	001	 義 人 推 功 讓 德   審 人 視 聽 不 非 
ZH_X63_1254_001:0736a06	　政人公道不私　　省人非財不納	001	 政 人 公 道 不 私   省 人 非 財 不 納 
ZH_X63_1254_001:0736a07	　安人心無異動　　隱人遁世育德	001	 安 人 心 無 異 動   隱 人 遁 世 育 德 
ZH_X63_1254_001:0736a08	　恭人禮度不虧　　敬人尊上愛下	001	 恭 人 禮 度 不 虧   敬 人 尊 上 愛 下 
ZH_X63_1254_001:0736a09	　信人言無反覆　　謹人不越禮度	001	 信 人 言 無 反 覆   謹 人 不 越 禮 度 
ZH_X63_1254_001:0736a10	　寬人臨下不危　　深人遠見未萠	001	 寬 人 臨 下 不 危   深 人 遠 見 未 萠 
ZH_X63_1254_001:0736a11	　善人內行不嗔　　行人好述善事	001	 善 人 內 行 不 嗔   行 人 好 述 善 事 
ZH_X63_1254_001:0736a12	　謀人深知遠見　　忠人事君盡節	001	 謀 人 深 知 遠 見   忠 人 事 君 盡 節 
ZH_X63_1254_001:0736a13	　讓人薦賢任能　　儉人節用不費	001	 讓 人 薦 賢 任 能   儉 人 節 用 不 費 
ZH_X63_1254_001:0736a14	　孝人奉侍不闕　　明人不處暗事	001	 孝 人 奉 侍 不 闕   明 人 不 處 暗 事 
ZH_X63_1254_001:0736a15	　辯人不納閑詞　　學人親近知識	001	 辯 人 不 納 閑 詞   學 人 親 近 知 識 
ZH_X63_1254_001:0736a16	　慈人心無殺害　　富人濟貧惠物	001	 慈 人 心 無 殺 害   富 人 濟 貧 惠 物 
ZH_X63_1254_001:0736a17	　貴人敬佛重僧　　達人不貪五慾	001	 貴 人 敬 佛 重 僧   達 人 不 貪 五 慾 
ZH_X63_1254_001:0736a18	　清人不染俗塵　　靜人覺意知空	001	 清 人 不 染 俗 塵   靜 人 覺 意 知 空 
ZH_X63_1254_001:0736a19	　大人心包天地　　好人舉善薦賢	001	 大 人 心 包 天 地   好 人 舉 善 薦 賢 
ZH_X63_1254_001:0736a20	　愚人不知慚耻　　癡人不鑑名賢	001	 愚 人 不 知 慚 耻   癡 人 不 鑑 名 賢 
ZH_X63_1254_001:0736a21	　頑人不懼公法　　惡人常好殺生	001	 頑 人 不 懼 公 法   惡 人 常 好 殺 生 
ZH_X63_1254_001:0736a22	　濁人不分明白　　俗人貪財戀色	001	 濁 人 不 分 明 白   俗 人 貪 財 戀 色 
ZH_X63_1254_001:0736a23	　逆人不孝父母　　小人不識尊卑	001	 逆 人 不 孝 父 母   小 人 不 識 尊 卑 
ZH_X63_1254_001:0736a24	凡君子立身為人。無逾此四十八等。但以大道合其	001	凡 君 子 立 身 為 人  無 逾 此 四 十 八 等  但 以 大 道 合 其 
ZH_X63_1254_001:0736b01	體。則是聖人賢人之倫。若孝不行於家。慈不行於己。	001	體  則 是 聖 人 賢 人 之 倫  若 孝 不 行 於 家  慈 不 行 於 己  
ZH_X63_1254_001:0736b02	恩不行於親。惠不及於人。義不施於友。忠不施於國。	001	恩 不 行 於 親  惠 不 及 於 人  義 不 施 於 友  忠 不 施 於 國  
ZH_X63_1254_001:0736b03	勇不救於危。謀不信於善。寬不臨於下。明不審於事。	001	勇 不 救 於 危  謀 不 信 於 善  寬 不 臨 於 下  明 不 審 於 事  
ZH_X63_1254_001:0736b04	見非親而親者。謟也。見親貧而疎者。逆也。背善向惡。	001	見 非 親 而 親 者  謟 也  見 親 貧 而 疎 者  逆 也  背 善 向 惡  
ZH_X63_1254_001:0736b05	謀陷忠良。親附小人。不近君子者。此乃上天不容之	001	謀 陷 忠 良  親 附 小 人  不 近 君 子 者  此 乃 上 天 不 容 之 
ZH_X63_1254_001:0736b06	物。何足言之。賢者欽於德。愚者重於財。綺羅華飾者。	001	物  何 足 言 之  賢 者 欽 於 德  愚 者 重 於 財  綺 羅 華 飾 者  
ZH_X63_1254_001:0736b07	須知有布素之衣。珍飱玉食者。須知有糟糠之饌。雕	001	須 知 有 布 素 之 衣  珍 飱 玉 食 者  須 知 有 糟 糠 之 饌  雕 
ZH_X63_1254_001:0736b08	墻峻宇者。須知有茅茨之室。積粟千鍾者。須知有斗	001	墻 峻 宇 者  須 知 有 茅 茨 之 室  積 粟 千 鍾 者  須 知 有 斗 
ZH_X63_1254_001:0736b09	筲之儲。榮官大爵者。須知有冤屈之害。安居樂處者。	001	筲 之 儲  榮 官 大 爵 者  須 知 有 冤 屈 之 害  安 居 樂 處 者  
ZH_X63_1254_001:0736b10	須知有驅役之勞。躍馬揮鞭者。須知有負擔之苦。人	001	須 知 有 驅 役 之 勞  躍 馬 揮 鞭 者  須 知 有 負 擔 之 苦  人 
ZH_X63_1254_001:0736b11	有危困急難。當須救之。不可坐看成敗。見危不救者。	001	有 危 困 急 難  當 須 救 之  不 可 坐 看 成 敗  見 危 不 救 者  
ZH_X63_1254_001:0736b12	非人也。不自知足者。非人也。見貧不濟者。非人也。施	001	非 人 也  不 自 知 足 者  非 人 也  見 貧 不 濟 者  非 人 也  施 
ZH_X63_1254_001:0736b13	恩望報者。非人也。不改己過者。非人也。輕上慢下者。	001	恩 望 報 者  非 人 也  不 改 己 過 者  非 人 也  輕 上 慢 下 者  
ZH_X63_1254_001:0736b14	非人也。為貴欺賤者。非人也。取佞害人者。非人也。在	001	非 人 也  為 貴 欺 賤 者  非 人 也  取 佞 害 人 者  非 人 也  在 
ZH_X63_1254_001:0736b15	公納私者。非人也。不孝父母者。非人也。不友兄弟者。	001	公 納 私 者  非 人 也  不 孝 父 母 者  非 人 也  不 友 兄 弟 者  
ZH_X63_1254_001:0736b16	非人也。不和六親者。非人也。不樂好事者。非人也。夫	001	非 人 也  不 和 六 親 者  非 人 也  不 樂 好 事 者  非 人 也  夫 
ZH_X63_1254_001:0736b17	人須通三才。懷六藝。志四方。具五美。斷四惡。除三惑。	001	人 須 通 三 才  懷 六 藝  志 四 方  具 五 美  斷 四 惡  除 三 惑  
ZH_X63_1254_001:0736b18	思九畏。知四懼。莫睡眠。演胎息。慎言語。節飲食。此乃	001	思 九 畏  知 四 懼  莫 睡 眠  演 胎 息  慎 言 語  節 飲 食  此 乃 
ZH_X63_1254_001:0736b19	謹身節用之本也。又須立彼四門。成其具美。事君立	001	謹 身 節 用 之 本 也  又 須 立 彼 四 門  成 其 具 美  事 君 立 
ZH_X63_1254_001:0736b20	忠門。事父母立孝門。事朋友立義門。事師長立謹門。	001	忠 門  事 父 母 立 孝 門  事 朋 友 立 義 門  事 師 長 立 謹 門  
ZH_X63_1254_001:0736b21	忠門。謂見危致命也。孝門。謂色養恭敬也。義門。謂心	001	忠 門  謂 見 危 致 命 也  孝 門  謂 色 養 恭 敬 也  義 門  謂 心 
ZH_X63_1254_001:0736b22	無遷改也。謹門。無所懈怠也。	001	無 遷 改 也  謹 門  無 所 懈 怠 也  
ZH_X63_1254_001:0736b23	三教之說。其義一同。	001	三 教 之 說  其 義 一 同  
ZH_X63_1254_001:0736b24	儒教。則仁義禮智信。歸於忠孝君父焉。	001	儒 教  則 仁 義 禮 智 信  歸 於 忠 孝 君 父 焉  
ZH_X63_1254_001:0736c01	釋教。則慈悲救苦。歸於化誘羣迷焉。	001	釋 教  則 慈 悲 救 苦  歸 於 化 誘 羣 迷 焉  
ZH_X63_1254_001:0736c02	道教。則寂默恬澹。歸於無貪無愛焉。	001	道 教  則 寂 默 恬 澹  歸 於 無 貪 無 愛 焉  
ZH_X63_1254_001:0736c03	有故三教之言。可守而尊之。尋而究之。既洞其微。達	001	有 故 三 教 之 言  可 守 而 尊 之  尋 而 究 之  既 洞 其 微  達 
ZH_X63_1254_001:0736c04	其原。自然得聖人賢人之道。善人君子之行也。如此	001	其 原  自 然 得 聖 人 賢 人 之 道  善 人 君 子 之 行 也  如 此 
ZH_X63_1254_001:0736c05	則佐國。何憂乎陰陽不順。風雨不時。百姓不安。人民	001	則 佐 國  何 憂 乎 陰 陽 不 順  風 雨 不 時  百 姓 不 安  人 民 
ZH_X63_1254_001:0736c06	不泰。治家。則何憂乎兄弟不睦。六親不和。禮樂不行。	001	不 泰  治 家  則 何 憂 乎 兄 弟 不 睦  六 親 不 和  禮 樂 不 行  
ZH_X63_1254_001:0736c07	上下不正。余為此集。不敢深其意飾其詞。所貴匡導	001	上 下 不 正  余 為 此 集  不 敢 深 其 意 飾 其 詞  所 貴 匡 導 
ZH_X63_1254_001:0736c08	盲俗。垂于後世。言之不足。故為讚以申之。	001	盲 俗  垂 于 後 世  言 之 不 足  故 為 讚 以 申 之  
ZH_X63_1254_001:0736c09	讚曰。	001	讚 曰  
ZH_X63_1254_001:0736c10	　美哉君子　　惟善則履　　存忠存孝　　不識其嗜	001	 美 哉 君 子   惟 善 則 履   存 忠 存 孝   不 識 其 嗜 
ZH_X63_1254_001:0736c11	　行不逾經　　言不逾史　　靖默端莊　　高導深旨	001	 行 不 逾 經   言 不 逾 史   靖 默 端 莊   高 導 深 旨 
ZH_X63_1254_001:0736c12	　向善背惡　　披心求理　　貧則自樂　　富亦好義	001	 向 善 背 惡   披 心 求 理   貧 則 自 樂   富 亦 好 義 
ZH_X63_1254_001:0736c13	　嗟乎斯人　　實不容易	001	 嗟 乎 斯 人   實 不 容 易 
ZH_X63_1254_001:0736c15	正行集(終)	001	正 行 集  終  
ZH_X63_1254_001:0736c19	白雲宗宗主(臣)僧(明仁)承奉	001	白 雲 宗 宗 主  臣  僧  明 仁  承 奉 
ZH_X63_1254_001:0736c20	都功德使司劄付。皇慶元年十月二十八	001	都 功 德 使 司 劄 付  皇 慶 元 年 十 月 二 十 八 
ZH_X63_1254_001:0736c21	日。拜住怯薛第一日。	001	日  拜 住 怯 薛 第 一 日  
ZH_X63_1254_001:0736c22	嘉禧殿內。有時分對。速古兒赤那懷怯里馬赤孛	001	嘉 禧 殿 內  有 時 分 對  速 古 兒 赤 那 懷 怯 里 馬 赤 孛 
ZH_X63_1254_001:0736c23	羅察兒同知觀音奴等。有來本司官大司	001	羅 察 兒 同 知 觀 音 奴 等  有 來 本 司 官 大 司 
ZH_X63_1254_001:0736c24	徒都功德使輦真吃剌思張都功德使副	001	徒 都 功 德 使 輦 真 吃 剌 思 張 都 功 德 使 副 
ZH_X63_1254_001:0737a01	使阿里牙答思	001	使 阿 里 牙 答 思 
ZH_X63_1254_001:0737a02	特奉	001	特 奉 
ZH_X63_1254_001:0737a03	聖旨。沙剌巴譯來的藥師儀軌藥師供養法。更白雲	001	聖 旨  沙 剌 巴 譯 來 的 藥 師 儀 軌 藥 師 供 養 法  更 白 雲 
ZH_X63_1254_001:0737a04	和尚初學記。恁行與省部文書。交江浙省。	001	和 尚 初 學 記  恁 行 與 省 部 文 書  交 江 浙 省  
ZH_X63_1254_001:0737a05	白雲宗開板印了。呵都交大藏經裏入去	001	白 雲 宗 開 板 印 了  呵 都 交 大 藏 經 裏 入 去 
ZH_X63_1254_001:0737a06	者麼。道	001	者 麼  道 
ZH_X63_1254_001:0737a07	聖旨了也。欽此已蒙　　　中書省移咨行者。欽依	001	聖 旨 了 也  欽 此 已 蒙    中 書 省 移 咨 行 者  欽 依 
ZH_X63_1254_001:0737a08	行下各路去訖。(臣)僧(明仁)肅恭	001	行 下 各 路 去 訖   臣  僧  明 仁  肅 恭 
ZH_X63_1254_001:0737a09	寵命。就大慈隱寺。命工鋟梓印造。欽依入藏	001	寵 命  就 大 慈 隱 寺  命 工 鋟 梓 印 造  欽 依 入 藏 
ZH_X63_1254_001:0737a10	流通。所集洪因。端為祝延	001	流 通  所 集 洪 因  端 為 祝 延 
ZH_X63_1254_001:0737a11	皇帝萬萬歲	001	皇 帝 萬 萬 歲 
ZH_X63_1254_001:0737a12	皇太后睿筭齊年。	001	皇 太 后 睿 筭 齊 年  
ZH_X63_1254_001:0737a13	皇后同壽萬年。	001	皇 后 同 壽 萬 年  
ZH_X63_1254_001:0737a14	太子諸王千秋。文武官僚常居祿位。更冀	001	太 子 諸 王 千 秋  文 武 官 僚 常 居 祿 位  更 冀 
ZH_X63_1254_001:0737a15	國泰民安。雨暘時若。	001	國 泰 民 安  雨 暘 時 若  
ZH_X63_1254_001:0737a16	佛日增輝。法輪常轉者。	001	佛 日 增 輝  法 輪 常 轉 者  
ZH_X63_1254_001:0737a17	皇慶二年四月　日(臣)僧(明仁)　謹題	001	皇 慶 二 年 四 月  日  臣  僧  明 仁   謹 題 
