segmentnr	original	folio	analyzed
ZH_X60_1120_001:0334c10	其備。非別有所加也。然恐學者不知雲棲斷章句法	001	其 備  非 別 有 所 加 也  然 恐 學 者 不 知 雲 棲 斷 章 句 法 
ZH_X60_1120_001:0334c11	故。即於句下。引證經史。并彚箋之。俾其即知經史源	001	故  即 於 句 下  引 證 經 史  并 彚 箋 之  俾 其 即 知 經 史 源 
ZH_X60_1120_001:0334c12	委。不至朦朦。又恐學者觸途滯句。不知格外之機。復	001	委  不 至 朦 朦  又 恐 學 者 觸 途 滯 句  不 知 格 外 之 機  復 
ZH_X60_1120_001:0334c13	拈五燈諸家語錄。消其文字習氣。使其覿露胸襟不	001	拈 五 燈 諸 家 語 錄  消 其 文 字 習 氣  使 其 覿 露 胸 襟 不 
ZH_X60_1120_001:0334c14	須借借。由是合而參之。同而不混。參而合之。類而不	001	須 借 借  由 是 合 而 參 之  同 而 不 混  參 而 合 之  類 而 不 
ZH_X60_1120_001:0334c15	齊。譬如目前萬法。莫不於此大○相中。合則萬法全	001	齊  譬 如 目 前 萬 法  莫 不 於 此 大  相 中  合 則 萬 法 全 
ZH_X60_1120_001:0334c16	歸。參則萬法全放。參之合之。神而明之。不妨於此經	001	歸  參 則 萬 法 全 放  參 之 合 之  神 而 明 之  不 妨 於 此 經 
ZH_X60_1120_001:0334c17	中。略拈一字。可以驗盡諸方。是凡是聖。是正是邪。是	001	中  略 拈 一 字  可 以 驗 盡 諸 方  是 凡 是 聖  是 正 是 邪  是 
ZH_X60_1120_001:0334c18	如來禪。是祖師禪。阿誰能越此一字之關。余故曰。此	001	如 來 禪  是 祖 師 禪  阿 誰 能 越 此 一 字 之 關  余 故 曰  此 
ZH_X60_1120_001:0334c19	經乃佛佛祖祖之關鍵也。合參者。豈非展如來藏之	001	經 乃 佛 佛 祖 祖 之 關 鍵 也  合 參 者  豈 非 展 如 來 藏 之 
ZH_X60_1120_001:0334c20	樞機。開祖師關之匙鑰。得其法者。不費纖芥之勞。無	001	樞 機  開 祖 師 關 之 匙 鑰  得 其 法 者  不 費 纖 芥 之 勞  無 
ZH_X60_1120_001:0334c21	須鎖子。豁然自開。不得其法。雖有舉鼎拔山之力。亦	001	須 鎖 子  豁 然 自 開  不 得 其 法  雖 有 舉 鼎 拔 山 之 力  亦 
ZH_X60_1120_001:0334c22	難啟固閉。今則并匙鑰之法具在。以待夫過關者當	001	難 啟 固 閉  今 則 并 匙 鑰 之 法 具 在  以 待 夫 過 關 者 當 
ZH_X60_1120_001:0334c23	下驗取。	001	下 驗 取  
ZH_X60_1120_001:0334c24	康熙辛亥春王	001	康 熙 辛 亥 春 王 
ZH_X60_1120_001:0335a01	靈岳石樹道人書于吳門舟次	001	靈 岳 石 樹 道 人 書 于 吳 門 舟 次 
ZH_X60_1120_001:0335a05	凡例	001	凡 例 
ZH_X60_1120_001:0335a06	此合參。惟沙彌菩薩上上根器者。乃可參閱。非為	001	此 合 參  惟 沙 彌 菩 薩 上 上 根 器 者  乃 可 參 閱  非 為 
ZH_X60_1120_001:0335a07	小根小莖者說也。故參禪者。未得入頭。不得先看	001	小 根 小 莖 者 說 也  故 參 禪 者  未 得 入 頭  不 得 先 看 
ZH_X60_1120_001:0335a08	語錄。未受戒者。不得先閱律藏。所以起七參禪時。	001	語 錄  未 受 戒 者  不 得 先 閱 律 藏  所 以 起 七 參 禪 時  
ZH_X60_1120_001:0335a09	一切經書置之高閣。誦戒說戒時。嚴查未受戒者。	001	一 切 經 書 置 之 高 閣  誦 戒 說 戒 時  嚴 查 未 受 戒 者  
ZH_X60_1120_001:0335a10	必先遣出。可見初入禪律之門。古法尚在。凡今愛	001	必 先 遣 出  可 見 初 入 禪 律 之 門  古 法 尚 在  凡 今 愛 
ZH_X60_1120_001:0335a11	樂合參。須發心受戒。然後批閱。亦未為晚。如違得	001	樂 合 參  須 發 心 受 戒  然 後 批 閱  亦 未 為 晚  如 違 得 
ZH_X60_1120_001:0335a12	罪先聖。自取殃禍。	001	罪 先 聖  自 取 殃 禍  
ZH_X60_1120_001:0335a13	合參大旨所貴。即禪即戒。即戒即禪。禪戒並行。不	001	合 參 大 旨 所 貴  即 禪 即 戒  即 戒 即 禪  禪 戒 並 行  不 
ZH_X60_1120_001:0335a14	相違背。故參禪到觸背不得。處正見持犯不得處。	001	相 違 背  故 參 禪 到 觸 背 不 得  處 正 見 持 犯 不 得 處  
ZH_X60_1120_001:0335a15	持犯不得處。正見觸背不得處。觸背持犯。四路交	001	持 犯 不 得 處  正 見 觸 背 不 得 處  觸 背 持 犯  四 路 交 
ZH_X60_1120_001:0335a16	加。如何回避。凡閱此者。須高著眼。	001	加  如 何 回 避  凡 閱 此 者  須 高 著 眼  
ZH_X60_1120_001:0335a17	經律事原直截。理固幽深。不啻該大藏之文。亦乃	001	經 律 事 原 直 截  理 固 幽 深  不 啻 該 大 藏 之 文  亦 乃 
ZH_X60_1120_001:0335a18	貫別傳之旨。故所註皆是聖賢經史。引證無非祖	001	貫 別 傳 之 旨  故 所 註 皆 是 聖 賢 經 史  引 證 無 非 祖 
ZH_X60_1120_001:0335a19	師機緣。自笑從先鹵鈍。閉戶無聞。且圖起後英靈	001	師 機 緣  自 笑 從 先 鹵 鈍  閉 戶 無 聞  且 圖 起 後 英 靈 
ZH_X60_1120_001:0335a20	開卷有益。恍然見千古於目前。悟一時於言下。乃	001	開 卷 有 益  恍 然 見 千 古 於 目 前  悟 一 時 於 言 下  乃 
ZH_X60_1120_001:0335a21	不顧歲時老邁。筆力衰微。專為流通。草草成勒。但	001	不 顧 歲 時 老 邁  筆 力 衰 微  專 為 流 通  草 草 成 勒  但 
ZH_X60_1120_001:0335a22	恐句章差舛。點畫淆訛。寧不開罪先聖。抑將遺誤	001	恐 句 章 差 舛  點 畫 淆 訛  寧 不 開 罪 先 聖  抑 將 遺 誤 
ZH_X60_1120_001:0335a23	後昆。仰質高明。誨人不倦。鑑我苦心。不妨指示。是	001	後 昆  仰 質 高 明  誨 人 不 倦  鑑 我 苦 心  不 妨 指 示  是 
ZH_X60_1120_001:0335a24	即再世師恩。感佩無既。	001	即 再 世 師 恩  感 佩 無 既  
ZH_X60_1120_001:0335b01	木公裒述十戒論。字字搜閱律藏乃成。復引經律	001	木 公 裒 述 十 戒 論  字 字 搜 閱 律 藏 乃 成  復 引 經 律 
ZH_X60_1120_001:0335b02	注論下。讀者謂不應以經律注論下。殊不知論注	001	注 論 下  讀 者 謂 不 應 以 經 律 注 論 下  殊 不 知 論 注 
ZH_X60_1120_001:0335b03	經律也。讀之者。寧不悚然警惕。從此徵善去惡耶。	001	經 律 也  讀 之 者  寧 不 悚 然 警 惕  從 此 徵 善 去 惡 耶  
ZH_X60_1120_001:0335b04	因次第附於十戒篇後。	001	因 次 第 附 於 十 戒 篇 後  
ZH_X60_1120_001:0335b05	本律云。不習學外書子史治世典章。善戒經云。若	001	本 律 云  不 習 學 外 書 子 史 治 世 典 章  善 戒 經 云  若 
ZH_X60_1120_001:0335b06	為議論。破於邪見。若二分經。一分外書。不犯。由此	001	為 議 論  破 於 邪 見  若 二 分 經  一 分 外 書  不 犯  由 此 
ZH_X60_1120_001:0335b07	觀之。當辨其書之邪正可否。非漫言不習。此為初	001	觀 之  當 辨 其 書 之 邪 正 可 否  非 漫 言 不 習  此 為 初 
ZH_X60_1120_001:0335b08	地學者。無暇習之。若為議論。破於邪見。則用治世	001	地 學 者  無 暇 習 之  若 為 議 論  破 於 邪 見  則 用 治 世 
ZH_X60_1120_001:0335b09	正典。而為開導。即同如來所說正法。法華云。治世	001	正 典  而 為 開 導  即 同 如 來 所 說 正 法  法 華 云  治 世 
ZH_X60_1120_001:0335b10	語言資生業等。皆順正法。豈妄言哉。今合參不但	001	語 言 資 生 業 等  皆 順 正 法  豈 妄 言 哉  今 合 參 不 但 
ZH_X60_1120_001:0335b11	慣用六經之言。至於詩文謠諺。無不採摭。無非左	001	慣 用 六 經 之 言  至 於 詩 文 謠 諺  無 不 採 摭  無 非 左 
ZH_X60_1120_001:0335b12	羽佛法。俾諸後學爽然自識。若夫荒唐非僻邪語。	001	羽 佛 法  俾 諸 後 學 爽 然 自 識  若 夫 荒 唐 非 僻 邪 語  
ZH_X60_1120_001:0335b13	痛禁絕之。	001	痛 禁 絕 之  
ZH_X60_1120_001:0335b14	經書部帙雖同。事理前後各異。不復別標題目。以	001	經 書 部 帙 雖 同  事 理 前 後 各 異  不 復 別 標 題 目  以 
ZH_X60_1120_001:0335b15	此◎別之。勿使紊亂脉絡。涇渭自辨矣。	001	此  別 之  勿 使 紊 亂 脉 絡  涇 渭 自 辨 矣  
ZH_X60_1120_001:0335b16	凡注上無經書題。及虗一字者。即余管見大意。為	001	凡 注 上 無 經 書 題  及 虗 一 字 者  即 余 管 見 大 意  為 
ZH_X60_1120_001:0335b17	開發初機。非敢污尊宿耳目也。	001	開 發 初 機  非 敢 污 尊 宿 耳 目 也  
ZH_X60_1120_001:0335b18	飜譯名義五不飜中。秘密不飜。古德云。陀羅尼藏	001	飜 譯 名 義 五 不 飜 中  秘 密 不 飜  古 德 云  陀 羅 尼 藏 
ZH_X60_1120_001:0335b19	皆不可解。余曰。諸佛祖師所說秘密之法。無不可	001	皆 不 可 解  余 曰  諸 佛 祖 師 所 說 秘 密 之 法  無 不 可 
ZH_X60_1120_001:0335b20	飜者。亦無不可解者。呪之為用。絕諸滲漏。直下使	001	飜 者  亦 無 不 可 解 者  呪 之 為 用  絕 諸 滲 漏  直 下 使 
ZH_X60_1120_001:0335b21	人自解自悟耳。嘗觀有目不識丁者。篤信持呪。不	001	人 自 解 自 悟 耳  嘗 觀 有 目 不 識 丁 者  篤 信 持 呪  不 
ZH_X60_1120_001:0335b22	憚寒暑。精進忘疲。一旦豁然。顯密文字洞徹無礙。	001	憚 寒 暑  精 進 忘 疲  一 旦 豁 然  顯 密 文 字 洞 徹 無 礙  
ZH_X60_1120_001:0335b23	豈非不解中自解也。是故下經諸呪。遵佛祖遺訓。	001	豈 非 不 解 中 自 解 也  是 故 下 經 諸 呪  遵 佛 祖 遺 訓  
ZH_X60_1120_001:0335b24	不飜不解。惟在人自悟。	001	不 飜 不 解  惟 在 人 自 悟  
ZH_X60_1120_001:0335c01	本部經偈字句。可以手紀。而其意義無窮。假使如	001	本 部 經 偈 字 句  可 以 手 紀  而 其 意 義 無 窮  假 使 如 
ZH_X60_1120_001:0335c02	鶖子之智慧。文殊之辨才。讚歎亦不能盡。況余管	001	鶖 子 之 智 慧  文 殊 之 辨 才  讚 歎 亦 不 能 盡  況 余 管 
ZH_X60_1120_001:0335c03	窺之見。所能揄揚其萬一者耶。倘得博聞廣見之	001	窺 之 見  所 能 揄 揚 其 萬 一 者 耶  倘 得 博 聞 廣 見 之 
ZH_X60_1120_001:0335c04	士。於引證不到處。不妨拈出簡示。即當附之卷尾。	001	士  於 引 證 不 到 處  不 妨 拈 出 簡 示  即 當 附 之 卷 尾  
ZH_X60_1120_001:0335c05	以供有志於合參者。重為補入。法施功德。寧有量	001	以 供 有 志 於 合 參 者  重 為 補 入  法 施 功 德  寧 有 量 
ZH_X60_1120_001:0335c06	哉。	001	哉  
ZH_X60_1120_001:0335c12	沙彌律儀毗尼日用合參卷上	001	沙 彌 律 儀 毗 尼 日 用 合 參 卷 上 
ZH_X60_1120_001:0335c14	菩薩戒弟子雲棲寺沙門　袾宏　輯集	001	菩 薩 戒 弟 子 雲 棲 寺 沙 門  袾 宏  輯 集 
ZH_X60_1120_001:0335c15	雲居山真如寺晦山沙門　戒顯　訂閱	001	雲 居 山 真 如 寺 晦 山 沙 門  戒 顯  訂 閱 
ZH_X60_1120_001:0335c16	寓黃山慈光寺石樹沙門　濟岳　彚箋	001	寓 黃 山 慈 光 寺 石 樹 沙 門  濟 岳  彚 箋 
ZH_X60_1120_001:0335c17	【箋】總論大文分三○初標明題目○次疏別十戒	001	 箋  總 論 大 文 分 三  初 標 明 題 目  次 疏 別 十 戒 
ZH_X60_1120_001:0335c18	○後一詮次威儀○初標明題目分三○一敘剃	001	 後 一 詮 次 威 儀  初 標 明 題 目 分 三  一 敘 剃 
ZH_X60_1120_001:0335c19	度緣起○二解五德十數○三辨沙彌名義。	001	度 緣 起  二 解 五 德 十 數  三 辨 沙 彌 名 義  
ZH_X60_1120_001:0335c20	未曾有經。佛敕阿難為羅睺羅剃頭。及五十諸公王	001	未曾有經  佛 敕 阿 難 為 羅 睺 羅 剃 頭  及 五 十 諸 公 王 
ZH_X60_1120_001:0335c21	子悉令出家。	001	子 悉 令 出 家  
ZH_X60_1120_001:0335c22	【箋】梵語阿浮達磨。華言未曾有。亦云希有。詳載十二	001	 箋  梵 語 阿浮達磨  華 言 未 曾 有  亦 云 希 有  詳 載 十 二 
ZH_X60_1120_001:0335c23	部經。梵語阿難。此云慶喜。多聞第一。羅睺羅。秦言覆	001	部 經  梵 語 阿 難  此 云 慶 喜  多 聞 第 一  羅 睺 羅  秦 言 覆 
ZH_X60_1120_001:0335c24	障。謂障日月也。阿修羅蝕日時。名羅睺羅。其因往昔	001	障  謂 障 日 月 也  阿 修 羅 蝕 日 時  名 羅 睺 羅  其 因 往 昔 
ZH_X60_1120_001:0336a01	曾塞鼠穴六日。故感處胎六年。佛所障故。因以為名。	001	曾 塞 鼠 穴 六 日  故 感 處 胎 六 年  佛 所 障 故  因 以 為 名  
ZH_X60_1120_001:0336a02	聲聞法中密行第一。羅云生緣記。菩薩出家之日。諸	001	聲 聞 法 中 密 行 第 一  羅 云 生 緣 記  菩 薩 出 家 之 日  諸 
ZH_X60_1120_001:0336a03	相師言。若今夜不出家。明日七寶自至。為轉輪王。王	001	相 師 言  若 今 夜 不 出 家  明 日 七 寶 自 至  為 轉 輪 王  王 
ZH_X60_1120_001:0336a04	四天下。即於其夜更增伎樂。以悅其心。於是菩薩欲	001	四 天 下  即 於 其 夜 更 增 伎 樂  以 悅 其 心  於 是 菩 薩 欲 
ZH_X60_1120_001:0336a05	心內發。羅睺羅即時處胎。耶輸陀羅其夜有身。於是	001	心 內 發  羅 睺 羅 即 時 處 胎  耶 輸 陀 羅 其 夜 有 身  於 是 
ZH_X60_1120_001:0336a06	淨居諸天相與悲歎。菩薩為欲所纏。眾生可愍。誰當	001	淨 居 諸 天 相 與 悲 歎  菩 薩 為 欲 所 纏  眾 生 可 愍  誰 當 
ZH_X60_1120_001:0336a07	度者。即時變諸妓女。皆如死人。甚可怖畏。令菩薩心	001	度 者  即 時 變 諸 妓 女  皆 如 死 人  甚 可 怖 畏  令 菩 薩 心 
ZH_X60_1120_001:0336a08	生厭離。即勸出家。車匿牽馬。四天王接足踰城而出。	001	生 厭 離  即 勸 出 家  車 匿 牽 馬  四 天 王 接 足 踰 城 而 出  
ZH_X60_1120_001:0336a09	到菩提樹下思惟。苦行六年。初夜成佛。時羅睺羅乃	001	到 菩提樹下 思 惟  苦 行 六 年  初 夜 成 佛  時 羅 睺 羅 乃 
ZH_X60_1120_001:0336a10	生。生已。還佛乳母。乃言。悉達出家。六年。汝今何從有	001	生  生 已  還 佛 乳 母  乃 言  悉 達 出 家  六 年  汝 今 何 從 有 
ZH_X60_1120_001:0336a11	身。若六年懷姙。世所未聞。諸釋聞之。相共議言。此甚	001	身  若 六 年 懷 姙  世 所 未 聞  諸 釋 聞 之  相 共 議 言  此 甚 
ZH_X60_1120_001:0336a12	不詳。毀辱釋門。必是私竊。擬以法殺之。耶輸曰。願見	001	不 詳  毀 辱 釋 門  必 是 私 竊  擬 以 法 殺 之  耶 輸 曰  願 見 
ZH_X60_1120_001:0336a13	大王。爾乃就死。王於是隔幔傳語。詰其所由。耶輸如	001	大 王  爾 乃 就 死  王 於 是 隔 幔 傳 語  詰 其 所 由  耶 輸 如 
ZH_X60_1120_001:0336a14	實陳是太子之胤。自太子出家。我常愁毒。寢臥冷地。	001	實 陳 是 太 子 之 胤  自 太 子 出 家  我 常 愁 毒  寢 臥 冷 地  
ZH_X60_1120_001:0336a15	故此兒之貌。與太子無異。王乃泣曰。實我孫也。爾時	001	故 此 兒 之 貌  與 太 子 無 異  王 乃 泣 曰  實 我 孫 也  爾 時 
ZH_X60_1120_001:0336a16	佛欲證明。化作梵志。來入王宮。乃兒問汝何名。答曰。	001	佛 欲 證 明  化 作 梵 志  來 入 王 宮  乃 兒 問 汝 何 名  答 曰  
ZH_X60_1120_001:0336a17	名羅睺羅。梵志贊言。善哉善哉。汝以業因緣故。名稱	001	名 羅 睺 羅  梵 志 贊 言  善哉善哉  汝 以 業 因 緣 故  名 稱 
ZH_X60_1120_001:0336a18	其實。羅云出家緣記。爾時佛告目犍連言。汝今往彼	001	其 實  羅 云 出 家 緣 記  爾 時 佛 告 目 犍 連 言  汝 今 往 彼 
ZH_X60_1120_001:0336a19	迦毗羅城。省覲我父閱頭檀王。并我姨母波闍波提。	001	迦 毗 羅 城  省 覲 我 父 閱 頭 檀 王  并 我 姨 母 波 闍 波 提  
ZH_X60_1120_001:0336a20	三敘父斛飯王等。因復慰喻羅睺羅母耶輸陀羅。令	001	三 敘 父 斛 飯 王 等  因 復 慰 喻 羅 睺 羅 母 耶 輸 陀 羅  令 
ZH_X60_1120_001:0336a21	割恩愛。放羅睺羅出家。修習聖道。目連受命。次第陳	001	割 恩 愛  放 羅 睺 羅 出 家  修 習 聖 道  目 連 受 命  次 第 陳 
ZH_X60_1120_001:0336a22	白。時耶輸陀羅聞佛遣使取羅睺羅。憂悲苦惱。約敕	001	白  時 耶 輸 陀 羅 聞 佛 遣 使 取 羅 睺 羅  憂 悲 苦 惱  約 敕 
ZH_X60_1120_001:0336a23	監官。關閉閣道。悉令監牢。時大目連既到宮門。不能	001	監 官  關 閉 閣 道  悉 令 監 牢  時 大 目 連 既 到 宮 門  不 能 
ZH_X60_1120_001:0336a24	得入。即以神力。飛上高樓。耶輸見目連來。即起禮拜。	001	得 入  即 以 神 力  飛 上 高 樓  耶 輸 見 目 連 來  即 起 禮 拜  
ZH_X60_1120_001:0336b01	敕座請目連坐。問訊世尊。少病少惱。教化眾生無疲	001	敕 座 請 目 連 坐  問 訊 世 尊  少 病 少 惱  教 化 眾 生 無 疲 
ZH_X60_1120_001:0336b02	勞耶。今遣上人。來何所為。目連曰。太子羅睺羅。年已	001	勞 耶  今 遣 上 人  來 何 所 為  目 連 曰  太 子 羅 睺 羅  年 已 
ZH_X60_1120_001:0336b03	九歲。應令出家。修學聖道。一切恩愛。不久變滅。業報	001	九 歲  應 令 出 家  修 學 聖 道  一 切 恩 愛  不 久 變 滅  業 報 
ZH_X60_1120_001:0336b04	至時。苦樂異處。子母雖親。各不相代。若使學道。當還	001	至 時  苦 樂 異 處  子 母 雖 親  各 不 相 代  若 使 學 道  當 還 
