segmentnr	original	folio	analyzed
ZH_X14_0295_001:0626c08	阿難又言。悟知我心。實居身外。譬如燈光居在室	001	阿 難 又 言  悟 知 我 心  實 居 身 外  譬 如 燈 光 居 在 室 
ZH_X14_0295_001:0626c09	外。不能照室。佛言。心若居外。則身與心自不相知。	001	外  不 能 照 室  佛 言  心 若 居 外  則 身 與 心 自 不 相 知  
ZH_X14_0295_001:0626c10	如彼之食。不能得此之飽。今眼見我手。心即分別。	001	如 彼 之 食  不 能 得 此 之 飽  今 眼 見 我 手  心 即 分 別  
ZH_X14_0295_001:0626c11	是眼根心識。又似相知。云何在外。是故覺了能知	001	是 眼 根 心 識  又 似 相 知  云 何 在 外  是 故 覺 了 能 知 
ZH_X14_0295_001:0626c12	之心。住在身外。無有是處。	001	之 心  住 在 身 外  無 有 是 處  
ZH_X14_0295_001:0627a01	△三徵(又疑識心潛伏根中)	001	 三 徵  又 疑 識 心 潛 伏 根 中  
ZH_X14_0295_001:0627a02	阿難白佛言世尊(至)如琉璃合者無有是處。	001	阿 難 白 佛 言 世 尊  至  如 琉 璃 合 者 無 有 是 處  
ZH_X14_0295_001:0627a03	阿難又悟。如佛所言。心不見內。則心不在內明矣。	001	阿 難 又 悟  如 佛 所 言  心 不 見 內  則 心 不 在 內 明 矣  
ZH_X14_0295_001:0627a04	身心相知。則心不在外明矣。如我思惟。了知此心。	001	身 心 相 知  則 心 不 在 外 明 矣  如 我 思 惟  了 知 此 心  
ZH_X14_0295_001:0627a05	潛伏根裏。譬如琉璃籠眼。雖有物合而不留礙。彼	001	潛 伏 根 裏  譬 如 琉 璃 籠 眼  雖 有 物 合 而 不 留 礙  彼 
ZH_X14_0295_001:0627a06	眼隨見。是知覺了能知之心。不能見內。為在根故。	001	眼 隨 見  是 知 覺 了 能 知 之 心  不 能 見 內  為 在 根 故  
ZH_X14_0295_001:0627a07	分明矚外。為潛根故。佛言。汝謂心潛根內。如琉璃	001	分 明 矚 外  為 潛 根 故  佛 言  汝 謂 心 潛 根 內  如 琉 璃 
ZH_X14_0295_001:0627a08	合者。方其籠眼之時。見琉璃不。阿難答言。實見琉	001	合 者  方 其 籠 眼 之 時  見 琉 璃 不  阿 難 答 言  實 見 琉 
ZH_X14_0295_001:0627a09	璃。佛言。心潛根內。既能外見琉璃。何以不能見眼。	001	璃  佛 言  心 潛 根 內  既 能 外 見 琉 璃  何 以 不 能 見 眼  
ZH_X14_0295_001:0627a10	若能見眼。眼則同境。不得成隨。若不能見。則汝言	001	若 能 見 眼  眼 則 同 境  不 得 成 隨  若 不 能 見  則 汝 言 
ZH_X14_0295_001:0627a11	潛伏根內者。無有是處。	001	潛 伏 根 內 者  無 有 是 處  
ZH_X14_0295_001:0627a12	△四徵(又計見暗名在身內)	001	 四 徵  又 計 見 暗 名 在 身 內  
ZH_X14_0295_001:0627a13	阿難白佛言世尊(至)名見內者無有是處。	001	阿 難 白 佛 言 世 尊  至  名 見 內 者 無 有 是 處  
ZH_X14_0295_001:0627a14	阿難又作如是思惟。眾生臟腑居中。竅穴居外。有	001	阿 難 又 作 如 是 思 惟  眾 生 臟 腑 居 中  竅 穴 居 外  有 
ZH_X14_0295_001:0627a15	藏故暗。有竅則明。又計我心在內。故開眼見明。閉	001	藏 故 暗  有 竅 則 明  又 計 我 心 在 內  故 開 眼 見 明  閉 
ZH_X14_0295_001:0627a16	眼見暗。佛言。汝當閉眼見暗之時。此暗境界。為與	001	眼 見 暗  佛 言  汝 當 閉 眼 見 暗 之 時  此 暗 境 界  為 與 
ZH_X14_0295_001:0627a17	眼對。不與眼對。名與眼對者。暗在眼前。云何成內。	001	眼 對  不 與 眼 對  名 與 眼 對 者  暗 在 眼 前  云 何 成 內  
ZH_X14_0295_001:0627a18	若不對者。云何成見。若合眼見暗。名在身中。開眼	001	若 不 對 者  云 何 成 見  若 合 眼 見 暗  名 在 身 中  開 眼 
ZH_X14_0295_001:0627a19	見明。何不見面。若能見面。則此了知之心。乃在虗	001	見 明  何 不 見 面  若 能 見 面  則 此 了 知 之 心  乃 在 虗 
ZH_X14_0295_001:0627a20	空。何成在內。若在虗空。則如我見爾面。見爾面者。	001	空  何 成 在 內  若 在 虗 空  則 如 我 見 爾 面  見 爾 面 者  
ZH_X14_0295_001:0627a21	豈爾身乎。汝必執言。身眼兩覺。則是一人應有一	001	豈 爾 身 乎  汝 必 執 言  身 眼 兩 覺  則 是 一 人 應 有 一 
ZH_X14_0295_001:0627a22	知。而汝一身當成兩佛矣。是故汝言。見暗名在內	001	知  而 汝 一 身 當 成 兩 佛 矣  是 故 汝 言  見 暗 名 在 內 
ZH_X14_0295_001:0627a23	者。無有是處。	001	者  無 有 是 處  
ZH_X14_0295_001:0627a24	△五徵(又計隨所合處心則隨有)	001	 五 徵  又 計 隨 所 合 處 心 則 隨 有  
ZH_X14_0295_001:0627b01	阿難言我常聞佛開示四眾(至)心則隨有無有是處。	001	阿 難 言 我 常 聞 佛 開 示 四 眾  至  心 則 隨 有 無 有 是 處  
ZH_X14_0295_001:0627b02	阿難又自思惟。我今如是思惟。豈隨境思惟者。即	001	阿 難 又 自 思 惟  我 今 如 是 思 惟  豈 隨 境 思 惟 者  即 
ZH_X14_0295_001:0627b03	我心體耶。故隨所合處。心則隨有。不在內外。不在	001	我 心 體 耶  故 隨 所 合 處  心 則 隨 有  不 在 內 外  不 在 
ZH_X14_0295_001:0627b04	中間。夫以思惟為體者。特浮想耳。非實體也。佛言。	001	中 間  夫 以 思 惟 為 體 者  特 浮 想 耳  非 實 體 也  佛 言  
ZH_X14_0295_001:0627b05	由法生故。種種心生。隨所合處。心則隨有。是汝謂	001	由 法 生 故  種 種 心 生  隨 所 合 處  心 則 隨 有  是 汝 謂 
ZH_X14_0295_001:0627b06	心無體也。心若無體。云何能合。若為有體。云何隨	001	心 無 體 也  心 若 無 體  云 何 能 合  若 為 有 體  云 何 隨 
ZH_X14_0295_001:0627b07	合。若無體而能合者。則如波旬所說。十九界因七	001	合  若 無 體 而 能 合 者  則 如 波 旬 所 說  十 九 界 因 七 
ZH_X14_0295_001:0627b08	塵合。是義不然。明矣。十九界七塵五諦六蘊。乃魔	001	塵 合  是 義 不 然  明 矣  十 九 界 七 塵 五 諦 六 蘊  乃 魔 
ZH_X14_0295_001:0627b09	說之。以惑首羅長者。見涅槃經十九界七塵。界在	001	說 之  以 惑 首 羅 長 者  見 涅 槃 經 十 九 界 七 塵  界 在 
ZH_X14_0295_001:0627b10	何處。塵在何處。可以無體而能合乎。故曰是義不	001	何 處  塵 在 何 處  可 以 無 體 而 能 合 乎  故 曰 是 義 不 
ZH_X14_0295_001:0627b11	然。若為有體。則汝試自挃其身。汝所知心。為復內	001	然  若 為 有 體  則 汝 試 自 挃 其 身  汝 所 知 心  為 復 內 
ZH_X14_0295_001:0627b12	出。為從外入。若復內出。當見身中。若後外入。何不	001	出  為 從 外 入  若 復 內 出  當 見 身 中  若 後 外 入  何 不 
ZH_X14_0295_001:0627b13	見面。既不見汝身中。又不能見汝面。心體何在。阿	001	見 面  既 不 見 汝 身 中  又 不 能 見 汝 面  心 體 何 在  阿 
ZH_X14_0295_001:0627b14	難言。見身見面。自是眼見。以心知為見。非其義矣。	001	難 言  見 身 見 面  自 是 眼 見  以 心 知 為 見  非 其 義 矣  
ZH_X14_0295_001:0627b15	佛言。眼若能見。則諸已死之人。尚有眼在。應當見	001	佛 言  眼 若 能 見  則 諸 已 死 之 人  尚 有 眼 在  應 當 見 
ZH_X14_0295_001:0627b16	物。若能見物。云何名死。汝謂見是眼見。是義不然。	001	物  若 能 見 物  云 何 名 死  汝 謂 見 是 眼 見  是 義 不 然  
ZH_X14_0295_001:0627b17	且汝覺了能知之心。認為有體。試問。此體為一體	001	且 汝 覺 了 能 知 之 心  認 為 有 體  試 問  此 體 為 一 體 
ZH_X14_0295_001:0627b18	耶。為多體耶。在汝身中。為徧體耶。不徧體耶。若一	001	耶  為 多 體 耶  在 汝 身 中  為 徧 體 耶  不 徧 體 耶  若 一 
ZH_X14_0295_001:0627b19	體者。手挃一支。四支應覺。若多體者。則稱多人。何	001	體 者  手 挃 一 支  四 支 應 覺  若 多 體 者  則 稱 多 人  何 
ZH_X14_0295_001:0627b20	體為汝。在汝身中。若徧體者。當同前挃。挃其一處。	001	體 為 汝  在 汝 身 中  若 徧 體 者  當 同 前 挃  挃 其 一 處  
ZH_X14_0295_001:0627b21	處處咸覺。若不徧體。設汝以頭足並觸。頭有覺者。	001	處 處 咸 覺  若 不 徧 體  設 汝 以 頭 足 並 觸  頭 有 覺 者  
ZH_X14_0295_001:0627b22	足應無知。今汝不然。又非不徧。是故汝言隨合隨	001	足 應 無 知  今 汝 不 然  又 非 不 徧  是 故 汝 言 隨 合 隨 
ZH_X14_0295_001:0627b23	有者。無有是處。何者不合。則無成於斷滅。常住真	001	有 者  無 有 是 處  何 者 不 合  則 無 成 於 斷 滅  常 住 真 
ZH_X14_0295_001:0627b24	心當不如是。夫以真心妙覺。常靜常應。觸處洞然。	001	心 當 不 如 是  夫 以 真 心 妙 覺  常 靜 常 應  觸 處 洞 然  
ZH_X14_0295_001:0627c01	非內非外。非一非多。非徧不徧。認以思惟。則去之	001	非 內 非 外  非 一 非 多  非 徧 不 徧  認 以 思 惟  則 去 之 
ZH_X14_0295_001:0627c02	愈遠。阿難蓋不知也。	001	愈 遠  阿 難 蓋 不 知 也  
ZH_X14_0295_001:0627c03	△六徵(又計心在根境中間)	001	 六 徵  又 計 心 在 根 境 中 間  
ZH_X14_0295_001:0627c04	阿難白佛言世尊我亦聞佛(至)當在中間無有是處。	001	阿 難 白 佛 言 世 尊 我 亦 聞 佛  至  當 在 中 間 無 有 是 處  
ZH_X14_0295_001:0627c05	阿難又自思惟。此心內無所知。不成在內。身心相	001	阿 難 又 自 思 惟  此 心 內 無 所 知  不 成 在 內  身 心 相 
ZH_X14_0295_001:0627c06	知。不成在外。今既相知矣。却又無見。是知此心不	001	知  不 成 在 外  今 既 相 知 矣  却 又 無 見  是 知 此 心 不 
ZH_X14_0295_001:0627c07	在內外與根。當在中間。佛言。所謂中者。為在身中。	001	在 內 外 與 根  當 在 中 間  佛 言  所 謂 中 者  為 在 身 中  
ZH_X14_0295_001:0627c08	為在境中。若在身中。即同在內。若在境中。必須立	001	為 在 境 中  若 在 身 中  即 同 在 內  若 在 境 中  必 須 立 
ZH_X14_0295_001:0627c09	表。一有所表。東看成西。南觀成北。表體無定。心則	001	表  一 有 所 表  東 看 成 西  南 觀 成 北  表 體 無 定  心 則 
ZH_X14_0295_001:0627c10	雜亂。阿難言。我所謂中。非指身處之中。乃根塵之	001	雜 亂  阿 難 言  我 所 謂 中  非 指 身 處 之 中  乃 根 塵 之 
ZH_X14_0295_001:0627c11	中也。如世尊言。眼色為緣。生於眼識。眼有分別。色	001	中 也  如 世 尊 言  眼 色 為 緣  生 於 眼 識  眼 有 分 別  色 
ZH_X14_0295_001:0627c12	塵無知。識生塵中。即為心在。佛言。此心若在根塵	001	塵 無 知  識 生 塵 中  即 為 心 在  佛 言  此 心 若 在 根 塵 
ZH_X14_0295_001:0627c13	之中。則此心體為復兼二。為不兼二。兼二則不得	001	之 中  則 此 心 體 為 復 兼 二  為 不 兼 二  兼 二 則 不 得 
ZH_X14_0295_001:0627c14	稱中。何者。物體雜亂。物非體知也。物者根塵。體者	001	稱 中  何 者  物 體 雜 亂  物 非 體 知 也  物 者 根 塵  體 者 
ZH_X14_0295_001:0627c15	心體。根塵無知。心體有知。物與心體。成敵兩立。以	001	心 體  根 塵 無 知  心 體 有 知  物 與 心 體  成 敵 兩 立  以 
ZH_X14_0295_001:0627c16	何為中。不兼亦不得稱中。何者。不兼根。則獨有根。	001	何 為 中  不 兼 亦 不 得 稱 中  何 者  不 兼 根  則 獨 有 根  
ZH_X14_0295_001:0627c17	在根非知也。不兼境則獨有心。在心非不知也。非	001	在 根 非 知 也  不 兼 境 則 獨 有 心  在 心 非 不 知 也  非 
ZH_X14_0295_001:0627c18	知不知。則無體性。中為何相。是故當知。在中之說。	001	知 不 知  則 無 體 性  中 為 何 相  是故當知  在 中 之 說  
ZH_X14_0295_001:0627c19	無有是處。	001	無 有 是 處  
ZH_X14_0295_001:0627c20	△七徵(又計無着名之為心)	001	 七 徵  又 計 無 着 名 之 為 心  
ZH_X14_0295_001:0627c21	阿難白佛言世尊我昔見佛(至)名覺知心無有是處。	001	阿 難 白 佛 言 世 尊 我 昔 見 佛  至  名 覺 知 心 無 有 是 處  
ZH_X14_0295_001:0627c22	阿難又舉佛常言。覺知分別心性。不在內外中間。	001	阿 難 又 舉 佛 常 言  覺 知 分 別 心 性  不 在 內 外 中 間  
ZH_X14_0295_001:0627c23	俱無所在。一切無着。我將無着。名為心不。佛言。凡	001	俱 無 所 在  一 切 無 着  我 將 無 着  名 為 心 不  佛 言  凡 
ZH_X14_0295_001:0627c24	所有相。名為一切。汝不着者。是謂物為有耶。為無	001	所 有 相  名 為 一 切  汝 不 着 者  是 謂 物 為 有 耶  為 無 
ZH_X14_0295_001:0628a01	耶。無則同於龜毛兔角。云何可着。而名不着。若是	001	耶  無 則 同 於 龜 毛 兔 角  云 何 可 着  而 名 不 着  若 是 
ZH_X14_0295_001:0628a02	其非無。非無即相。有相即有所在。云何不着。是故	001	其 非 無  非 無 即 相  有 相 即 有 所 在  云 何 不 着  是 故 
ZH_X14_0295_001:0628a03	以一切無着。名知覺心者。無有是處。夫虗妄浮心。	001	以 一 切 無 着  名 知 覺 心 者  無 有 是 處  夫 虗 妄 浮 心  
ZH_X14_0295_001:0628a04	緣慮而有。本無定體。亦無定所。以上七番。破其妄	001	緣 慮 而 有  本 無 定 體  亦 無 定 所  以 上 七 番  破 其 妄 
ZH_X14_0295_001:0628a05	所。意在顯真。其如阿難未悟。故下重請開示。	001	所  意 在 顯 真  其 如 阿 難 未 悟  故 下 重 請 開 示  
ZH_X14_0295_001:0628a06	孤山曰。總此七番。似破四性。在內潛根。見內似自	001	孤 山 曰  總 此 七 番  似 破 四 性  在 內 潛 根  見 內 似 自 
ZH_X14_0295_001:0628a07	性。在外似他性。中間似共性。隨合無着。似無因性。	001	性  在 外 似 他 性  中 間 似 共 性  隨 合 無 着  似 無 因 性  
ZH_X14_0295_001:0628a08	龍樹云。諸法不自生。亦不從他生。不共不無因。是	001	龍 樹 云  諸 法 不 自 生  亦 不 從 他 生  不 共 不 無 因  是 
ZH_X14_0295_001:0628a09	故說無生。是故如來七番逐破。使介爾妄心。無逃	001	故 說 無 生  是 故 如 來 七 番 逐 破  使 介 爾 妄 心  無 逃 
ZH_X14_0295_001:0628a10	避處。妄賊既除。真王得顯。無生之理。於茲見矣。此	001	避 處  妄 賊 既 除  真 王 得 顯  無 生 之 理  於 茲 見 矣  此 
ZH_X14_0295_001:0628a11	言外意也。	001	言 外 意 也  
ZH_X14_0295_001:0628a12	△辯見品第二	001	 辯 見 品 第 二 
ZH_X14_0295_001:0628a13	陰符經云。心生於物死於物。機在目。是知。心之	001	陰 符 經 云  心 生 於 物 死 於 物  機 在 目  是 知  心 之 
ZH_X14_0295_001:0628a14	所以有生□者。目為之牖也。迷中倍人。轉見於	001	所 以 有 生  者  目 為 之 牖 也  迷 中 倍 人  轉 見 於 
ZH_X14_0295_001:0628a15	物。遂爾迷真。以故。世尊急為提點。使知吾人見	001	物  遂 爾 迷 真  以 故  世 尊 急 為 提 點  使 知 吾 人 見 
ZH_X14_0295_001:0628a16	性。原自不迷。乃吾常住不還之主人。而彼前塵	001	性  原 自 不 迷  乃 吾 常 住 不 還 之 主 人  而 彼 前 塵 
ZH_X14_0295_001:0628a17	分別影事。去則不留。不可認以為真故。嘗喻之。	001	分 別 影 事  去 則 不 留  不 可 認 以 為 真 故  嘗 喻 之  
ZH_X14_0295_001:0628a18	見如鏡體。物如影事。物去而鏡體常明。未見有	001	見 如 鏡 體  物 如 影 事  物 去 而 鏡 體 常 明  未 見 有 
ZH_X14_0295_001:0628a19	變滅者。	001	變 滅 者  
ZH_X14_0295_001:0628a20	爾時阿難在大眾中(至)失汝元常故受輪轉。	001	爾 時 阿 難 在 大 眾 中  至  失 汝 元 常 故 受 輪 轉  
ZH_X14_0295_001:0628a21	阿難因前徵發。乃知迷妄。於是哀請求詣真際。願	001	阿 難 因 前 徵 發  乃 知 迷 妄  於 是 哀 請 求 詣 真 際  願 
ZH_X14_0295_001:0628a22	示奢摩正路。佛言。一切眾生。無始以來。種種顛倒。	001	示 奢 摩 正 路  佛 言  一 切 眾 生  無 始 以 來  種 種 顛 倒  
ZH_X14_0295_001:0628a23	業種自然。與諸行人。不成正果。皆由不知二種根	001	業 種 自 然  與 諸 行 人  不 成 正 果  皆 由 不 知 二 種 根 
ZH_X14_0295_001:0628a24	本。錯亂修習。云何二種。一者無始生死根本。則汝	001	本  錯 亂 修 習  云 何 二 種  一 者 無始生死 根 本  則 汝 
ZH_X14_0295_001:0628b01	今者用攀緣心。為自性者是。二者無始菩提涅槃	001	今 者 用 攀 緣 心  為 自 性 者 是  二 者 無 始 菩 提 涅 槃 
ZH_X14_0295_001:0628b02	元清淨體。則汝今者識精元明。能生諸緣。所遺失	001	元 清 淨 體  則 汝 今 者 識 精 元 明  能 生 諸 緣  所 遺 失 
ZH_X14_0295_001:0628b03	者是。何謂緣所遺者。是緣生則虗妄想像。顛倒影	001	者 是  何 謂 緣 所 遺 者  是 緣 生 則 虗 妄 想 像  顛 倒 影 
ZH_X14_0295_001:0628b04	事。如人徒見鏡影而忘鏡體。故真性遺失。今當與	001	事  如 人 徒 見 鏡 影 而 忘 鏡 體  故 真 性 遺 失  今 當 與 
ZH_X14_0295_001:0628b05	汝決擇。因舉臂屈指。為光明拳。問阿難見不。阿難	001	汝 決 擇  因 舉 臂 屈 指  為 光 明 拳  問 阿 難 見 不  阿 難 
ZH_X14_0295_001:0628b06	言。我見世尊舉光明拳。耀我心目。佛言。汝將誰見。	001	言  我 見 世 尊 舉 光 明 拳  耀 我 心 目  佛 言  汝 將 誰 見  
ZH_X14_0295_001:0628b07	阿難答言。我將眼見。佛言。汝以眼見。以何為心。當	001	阿 難 答 言  我 將 眼 見  佛 言  汝 以 眼 見  以 何 為 心  當 
ZH_X14_0295_001:0628b08	我拳耀。阿難言。如來現今徵心所在。而我以心推	001	我 拳 耀  阿 難 言  如 來 現 今 徵 心 所 在  而 我 以 心 推 
ZH_X14_0295_001:0628b09	窮尋逐。即能推者。我將為心。佛言。咄哉阿難。此非	001	窮 尋 逐  即 能 推 者  我 將 為 心  佛 言  咄 哉 阿 難  此 非 
ZH_X14_0295_001:0628b10	汝心。阿難矍然自失。白佛言。此非我心。當名何等。	001	汝 心  阿 難 矍 然 自 失  白 佛 言  此 非 我 心  當 名 何 等  
ZH_X14_0295_001:0628b11	佛言。此是前塵虗妄想相。惑汝真性。至於今生。認	001	佛 言  此 是 前 塵 虗 妄 想 相  惑 汝 真 性  至 於 今 生  認 
ZH_X14_0295_001:0628b12	賊為子。失汝元常。故受輪轉。此一提醒已後。節節	001	賊 為 子  失 汝 元 常  故 受 輪 轉  此 一 提 醒 已 後  節 節 
ZH_X14_0295_001:0628b13	緊湊。更宜熟玩。	001	緊 湊  更 宜 熟 玩  
ZH_X14_0295_001:0628b14	阿難白佛言世尊(至)合掌清心佇佛悲誨。	001	阿 難 白 佛 言 世 尊  至  合 掌 清 心 佇 佛 悲 誨  
ZH_X14_0295_001:0628b15	世尊欲令阿難及一切眾生。獲妙明心。得清淨眼。	001	世 尊 欲 令 阿 難 及 一 切 眾 生  獲 妙 明 心  得 清 淨 眼  
ZH_X14_0295_001:0628b16	故上與徵心。此復辯見。承上光明。拳耀心目。設為	001	故 上 與 徵 心  此 復 辯 見  承 上 光 明  拳 耀 心 目  設 為 
ZH_X14_0295_001:0628b17	譬喻而問阿難。若無我手。不成我拳。若無汝眼。不	001	譬 喻 而 問 阿 難  若 無 我 手  不 成 我 拳  若 無 汝 眼  不 
ZH_X14_0295_001:0628b18	成汝見。是義均不。此義本不均。而阿難曰均。佛謂。	001	成 汝 見  是 義 均 不  此 義 本 不 均  而 阿 難 曰 均  佛 謂  
ZH_X14_0295_001:0628b19	是義不然。何以故。若無手人。拳畢竟滅。而無眼人。	001	是 義 不 然  何 以 故  若 無 手 人  拳 畢 竟 滅  而 無 眼 人  
ZH_X14_0295_001:0628b20	見未甞滅也。今舉盲人而問。必言。我今眼前性見	001	見 未 甞 滅 也  今 舉 盲 人 而 問  必 言  我 今 眼 前 性 見 
ZH_X14_0295_001:0628b21	黑暗。以是義觀。前塵自暗。見何虧損。使無眼之忽	001	黑 暗  以 是 義 觀  前 塵 自 暗  見 何 虧 損  使 無 眼 之 忽 
ZH_X14_0295_001:0628b22	得眼光。睹見前塵。作種種色。是名眼見。何異黑暗	001	得 眼 光  睹 見 前 塵  作 種 種 色  是 名 眼 見  何 異 黑 暗 
ZH_X14_0295_001:0628b23	之人。忽得燈光。見種種色。還是眼見。抑是燈見。當	001	之 人  忽 得 燈 光  見 種 種 色  還 是 眼 見  抑 是 燈 見  當 
ZH_X14_0295_001:0628b24	知燈能顯色。能見色者。是眼非燈。以譬眼能見色。	001	知 燈 能 顯 色  能 見 色 者  是 眼 非 燈  以 譬 眼 能 見 色  
ZH_X14_0295_001:0628c01	如是□見者。是心非眼。知見不由眼。而直在心。則	001	如 是  見 者  是 心 非 眼  知 見 不 由 眼  而 直 在 心  則 
ZH_X14_0295_001:0628c02	真悟見性。直超形累。而可以得清淨法眼矣。而阿	001	真 悟 見 性  直 超 形 累  而 可 以 得 清 淨 法 眼 矣  而 阿 
ZH_X14_0295_001:0628c03	難猶未開悟。	001	難 猶 未 開 悟  
ZH_X14_0295_001:0628c04	爾時世尊舒兜羅綿(至)誰為搖動佛言如是。	001	爾 時 世 尊 舒 兜 羅 綿  至  誰 為 搖 動 佛 言 如 是  
ZH_X14_0295_001:0628c05	佛告大眾。我初於塵野苑中。為阿若多五比丘等	001	佛 告 大 眾  我 初 於 塵 野 苑 中  為 阿 若 多 五 比 丘 等 
ZH_X14_0295_001:0628c06	及四眾言。一切眾生。不成菩提及阿羅漢。皆由客	001	及 四 眾 言  一 切 眾 生  不 成 菩 提 及 阿 羅 漢  皆 由 客 
ZH_X14_0295_001:0628c07	塵煩惱所誤。汝等因何開悟得成聖果。憍陳如起	001	塵 煩 惱 所 誤  汝 等 因 何 開 悟 得 成 聖 果  憍 陳 如 起 
ZH_X14_0295_001:0628c08	白佛言。我於大眾。得獨解名。因悟客塵二字。得成	001	白 佛 言  我 於 大 眾  得 獨 解 名  因 悟 客 塵 二 字  得 成 
ZH_X14_0295_001:0628c09	斯果。何謂客塵。譬如行客食宿旅亭。事畢束裝前	001	斯 果  何 謂 客 塵  譬 如 行 客 食 宿 旅 亭  事 畢 束 裝 前 
ZH_X14_0295_001:0628c10	途。不遑安處。若實主人自無攸往。我將以是不住	001	途  不 遑 安 處  若 實 主 人 自 無 攸 往  我 將 以 是 不 住 
ZH_X14_0295_001:0628c11	者。名為客義。住者名為主義。又如清暘升天光入	001	者  名 為 客 義  住 者 名 為 主 義  又 如 清 暘 升 天 光 入 
ZH_X14_0295_001:0628c12	隙中。見有塵相。塵質搖動。虗空寂然。我將以是澄	001	隙 中  見 有 塵 相  塵 質 搖 動  虗 空 寂 然  我 將 以 是 澄 
ZH_X14_0295_001:0628c13	寂者名為空義。若搖動者名為塵義。佛言。如是如	001	寂 者 名 為 空 義  若 搖 動 者 名 為 塵 義  佛 言  如 是 如 
ZH_X14_0295_001:0628c14	是。客喻分別之粗。塵喻俱生之細。然而旅亭之客。	001	是  客 喻 分 別 之 粗  塵 喻 俱 生 之 細  然 而 旅 亭 之 客  
ZH_X14_0295_001:0628c15	遣之則易。幽隙之塵。拂之實難。所以俱生煩惱。必	001	遣 之 則 易  幽 隙 之 塵  拂 之 實 難  所 以 俱 生 煩 惱  必 
ZH_X14_0295_001:0628c16	須五陰盡者。方得蕩絕。詳在十卷。即時如來屈五	001	須 五 陰 盡 者  方 得 蕩 絕  詳 在 十 卷  即 時 如 來 屈 五 
ZH_X14_0295_001:0628c17	輪指。屈已復開。開已又屈。問阿難言。汝今何見。阿	001	輪 指  屈 已 復 開  開 已 又 屈  問 阿 難 言  汝 今 何 見  阿 
ZH_X14_0295_001:0628c18	難言。我見如來手掌眾中開屈。佛言。還是我手開	001	難 言  我 見 如 來 手 掌 眾 中 開 屈  佛 言  還 是 我 手 開 
ZH_X14_0295_001:0628c19	合。抑是汝見開合。阿難言。是如來手。非我見故。佛	001	合  抑 是 汝 見 開 合  阿 難 言  是 如 來 手  非 我 見 故  佛 
ZH_X14_0295_001:0628c20	言。如是如是。初問開合。以明搖動之塵。次問動靜。	001	言  如是如是  初 問 開 合  以 明 搖 動 之 塵  次 問 動 靜  
ZH_X14_0295_001:0628c21	以明不住之客。是知動搖開合。皆在境而不在心。	001	以 明 不 住 之 客  是 知 動 搖 開 合  皆 在 境 而 不 在 心  
ZH_X14_0295_001:0628c22	亦明甚矣。於是世尊舉掌飛光。耀彼阿難。阿難左	001	亦 明 甚 矣  於 是 世 尊 舉 掌 飛 光  耀 彼 阿 難  阿 難 左 
ZH_X14_0295_001:0628c23	右顧盻。頭動不止。佛言。是汝頭動。為汝見動。阿難	001	右 顧 盻  頭 動 不 止  佛 言  是 汝 頭 動  為 汝 見 動  阿 難 
ZH_X14_0295_001:0628c24	言。我頭自動。而我見性尚無有止。誰為動搖。佛言。	001	言  我 頭 自 動  而 我 見 性 尚 無 有 止  誰 為 動 搖  佛 言  
ZH_X14_0295_001:0629a01	如是如是。	001	如是如是  
ZH_X14_0295_001:0629a02	於是如來普告大眾(至)輪迴是中自取輪轉。	001	於 是 如 來 普 告 大 眾  至  輪 迴 是 中 自 取 輪 轉  
ZH_X14_0295_001:0629a03	若復眾生。以動搖者。名之為塵。不住者。名之為客。	001	若 復 眾 生  以 動 搖 者  名 之 為 塵  不 住 者  名 之 為 客  
ZH_X14_0295_001:0629a04	亦已認明。當下討箇分曉。汝觀阿難。頭目動搖。見	001	亦 已 認 明  當 下 討 箇 分 曉  汝 觀 阿 難  頭 目 動 搖  見 
ZH_X14_0295_001:0629a05	自無動。及觀我手。拳自開合。見無卷舒。則彼無動	001	自 無 動  及 觀 我 手  拳 自 開 合  見 無 卷 舒  則 彼 無 動 
ZH_X14_0295_001:0629a06	搖。無卷舒者。是名何物。獨非汝之真性乎。云何眾	001	搖  無 卷 舒 者  是 名 何 物  獨 非 汝 之 真 性 乎  云 何 眾 
ZH_X14_0295_001:0629a07	生以動為身。而不知不動者之非身。以動為境。而	001	生 以 動 為 身  而 不 知 不 動 者 之 非 身  以 動 為 境  而 
ZH_X14_0295_001:0629a08	不知見境者之非見。認物為己。遺失真性。輪迴是	001	不 知 見 境 者 之 非 見  認 物 為 己  遺 失 真 性  輪 迴 是 
ZH_X14_0295_001:0629a09	中。自取輪轉。不亦宜乎。蓋責其認客塵。而遺自性	001	中  自 取 輪 轉  不 亦 宜 乎  蓋 責 其 認 客 塵  而 遺 自 性 
ZH_X14_0295_001:0629a10	也。溫陵曰。心境萬法。皆有本寂之體。自本之外。皆	001	也  溫 陵 曰  心 境 萬 法  皆 有 本 寂 之 體  自 本 之 外  皆 
ZH_X14_0295_001:0629a11	為客塵。如手之開合。頭之動搖。及其止也。本體自	001	為 客 塵  如 手 之 開 合  頭 之 動 搖  及 其 止 也  本 體 自 
ZH_X14_0295_001:0629a12	寂。他無所有。則諸凡妄動。本不可得。而汝眾生以	001	寂  他 無 所 有  則 諸 凡 妄 動  本 不 可 得  而 汝 眾 生 以 
