segmentnr	original	folio	analyzed
ZH_X88_1649_004:0344c16	社主以嫓白蓮故事。茂叔太極圖。其源從陳摶來。摶	004	社 主 以 嫓 白 蓮 故 事  茂 叔 太 極 圖  其 源 從 陳 摶 來  摶 
ZH_X88_1649_004:0344c17	師麻衣。今正易心法。是麻衣涯公之傳。東林總公廣	004	師 麻 衣  今 正 易 心 法  是 麻 衣 涯 公 之 傳  東 林 總 公 廣 
ZH_X88_1649_004:0344c18	之也。總公門公門人弘益有書曰。性理之學實起於	004	之 也  總 公 門 公 門 人 弘 益 有 書 曰  性 理 之 學 實 起 於 
ZH_X88_1649_004:0344c19	東林涯總二師。總以授周子。故劉後村詩云。濂溪學	004	東 林 涯 總 二 師  總 以 授 周 子  故 劉 後 村 詩 云  濂 溪 學 
ZH_X88_1649_004:0344c20	得自高僧。虞伯生亦曰。宋儒惟濂溪康節二公。於佛	004	得 自 高 僧  虞 伯 生 亦 曰  宋 儒 惟 濂 溪 康 節 二 公  於 佛 
ZH_X88_1649_004:0344c21	書早有所得。	004	書 早 有 所 得  
ZH_X88_1649_004:0344c22	秦淮海	004	秦 淮 海 
ZH_X88_1649_004:0344c23	秦觀。字少游一字太虗。少豪雋。強志盛氣。好大而見	004	秦 觀  字 少 游 一 字 太 虗  少 豪 雋  強 志 盛 氣  好 大 而 見 
ZH_X88_1649_004:0344c24	奇。元祐初以薦起。累遷國史編修官。坐蘇軾黨謫監	004	奇  元 祐 初 以 薦 起  累 遷 國 史 編 修 官  坐 蘇 軾 黨 謫 監 
ZH_X88_1649_004:0345a01	青田酒稅。嘗寓僧寺中有詩云。市區収罷魚豚稅。來	004	青 田 酒 稅  嘗 寓 僧 寺 中 有 詩 云  市 區 収 罷 魚 豚 稅  來 
ZH_X88_1649_004:0345a02	與彌陀共一龕。忌者執詩以劾。復以謁告寫佛書為	004	與 彌 陀 共 一 龕  忌 者 執 詩 以 劾  復 以 謁 告 寫 佛 書 為 
ZH_X88_1649_004:0345a03	辠。削秩從郴州。已徙橫州雷州藤州。徽宗朝自藤州	004	辠  削 秩 從 郴 州  已 徙 橫 州 雷 州 藤 州  徽 宗 朝 自 藤 州 
ZH_X88_1649_004:0345a04	召還。出游華光寺。為客道夢中長短句。索水欲飲。水	004	召 還  出 游 華 光 寺  為 客 道 夢 中 長 短 句  索 水 欲 飲  水 
ZH_X88_1649_004:0345a05	至笑視之而卒。夢中之作。有飛雲當面化龍蛇。夭矯	004	至 笑 視 之 而 卒  夢 中 之 作  有 飛 雲 當 面 化 龍 蛇  夭 矯 
ZH_X88_1649_004:0345a06	轉空碧。醉臥古藤陰下。了不知南北。則公之去來。可	004	轉 空 碧  醉 臥 古 藤 陰 下  了 不 知 南 北  則 公 之 去 來  可 
ZH_X88_1649_004:0345a07	謂逍遙無礙矣。曾作五百羅漢記。歷落如畵。有法寶	004	謂 逍 遙 無 礙 矣  曾 作 五 百 羅 漢 記  歷 落 如 畵  有 法 寶 
ZH_X88_1649_004:0345a08	長老贊曰。欲老不老。八反九倒。昔是西菴。今為法寶。	004	長 老 贊 曰  欲 老 不 老  八 反 九 倒  昔 是 西 菴  今 為 法 寶  
ZH_X88_1649_004:0345a09	又建隆和尚銘曰。大因緣。十八年。結跏坐。帶力眠。汝	004	又 建 隆 和 尚 銘 曰  大 因 緣  十 八 年  結 跏 坐  帶 力 眠  汝 
ZH_X88_1649_004:0345a10	鼻孔。未撩天。呼我作。無事禪。其他禪語一一勝妙。	004	鼻 孔  未 撩 天  呼 我 作  無 事 禪  其 他 禪 語 一 一 勝 妙  
ZH_X88_1649_004:0345a11	李伯時	004	李 伯 時 
ZH_X88_1649_004:0345a12	李公麟。字伯時。舒州人。元祐進士。博雅能詩。多識奇	004	李 公 麟  字 伯 時  舒 州 人  元 祐 進 士  博 雅 能 詩  多 識 奇 
ZH_X88_1649_004:0345a13	字。工於畵馬。不減韓幹。秀和尚呵之曰。汝士大夫以	004	字  工 於 畵 馬  不 減 韓 幹  秀 和 尚 呵 之 曰  汝 士 大 夫 以 
ZH_X88_1649_004:0345a14	畵名。矧又畵馬。期人誇以得妙。妙入馬腹中亦足懼。	004	畵 名  矧 又 畵 馬  期 人 誇 以 得 妙  妙 入 馬 腹 中 亦 足 懼  
ZH_X88_1649_004:0345a15	伯時由是絕筆。秀勸畵觀音像以贖過。黃魯直愛作	004	伯 時 由 是 絕 筆  秀 勸 畵 觀 音 像 以 贖 過  黃 魯 直 愛 作 
ZH_X88_1649_004:0345a16	豔辭。人爭傳之。秀呵曰。翰墨之妙甘施此乎。魯直笑	004	豔 辭  人 爭 傳 之  秀 呵 曰  翰 墨 之 妙 甘 施 此 乎  魯 直 笑 
ZH_X88_1649_004:0345a17	曰。又當置我於馬腹中耶。秀曰汝以豔語動天下人。	004	曰  又 當 置 我 於 馬 腹 中 耶  秀 曰 汝 以 豔 語 動 天 下 人  
ZH_X88_1649_004:0345a18	淫心不止。馬腹正恐墮泥犁耳。魯直從是絕不作豔	004	淫 心 不 止  馬 腹 正 恐 墮 泥 犁 耳  魯 直 從 是 絕 不 作 豔 
ZH_X88_1649_004:0345a19	辭。	004	辭  
ZH_X88_1649_004:0345a20	黃魯直	004	黃 魯 直 
ZH_X88_1649_004:0345a21	黃庭堅。字魯直。號山谷。蘇子膽見其詩文。歎其獨立	004	黃 庭 堅  字 魯 直  號 山 谷  蘇 子 膽 見 其 詩 文  歎 其 獨 立 
ZH_X88_1649_004:0345a22	萬物之表。舉進士為著作郎。紹聖間。為章惇蔡京所	004	萬 物 之 表  舉 進 士 為 著 作 郎  紹 聖 間  為 章 惇 蔡 京 所 
ZH_X88_1649_004:0345a23	嫉。謫涪州別駕。嘗參黃龍死心新禪師。有省。在黔時。	004	嫉  謫 涪 州 別 駕  嘗 參 黃 龍 死 心 新 禪 師  有 省  在 黔 時  
ZH_X88_1649_004:0345a24	止酒絕慾。讀大藏經三年。嘗曰。利衰毀譽。稱機若樂。	004	止 酒 絕 慾  讀 大 藏 經 三 年  嘗 曰  利 衰 毀 譽  稱 機 若 樂  
ZH_X88_1649_004:0345b01	此八風於四威儀中未嘗相離。雖古之元聖大智。有	004	此 八 風 於 四 威 儀 中 未 嘗 相 離  雖 古 之 元 聖 大 智  有 
ZH_X88_1649_004:0345b02	立於八風之外者乎。公有發願文曰。我從昔來。因癡	004	立 於 八 風 之 外 者 乎  公 有 發 願 文 曰  我 從 昔 來  因 癡 
ZH_X88_1649_004:0345b03	有愛。飲酒食肉。增長愛渴。入邪見林。不得解脫。今者	004	有 愛  飲 酒 食 肉  增 長 愛 渴  入 邪 見 林  不得解脫  今 者 
ZH_X88_1649_004:0345b04	對佛發大誓願。願從今日盡未來世。不復飲酒。願從	004	對 佛 發 大 誓 願  願 從 今 日 盡 未 來 世  不 復 飲 酒  願 從 
ZH_X88_1649_004:0345b05	今日盡未來世。不復食肉。願我以此盡未來際。根塵	004	今 日 盡 未 來 世  不 復 食 肉  願 我 以 此 盡未來際  根 塵 
ZH_X88_1649_004:0345b06	清淨。具足十忍。不由他教。入一切智。隨順如來。於無	004	清 淨  具 足 十 忍  不 由 他 教  入 一 切 智  隨 順 如 來  於 無 
ZH_X88_1649_004:0345b07	盡眾生中現作佛事。稽首如空。等一痛切。嘗答胡逸	004	盡 眾 生 中 現 作 佛 事  稽 首 如 空  等 一 痛 切  嘗 答 胡 逸 
ZH_X88_1649_004:0345b08	老書云。君遂歸心於禪悅。何慰如之。可試看楞嚴圓	004	老 書 云  君 遂 歸 心 於 禪 悅  何 慰 如 之  可 試 看 楞 嚴 圓 
ZH_X88_1649_004:0345b09	覺二經反觀自己。是何道理。既為大丈夫。須辦大丈	004	覺 二 經 反 觀 自 己  是 何 道 理  既 為 大 丈 夫  須 辦 大 丈 
ZH_X88_1649_004:0345b10	夫事耳。又與周才翁云。思公窮悴。守道不渝。盖古人	004	夫 事 耳  又 與 周 才 翁 云  思 公 窮 悴  守 道 不 渝  盖 古 人 
ZH_X88_1649_004:0345b11	所難也。然已知求道於生死之際。則世累目輕。但未	004	所 難 也  然 已 知 求 道 於 生 死 之 際  則 世 累 目 輕  但 未 
ZH_X88_1649_004:0345b12	直下撥塵見己耳。投子聰禪師。海會演禪師。道行高	004	直 下 撥 塵 見 己 耳  投 子 聰 禪 師  海 會 演 禪 師  道 行 高 
ZH_X88_1649_004:0345b13	重。皆可親近。若從文章之士。學妄言綺語。只增無明	004	重  皆 可 親 近  若 從 文 章 之 士  學 妄 言 綺 語  只 增 無 明 
ZH_X88_1649_004:0345b14	種子也。	004	種 子 也  
ZH_X88_1649_004:0345b15	吳德夫	004	吳 德 夫 
ZH_X88_1649_004:0345b16	吳恂。字德夫。官至秘書。參晦堂禪師。師曰。平生學解	004	吳 恂  字 德 夫  官 至 秘 書  參 晦 堂 禪 師  師 曰  平 生 學 解 
ZH_X88_1649_004:0345b17	記憶多聞即不問。却問父母未生已前時道將一句	004	記 憶 多 聞 即 不 問  却 問 父 母 未 生 已 前 時 道 將 一 句 
ZH_X88_1649_004:0345b18	來。公擬議。堂以拂子擊之。即領深旨。呈以偈曰。咄這	004	來  公 擬 議  堂 以 拂 子 擊 之  即 領 深 旨  呈 以 偈 曰  咄 這 
ZH_X88_1649_004:0345b19	多知俗漢齩盡古今公案。忽於狼藉堆頭。拾得蜣螂	004	多 知 俗 漢 齩 盡 古 今 公 案  忽 於 狼 藉 堆 頭  拾 得 蜣 螂 
ZH_X88_1649_004:0345b20	糞彈。明明不直分文。萬兩黃金不換。等閑拈出示人。	004	糞 彈  明 明 不 直 分 文  萬 兩 黃 金 不 換  等 閑 拈 出 示 人  
ZH_X88_1649_004:0345b21	止為走盤難看。	004	止 為 走 盤 難 看  
ZH_X88_1649_004:0345b22	江民表	004	江 民 表 
ZH_X88_1649_004:0345b23	江公望。字民表。睦州人。徽宗朝左司諫。時陳祐論曾	004	江 公 望  字 民 表  睦 州 人  徽 宗 朝 左 司 諫  時 陳 祐 論 曾 
ZH_X88_1649_004:0345b24	布罷去。公望入對曰。陛下臨御以來。易三言官。逐十	004	布 罷 去  公 望 入 對 曰  陛 下 臨 御 以 來  易 三 言 官  逐 十 
ZH_X88_1649_004:0345c01	諫臣。非天下所願望也。夫諫臣養之不可不素用之	004	諫 臣  非 天 下 所 願 望 也  夫 諫 臣 養 之 不 可 不 素 用 之 
ZH_X88_1649_004:0345c02	不可不審。聽之不可不詧。去之不可不慎。時以為名	004	不 可 不 審  聽 之 不 可 不 詧  去 之 不 可 不 慎  時 以 為 名 
ZH_X88_1649_004:0345c03	言。後疏劾蔡京坐貶。士論惜之。家居蔬食清修。一無	004	言  後 疏 劾 蔡 京 坐 貶  士 論 惜 之  家 居 蔬 食 清 修  一 無 
ZH_X88_1649_004:0345c04	愛染。嘗著菩提文。念佛方便文以勸道俗。又嘗書於	004	愛 染  嘗 著 菩 提 文  念 佛 方 便 文 以 勸 道 俗  又 嘗 書 於 
ZH_X88_1649_004:0345c05	家塾曰。利根之人。念念不生心心無所。六根杳寂。諸	004	家 塾 曰  利 根 之 人  念 念 不 生 心 心 無 所  六 根 杳 寂  諸 
ZH_X88_1649_004:0345c06	識銷落。法法全真。門門絕待。瞥爾遂成。真如實觀。初	004	識 銷 落  法 法 全 真  門 門 絕 待  瞥 爾 遂 成  真 如 實 觀  初 
ZH_X88_1649_004:0345c07	機後學。一心攝念如來。即使營辦家事。種種作務。亦	004	機 後 學  一 心 攝 念 如 來  即 使 營 辦 家 事  種 種 作 務  亦 
ZH_X88_1649_004:0345c08	自不相妨礙。若能都攝六根。淨念相繼。不過旬日。便	004	自 不 相 妨 礙  若 能 都 攝 六 根  淨 念 相 繼  不 過 旬 日  便 
ZH_X88_1649_004:0345c09	成三昧。是故上根大器。一念直超。平展之流。善觀方	004	成 三 昧  是 故 上 根 大 器  一 念 直 超  平 展 之 流  善 觀 方 
ZH_X88_1649_004:0345c10	便。	004	便  
ZH_X88_1649_004:0345c11	陳忠肅	004	陳 忠 肅 
ZH_X88_1649_004:0345c12	陳瓘。字瑩中。南劍人。少年登上第。性閑雅。與物無競。	004	陳 瓘  字 瑩 中  南 劍 人  少 年 登 上 第  性 閑 雅  與 物 無 競  
ZH_X88_1649_004:0345c13	見人之短未嘗面折。但微示意警之而已。嘗為右司	004	見 人 之 短 未 嘗 面 折  但 微 示 意 警 之 而 已  嘗 為 右 司 
ZH_X88_1649_004:0345c14	諫。極論蔡京蔡卞。連謫通台楚三州。立朝骨鯁。有古	004	諫  極 論 蔡 京 蔡 卞  連 謫 通 台 楚 三 州  立 朝 骨 鯁  有 古 
ZH_X88_1649_004:0345c15	人風烈。卒諡忠肅。自號了翁。公初尚雜華。頗有所詣。	004	人 風 烈  卒 諡 忠 肅  自 號 了 翁  公 初 尚 雜 華  頗 有 所 詣  
ZH_X88_1649_004:0345c16	及會明智法師。叩天台宗旨。明智示以止觀上根。不	004	及 會 明 智 法 師  叩 天 台 宗 旨  明 智 示 以 止 觀 上 根  不 
ZH_X88_1649_004:0345c17	思議境。以性奪修。成無作行。忽有契悟其謫居海上。	004	思 議 境  以 性 奪 修  成 無 作 行  忽 有 契 悟 其 謫 居 海 上  
ZH_X88_1649_004:0345c18	未嘗有不滿意。惟尅念西歸。會作延慶寺淨土院記。	004	未 嘗 有 不 滿 意  惟 尅 念 西 歸  會 作 延 慶 寺 淨 土 院 記  
ZH_X88_1649_004:0345c19	又嘗謁靈源清公。執聞見以求解會。清公曰。執解為	004	又 嘗 謁 靈 源 清 公  執 聞 見 以 求 解 會  清 公 曰  執 解 為 
ZH_X88_1649_004:0345c20	宗。何日偶諧。公乃開悟。寄師偈曰。書堂兀兀萬幾休。	004	宗  何 日 偶 諧  公 乃 開 悟  寄 師 偈 曰  書 堂 兀 兀 萬 幾 休  
ZH_X88_1649_004:0345c21	日暖風柔草木幽。誰識二千年底事。如今只在眼睛	004	日 暖 風 柔 草 木 幽  誰 識 二 千 年 底 事  如 今 只 在 眼 睛 
ZH_X88_1649_004:0345c22	頭。	004	頭  
ZH_X88_1649_004:0345c23	李漢老	004	李 漢 老 
ZH_X88_1649_004:0345c24	李邴。字漢老。濟州任城人。崇寧中官翰林學士。後拜	004	李 邴  字 漢 老  濟 州 任 城 人  崇 寧 中 官 翰 林 學 士  後 拜 
ZH_X88_1649_004:0346a01	參知政事。諡文敏。有草堂集一百卷。公浮游塵外。心	004	參 知 政 事  諡 文 敏  有 草 堂 集 一 百 卷  公 浮 游 塵 外  心 
ZH_X88_1649_004:0346a02	醉祖。道有年。聞大慧示眾語曰。庭前栢樹子。今日重	004	醉 祖  道 有 年  聞 大 慧 示 眾 語 曰  庭 前 栢 樹 子  今 日 重 
ZH_X88_1649_004:0346a03	新舉。打破趙州關。特地尋言語。敢問既是打破趙州	004	新 舉  打 破 趙 州 關  特 地 尋 言 語  敢 問 既 是 打 破 趙 州 
ZH_X88_1649_004:0346a04	關。為甚麼却特地尋言語。後以書咨決曰。近扣籌室。	004	關  為 甚 麼 却 特 地 尋 言 語  後 以 書 咨 決 曰  近 扣 籌 室  
ZH_X88_1649_004:0346a05	伏蒙激發。忽有省入。顧惟根識暗鈍。平生學解盡落	004	伏 蒙 激 發  忽 有 省 入  顧 惟 根 識 暗 鈍  平 生 學 解 盡 落 
ZH_X88_1649_004:0346a06	情見。一取一捨。如衣壞絮行草棘中。適自纏擾。今一	004	情 見  一 取 一 捨  如 衣 壞 絮 行 草 棘 中  適 自 纏 擾  今 一 
ZH_X88_1649_004:0346a07	笑頓釋所疑。欣幸可量又書曰。比蒙誨答備悉深旨。	004	笑 頓 釋 所 疑  欣 幸 可 量 又 書 曰  比 蒙 誨 答 備 悉 深 旨  
ZH_X88_1649_004:0346a08	邴自驗者三。一事無逆順。隨緣即應。不留胸中。二宿	004	邴 自 驗 者 三  一 事 無 逆 順  隨 緣 即 應  不 留 胸 中  二 宿 
ZH_X88_1649_004:0346a09	習濃厚。不加排遣。自爾輕微。三古人公案。舊所茫然。	004	習 濃 厚  不 加 排 遣  自 爾 輕 微  三 古 人 公 案  舊 所 茫 然  
ZH_X88_1649_004:0346a10	時復瞥地。非大宗匠委曲垂慈。何以致此。	004	時 復 瞥 地  非 大 宗 匠 委 曲 垂 慈  何 以 致 此  
ZH_X88_1649_004:0346a11	韓子蒼	004	韓 子 蒼 
ZH_X88_1649_004:0346a12	韓駒。字子蒼。政和中進士。從學於蘇轍。評其詩似儲	004	韓 駒  字 子 蒼  政 和 中 進 士  從 學 於 蘇 轍  評 其 詩 似 儲 
ZH_X88_1649_004:0346a13	光義。盖江西詩派之一也。嘗問道於草堂清禪師云。	004	光 義  盖 江 西 詩 派 之 一 也  嘗 問 道 於 草 堂 清 禪 師 云  
ZH_X88_1649_004:0346a14	近聞傳燈。頗合於心。但世緣未易消釋。須有切要明	004	近 聞 傳 燈  頗 合 於 心  但 世 緣 未 易 消 釋  須 有 切 要 明 
ZH_X88_1649_004:0346a15	心處。毋吝指教。清答云。欲究此事。善惡二途皆勿萌	004	心 處  毋 吝 指 教  清 答 云  欲 究 此 事  善 惡 二 途 皆 勿 萌 
ZH_X88_1649_004:0346a16	於心。能障人皆智眼。文字亦不必多看。塞自悟之門。	004	於 心  能 障 人 皆 智 眼  文 字 亦 不 必 多 看  塞 自 悟 之 門  
ZH_X88_1649_004:0346a17	子蒼得旨乃述意云。鍾鼎山林無二致。閒中意趣靜	004	子 蒼 得 旨 乃 述 意 云  鍾 鼎 山 林 無 二 致  閒 中 意 趣 靜 
ZH_X88_1649_004:0346a18	中身。都將聞見歸空照。養性存心不問人。	004	中 身  都 將 聞 見 歸 空 照  養 性 存 心 不 問 人  
ZH_X88_1649_004:0346a19	呂居仁	004	呂 居 仁 
ZH_X88_1649_004:0346a20	呂本中。字居仁。宣和中為樞密院編修官。兼侍講。卒	004	呂 本 中  字 居 仁  宣 和 中 為 樞 密 院 編 修 官  兼 侍 講  卒 
ZH_X88_1649_004:0346a21	諡文清。居仁性清約。以躭禪而病。癯癯不勝衣。作江	004	諡 文 清  居 仁 性 清 約  以 躭 禪 而 病  癯 癯 不 勝 衣  作 江 
ZH_X88_1649_004:0346a22	西傳衣詩派圖。推山谷為詩祖。列陳無己等二十五	004	西 傳 衣 詩 派 圖  推 山 谷 為 詩 祖  列 陳 無 己 等 二 十 五 
ZH_X88_1649_004:0346a23	人為法嗣。甞致書問大慧禪要。慧答書曰。千疑萬疑	004	人 為 法 嗣  甞 致 書 問 大 慧 禪 要  慧 答 書 曰  千 疑 萬 疑 
ZH_X88_1649_004:0346a24	只是一疑。話頭上疑破。則千疑萬疑一時破。若一向	004	只 是 一 疑  話 頭 上 疑 破  則 千 疑 萬 疑 一 時 破  若 一 向 
ZH_X88_1649_004:0346b01	問人佛語如何。祖語又如何。諸方老宿語又如何。永	004	問 人 佛 語 如 何  祖 語 又 如 何  諸 方 老 宿 語 又 如 何  永 
ZH_X88_1649_004:0346b02	劫無悟時也。居仁自是有省。每以前路資糧為念。嘗	004	劫 無 悟 時 也  居 仁 自 是 有 省  每 以 前 路 資 糧 為 念  嘗 
ZH_X88_1649_004:0346b03	有詩云。病知前路資糧少。老覺平生事業非。紹聖丙	004	有 詩 云  病 知 前 路 資 糧 少  老 覺 平 生 事 業 非  紹 聖 丙 
ZH_X88_1649_004:0346b04	寅夏六月。趺坐而逝。考其修蘊。定知稛載而去矣。又	004	寅 夏 六 月  趺 坐 而 逝  考 其 修 蘊  定 知 稛 載 而 去 矣  又 
ZH_X88_1649_004:0346b05	嘗曰。予病不能蔬食。惟有五味爽口之責。作詩自戒。	004	嘗 曰  予 病 不 能 蔬 食  惟 有 五 味 爽 口 之 責  作 詩 自 戒  
ZH_X88_1649_004:0346b06	君不如屈大夫。夕餐但秋菊。又不如顏平原。米盡旦	004	君 不 如 屈 大 夫  夕 餐 但 秋 菊  又 不 如 顏 平 原  米 盡 旦 
ZH_X88_1649_004:0346b07	食粥。雖知舌本欠滋味。頗覺和氣充其腹。癡人涴腥	004	食 粥  雖 知 舌 本 欠 滋 味  頗 覺 和 氣 充 其 腹  癡 人 涴 腥 
ZH_X88_1649_004:0346b08	羶。杯盤眩紅綠。四方采珍異。亦未極所欲。何如野僧	004	羶  杯 盤 眩 紅 綠  四 方 采 珍 異  亦 未 極 所 欲  何 如 野 僧 
ZH_X88_1649_004:0346b09	飯。菜羮下脫粟。竹間新筍大如椽。樹頭老耳肥如肉。	004	飯  菜 羮 下 脫 粟  竹 間 新 筍 大 如 椽  樹 頭 老 耳 肥 如 肉  
ZH_X88_1649_004:0346b10	亦不見蟹躁擾。亦不見牛觳觫。石郎愛惜韭蓱虀。晉	004	亦 不 見 蟹 躁 擾  亦 不 見 牛 觳 觫  石 郎 愛 惜 韭 蓱 虀  晉 
ZH_X88_1649_004:0346b11	侯睥睨熊蹯熟。以此為重輕。與君未為福。	004	侯 睥 睨 熊 蹯 熟  以 此 為 重 輕  與 君 未 為 福  
ZH_X88_1649_004:0346b12	張無盡	004	張 無 盡 
ZH_X88_1649_004:0346b13	張商英。字天覺。號無盡居士。童兒日記萬言趙抃薦	004	張 商 英  字 天 覺  號 無 盡 居 士  童 兒 日 記 萬 言 趙 抃 薦 
ZH_X88_1649_004:0346b14	之。召赴關。袖草茅憂國書以進。徽宗朝拜相。是夕彗	004	之  召 赴 關  袖 草 茅 憂 國 書 以 進  徽 宗 朝 拜 相  是 夕 彗 
ZH_X88_1649_004:0346b15	星滅。久旱大雨。御書商霖二字賜之。公初不信佛。後	004	星 滅  久 旱 大 雨  御 書 商 霖 二 字 賜 之  公 初 不 信 佛  後 
ZH_X88_1649_004:0346b16	見維摩經信手開視。有云此病非大地。亦不離大地。	004	見 維 摩 經 信 手 開 視  有 云 此 病 非 大 地  亦 不 離 大 地  
ZH_X88_1649_004:0346b17	倐然會心。後漕江西。見兜率悅禪師相與夜話。公曰。	004	倐 然 會 心  後 漕 江 西  見 兜 率 悅 禪 師 相 與 夜 話  公 曰  
ZH_X88_1649_004:0346b18	比看傳燈尊宿機緣。惟疑德山托鉢話。悅曰若疑此	004	比 看 傳 燈 尊 宿 機 緣  惟 疑 德 山 托 鉢 話  悅 曰 若 疑 此 
ZH_X88_1649_004:0346b19	話。其餘即是心思意解。何曾至大安樂境界。公憤然	004	話  其 餘 即 是 心 思 意 解  何 曾 至 大 安 樂 境 界  公 憤 然 
ZH_X88_1649_004:0346b20	就榻屢起。夜將五皷。不覺踢飜溺器。忽大有省發。即	004	就 榻 屢 起  夜 將 五 皷  不 覺 踢 飜 溺 器  忽 大 有 省 發  即 
ZH_X88_1649_004:0346b21	扣悅門謂悅曰。已捉得賊了也。悅曰。贓在何處。公擬	004	扣 悅 門 謂 悅 曰  已 捉 得 賊 了 也  悅 曰  贓 在 何 處  公 擬 
ZH_X88_1649_004:0346b22	議。悅曰都運且寢。翌日公投偈曰。皷寂鐘沉托鉢回。	004	議  悅 曰 都 運 且 寢  翌 日 公 投 偈 曰  皷 寂 鐘 沉 托 鉢 回  
ZH_X88_1649_004:0346b23	巖頭一拶語如雷。果然只得三年活。莫是遭他授記	004	巖 頭 一 拶 語 如 雷  果 然 只 得 三 年 活  莫 是 遭 他 授 記 
ZH_X88_1649_004:0346b24	來。悅於是焚香付囑曰。等閒行處。步步皆如。雖居聲	004	來  悅 於 是 焚 香 付 囑 曰  等 閒 行 處  步 步 皆 如  雖 居 聲 
ZH_X88_1649_004:0346c01	色。寧滯有無一心靡異。萬法非殊。臨機不礙。應物無	004	色  寧 滯 有 無 一 心 靡 異  萬 法 非 殊  臨 機 不 礙  應 物 無 
ZH_X88_1649_004:0346c02	拘。飜身魔界。轉脚迷途。了無逆順。不犯工夫。未幾悅	004	拘  飜 身 魔 界  轉 脚 迷 途  了 無 逆 順  不 犯 工 夫  未 幾 悅 
ZH_X88_1649_004:0346c03	入滅。公奏諡號真寂。宣和四年十一月黎明。公卒。口	004	入 滅  公 奏 諡 號 真 寂  宣 和 四 年 十 一 月 黎 明  公 卒  口 
ZH_X88_1649_004:0346c04	占遺表命弟子書之。仍作偈曰。幻質朝章八十一。漚	004	占 遺 表 命 弟 子 書 之  仍 作 偈 曰  幻 質 朝 章 八 十 一  漚 
ZH_X88_1649_004:0346c05	生漚滅誰人識。撞破虗空歸去來。鐵牛入海無消息。	004	生 漚 滅 誰 人 識  撞 破 虗 空 歸 去 來  鐵 牛 入 海 無 消 息  
ZH_X88_1649_004:0346c06	趙郡王	004	趙 郡 王 
