segmentnr	original	folio	analyzed
ZH_X88_1645_001:0107b07	欲出世為人。爭奈龍天。弗肯尋住鼎湖方丈。遂令聲	001	欲 出 世 為 人  爭 奈 龍 天  弗 肯 尋 住 鼎 湖 方 丈  遂 令 聲 
ZH_X88_1645_001:0107b08	價難醻然。卒不樂久居。旋臥象林深處。意謂。靈山會	001	價 難 醻 然  卒 不 樂 久 居  旋 臥 象 林 深 處  意 謂  靈 山 會 
ZH_X88_1645_001:0107b09	上。笑拈花者。不過一人。丁此末法時。中棒投機者。屈	001	上  笑 拈 花 者  不 過 一 人  丁 此 末 法 時  中 棒 投 機 者  屈 
ZH_X88_1645_001:0107b10	寧多指。矧諸方既富煉凡大冶爐。火方紅。我這裡不	001	寧 多 指  矧 諸 方 既 富 煉 凡 大 冶 爐  火 方 紅  我 這 裡 不 
ZH_X88_1645_001:0107b11	妨退步潛身。煙霞共老。與其一期說法。度有限之眾	001	妨 退 步 潛 身  煙 霞 共 老  與 其 一 期 說 法  度 有 限 之 眾 
ZH_X88_1645_001:0107b12	生。孰若多著要書。利無窮之後。學于是。始從韶石。終	001	生  孰 若 多 著 要 書  利 無 窮 之 後  學 于 是  始 從 韶 石  終 
ZH_X88_1645_001:0107b13	至象林。中間五十幾白。奚啻億萬餘言。龍也何幸受	001	至 象 林  中 間 五 十 幾 白  奚 啻 億 萬 餘 言  龍 也 何 幸 受 
ZH_X88_1645_001:0107b14	益良多。獨恨鈍根少領玄趣。然最愛其六道一集。痛	001	益 良 多  獨 恨 鈍 根 少 領 玄 趣  然 最 愛 其 六 道 一 集  痛 
ZH_X88_1645_001:0107b15	醒羣蒙。夫影必隨形。谷必畣響。種瓜不得豆。結果定	001	醒 羣 蒙  夫 影 必 隨 形  谷 必 畣 響  種 瓜 不 得 豆  結 果 定 
ZH_X88_1645_001:0107b16	從因。此理勢之所必然。然俗漢恬不之覺。和尚不舍	001	從 因  此 理 勢 之 所 必 然  然 俗 漢 恬 不 之 覺  和 尚 不 舍 
ZH_X88_1645_001:0107b17	慈悲。悲夫。眾迷於六道。輪迴靡艾也。猛然拈出示之。	001	慈 悲  悲 夫  眾 迷 於 六 道  輪 迴 靡 艾 也  猛 然 拈 出 示 之  
ZH_X88_1645_001:0107b18	昭昭然如揭日月而行。無幽不燭。普使人人。深知報	001	昭 昭 然 如 揭 日 月 而 行  無 幽 不 燭  普 使 人 人  深 知 報 
ZH_X88_1645_001:0107b19	應不爽。因果無差。皆能回光返照。各辦前程者。功不	001	應 不 爽  因 果 無 差  皆 能 回 光 返 照  各 辦 前 程 者  功 不 
ZH_X88_1645_001:0107b20	在菩薩下也。龍敢不服膺拳拳乎。僅再拜颺言。而序	001	在 菩 薩 下 也  龍 敢 不 服 膺 拳 拳 乎  僅 再 拜 颺 言  而 序 
ZH_X88_1645_001:0107b21	其上。　旹	001	其 上   旹 
ZH_X88_1645_001:0107b22	康熈二十一年壬戌東莞弟子李龍標頓首拜題	001	康 熈 二 十 一 年 壬 戌 東 莞 弟 子 李 龍 標 頓 首 拜 題 
ZH_X88_1645_001:0107c05	六道集總目	001	六 道 集 總 目 
ZH_X88_1645_001:0107c06	卷一	001	卷 一 
ZH_X88_1645_001:0107c07	天道	001	天 道 
ZH_X88_1645_001:0107c08	卷二	001	卷 二 
ZH_X88_1645_001:0107c09	人道阿修羅道	001	人 道 阿修羅道 
ZH_X88_1645_001:0107c10	卷三	001	卷 三 
ZH_X88_1645_001:0107c11	鬼神道	001	鬼 神 道 
ZH_X88_1645_001:0107c12	卷四	001	卷 四 
ZH_X88_1645_001:0107c13	畜生道地獄道	001	畜 生 道 地 獄 道 
ZH_X88_1645_001:0107c14	卷五	001	卷 五 
ZH_X88_1645_001:0107c15	地獄道之餘	001	地 獄 道 之 餘 
ZH_X88_1645_001:0107c18	六道集目錄	001	六 道 集 目 錄 
ZH_X88_1645_001:0107c20	卷一	001	卷 一 
ZH_X88_1645_001:0107c21	天道	001	天 道 
ZH_X88_1645_001:0107c22	述言述諸經文法句喻經	001	述 言 述 諸 經 文 法 句 喻 經 
ZH_X88_1645_001:0107c23	天竺(無著菩薩)孫稚董青建	001	天 竺  無 著 菩 薩  孫 稚 董 青 建 
ZH_X88_1645_001:0107c24	歷陽(張應)襄陽(史世光)江陵(釋黃遷)	001	歷 陽  張 應  襄 陽  史 世 光  江 陵  釋 黃 遷  
ZH_X88_1645_001:0108a01	酒泉郡(伯裘)武帝妃(郗氏)蜀郡(沙門慧韶)	001	酒 泉 郡  伯 裘  武 帝 妃  郗 氏  蜀 郡  沙 門 慧 韶  
ZH_X88_1645_001:0108a02	中天竺(沙門勒那)湘州(釋玄景)潞州(辛彥之)	001	中 天 竺  沙 門 勒 那  湘 州  釋 玄 景  潞 州  辛 彥 之  
ZH_X88_1645_001:0108a03	海東(玄光禪師)京師(子鄰法師)壽州(玄宗禪師)	001	海 東  玄 光 禪 師  京 師  子 鄰 法 師  壽 州  玄 宗 禪 師  
ZH_X88_1645_001:0108a04	長安(道宣律師)嵩山(破竈墮和尚)循州(北山神)	001	長 安  道 宣 律 師  嵩 山  破 竈 墮 和 尚  循 州  北 山 神  
ZH_X88_1645_001:0108a05	于闐國(沙彌)廣州(陳公孺)	001	于 闐 國  沙 彌  廣 州  陳 公 孺  
ZH_X88_1645_001:0108a07	卷二	001	卷 二 
ZH_X88_1645_001:0108a08	人道	001	人 道 
ZH_X88_1645_001:0108a09	述諸經文三教平心論正見經	001	述 諸 經 文 三 教 平 心 論 正 見 經 
ZH_X88_1645_001:0108a10	轉輪五道經優婆塞戒經二教論	001	轉 輪 五 道 經 優婆塞戒 經 二 教 論 
ZH_X88_1645_001:0108a11	五王經善見律雜事律	001	五 王 經 善 見 律 雜 事 律 
ZH_X88_1645_001:0108a12	舊雜譬喻經法句喻經經律云	001	舊 雜 譬 喻 經 法 句 喻 經 經 律 云 
ZH_X88_1645_001:0108a13	賢愚經度狗經天竺蝙蝠	001	賢 愚 經 度 狗 經 天 竺 蝙 蝠 
ZH_X88_1645_001:0108a14	泰山(羊祐)瑯琊(王練)吳興(向靖)	001	泰 山  羊 祐  瑯 琊  王 練  吳 興  向 靖  
ZH_X88_1645_001:0108a15	餘杭(曇翼)宋武帝崑崙山(曇諦法師)	001	餘 杭  曇 翼  宋 武 帝 崑 崙 山  曇 諦 法 師  
ZH_X88_1645_001:0108a16	北代(乘禪師)趙州(雌雉)宣帝	001	北 代  乘 禪 師  趙 州  雌 雉  宣 帝 
ZH_X88_1645_001:0108a17	元帝博陵(崔彥武)太山(客僧)	001	元 帝 博 陵  崔 彥 武  太 山  客 僧  
ZH_X88_1645_001:0108a18	徐陵(智威禪師)天台(智環)汾州(劉善經母)	001	徐 陵  智 威 禪 師  天 台  智 環  汾 州  劉 善 經 母  
ZH_X88_1645_001:0108a19	湘州(趙宗孫)蘄州(五祖)并州(二鴿兒)	001	湘 州  趙 宗 孫  蘄 州  五 祖  并 州  二 鴿 兒  
ZH_X88_1645_001:0108a20	莊惠太子登州(鶴喙女)沙門(釋牛雲)	001	莊 惠 太 子 登 州  鶴 喙 女  沙 門  釋 牛 雲  
ZH_X88_1645_001:0108a21	回向寺(釋法秀)壽州(毛賴債)興元間(韋皋)	001	回 向 寺  釋 法 秀  壽 州  毛 賴 債  興 元 間  韋 皋  
ZH_X88_1645_001:0108a22	龍懷寺(曇相法師)衡嶽寺(知辯法師)東都(沙門圓澤)	001	龍 懷 寺  曇 相 法 師  衡 嶽 寺  知 辯 法 師  東 都  沙 門 圓 澤  
ZH_X88_1645_001:0108a23	吳郡(齊君佐)宋仁宗滁州(張方平)	001	吳 郡  齊 君 佐  宋 仁 宗 滁 州  張 方 平  
ZH_X88_1645_001:0108a24	公亮東坡山谷	001	公 亮 東 坡 山 谷 
ZH_X88_1645_001:0108b01	燕都(僧福安)紹興(釋大同)浙江(管春)	001	燕 都  僧 福 安  紹 興  釋 大 同  浙 江  管 春  
ZH_X88_1645_001:0108b02	羅定州(東安縣令)惠州(韓耳叔)湖廣(雉兒)	001	羅 定 州  東 安 縣 令  惠 州  韓 耳 叔  湖 廣  雉 兒  
ZH_X88_1645_001:0108b03	潮州(篐桶翁)譚景升(南唐邊鎬南宋高宗)	001	潮 州  篐 桶 翁  譚 景 升  南 唐 邊 鎬 南 宋 高 宗  
ZH_X88_1645_001:0108b04	阿修羅道	001	阿修羅道 
ZH_X88_1645_001:0108b05	集諸經文清辯論師娶修羅女	001	集 諸 經 文 清 辯 論 師 娶 修 羅 女 
ZH_X88_1645_001:0108b06	大頭仙人	001	大 頭 仙 人 
ZH_X88_1645_001:0108b07	卷三	001	卷 三 
ZH_X88_1645_001:0108b08	鬼神道	001	鬼 神 道 
ZH_X88_1645_001:0108b09	釋名牟子天地本起經	001	釋 名 牟 子 天 地 本 起 經 
ZH_X88_1645_001:0108b10	順正理論正法念經雒陽(安世高)	001	順 正 理 論 正 法 念 經 雒 陽  安 世 高  
ZH_X88_1645_001:0108b11	交趾(何敞)阿登河陰(曇遼)	001	交 趾  何 敞  阿 登 河 陰  曇 遼  
ZH_X88_1645_001:0108b12	太山(法相法師)陳國(袁無忌)長安(慧嵬禪師)	001	太 山  法 相 法 師  陳 國  袁 無 忌  長 安  慧 嵬 禪 師  
ZH_X88_1645_001:0108b13	廬山(曇邕法師)竺曇遂始豐(曇蘭禪師)	001	廬 山  曇 邕 法 師  竺 曇 遂 始 豐  曇 蘭 禪 師  
ZH_X88_1645_001:0108b14	瑯琊(王凝之妻)淮南(胡茂回)秦主(姚萇)	001	瑯 琊  王 凝 之 妻  淮 南  胡 茂 回  秦 主  姚 萇  
ZH_X88_1645_001:0108b15	高平(李羨奴)河內(司馬文宣)長安(王胡)	001	高 平  李 羨 奴  河 內  司 馬 文 宣  長 安  王 胡  
ZH_X88_1645_001:0108b16	榮陽(鄭鮮之)京師(慧果法師)王文明	001	榮 陽  鄭 鮮 之  京 師  慧 果 法 師  王 文 明 
ZH_X88_1645_001:0108b17	東海(何澹之)張乙襄城(李頤)	001	東 海  何 澹 之  張 乙 襄 城  李 頤  
ZH_X88_1645_001:0108b18	會稽(弘明法師)靈苑(曇超禪師)楊州(道昶)	001	會 稽  弘 明 法 師  靈 苑  曇 超 禪 師  楊 州  道 昶  
ZH_X88_1645_001:0108b19	南陽(宋定伯)瑯琊(法度法師)汾州(釋曇鸞)	001	南 陽  宋 定 伯  瑯 琊  法 度 法 師  汾 州  釋 曇 鸞  
ZH_X88_1645_001:0108b20	河南(王彥偉)趙郡(眭仁蒨)濩澤縣(李錄事)	001	河 南  王 彥 偉  趙 郡  眭 仁 蒨  濩 澤 縣  李 錄 事  
ZH_X88_1645_001:0108b21	武帝洛州(任五娘)姚明解	001	武 帝 洛 州  任 五 娘  姚 明 解 
ZH_X88_1645_001:0108b22	博陵(崔軏)京兆(殷安仁)嵩嶽(元珪禪師)	001	博 陵  崔 軏  京 兆  殷 安 仁  嵩 嶽  元 珪 禪 師  
ZH_X88_1645_001:0108b23	高祖(皇帝)徽州(思叔)廣州(張姓)	001	高 祖  皇 帝  徽 州  思 叔  廣 州  張 姓  
ZH_X88_1645_001:0108b24	廣信(能仁寺)廣州(張一鵬)東莞(錢公子)	001	廣 信  能 仁 寺  廣 州  張 一 鵬  東 莞  錢 公 子  
ZH_X88_1645_001:0108c01	廣州(張妙)順德(螺岡仙媛)西湖(真觀法師)	001	廣 州  張 妙  順 德  螺 岡 仙 媛  西 湖  真 觀 法 師  
ZH_X88_1645_001:0108c02	姑蘇(曹魯川)釋法聰唐慧稜	001	姑 蘇  曹 魯 川  釋 法 聰 唐 慧 稜 
ZH_X88_1645_001:0108c03	海昌村	001	海 昌 村 
ZH_X88_1645_001:0108c04	卷四	001	卷 四 
ZH_X88_1645_001:0108c05	畜生道	001	畜 生 道 
ZH_X88_1645_001:0108c06	述名大法炬經(法句喻經)天竺(兒烏)	001	述 名 大 法 炬 經  法 句 喻 經  天 竺  兒 烏  
ZH_X88_1645_001:0108c07	梓潼(杜願男)沙門(攴遁)宜州(皇甫遷)	001	梓 潼  杜 願 男  沙 門  攴 遁  宜 州  皇 甫 遷  
ZH_X88_1645_001:0108c08	楊州(卞公)洛陽(王五戒驢)冀州(耿伏生母)	001	楊 州  卞 公  洛 陽  王 五 戒 驢  冀 州  耿 伏 生 母  
ZH_X88_1645_001:0108c09	京兆(韋慶植女)長安(趙大)文宗(蛤蜊)	001	京 兆  韋 慶 植 女  長 安  趙 大  文 宗  蛤 蜊  
ZH_X88_1645_001:0108c10	京都(王會師母)并州(李信母)汾州(路伯達)	001	京 都  王 會 師 母  并 州  李 信 母  汾 州  路 伯 達  
ZH_X88_1645_001:0108c11	韶州(劉村狗)紹興(婦變猪)廣州(鼈寶)	001	韶 州  劉 村 狗  紹 興  婦 變 猪  廣 州  鼈 寶  
ZH_X88_1645_001:0108c12	錄諸經文順德(馬翁芝)	001	錄 諸 經 文 順 德  馬 翁 芝  
ZH_X88_1645_001:0108c13	地獄道	001	地 獄 道 
ZH_X88_1645_001:0108c14	列名提謂經清河(趙泰)	001	列 名 提 謂 經 清 河  趙 泰  
ZH_X88_1645_001:0108c15	沙門(支法衡)并州(劉薩訶)上虞(唐遵)	001	沙 門  支 法 衡  并 州  劉 薩 訶  上 虞  唐 遵  
ZH_X88_1645_001:0108c16	武昌(程道惠)巴丘縣(舒禮)長安(法祖)	001	武 昌  程 道 惠  巴 丘 縣  舒 禮  長 安  法 祖  
ZH_X88_1645_001:0108c17	石長和廣陵(李旦)益州(釋智達)	001	石 長 和 廣 陵  李 旦  益 州  釋 智 達  
ZH_X88_1645_001:0108c18	多寶寺(釋道志)沙門(僧規)仕人(姓梁)	001	多 寶 寺  釋 道 志  沙 門  僧 規  仕 人  姓 梁  
ZH_X88_1645_001:0108c19	拔虎(監膳儀同)冀州(小兒)京兆(杜祈)	001	拔 虎  監 膳 儀 同  冀 州  小 兒  京 兆  杜 祈  
ZH_X88_1645_001:0108c20	文昌齊州(釋道相)雍州(趙文若)	001	文 昌 齊 州  釋 道 相  雍 州  趙 文 若  
ZH_X88_1645_001:0108c21	京城(釋慧如)雲蓋山(釋守顒)	001	京 城  釋 慧 如  雲 蓋 山  釋 守 顒  
ZH_X88_1645_001:0108c22	卷五	001	卷 五 
ZH_X88_1645_001:0108c23	地獄道	001	地 獄 道 
ZH_X88_1645_001:0108c24	京兆(王明幹)兖州(皇甫氏)陳郡(許氏)	001	京 兆  王 明 幹  兖 州  皇 甫 氏  陳 郡  許 氏  
ZH_X88_1645_001:0109a01	遂州(孔恪)馮翊(李山龍)新羅(國釋順璟)	001	遂 州  孔 恪  馮 翊  李 山 龍  新 羅  國 釋 順 璟  
ZH_X88_1645_001:0109a02	括州(任義方)西京(慧恩法師)遂州(趙文信)	001	括 州  任 義 方  西 京  慧 恩 法 師  遂 州  趙 文 信  
ZH_X88_1645_001:0109a03	河東(柳智感)京師(釋智興)咸陽(梁婦女)	001	河 東  柳 智 感  京 師  釋 智 興  咸 陽  梁 婦 女  
ZH_X88_1645_001:0109a04	武昌(戴天胄)華州(張法義)扶風(傅奕)	001	武 昌  戴 天 胄  華 州  張 法 義  扶 風  傅 奕  
ZH_X88_1645_001:0109a05	魏州(齊士望)曹州(裴則)雍州(楊師操)	001	魏 州  齊 士 望  曹 州  裴 則  雍 州  楊 師 操  
ZH_X88_1645_001:0109a06	博陵(宋行質)隴西(李思一)雍州(程普樂)	001	博 陵  宋 行 質  隴 西  李 思 一  雍 州  程 普 樂  
ZH_X88_1645_001:0109a07	鄭師辯坊州(王懷智)汾州(劉摩兒)	001	鄭 師 辯 坊 州  王 懷 智  汾 州  劉 摩 兒  
ZH_X88_1645_001:0109a08	雍州(高法眼)長安(劉公信)蕭氏(蕭鏗女)	001	雍 州  高 法 眼  長 安  劉 公 信  蕭 氏  蕭 鏗 女  
ZH_X88_1645_001:0109a09	西京(英禪師)汾州(釋惠澄)華陰(鄧元英)	001	西 京  英 禪 師  汾 州  釋 惠 澄  華 陰  鄧 元 英  
ZH_X88_1645_001:0109a10	御史(馮忠)武功(蘇珪妻)江南(高皇帝)	001	御 史  馮 忠  武 功  蘇 珪 妻  江 南  高 皇 帝  
ZH_X88_1645_001:0109a11	世宗六一(毆陽修)贑州(劉須微)	001	世 宗 六 一  毆 陽 修  贑 州  劉 須 微  
ZH_X88_1645_001:0109a12	湖廣(康元度)廣州(蔡等實)韶州(楊舒一)	001	湖 廣  康 元 度  廣 州  蔡 等 實  韶 州  楊 舒 一  
ZH_X88_1645_001:0109a13	盧陵(陳忠赤)廣東(梁子球)廣州(羊城惡婦)	001	盧 陵  陳 忠 赤  廣 東  梁 子 球  廣 州  羊 城 惡 婦  
ZH_X88_1645_001:0109a14	順德縣(李氏)順德(陸業卿)趙定宇	001	順 德 縣  李 氏  順 德  陸 業 卿  趙 定 宇 
ZH_X88_1645_001:0109a15	禮像	001	禮 像 
ZH_X88_1645_001:0109a21	六道集述言	001	六 道 集 述 言 
ZH_X88_1645_001:0109a23	夫三界定位。六道區分。皆由最初一念識心倐起。而	001	夫 三 界 定 位  六 道 區 分  皆 由 最 初 一 念 識 心 倐 起  而 
ZH_X88_1645_001:0109a24	妄想結成有漏之因。故有三世循環。十二緣生。托質	001	妄 想 結 成 有 漏 之 因  故 有 三 世 循 環  十 二 緣 生  托 質 
ZH_X88_1645_001:0109b01	則形分麤細。感報則苦樂殊途。三界六道。莫非生滅。	001	則 形 分 麤 細  感 報 則 苦 樂 殊 途  三 界 六 道  莫 非 生 滅  
ZH_X88_1645_001:0109b02	人間天上。誠為苦本。是故智人啟悟。妙契無生。頓超	001	人 間 天 上  誠 為 苦 本  是 故 智 人 啟 悟  妙 契 無 生  頓 超 
ZH_X88_1645_001:0109b03	三有。踐履十地。息生死之源。處無為之邦。迥脫輪迴。	001	三 有  踐 履 十 地  息 生 死 之 源  處 無 為 之 邦  迥 脫 輪 迴  
ZH_X88_1645_001:0109b04	長辭苦趣。此集之由作也。冀諸智者。知三界之無恒。	001	長 辭 苦 趣  此 集 之 由 作 也  冀 諸 智 者  知 三 界 之 無 恒  
ZH_X88_1645_001:0109b05	識六趣之非久。標志上乘。希求出世。遠劫火之燒然。	001	識 六 趣 之 非 久  標 志 上 乘  希 求 出 世  遠 劫 火 之 燒 然  
ZH_X88_1645_001:0109b06	免淪墜之沉溺。達今生所受之果。仍酬往昔之因。果	001	免 淪 墜 之 沉 溺  達 今 生 所 受 之 果  仍 酬 往 昔 之 因  果 
ZH_X88_1645_001:0109b07	復造因。因移果熟。輪轉六道。往還三界。所謂欲。色。無	001	復 造 因  因 移 果 熟  輪 轉 六 道  往 還 三 界  所 謂 欲  色  無 
ZH_X88_1645_001:0109b08	色界也。下極金剛際。上至他化天。中間六趣雜居。一	001	色 界 也  下 極 金 剛 際  上 至 他 化 天  中 間 六 趣 雜 居  一 
ZH_X88_1645_001:0109b09	切有情。未離貪欲。故名欲界。自梵眾天。上至色究竟	001	切 有 情  未 離 貪 欲  故 名 欲 界  自 梵 眾 天  上 至 色 究 竟 
ZH_X88_1645_001:0109b10	天。此一十八天。雖離欲染。尚有色質。正報身相。如白	001	天  此 一 十 八 天  雖 離 欲 染  尚 有 色 質  正 報 身 相  如 白 
ZH_X88_1645_001:0109b11	銀色。依報宮殿。真金赤色。身光互照。故名色界。自空	001	銀 色  依 報 宮 殿  真 金 赤 色  身 光 互 照  故 名 色 界  自 空 
ZH_X88_1645_001:0109b12	處天。至非非想天。人同碧落。界若虗空。四蘊成身。無	001	處 天  至 非 非 想 天  人 同 碧 落  界 若 虗 空  四 蘊 成 身  無 
ZH_X88_1645_001:0109b13	色蘊故。故名無色界。如斯三界。亦名三有。以其因屬	001	色 蘊 故  故 名 無 色 界  如 斯 三 界  亦 名 三 有  以 其 因 屬 
ZH_X88_1645_001:0109b14	有漏。果係有為。有生有死故也。言六道者。亦名六趣。	001	有 漏  果 係 有 為  有 生 有 死 故 也  言 六 道 者  亦 名 六 趣  
ZH_X88_1645_001:0109b15	趣者名到。謂彼所作善惡業因。道能運到其所趣處。	001	趣 者 名 到  謂 彼 所 作 善 惡 業 因  道 能 運 到 其 所 趣 處  
ZH_X88_1645_001:0109b16	故名為趣。又趣者是歸向義。謂所造之業。歸向人天	001	故 名 為 趣  又 趣 者 是 歸 向 義  謂 所 造 之 業  歸 向 人 天 
ZH_X88_1645_001:0109b17	修羅鬼畜地獄之處。此之界趣。既由識心結成情器	001	修 羅 鬼 畜 地 獄 之 處  此 之 界 趣  既 由 識 心 結 成 情 器 
ZH_X88_1645_001:0109b18	世間。若達心源。情器俱殞。悟本真常。生死斯絕。生死	001	世 間  若 達 心 源  情 器 俱 殞  悟 本 真 常  生 死 斯 絕  生 死 
ZH_X88_1645_001:0109b19	真常。元無二路。祇在當人一念。一念不生。三界六道。	001	真 常  元 無 二 路  祇 在 當 人 一 念  一 念 不 生  三 界 六 道  
ZH_X88_1645_001:0109b20	無投足處矣。	001	無 投 足 處 矣  
ZH_X88_1645_001:0109b21	(情世間者。謂一切有情眾生。皆假五陰和合。眾共而生。各各差別不同。故名情世間。器世間者。謂一切無情世	001	 情 世 間 者  謂 一切有情 眾 生  皆 假 五 陰 和 合  眾 共 而 生  各 各 差 別 不 同  故 名 情 世 間  器 世 間 者  謂 一 切 無 情 世 
ZH_X88_1645_001:0109b22	界。皆假山河大地而成。各各差別不同。故名器世間)。	001	界  皆 假 山 河 大 地 而 成  各 各 差 別 不 同  故 名 器 世 間   
ZH_X88_1645_001:0109b23	康熙己未自恣日寶象林沙門　弘贊　識	001	康 熙 己 未 自 恣 日 寶 象 林 沙 門  弘 贊  識 
ZH_X88_1645_001:0109c06	六道集卷一	001	六 道 集 卷 一 
ZH_X88_1645_001:0109c08	廣州南海寶象林沙門弘贊在犙輯	001	廣 州 南 海 寶 象 林 沙 門 弘 贊 在 犙 輯 
ZH_X88_1645_001:0109c09	天道	001	天 道 
ZH_X88_1645_001:0109c10	梵語提婆。此云天。天者天然清淨光潔。於諸趣中。最	001	梵 語 提 婆  此 云 天  天 者 天 然 清 淨 光 潔  於 諸 趣 中  最 
ZH_X88_1645_001:0109c11	勝最樂。最善最妙。最尊最高。故名為天。苟非最勝之	001	勝 最 樂  最 善 最 妙  最 尊 最 高  故 名 為 天  苟 非 最 勝 之 
ZH_X88_1645_001:0109c12	因。豈生最勝淨潔之處。最勝因者。所謂十善。身三口	001	因  豈 生 最 勝 淨 潔 之 處  最 勝 因 者  所 謂 十 善  身 三 口 
ZH_X88_1645_001:0109c13	四。及意三行。由此三業。防止過非。有順理義。違不善	001	四  及 意 三 行  由 此 三 業  防 止 過 非  有 順 理 義  違 不 善 
ZH_X88_1645_001:0109c14	道。以斯十善。運出五趣。故茲十善戒法。名為天乘。諸	001	道  以 斯 十 善  運 出 五 趣  故 茲 十 善 戒 法  名 為 天 乘  諸 
ZH_X88_1645_001:0109c15	天雖眾。不出三界。曰。欲界。色界。無色界。三界區分。共	001	天 雖 眾  不 出 三 界  曰  欲 界  色 界  無 色 界  三 界 區 分  共 
ZH_X88_1645_001:0109c16	有二十八處。欲界有六。第一從下。上升四萬二千由	001	有 二 十 八 處  欲 界 有 六  第 一 從 下  上 升 四 萬 二 千 由 
ZH_X88_1645_001:0109c17	旬。是四天王天住處。居須彌山半。乃上升之元首。下	001	旬  是 四天王天 住 處  居 須 彌 山 半  乃 上 升 之 元 首  下 
ZH_X88_1645_001:0109c18	界之初天。東方曰持國天王。居須彌山東。白銀埵。城	001	界 之 初 天  東 方 曰 持 國 天 王  居 須 彌 山 東  白 銀 埵  城 
ZH_X88_1645_001:0109c19	名上賢。領乾闥婆。(此云香陰天帝樂神)及毗舍遮。(此云噉精氣鬼)護東	001	名 上 賢  領 乾 闥 婆   此 云 香 陰 天 帝 樂 神  及 毗 舍 遮   此 云 噉 精 氣 鬼  護 東 
ZH_X88_1645_001:0109c20	州人。南方曰增長天王。居須彌山南青琉璃埵。城名	001	州 人  南 方 曰 增 長 天 王  居 須 彌 山 南 青 琉 璃 埵  城 名 
ZH_X88_1645_001:0109c21	善見。領鳩槃茶。(此云壓魅鬼)及薜茘多。(此云餓鬼)護南州人。西	001	善 見  領 鳩 槃 茶   此 云 壓 魅 鬼  及 薜 茘 多   此 云 餓 鬼  護 南 州 人  西 
