segmentnr	original	folio	analyzed
ZH_X15_0301_002:0241b27	孤山曰。性覺妙明。本覺明妙者。萬法體用異稱也	002	孤 山 曰  性 覺 妙 明  本 覺 明 妙 者  萬 法 體 用 異 稱 也 
ZH_X15_0301_002:0241c01	能性一切曰性覺。性覺之妙顯乎明。即自體而出	002	能 性 一 切 曰 性 覺  性 覺 之 妙 顯 乎 明  即 自 體 而 出 
ZH_X15_0301_002:0241c02	見於萬法者也。性之所本。曰本覺。本覺之明。藏乎	002	見 於 萬 法 者 也  性 之 所 本  曰 本 覺  本 覺 之 明  藏 乎 
ZH_X15_0301_002:0241c03	妙。即自用而反冥於一真者也。了斯二義。則體用	002	妙  即 自 用 而 反 冥 於 一 真 者 也  了 斯 二 義  則 體 用 
ZH_X15_0301_002:0241c04	一覺。物我一妙。無復諸相之異矣。	002	一 覺  物 我 一 妙  無 復 諸 相 之 異 矣  
ZH_X15_0301_002:0241c05	佛言汝稱覺明為復性明(至)為覺不明稱為明覺。	002	佛 言 汝 稱 覺 明 為 復 性 明  至  為 覺 不 明 稱 為 明 覺  
ZH_X15_0301_002:0241c06	(溫陵曰。促舉前義問之。定其解惑也。夫汝所謂覺。所	002	 溫 陵 曰  促 舉 前 義 問 之  定 其 解 惑 也  夫 汝 所 謂 覺  所 
ZH_X15_0301_002:0241c07	謂明。意作何解)。	002	謂 明  意 作 何 解   
ZH_X15_0301_002:0241c08	長水曰。為復性本自明。靈然不昧。故稱之為覺邪。	002	長 水 曰  為 復 性 本 自 明  靈 然 不 昧  故 稱 之 為 覺 邪  
ZH_X15_0301_002:0241c09	為復性自不明。用心覺之。故稱之為明覺邪。靈然	002	為 復 性 自 不 明  用 心 覺 之  故 稱 之 為 明 覺 邪  靈 然 
ZH_X15_0301_002:0241c10	不昧者真覺也。用心覺之者妄覺也。	002	不 昧 者 真 覺 也  用 心 覺 之 者 妄 覺 也  
ZH_X15_0301_002:0241c11	富樓那言若此不明名為覺者則無所明。	002	富 樓 那 言 若 此 不 明 名 為 覺 者 則 無 所 明  
ZH_X15_0301_002:0241c12	(補註曰。上文兼舉真妄二覺。以詰富那。性明者真覺	002	 補 註 曰  上 文 兼 舉 真 妄 二 覺  以 詰 富 那  性 明 者 真 覺 
ZH_X15_0301_002:0241c13	也。覺不明者妄覺也。不明即是無明。若謂覺了無明	002	也  覺 不 明 者 妄 覺 也  不 明 即 是 無 明  若 謂 覺 了 無 明 
ZH_X15_0301_002:0241c14	稱為名覺。則有能覺。與所明矣。既有能所。非妄而何)。	002	稱 為 名 覺  則 有 能 覺  與 所 明 矣  既 有 能 所  非 妄 而 何   
ZH_X15_0301_002:0241c15	泐潭曰。富那未解詰意。乃以覺不。明者為是。故此	002	泐 潭 曰  富 那 未 解 詰 意  乃 以 覺 不  明 者 為 是  故 此 
ZH_X15_0301_002:0241c16	答云。若此不明。名為覺者。則無所明。意謂必有所	002	答 云  若 此 不 明  名 為 覺 者  則 無 所 明  意 謂 必 有 所 
ZH_X15_0301_002:0241c17	明。方名為覺。殊不知纔有所明。即墮明覺。無窮妄	002	明  方 名 為 覺  殊 不 知 纔 有 所 明  即 墮 明 覺  無 窮 妄 
ZH_X15_0301_002:0241c18	業。由是而生。故下文云。覺非所明。因明立所。所既	002	業  由 是 而 生  故 下 文 云  覺 非 所 明  因 明 立 所  所 既 
ZH_X15_0301_002:0241c19	妄立生汝妄能。	002	妄 立 生 汝 妄 能  
ZH_X15_0301_002:0241c20	佛言若無所明則無明覺(至)無明又非覺湛明性。	002	佛 言 若 無 所 明 則 無 明 覺  至  無 明 又 非 覺 湛 明 性  
ZH_X15_0301_002:0241c21	(一說覺離能所。故有所非覺。照了諸相。故無所非明。	002	 一 說 覺 離 能 所  故 有 所 非 覺  照 了 諸 相  故 無 所 非 明  
ZH_X15_0301_002:0241c22	若果非明。又不得謂之覺湛明性。當知有所無所。是	002	若 果 非 明  又 不 得 謂 之 覺 湛 明 性  當 知 有 所 無 所  是 
ZH_X15_0301_002:0241c23	明非明。皆為妄度。終非妙明。明妙之真也。此說未妥)。	002	明 非 明  皆 為 妄 度  終 非 妙 明  明 妙 之 真 也  此 說 未 妥   
ZH_X15_0301_002:0241c24	補註曰。若無所明。則無明覺者。如云若得果無所	002	補 註 曰  若 無 所 明  則 無 明 覺 者  如 云 若 得 果 無 所 
ZH_X15_0301_002:0241c25	明。則無明覺矣。豈不幸哉。盖明覺之妄。由所明起	002	明  則 無 明 覺 矣  豈 不 幸 哉  盖 明 覺 之 妄  由 所 明 起 
ZH_X15_0301_002:0241c26	也。孤山曰。有所非覺者。若有所明。則非真覺。以真	002	也  孤 山 曰  有 所 非 覺 者  若 有 所 明  則 非 真 覺  以 真 
ZH_X15_0301_002:0242a01	覺之性離能所故。無所非明者。若無所明。則無妄	002	覺 之 性 離 能 所 故  無 所 非 明 者  若 無 所 明  則 無 妄 
ZH_X15_0301_002:0242a02	明。以因妄明。立能立所故。非明之明。指妄明也。無	002	明  以 因 妄 明  立 能 立 所 故  非 明 之 明  指 妄 明 也  無 
ZH_X15_0301_002:0242a03	明又非覺湛明性者。無明即妄明也。以無覺湛之	002	明 又 非 覺 湛 明 性 者  無 明 即 妄 明 也  以 無 覺 湛 之 
ZH_X15_0301_002:0242a04	真明。故曰無明。	002	真 明  故 曰 無 明  
ZH_X15_0301_002:0242a05	性覺必明妄為明覺。	002	性 覺 必 明 妄 為 明 覺  
ZH_X15_0301_002:0242a06	(一說妙明則真。必明則妄。所以妄為明覺未妥)。	002	 一 說 妙 明 則 真  必 明 則 妄  所 以 妄 為 明 覺 未 妥   
ZH_X15_0301_002:0242a07	吳興曰。本性之覺。必具湛明之性。以不了故。妄為	002	吳 興 曰  本 性 之 覺  必 具 湛 明 之 性  以 不 了 故  妄 為 
ZH_X15_0301_002:0242a08	能明之明所覺之覺。	002	能 明 之 明 所 覺 之 覺  
ZH_X15_0301_002:0242a09	覺非所明因明立所所既妄立生汝妄能。	002	覺 非 所 明 因 明 立 所 所 既 妄 立 生 汝 妄 能  
ZH_X15_0301_002:0242a10	(此一節且指無明也。一說真覺本無能所。因必明故	002	 此 一 節 且 指 無 明 也  一 說 真 覺 本 無 能 所  因 必 明 故 
ZH_X15_0301_002:0242a11	妄見有所究竟。以必明為惡道非也)。	002	妄 見 有 所 究 竟  以 必 明 為 惡 道 非 也   
ZH_X15_0301_002:0242a12	吳興曰。性覺之體。本非所明。但因妄明。對能立所。	002	吳 興 曰  性 覺 之 體  本 非 所 明  但 因 妄 明  對 能 立 所  
ZH_X15_0301_002:0242a13	此即因惑立所見之相也。所見之相既立。能見之	002	此 即 因 惑 立 所 見 之 相 也  所 見 之 相 既 立  能 見 之 
ZH_X15_0301_002:0242a14	相即生。能所同時。前後異說耳。	002	相 即 生  能 所 同 時  前 後 異 說 耳  
ZH_X15_0301_002:0242a15	無同異中熾然成異(至)因此復立無同無異。	002	無 同 異 中 熾 然 成 異  至  因 此 復 立 無 同 無 異  
ZH_X15_0301_002:0242a16	(此一節謂因上無明。而成世界虛空及眾生也)。(吳興	002	 此 一 節 謂 因 上 無 明  而 成 世 界 虛 空 及 眾 生 也    吳 興 
ZH_X15_0301_002:0242a17	曰。此明所立境界。後文虛空為同世界為異者。顯示	002	曰  此 明 所 立 境 界  後 文 虛 空 為 同 世 界 為 異 者  顯 示 
ZH_X15_0301_002:0242a18	其相也)。	002	其 相 也   
ZH_X15_0301_002:0242a19	溫陵曰。能所既立。心境互分。故無同異中。熾然成	002	溫 陵 曰  能 所 既 立  心 境 互 分  故 無 同 異 中  熾 然 成 
ZH_X15_0301_002:0242a20	異。即轉相也。以彼熾然之異為異。復因異相立同。	002	異  即 轉 相 也  以 彼 熾 然 之 異 為 異  復 因 異 相 立 同  
ZH_X15_0301_002:0242a21	又因其有同有異故。復立無同無異。一真體中。本	002	又 因 其 有 同 有 異 故  復 立 無 同 無 異  一 真 體 中  本 
ZH_X15_0301_002:0242a22	無是事。皆由能所對待妄立。	002	無 是 事  皆 由 能 所 對 待 妄 立  
ZH_X15_0301_002:0242a23	如是擾亂相待生勞(至)由是引起塵勞煩惱。	002	如 是 擾 亂 相 待 生 勞  至  由 是 引 起 塵 勞 煩 惱  
ZH_X15_0301_002:0242a24	(此一節躡楞前義。而且隱然示三種之情狀也)。(携李	002	 此 一 節 躡 楞 前 義  而 且 隱 然 示 三 種 之 情 狀 也    携 李 
ZH_X15_0301_002:0242a25	曰。覺明立所。逐起妄情。故於無同異之真空。起熾然	002	曰  覺 明 立 所  逐 起 妄 情  故 於 無 同 異 之 真 空  起 熾 然 
ZH_X15_0301_002:0242a26	之虛妄。既有能所立之分別。復立無同異之是非。相	002	之 虛 妄  既 有 能 所 立 之 分 別  復 立 無 同 異 之 是 非  相 
ZH_X15_0301_002:0242b01	因擾亂。而煩惱勞塵生矣)。	002	因 擾 亂  而 煩 惱 勞 塵 生 矣   
ZH_X15_0301_002:0242b02	吳興曰。指前因明立所動雜真性。故曰擾亂。所既	002	吳 興 曰  指 前 因 明 立 所 動 雜 真 性  故 曰 擾 亂  所 既 
ZH_X15_0301_002:0242b03	妄立。生汝妄能。即相待生勞。無同異中熾然成異	002	妄 立  生 汝 妄 能  即 相 待 生 勞  無 同 異 中 熾 然 成 異 
ZH_X15_0301_002:0242b04	等。即勞久發塵。自相渾濁也。上言勞者。且屬無明。	002	等  即 勞 久 發 塵  自 相 渾 濁 也  上 言 勞 者  且 屬 無 明  
ZH_X15_0301_002:0242b05	下云塵勞。正謂見思煩惱塵。即世界眾生。由世界	002	下 云 塵 勞  正 謂 見 思 煩 惱 塵  即 世 界 眾 生  由 世 界 
ZH_X15_0301_002:0242b06	眾生。而有業果故。復云由是引起塵勞煩惱。	002	眾 生  而 有 業 果 故  復 云 由 是 引 起 塵 勞 煩 惱  
ZH_X15_0301_002:0242b07	起為世界靜成虗空(至)彼無同異真有為法。	002	起 為 世 界 靜 成 虗 空  至  彼 無 同 異 真 有 為 法  
ZH_X15_0301_002:0242b08	(携李曰。此一節乃牒合上異同等義。而顯示三種之	002	 携 李 曰  此 一 節 乃 牒 合 上 異 同 等 義  而 顯 示 三 種 之 
ZH_X15_0301_002:0242b09	名相矣)。	002	名 相 矣   
ZH_X15_0301_002:0242b10	吳興曰。妄覺動。則勞擾發塵。故起為世界。妄覺伏。	002	吳 興 曰  妄 覺 動  則 勞 擾 發 塵  故 起 為 世 界  妄 覺 伏  
ZH_X15_0301_002:0242b11	則頑然冥漠。故靜成虗空。法界一空。曰同情器。萬	002	則 頑 然 冥 漠  故 靜 成 虗 空  法 界 一 空  曰 同 情 器  萬 
ZH_X15_0301_002:0242b12	殊曰異。此乃於無同異中。熾然成異。故曰彼無同	002	殊 曰 異  此 乃 於 無 同 異 中  熾 然 成 異  故 曰 彼 無 同 
ZH_X15_0301_002:0242b13	異。真有為法。	002	異  真 有 為 法  
ZH_X15_0301_002:0242b14	補註曰。此章問答良有以焉。前佛舉地水火風空	002	補 註 曰  此 章 問 答 良 有 以 焉  前 佛 舉 地水火風 空 
ZH_X15_0301_002:0242b15	見識。以該萬法。則世界虗空眾生業果。皆在其中	002	見 識  以 該 萬 法  則 世 界 虗 空 眾 生 業 果  皆 在 其 中 
ZH_X15_0301_002:0242b16	矣。惟其談七大之相。則曰如來藏中。循業發現。談	002	矣  惟 其 談 七 大 之 相  則 曰 如 來 藏 中  循 業 發 現  談 
ZH_X15_0301_002:0242b17	七大之性。則曰周徧圓融。本如來藏富那至是。未	002	七 大 之 性  則 曰 周 徧 圓 融  本 如 來 藏 富 那 至 是  未 
ZH_X15_0301_002:0242b18	達其循發徧融之義。因此二疑。而興二問。問清淨	002	達 其 循 發 徧 融 之 義  因 此 二 疑  而 興 二 問  問 清 淨 
ZH_X15_0301_002:0242b19	本然。即如來藏性也。山河大地。即世界虗空也。諸	002	本 然  即 如 來 藏 性 也  山 河 大 地  即 世 界 虗 空 也  諸 
ZH_X15_0301_002:0242b20	有為相。即眾生及業果也。以其未達循發之義。故	002	有 為 相  即 眾 生 及 業 果 也  以 其 未 達 循 發 之 義  故 
ZH_X15_0301_002:0242b21	曰云何忽生。此四字為要緊問也。如來遂指性覺	002	曰 云 何 忽 生  此 四 字 為 要 緊 問 也  如 來 遂 指 性 覺 
ZH_X15_0301_002:0242b22	之中。妄為明覺者喻之。而斷之曰。因明立所。此四	002	之 中  妄 為 明 覺 者 喻 之  而 斷 之 曰  因 明 立 所  此 四 
ZH_X15_0301_002:0242b23	字為要緊答也。盖明即妄明妄明。即無明也。所即	002	字 為 要 緊 答 也  盖 明 即 妄 明 妄 明  即 無 明 也  所 即 
ZH_X15_0301_002:0242b24	山河大地諸有為相發現之由也。要而言之。因明	002	山 河 大 地 諸 有 為 相 發 現 之 由 也  要 而 言 之  因 明 
ZH_X15_0301_002:0242b25	立所者。即是因無明。而生起世界虗空。眾生業果	002	立 所 者  即 是 因 無 明  而 生 起 世 界 虗 空  眾 生 業 果 
ZH_X15_0301_002:0242c01	也。然則循業發現之疑。云何忽生之問。一答俱銷。	002	也  然 則 循 業 發 現 之 疑  云 何 忽 生 之 問  一 答 俱 銷  
ZH_X15_0301_002:0242c02	不勞餘說立。所以後雖復隱顯發揚。總別開示。特	002	不 勞 餘 說 立  所 以 後 雖 復 隱 顯 發 揚  總 別 開 示  特 
ZH_X15_0301_002:0242c03	不過鋪陳世界眾生業果之說。以終其說耳。然此	002	不 過 鋪 陳 世 界 眾 生 業 果 之 說  以 終 其 說 耳  然 此 
ZH_X15_0301_002:0242c04	猶是總顯。自覺明空昧以後。始別開三節。詳敘三	002	猶 是 總 顯  自 覺 明 空 昧 以 後  始 別 開 三 節  詳 敘 三 
ZH_X15_0301_002:0242c05	種之相續。詳敘既終。復云如是三種。顛倒相續。皆	002	種 之 相 續  詳 敘 既 終  復 云 如 是 三 種  顛 倒 相 續  皆 
ZH_X15_0301_002:0242c06	是覺明。明了知性。因了發相。從妄見生。山河大地	002	是 覺 明  明 了 知 性  因 了 發 相  從 妄 見 生  山 河 大 地 
ZH_X15_0301_002:0242c07	諸有為相。次第遷流。因此虗妄。終而復始者。此又	002	諸 有 為 相  次 第 遷 流  因 此 虗 妄  終 而 復 始 者  此 又 
ZH_X15_0301_002:0242c08	總結一章答意。以牒示之也。第二問答。後文別釋。	002	總 結 一 章 答 意  以 牒 示 之 也  第 二 問 答  後 文 別 釋  
ZH_X15_0301_002:0242c09	覺明空昧相待成搖(至)以是因緣世界相續。	002	覺 明 空 昧 相 待 成 搖  至  以是因緣 世 界 相 續  
ZH_X15_0301_002:0242c10	(孤山曰。四輪持世。其實土輪金輪水輪風輪也。此不	002	 孤 山 曰  四 輪 持 世  其 實 土 輪 金 輪 水 輪 風 輪 也  此 不 
ZH_X15_0301_002:0242c11	言土者。土與金同是堅性俱屬也。大故此但言四大	002	言 土 者  土 與 金 同 是 堅 性 俱 屬 也  大 故 此 但 言 四 大 
ZH_X15_0301_002:0242c12	則已攝四輪矣。然此四大。風金則由妄心而起。水火	002	則 已 攝 四 輪 矣  然 此 四 大  風 金 則 由 妄 心 而 起  水 火 
ZH_X15_0301_002:0242c13	復由風金而起。或曰愛心外感於水者。則違經文。遞	002	復 由 風 金 而 起  或 曰 愛 心 外 感 於 水 者  則 違 經 文  遞 
ZH_X15_0301_002:0242c14	相為種者。如覺明空味相待成搖。為風輪種。因搖立	002	相 為 種 者  如 覺 明 空 味 相 待 成 搖  為 風 輪 種  因 搖 立 
ZH_X15_0301_002:0242c15	礙。為金輪種。風金相摩。為火大種。金火復為水大種	002	礙  為 金 輪 種  風 金 相 摩  為 火 大 種  金 火 復 為 水 大 種 
ZH_X15_0301_002:0242c16	火水又為海洲種。水土復為草木種。應了此諸妄法。	002	火 水 又 為 海 洲 種  水 土 復 為 草 木 種  應 了 此 諸 妄 法  
ZH_X15_0301_002:0242c17	於一真性。如空中華。華處空處本無有異。故觀妄具	002	於 一 真 性  如 空 中 華  華 處 空 處 本 無 有 異  故 觀 妄 具 
ZH_X15_0301_002:0242c18	惟見真具。具無具相。彼此誰名。世界相續既然下二	002	惟 見 真 具  具 無 具 相  彼 此 誰 名  世 界 相 續 既 然 下 二 
ZH_X15_0301_002:0242c19	相續。其旨亦爾)。	002	相 續  其 旨 亦 爾   
ZH_X15_0301_002:0242c20	溫陵曰。萬法自五行變化。五行由妄覺發生。故世	002	溫 陵 曰  萬 法 自 五 行 變 化  五 行 由 妄 覺 發 生  故 世 
ZH_X15_0301_002:0242c21	界起始。肇於覺明。而依乎風金水火。以生成萬物	002	界 起 始  肇 於 覺 明  而 依 乎 風 金 水 火  以 生 成 萬 物 
ZH_X15_0301_002:0242c22	也。真覺妙空。本非明昧。由妄為明覺。遂有昧空。明	002	也  真 覺 妙 空  本 非 明 昧  由 妄 為 明 覺  遂 有 昧 空  明 
ZH_X15_0301_002:0242c23	昧相傾。則不覺心動故曰覺明。空昧相待成搖。故	002	昧 相 傾  則 不 覺 心 動 故 曰 覺 明  空 昧 相 待 成 搖  故 
ZH_X15_0301_002:0242c24	有風輪世界。最下依風輪住。故曰執持世界。因空	002	有 風 輪 世 界  最 下 依 風 輪 住  故 曰 執 持 世 界  因 空 
ZH_X15_0301_002:0242c25	生搖等者。因空昧動念。覺明堅執。而立礙感。金也。	002	生 搖 等 者  因 空 昧 動 念  覺 明 堅 執  而 立 礙 感  金 也  
ZH_X15_0301_002:0242c26	大地最下。依金輪起。故曰保持國土。堅覺寶成等	002	大 地 最 下  依 金 輪 起  故 曰 保 持 國 土  堅 覺 寶 成 等 
ZH_X15_0301_002:0242c27	者。因堅覺妄搖。觸起傾惱而感。火也。內外二界。革	002	者  因 堅 覺 妄 搖  觸 起 傾 惱 而 感  火 也  內 外 二 界  革 
ZH_X15_0301_002:0243a01	生為熟。化有為無。皆火大所變。故曰為變化性。寶	002	生 為 熟  化 有 為 無  皆 火 大 所 變  故 曰 為 變 化 性  寶 
ZH_X15_0301_002:0243a02	明生潤等。者由堅覺生識。而蒸以煩惱。積情發愛	002	明 生 潤 等  者 由 堅 覺 生 識  而 蒸 以 煩 惱  積 情 發 愛 
ZH_X15_0301_002:0243a03	而感。水也。世界居大海內。故曰含十方界。火騰水	002	而 感  水 也  世 界 居 大 海 內  故 曰 含 十 方 界  火 騰 水 
ZH_X15_0301_002:0243a04	降等者。妄覺煩起。妄識橫流。交結立礙而感。土也	002	降 等 者  妄 覺 煩 起  妄 識 橫 流  交 結 立 礙 而 感  土 也 
ZH_X15_0301_002:0243a05	地性堅礙。故曰立堅。其高為山。其深為海。皆土也。	002	地 性 堅 礙  故 曰 立 堅  其 高 為 山  其 深 為 海  皆 土 也  
ZH_X15_0301_002:0243a06	水阜曰洲。沙汀曰潬。諸皆肇於妄覺。感於五行。故	002	水 阜 曰 洲  沙 汀 曰 潬  諸 皆 肇 於 妄 覺  感 於 五 行  故 
ZH_X15_0301_002:0243a07	曰交妄發生。遞相為種也。土水生木。木土生金。金	002	曰 交 妄 發 生  遞 相 為 種 也  土 水 生 木  木 土 生 金  金 
ZH_X15_0301_002:0243a08	木生火。火金生水。水火生土。世界初由覺明發識	002	木 生 火  火 金 生 水  水 火 生 土  世 界 初 由 覺 明 發 識 
ZH_X15_0301_002:0243a09	為水。空昧結色為土。相待成搖。為風為木。即土水	002	為 水  空 昧 結 色 為 土  相 待 成 搖  為 風 為 木  即 土 水 
ZH_X15_0301_002:0243a10	生木也。又因空昧之土。生搖為木。而堅明立礙即	002	生 木 也  又 因 空 昧 之 土  生 搖 為 木  而 堅 明 立 礙 即 
ZH_X15_0301_002:0243a11	木土生金也。餘文甚明。土由水火所生。君子受父	002	木 土 生 金 也  餘 文 甚 明  土 由 水 火 所 生  君 子 受 父 
ZH_X15_0301_002:0243a12	母氣分。故海中火起。潬中水注也。五行以我尅為	002	母 氣 分  故 海 中 火 起  潬 中 水 注 也  五 行 以 我 尅 為 
ZH_X15_0301_002:0243a13	妻夫劣。然後陰陽和而生子。故水劣火為山。土劣	002	妻 夫 劣  然 後 陰 陽 和 而 生 子  故 水 劣 火 為 山  土 劣 
ZH_X15_0301_002:0243a14	水為木。焰融明水火氣分。燒絞明。土水氣分也。此	002	水 為 木  焰 融 明 水 火 氣 分  燒 絞 明  土 水 氣 分 也  此 
ZH_X15_0301_002:0243a15	世界相續之由也。	002	世 界 相 續 之 由 也  
ZH_X15_0301_002:0243a16	(吳興曰。諸有情業增上力。先於最下。依止虛空。有風	002	 吳 興 曰  諸 有 情 業 增 上 力  先 於 最 下  依 止 虛 空  有 風 
ZH_X15_0301_002:0243a17	輪生。風輪上次有水輪。水輪上方有金諸有情業增	002	輪 生  風 輪 上 次 有 水 輪  水 輪 上 方 有 金 諸 有 情 業 增 
ZH_X15_0301_002:0243a18	上功。起大雲雨。澍風輪上。滴如車軸。積水成輪。復有	002	上 功  起 大 雲 雨  澍 風 輪 上  滴 如 車 軸  積 水 成 輪  復 有 
ZH_X15_0301_002:0243a19	別風。搏擊此水。上結成金。此與彼異者。彼約安立世	002	別 風  搏 擊 此 水  上 結 成 金  此 與 彼 異 者  彼 約 安 立 世 
ZH_X15_0301_002:0243a20	界自下升上。以成其次。此約生起世界。由內感外。以	002	界 自 下 升 上  以 成 其 次  此 約 生 起 世 界  由 內 感 外  以 
ZH_X15_0301_002:0243a21	成其次。然大小義別。不須會通)。	002	成 其 次  然 大 小 義 別  不 須 會 通   
ZH_X15_0301_002:0243a22	復次富樓那明妄非他(至)同業相纏合離成化。	002	復 次 富 樓 那 明 妄 非 他  至  同 業 相 纏 合 離 成 化  
ZH_X15_0301_002:0243a23	(孤山曰。今但言所妄既立。即前文云。因明立所由妄	002	 孤 山 曰  今 但 言 所 妄 既 立  即 前 文 云  因 明 立 所 由 妄 
ZH_X15_0301_002:0243a24	明之性。非局而局。故曰明理。不踰聽不出聲等。示不	002	明 之 性  非 局 而 局  故 曰 明 理  不 踰 聽 不 出 聲 等  示 不 
ZH_X15_0301_002:0243a25	喻之相也。下文云。元依一精明分成六和合)。	002	喻 之 相 也  下 文 云  元 依 一 精 明 分 成 六 和 合   
ZH_X15_0301_002:0243a26	吳興曰。明妄即妄明也。非他者。言此妄明之體。更	002	吳 興 曰  明 妄 即 妄 明 也  非 他 者  言 此 妄 明 之 體  更 
ZH_X15_0301_002:0243a27	非他法所成。全是真覺。起於妄明。而為過咎。覺明	002	非 他 法 所 成  全 是 真 覺  起 於 妄 明  而 為 過 咎  覺 明 
ZH_X15_0301_002:0243b01	為咎。所妄既立。遂成隔礙。故明理不踰。故聽見六	002	為 咎  所 妄 既 立  遂 成 隔 礙  故 明 理 不 踰  故 聽 見 六 
ZH_X15_0301_002:0243b02	根。於是妄局。色香六塵。於是妄染。覺知六識。於是	002	根  於 是 妄 局  色 香 六 塵  於 是 妄 染  覺 知 六 識  於 是 
ZH_X15_0301_002:0243b03	妄分。根塵識三。為業性故。發起妄業。於是同業相	002	妄 分  根 塵 識 三  為 業 性 故  發 起 妄 業  於 是 同 業 相 
ZH_X15_0301_002:0243b04	纏。合離成化。此六道四生之始也。同業即胎卵類。	002	纏  合 離 成 化  此 六 道 四 生 之 始 也  同 業 即 胎 卵 類  
ZH_X15_0301_002:0243b05	因父母己三者業同故。相纏著而有生。合離即濕	002	因 父 母 己 三 者 業 同 故  相 纏 著 而 有 生  合 離 即 濕 
ZH_X15_0301_002:0243b06	化類。不由父母。但由己業。或合濕而成形。即蠢蝡	002	化 類  不 由 父 母  但 由 己 業  或 合 濕 而 成 形  即 蠢 蝡 
ZH_X15_0301_002:0243b07	也。或離異而託化。如天獄鬼等類也。	002	也  或 離 異 而 託 化  如 天 獄 鬼 等 類 也  
ZH_X15_0301_002:0243b08	見明色發明見想成異見(至)以是因緣眾生相續。	002	見 明 色 發 明 見 想 成 異 見  至  以是因緣 眾 生 相 續  
ZH_X15_0301_002:0243b09	(孤山曰。妄心見妄境。故云見明色發。即於中陰。見其	002	 孤 山 曰  妄 心 見 妄 境  故 云 見 明 色 發  即 於 中 陰  見 其 
ZH_X15_0301_002:0243b10	父母也。明見想成者。依妄境起惑也。異見謂父是所	002	父 母 也  明 見 想 成 者  依 妄 境 起 惑 也  異 見 謂 父 是 所 
