segmentnr	original	folio	analyzed
ZH_X46_0776_002:0178b21	論曰。云何名為五種非空決定住法。一者離礙非空	002	論 曰  云 何 名 為 五 種 非 空 決 定 住 法  一 者 離 礙 非 空 
ZH_X46_0776_002:0178b22	決定住法(即空。如來藏。依此建立一切諸法俱非位)。二者有實非空決定	002	決 定 住 法  即 空  如 來 藏  依 此 建 立 一切諸法 俱 非 位   二 者 有 實 非 空 決 定 
ZH_X46_0776_002:0178b23	住法(即不空如來藏。依此建立一切諸法俱是位)。三者性火非空決定住	002	住 法  即 不 空 如 來 藏  依 此 建 立 一切諸法 俱 是 位   三 者 性 火 非 空 決 定 住 
ZH_X46_0776_002:0178b24	法(性具功能。觸著即燒。依此建立無餘究竟總持位)。四者今光非空決定住	002	法  性 具 功 能  觸 著 即 燒  依 此 建 立 無 餘 究 竟 總 持 位   四 者 今 光 非 空 決 定 住 
ZH_X46_0776_002:0178c01	法(現前覺照。念劫圓融。依此建立周徧圓滿廣大位)。五者深里出興決定住	002	法  現 前 覺 照  念 劫 圓 融  依 此 建 立 周 徧 圓 滿 廣 大 位   五 者 深 里 出 興 決 定 住 
ZH_X46_0776_002:0178c02	法(破障騰空。甘霖普潤。依此建立無超次第漸轉位)。是名為五。如偈離礙及	002	法  破 障 騰 空  甘 霖 普 潤  依 此 建 立 無 超 次 第 漸 轉 位   是 名 為 五  如 偈 離 礙 及 
ZH_X46_0776_002:0178c03	有實。性火并今光。兼深里出興。地藏大龍王故。如是	002	有 實  性 火 并 今 光  兼 深 里 出 興  地 藏 大 龍 王 故  如 是 
ZH_X46_0776_002:0178c04	五名。五種非空決定住法。不共異轉差別名字。如偈	002	五 名  五 種 非 空 決 定 住 法  不 共 異 轉 差 別 名 字  如 偈 
ZH_X46_0776_002:0178c05	如是五種名。非空不共稱故。云何名為五種無常虗	002	如 是 五 種 名  非 空 不 共 稱 故  云 何 名 為 五 種 無 常 虗 
ZH_X46_0776_002:0178c06	假轉法。一者動起無常虗假轉法。二者止持無常虗	002	假 轉 法  一 者 動 起 無 常 虗 假 轉 法  二 者 止 持 無 常 虗 
ZH_X46_0776_002:0178c07	假轉法。三者易變無常虗假轉法。四者散壞無常虗	002	假 轉 法  三 者 易 變 無 常 虗 假 轉 法  四 者 散 壞 無 常 虗 
ZH_X46_0776_002:0178c08	假轉法。五者大力無常虗假轉法。是名為五。如偈起	002	假 轉 法  五 者 大 力 無 常 虗 假 轉 法  是 名 為 五  如 偈 起 
ZH_X46_0776_002:0178c09	持變壞品。與大力無明故。如是五名。五種無常虗假	002	持 變 壞 品  與 大 力 無 明 故  如 是 五 名  五 種 無 常 虗 假 
ZH_X46_0776_002:0178c10	轉法。不共異轉差別名字。如偈如是五種名。無常不	002	轉 法  不 共 異 轉 差 別 名 字  如 偈 如 是 五 種 名  無 常 不 
ZH_X46_0776_002:0178c11	共稱故。深里大力。如是二法。氣力立門。非取實體。應	002	共 稱 故  深 里 大 力  如 是 二 法  氣 力 立 門  非 取 實 體  應 
ZH_X46_0776_002:0178c12	審觀察(五種非空。分配五位。深里出興。配屬漸轉。大力無明。為障道之本。非深里出興地藏大龍	002	審 觀 察  五 種 非 空  分 配 五 位  深 里 出 興  配 屬 漸 轉  大 力 無 明  為 障 道 之 本  非 深 里 出 興 地 藏 大 龍 
ZH_X46_0776_002:0178c13	王。莫能破之。故於十法後。特提此二。以為對治。二者均有氣力。但虗假轉法。不敵決定住法。故終為所破。而轉	002	王  莫 能 破 之  故 於 十 法 後  特 提 此 二  以 為 對 治  二 者 均 有 氣 力  但 虗 假 轉 法  不 敵 決 定 住 法  故 終 為 所 破  而 轉 
ZH_X46_0776_002:0178c14	染成淨也)。如偈各有第一一。以請氣力故。立門實本攝。如	002	染 成 淨 也   如 偈 各 有 第 一 一  以 請 氣 力 故  立 門 實 本 攝  如 
ZH_X46_0776_002:0178c15	法應觀察故。如是已說建立名字不同門。次當說所	002	法 應 觀 察 故  如 是 已 說 建 立 名 字 不 同 門  次 當 說 所 
ZH_X46_0776_002:0178c16	詮義理差別門。如是五種非空決定住法。各有幾數。	002	詮 義 理 差 別 門  如 是 五 種 非 空 決 定 住 法  各 有 幾 數  
ZH_X46_0776_002:0178c17	所謂各各有二種故。云何名為二種離礙。一者守身	002	所 謂 各 各 有 二 種 故  云 何 名 為 二 種 離 礙  一 者 守 身 
ZH_X46_0776_002:0178c18	離礙。二者變轉離礙。言守身離礙者。無障礙身常恒	002	離 礙  二 者 變 轉 離 礙  言 守 身 離 礙 者  無 障 礙 身 常 恒 
ZH_X46_0776_002:0178c19	決定不失壞故。言變轉離礙者。建立萬有令自在故。	002	決 定 不 失 壞 故  言 變 轉 離 礙 者  建 立 萬 有 令 自 在 故  
ZH_X46_0776_002:0178c20	是名為二(守身者。安住不動也。變轉者。應機無滯也)。云何名為二種有實。	002	是 名 為 二  守 身 者  安 住 不 動 也  變 轉 者  應 機 無 滯 也   云 何 名 為 二 種 有 實  
ZH_X46_0776_002:0178c21	一者守身有實。二者變轉有實。言守身有實者。常平	002	一 者 守 身 有 實  二 者 變 轉 有 實  言 守 身 有 實 者  常 平 
ZH_X46_0776_002:0178c22	等身常恒決定不失壞故。言變轉有實者。建立差別	002	等 身 常 恒 決 定 不 失 壞 故  言 變 轉 有 實 者  建 立 差 別 
ZH_X46_0776_002:0178c23	令安住故。是名為二。云何名為二種性火。一者守身	002	令 安 住 故  是 名 為 二  云 何 名 為 二 種 性 火  一 者 守 身 
ZH_X46_0776_002:0178c24	性火。二者變轉性火。言守身性火者。明德藏身常恒	002	性 火  二 者 變 轉 性 火  言 守 身 性 火 者  明 德 藏 身 常 恒 
ZH_X46_0776_002:0179a01	決定不失壞故。言變轉性火者。塵累俱轉隨順成故。	002	決 定 不 失 壞 故  言 變 轉 性 火 者  塵 累 俱 轉 隨 順 成 故  
ZH_X46_0776_002:0179a02	是名為二。云何名為二種今光。一者守身今光。二者	002	是 名 為 二  云 何 名 為 二 種 今 光  一 者 守 身 今 光  二 者 
ZH_X46_0776_002:0179a03	變轉今光。言守身今光者。始炎炎身決定常恒不失	002	變 轉 今 光  言 守 身 今 光 者  始 炎 炎 身 決 定 常 恒 不 失 
ZH_X46_0776_002:0179a04	壞故。言變轉今光者。隨順流轉無所礙故。是名為二。	002	壞 故  言 變 轉 今 光 者  隨 順 流 轉 無 所 礙 故  是 名 為 二  
ZH_X46_0776_002:0179a05	云何名為二種深里。一者守身深里。二者變轉深里。	002	云 何 名 為 二 種 深 里  一 者 守 身 深 里  二 者 變 轉 深 里  
ZH_X46_0776_002:0179a06	言守身深里者。離絕中身常恒決定不失壞故。言變	002	言 守 身 深 里 者  離 絕 中 身 常 恒 決 定 不 失 壞 故  言 變 
ZH_X46_0776_002:0179a07	轉深里者。諸無為中得自在故。是名為二。如前所說	002	轉 深 里 者  諸 無 為 中 得 自 在 故  是 名 為 二  如前所說 
ZH_X46_0776_002:0179a08	五種無常業用差別。各各如何。所謂如次出生一切。	002	五 種 無 常 業 用 差 別  各 各 如 何  所 謂 如 次 出 生 一 切  
ZH_X46_0776_002:0179a09	無量無邊大過患海皆無餘故。住持一切無量無邊	002	無量無邊 大 過 患 海 皆 無 餘 故  住 持 一 切 無量無邊 
ZH_X46_0776_002:0179a10	大過患海皆無餘故。變易一切無量無邊大功德海	002	大 過 患 海 皆 無 餘 故  變 易 一 切 無量無邊 大 功 德 海 
ZH_X46_0776_002:0179a11	皆無餘故。壞滅一切無量無邊大功德海皆無餘故。	002	皆 無 餘 故  壞 滅 一 切 無量無邊 大 功 德 海 皆 無 餘 故  
ZH_X46_0776_002:0179a12	覆障非德非患中身自在皆無餘故。如是五法自體	002	覆 障 非 德 非 患 中 身 自 在 皆 無 餘 故  如 是 五 法 自 體 
ZH_X46_0776_002:0179a13	及品各各差別。應審觀察。如是已說所詮義理差別	002	及 品 各 各 差 別  應 審 觀 察  如 是 已 說 所 詮 義 理 差 別 
ZH_X46_0776_002:0179a14	門。次當說依位決定安立門。如前所說五十一種真	002	門  次 當 說 依 位 決 定 安 立 門  如前所說 五 十 一 種 真 
ZH_X46_0776_002:0179a15	金剛位。徧幾處耶。偈曰。	002	金 剛 位  徧 幾 處 耶  偈 曰  
ZH_X46_0776_002:0179a16	　如是五十一　　徧於五種處　　大聰明行者	002	 如 是 五 十 一   徧 於 五 種 處   大 聰 明 行 者 
ZH_X46_0776_002:0179a17	　能善決擇知	002	 能 善 決 擇 知 
ZH_X46_0776_002:0179a18	論曰。如前所說五十一位。徧離礙等五種處中。無所	002	論 曰  如前所說 五 十 一 位  徧 離 礙 等 五 種 處 中  無 所 
ZH_X46_0776_002:0179a19	不至。無所不通。以此義故。大金剛位有五應知(從離礙等	002	不 至  無 所 不 通  以 此 義 故  大 金 剛 位 有 五 應 知  從 離 礙 等 
ZH_X46_0776_002:0179a20	五種非空。建立金剛五位。配釋如前)。如偈如是五十一。徧於五種處故。	002	五 種 非 空  建 立 金 剛 五 位  配 釋 如 前   如 偈 如 是 五 十 一  徧 於 五 種 處 故  
ZH_X46_0776_002:0179a21	如是位地。利根能知。非鈍者境。所以者何。極甚深故。	002	如 是 位 地  利 根 能 知  非 鈍 者 境  所以者何  極 甚 深 故  
ZH_X46_0776_002:0179a22	極利了故。極祕密故(此三句通讚一部論義。非利根莫能知也)。如偈大聰	002	極 利 了 故  極 祕 密 故  此 三 句 通 讚 一 部 論 義  非 利 根 莫 能 知 也   如 偈 大 聰 
ZH_X46_0776_002:0179a23	明行者。能善決擇知故。亦復處二故位亦二應知。是	002	明 行 者  能 善 決 擇 知 故  亦 復 處 二 故 位 亦 二 應 知  是 
ZH_X46_0776_002:0179a24	故具集有十而已(第三分在金剛道路說五位。此分在大海部藏說十位。即是處二位	002	故 具 集 有 十 而 已  第 三 分 在 金 剛 道 路 說 五 位  此 分 在 大 海 部 藏 說 十 位  即 是 處 二 位 
ZH_X46_0776_002:0179b01	亦二也)。然今所說是變非身(今說十位。是對治門中之變。金剛五位。是龜則方說	002	亦 二 也   然 今 所 說 是 變 非 身  今 說 十 位  是 對 治 門 中 之 變  金 剛 五 位  是 龜 則 方 說 
ZH_X46_0776_002:0179b02	之身)。別建立位。總幾數有。字身差別。其相云何。偈曰。	002	之 身   別 建 立 位  總 幾 數 有  字 身 差 別  其相云何  偈 曰  
ZH_X46_0776_002:0179b03	　別建立位數　　總有十種焉　　漸次及盡餘	002	 別 建 立 位 數   總 有 十 種 焉   漸 次 及 盡 餘 
ZH_X46_0776_002:0179b04	　不動與俱滅　　一空一有位　　智智斷智地	002	 不 動 與 俱 滅   一 空 一 有 位   智 智 斷 智 地 
ZH_X46_0776_002:0179b05	　相值兼撥立　　邊邊轉一會　　具足此十位	002	 相 值 兼 撥 立   邊 邊 轉 一 會   具 足 此 十 位 
ZH_X46_0776_002:0179b06	　門界量圓滿	002	 門 界 量 圓 滿 
ZH_X46_0776_002:0179b07	論曰。別建立位總有十種(在對治門中有此十位。與根本五位各不相濫。故名	002	論 曰  別 建 立 位 總 有 十 種  在 對 治 門 中 有 此 十 位  與 根 本 五 位 各 不 相 濫  故 名 
ZH_X46_0776_002:0179b08	別建立位)。云何為十。一者一向無超漸次位。二者徧究竟	002	別 建 立 位   云 何 為 十  一 者 一 向 無 超 漸 次 位  二 者 徧 究 竟 
ZH_X46_0776_002:0179b09	盡不盡位。三者一切中際不動位。四者雙立諸法俱	002	盡 不 盡 位  三 者 一 切 中 際 不 動 位  四 者 雙 立 諸 法 俱 
ZH_X46_0776_002:0179b10	滅位。五者若一空當一有位。六者能斷所斷悉智位。	002	滅 位  五 者 若 一 空 當 一 有 位  六 者 能 斷 所 斷 悉 智 位  
ZH_X46_0776_002:0179b11	七者熏力相對相值位。八者隨除障處立位位。九者	002	七 者 熏 力 相 對 相 值 位  八 者 隨 除 障 處 立 位 位  九 者 
ZH_X46_0776_002:0179b12	真妄得邊有無位。十者諸法一種一會位。是名為十。	002	真 妄 得 邊 有 無 位  十 者 諸 法 一 種 一 會 位  是 名 為 十  
ZH_X46_0776_002:0179b13	如偈別建立位數。總有十種焉。漸次及盡餘。不動與	002	如 偈 別 建 立 位 數  總 有 十 種 焉  漸 次 及 盡 餘  不 動 與 
ZH_X46_0776_002:0179b14	俱滅。一空一有位。智智斷智地。相值兼撥立。邊邊轉	002	俱 滅  一 空 一 有 位  智 智 斷 智 地  相 值 兼 撥 立  邊 邊 轉 
ZH_X46_0776_002:0179b15	一會故。隨有一別建立彼總。必當具足一切別位。方	002	一 會 故  隨 有 一 別 建 立 彼 總  必 當 具 足 一 切 別 位  方 
ZH_X46_0776_002:0179b16	得建立大總位耶(問)。必當具別。總得成故(答)。如偈具	002	得 建 立 大 總 位 耶  問   必 當 具 別  總 得 成 故  答   如 偈 具 
ZH_X46_0776_002:0179b17	足此十位。門界量圓滿故。如是十種別相之位。徧於	002	足 此 十 位  門 界 量 圓 滿 故  如 是 十 種 別 相 之 位  徧 於 
ZH_X46_0776_002:0179b18	幾處(上問下答)。徧五處故(金剛五位)。所謂轉攝五種處中。各具	002	幾 處  上 問 下 答   徧 五 處 故  金 剛 五 位   所 謂 轉 攝 五 種 處 中  各 具 
ZH_X46_0776_002:0179b19	五十一金剛位。經過諸位。亦有十種別相位故。大總	002	五 十 一 金 剛 位  經 過 諸 位  亦 有 十 種 別 相 位 故  大 總 
ZH_X46_0776_002:0179b20	相位。總有幾數。徧幾處耶。偈曰。	002	相 位  總 有 幾 數  徧 幾 處 耶  偈 曰  
ZH_X46_0776_002:0179b21	　總位有三種　　謂上中下故　　唯徧五種處	002	 總 位 有 三 種   謂 上 中 下 故   唯 徧 五 種 處 
ZH_X46_0776_002:0179b22	　非餘位應知	002	 非 餘 位 應 知 
ZH_X46_0776_002:0179b23	論曰。大性總地根本體位總有三種。云何為三。一者	002	論 曰  大 性 總 地 根 本 體 位 總 有 三 種  云 何 為 三  一 者 
ZH_X46_0776_002:0179b24	趣高上上轉去位。二者自然安住中中位。三者向焉	002	趣 高 上 上 轉 去 位  二 者 自 然 安 住 中 中 位  三 者 向 焉 
ZH_X46_0776_002:0179c01	下下轉去位。是名為三。如偈總位有三種。謂上中下	002	下 下 轉 去 位  是 名 為 三  如 偈 總 位 有 三 種  謂 上 中 下 
ZH_X46_0776_002:0179c02	故故。如是三總。隨別有有。唯徧轉五。非所餘位。應審	002	故 故  如 是 三 總  隨 別 有 有  唯 徧 轉 五  非 所 餘 位  應 審 
ZH_X46_0776_002:0179c03	觀察。如偈唯徧五種處。非餘位應知故。如是已說依	002	觀 察  如 偈 唯 徧 五 種 處  非 餘 位 應 知 故  如 是 已 說 依 
ZH_X46_0776_002:0179c04	位決定安立門。次當說依位法數具闕門。如前所說	002	位 決 定 安 立 門  次 當 說 依 位 法 數 具 闕 門  如前所說 
ZH_X46_0776_002:0179c05	十種本法。守轉二種金剛位中為盡不盡。謂若守位	002	十 種 本 法  守 轉 二 種 金 剛 位 中 為 盡 不 盡  謂 若 守 位 
ZH_X46_0776_002:0179c06	中。唯具德五。無所餘五。若轉位中。十法具足。無所闕	002	中  唯 具 德 五  無 所 餘 五  若 轉 位 中  十 法 具 足  無 所 闕 
ZH_X46_0776_002:0179c07	失。以此義故。總別二門有無亦了。(前文所詮義理差別門中。五種非空。	002	失  以 此 義 故  總 別 二 門 有 無 亦 了   前 文 所 詮 義 理 差 別 門 中  五 種 非 空  
ZH_X46_0776_002:0179c08	各有守身轉變二相。具德五者。即五種非空也。所餘五者。即五種無常也。守位唯具德有之。轉位德患俱有。故	002	各 有 守 身 轉 變 二 相  具 德 五 者  即 五 種 非 空 也  所 餘 五 者  即 五 種 無 常 也  守 位 唯 具 德 有 之  轉 位 德 患 俱 有  故 
ZH_X46_0776_002:0179c09	說具闕門)如是已說依位法數具闕門。次當說德患對量	002	說 具 闕 門  如 是 已 說 依 位 法 數 具 闕 門  次 當 說 德 患 對 量 
ZH_X46_0776_002:0179c10	現宗門。其相云何。偈曰。	002	現 宗 門  其相云何  偈 曰  
ZH_X46_0776_002:0179c11	　起性止及今　　變空壞并實　　力龍如次對	002	 起 性 止 及 今   變 空 壞 并 實   力 龍 如 次 對 
ZH_X46_0776_002:0179c12	　有似而取多	002	 有 似 而 取 多 
ZH_X46_0776_002:0179c13	論曰。治障照覆。對量形相。如其次第(五種無常。是障是覆。五種非空。	002	論 曰  治 障 照 覆  對 量 形 相  如 其 次 第  五 種 無 常  是 障 是 覆  五 種 非 空  
ZH_X46_0776_002:0179c14	能治能照)。動絕無常(以)。性火住法(治之)。止持無常(以)。今光住	002	能 治 能 照   動 絕 無 常  以   性 火 住 法  治 之   止 持 無 常  以   今 光 住 
ZH_X46_0776_002:0179c15	法(治之)。易變無常(以)。離礙住法(治之)。散壞無常(以)。有實住	002	法  治 之   易 變 無 常  以   離 礙 住 法  治 之   散 壞 無 常  以   有 實 住 
ZH_X46_0776_002:0179c16	法(治之)。大力無常(以)。出興龍王(治之)。以之為量。如偈起性	002	法  治 之   大 力 無 常  以   出 興 龍 王  治 之   以 之 為 量  如 偈 起 性 
ZH_X46_0776_002:0179c17	止及今。變空壞并實。力龍如次對故。如是對量。一向	002	止 及 今  變 空 壞 并 實  力 龍 如 次 對 故  如 是 對 量  一 向 
ZH_X46_0776_002:0179c18	轉耶。俱量轉耶(問)。俱量應知(答)。如偈有似而取多故。	002	轉 耶  俱 量 轉 耶  問   俱 量 應 知  答   如 偈 有 似 而 取 多 故  
ZH_X46_0776_002:0179c19	如是已說德患對量現宗門。次當說隨次別釋廣說	002	如 是 已 說 德 患 對 量 現 宗 門  次 當 說 隨 次 別 釋 廣 說 
ZH_X46_0776_002:0179c20	門。且離礙門。安布形相。現示云何。主伴治障。當如何	002	門  且 離 礙 門  安 布 形 相  現 示 云 何  主 伴 治 障  當 如 何 
ZH_X46_0776_002:0179c21	耶。偈曰。	002	耶  偈 曰  
ZH_X46_0776_002:0179c22	　離礙身體中　　有五十一位　　五十一位中	002	 離 礙 身 體 中   有 五 十 一 位   五 十 一 位 中 
ZH_X46_0776_002:0179c23	　有三種總相　　三種總相中　　有十種別相	002	 有 三 種 總 相   三 種 總 相 中   有 十 種 別 相 
ZH_X46_0776_002:0179c24	　初五十一中　　一一皆各各　　具足十本數	002	 初 五 十 一 中   一 一 皆 各 各   具 足 十 本 數 
ZH_X46_0776_002:0180a01	　最初主後伴　　次初主後伴　　如次應觀察	002	 最 初 主 後 伴   次 初 主 後 伴   如 次 應 觀 察 
ZH_X46_0776_002:0180a02	論曰。就離礙中。有五十一種金剛位。就此位中。有三	002	論 曰  就 離 礙 中  有 五 十 一 種 金 剛 位  就 此 位 中  有 三 
ZH_X46_0776_002:0180a03	種根本總相位。就此總中。有十種分離別相位。如偈	002	種 根 本 總 相 位  就 此 總 中  有 十 種 分 離 別 相 位  如 偈 
ZH_X46_0776_002:0180a04	離礙身體中。有五十一位。五十一位中。有三種總相。	002	離 礙 身 體 中  有 五 十 一 位  五 十 一 位 中  有 三 種 總 相  
ZH_X46_0776_002:0180a05	三種總相中。有十種別相。故金剛諸位。一一位中。皆	002	三 種 總 相 中  有 十 種 別 相  故 金 剛 諸 位  一 一 位 中  皆 
ZH_X46_0776_002:0180a06	具本數。如偈初五十一中。一一皆各各。具足十本數	002	具 本 數  如 偈 初 五 十 一 中  一 一 皆 各 各  具 足 十 本 數 
ZH_X46_0776_002:0180a07	故。主伴各二。云何二主。一者主主。二者伴主。云何二	002	故  主 伴 各 二  云 何 二 主  一 者 主 主  二 者 伴 主  云 何 二 
ZH_X46_0776_002:0180a08	伴。一者伴伴。二者主伴。言主主者。是離礙故。言伴主	002	伴  一 者 伴 伴  二 者 主 伴  言 主 主 者  是 離 礙 故  言 伴 主 
ZH_X46_0776_002:0180a09	者。第二轉故(有實)。言伴伴者。除五本法。餘眷屬故(五本法之	002	者  第 二 轉 故  有 實   言 伴 伴 者  除 五 本 法  餘 眷 屬 故  五 本 法 之 
ZH_X46_0776_002:0180a10	眷屬)。言主伴者。除其離礙。餘四法故(有實。性火。今光。深里)。如偈最	002	眷 屬   言 主 伴 者  除 其 離 礙  餘 四 法 故  有 實  性 火  今 光  深 里   如 偈 最 
ZH_X46_0776_002:0180a11	初主後伴。次初主後伴。如次應觀察故。三種總相。金	002	初 主 後 伴  次 初 主 後 伴  如 次 應 觀 察 故  三 種 總 相  金 
ZH_X46_0776_002:0180a12	剛位中。云何安立。謂初信心以為其始。後[襌-(田/十)+(王*寸)]陀地([襌-(田/十)+(王*寸)]持	002	剛 位 中  云 何 安 立  謂 初 信 心 以 為 其 始  後 [襌田十王寸]陀地[襌田十王寸] 持 
ZH_X46_0776_002:0180a13	遇切。應是佛陀地)以為其終。次第漸轉。是故建立趣高上上	002	遇 切  應 是 佛 陀 地  以 為 其 終  次 第 漸 轉  是 故 建 立 趣 高 上 上 
ZH_X46_0776_002:0180a14	轉去位。後[襌-(田/十)+(王*寸)]陀地以為其始。第一信心以為其終。次	002	轉 去 位  後 [襌田十王寸] 陀 地 以 為 其 始  第 一 信 心 以 為 其 終  次 
ZH_X46_0776_002:0180a15	第漸轉。是故建立向焉下下轉去位(下轉門。別本罕見)。上下	002	第 漸 轉  是 故 建 立 向 焉 下 下 轉 去 位  下 轉 門  別 本 罕 見   上 下 
ZH_X46_0776_002:0180a16	二門。位位各各離邊中道決定安立。是故建立自然	002	二 門  位 位 各 各 離 邊 中 道 決 定 安 立  是 故 建 立 自 然 
ZH_X46_0776_002:0180a17	安住中中位。以此義故。十種別相。唯有上下。不有中	002	安 住 中 中 位  以 此 義 故  十 種 別 相  唯 有 上 下  不 有 中 
ZH_X46_0776_002:0180a18	焉。且依上門建立十位。形相云何。偈曰。	002	焉  且 依 上 門 建 立 十 位  形 相 云 何  偈 曰  
ZH_X46_0776_002:0180a19	　信五事已經　　至後後位故　　一事究竟故	002	 信 五 事 已 經   至 後 後 位 故   一 事 究 竟 故 
ZH_X46_0776_002:0180a20	　一味中轉故　　治障一滅故　　治障不俱故	002	 一 味 中 轉 故   治 障 一 滅 故   治 障 不 俱 故 
ZH_X46_0776_002:0180a21	　一智斷智故　　上下相照故　　本無今有故	002	 一 智 斷 智 故   上 下 相 照 故   本無今有 故 
ZH_X46_0776_002:0180a22	　治障自辨故　　無別一轉故　　如次應觀察	002	 治 障 自 辨 故   無 別 一 轉 故   如 次 應 觀 察 
ZH_X46_0776_002:0180a23	論曰。依趣高上上轉去門。見十別位形相如何。謂以	002	論 曰  依 趣 高 上 上 轉 去 門  見 十 別 位 形 相 如 何  謂 以 
ZH_X46_0776_002:0180a24	五種非空住法。對治五種虗假轉法。如其次第。無有	002	五 種 非 空 住 法  對 治 五 種 虗 假 轉 法  如 其 次 第  無 有 
ZH_X46_0776_002:0180b01	超過。漸漸轉故。建立一向無超漸次位。如偈信五事	002	超 過  漸 漸 轉 故  建 立 一 向 無 超 漸 次 位  如 偈 信 五 事 
ZH_X46_0776_002:0180b02	已經。至後後位故故。以五事治五事。隨其所應一究	002	已 經  至 後 後 位 故 故  以 五 事 治 五 事  隨其所應 一 究 
ZH_X46_0776_002:0180b03	竟故。建立徧究竟盡不盡位。如偈一事究竟故故。以	002	竟 故  建 立 徧 究 竟 盡 不 盡 位  如 偈 一 事 究 竟 故 故  以 
ZH_X46_0776_002:0180b04	五事治五事。不增不減不大不小。一味平等中道實	002	五 事 治 五 事  不增不減 不 大 不 小  一 味 平 等 中 道 實 
ZH_X46_0776_002:0180b05	相故。建立一切中際不動位。如偈一味中轉故故。以	002	相 故  建 立 一 切 中 際 不 動 位  如 偈 一 味 中 轉 故 故  以 
ZH_X46_0776_002:0180b06	五事治五事。隨障滅時。其智慧體則便滅故。建立雙	002	五 事 治 五 事  隨 障 滅 時  其 智 慧 體 則 便 滅 故  建 立 雙 
ZH_X46_0776_002:0180b07	立諸法俱滅位。如偈治障一滅故故。以五事治五事。	002	立 諸 法 俱 滅 位  如 偈 治 障 一 滅 故 故  以 五 事 治 五 事  
ZH_X46_0776_002:0180b08	治起無障。障起無治。不能親近。不能俱行。不能及達	002	治 起 無 障  障 起 無 治  不 能 親 近  不 能 俱 行  不 能 及 達 
ZH_X46_0776_002:0180b09	故。建立若一空當一有位。如偈治障不俱故故。以五	002	故  建 立 若 一 空 當 一 有 位  如 偈 治 障 不 俱 故 故  以 五 
