segmentnr	original	folio	analyzed
ZH_X24_0470_001:0850c10	云。如理實見本來人。這箇本來人。在當人面上。眼	001	云  如 理 實 見 本 來 人  這 箇 本 來 人  在 當 人 面 上  眼 
ZH_X24_0470_001:0850c11	看耳聞的。鼻聞口說的。手拈脚走的。思量計較的。	001	看 耳 聞 的  鼻 聞 口 說 的  手 拈 脚 走 的  思 量 計 較 的  
ZH_X24_0470_001:0850c12	是故只。在當人一念心。這箇當人靈覺真性。天不	001	是 故 只  在 當 人 一 念 心  這 箇 當 人 靈 覺 真 性  天 不 
ZH_X24_0470_001:0850c13	能蓋。地不能載。陰陽不能害。五行不能役。鬼神不	001	能 蓋  地 不 能 載  陰 陽 不 能 害  五 行 不 能 役  鬼 神 不 
ZH_X24_0470_001:0850c14	能拘。劫火不能害。故云。四維上下無所管。若識得	001	能 拘  劫 火 不 能 害  故 云  四 維 上 下 無 所 管  若 識 得 
ZH_X24_0470_001:0850c15	遍大地是一箇丈六金身。故云。大地山河盡是金。	001	遍 大 地 是 一 箇 丈 六 金 身  故 云  大 地 山 河 盡 是 金  
ZH_X24_0470_001:0850c16	如理實見。十惡八邪在目前。光明全體現。愚癡多雜	001	如 理 實 見  十 惡 八 邪 在 目 前  光 明 全 體 現  愚 癡 多 雜 
ZH_X24_0470_001:0850c17	念。佛。精進更加參。久遠功夫。自然成一片。打碎泥團	001	念  佛  精 進 更 加 參  久 遠 功 夫  自 然 成 一 片  打 碎 泥 團 
ZH_X24_0470_001:0850c18	不用參。打碎泥團不用參。	001	不 用 參  打 碎 泥 團 不 用 參  
ZH_X24_0470_001:0850c19	此如理實見之人。不得還鄉者何也。呀。因有十惡	001	此 如 理 實 見 之 人  不 得 還 鄉 者 何 也  呀  因 有 十 惡 
ZH_X24_0470_001:0850c20	八邪。不得還鄉。十惡者。身口意三業。分為十惡。身。	001	八 邪  不 得 還 鄉  十 惡 者  身 口 意 三 業  分 為 十 惡  身  
ZH_X24_0470_001:0850c21	有三惡婬殺盜。意有三惡。貪嗔癡。口有四惡。誑言。	001	有 三 惡 婬 殺 盜  意 有 三 惡  貪 嗔 癡  口 有 四 惡  誑 言  
ZH_X24_0470_001:0850c22	綺語。惡口。兩舌。八邪者。人我是須彌。邪心是海水。	001	綺 語  惡 口  兩 舌  八 邪 者  人 我 是 須 彌  邪 心 是 海 水  
ZH_X24_0470_001:0850c23	煩惱是波浪。毒害是惡龍。虗妄。是鬼神。塵勞是魚	001	煩 惱 是 波 浪  毒 害 是 惡 龍  虗 妄  是 鬼 神  塵 勞 是 魚 
ZH_X24_0470_001:0850c24	鱉。貪嗔是地獄愚癡是畜生。若得除人我。須彌倒。	001	鱉  貪 嗔 是 地 獄 愚 癡 是 畜 生  若 得 除 人 我  須 彌 倒  
ZH_X24_0470_001:0851a01	去邪心。海水渴。煩惱無波。浪滅毒害忘。惡龍絕。虗	001	去 邪 心  海 水 渴  煩 惱 無 波  浪 滅 毒 害 忘  惡 龍 絕  虗 
ZH_X24_0470_001:0851a02	妄無。神鬼滅塵勞散。魚鱉絕。貪嗔忘。地獄滅愚癡	001	妄 無  神 鬼 滅 塵 勞 散  魚 鱉 絕  貪 嗔 忘  地 獄 滅 愚 癡 
ZH_X24_0470_001:0851a03	斷畜生絕。是故。十惡八邪在目前。若有人識得自	001	斷 畜 生 絕  是 故  十 惡 八 邪 在 目 前  若 有 人 識 得 自 
ZH_X24_0470_001:0851a04	己光明。不破十惡八邪瞞過。咄。要見光明麼。咦。聽	001	己 光 明  不 破 十 惡 八 邪 瞞 過  咄  要 見 光 明 麼  咦  聽 
ZH_X24_0470_001:0851a05	我十字偈。曰。眼放光。能照見。青黃赤。白。耳放光。能	001	我 十 字 偈  曰  眼 放 光  能 照 見  青 黃 赤  白  耳 放 光  能 
ZH_X24_0470_001:0851a06	聽得。好歹菩聲。鼻放光。能知覺。馨香穢污。舌放光。	001	聽 得  好 歹 菩 聲  鼻 放 光  能 知 覺  馨 香 穢 污  舌 放 光  
ZH_X24_0470_001:0851a07	談玄妙。普度眾生。身放光。知冷熱。能知飢飽。意放	001	談 玄 妙  普 度 眾 生  身 放 光  知 冷 熱  能 知 飢 飽  意 放 
ZH_X24_0470_001:0851a08	光。知高下。變化多般。渾身上。透玲玲。放光動地。放	001	光  知 高 下  變 化 多 般  渾 身 上  透 玲 玲  放 光 動 地  放 
ZH_X24_0470_001:0851a09	光明。遍法界。獨自為尊。所以光明全體現也。今時	001	光 明  遍 法 界  獨 自 為 尊  所 以 光 明 全 體 現 也  今 時 
ZH_X24_0470_001:0851a10	一切愚迷之人。不識自己光明。雜念數多。恩愛不	001	一 切 愚 迷 之 人  不 識 自 己 光 明  雜 念 數 多  恩 愛 不 
ZH_X24_0470_001:0851a11	斷。我執不除。是故。愚癡多維念。我的佛。即今科家。	001	斷  我 執 不 除  是 故  愚 癡 多 維 念  我 的 佛  即 今 科 家  
ZH_X24_0470_001:0851a12	苦勸一切修行之人。精進勇猛更加參。訪明師。求	001	苦 勸 一 切 修 行 之 人  精進勇猛 更 加 參  訪 明 師  求 
ZH_X24_0470_001:0851a13	其印證。印證師真。久久下鳥道之功。忽然聞得箇	001	其 印 證  印 證 師 真  久 久 下 鳥 道 之 功  忽 然 聞 得 箇 
ZH_X24_0470_001:0851a14	人法雙忘。[囗@力]地一聲。而成一片。故云。久遠工夫。自	001	人 法 雙 忘  [囗力] 地 一 聲  而 成 一 片  故 云  久 遠 工 夫  自 
ZH_X24_0470_001:0851a15	然成一片。若要成一片。必須打破泥彈子。有人打	001	然 成 一 片  若 要 成 一 片  必 須 打 破 泥 彈 子  有 人 打 
ZH_X24_0470_001:0851a16	得碎者。萬事了畢。故云。打碎泥團不用參。	001	得 碎 者  萬 事 了 畢  故 云  打 碎 泥 團 不 用 參  
ZH_X24_0470_001:0851a17	正信希有。鐵牛嗷吼。震倒須彌。邪魔奔走。	001	正 信 希 有  鐵 牛 嗷 吼  震 倒 須 彌  邪 魔 奔 走  
ZH_X24_0470_001:0851a18	正信修行向心修。此人最為第一希有。須菩提白	001	正 信 修 行 向 心 修  此 人 最 為 第一希有  須 菩 提 白 
ZH_X24_0470_001:0851a19	佛言世尊。頗有眾生。得聞如是。言說章句。生實信	001	佛 言 世 尊  頗 有 眾 生  得 聞 如 是  言 說 章 句  生 實 信 
ZH_X24_0470_001:0851a20	不。須菩提。聞此般。若法。難信難解。末世凡夫。智慧	001	不  須 菩 提  聞 此 般  若 法  難 信 難 解  末 世 凡 夫  智 慧 
ZH_X24_0470_001:0851a21	微劣。聞此金剛經章句。云何信入。佛言。須菩提。莫	001	微 劣  聞 此 金 剛 經 章 句  云 何 信 入  佛 言  須 菩 提  莫 
ZH_X24_0470_001:0851a22	作如是之說。如來滅後。後五百歲。有持戒修福者。	001	作 如 是 之 說  如來滅後  後 五 百 歲  有 持 戒 修 福 者  
ZH_X24_0470_001:0851a23	正法一千年。上五百年。解脫為正宗。下五百年。禪	001	正 法 一 千 年  上 五 百 年  解 脫 為 正 宗  下 五 百 年  禪 
ZH_X24_0470_001:0851a24	定為正宗。如來在日聞此般若法者。不以為難後	001	定 為 正 宗  如 來 在 日 聞 此 般 若 法 者  不 以 為 難 後 
ZH_X24_0470_001:0851b01	五百年。乃至末法。皆修禪定。不得禪定。不得解脫	001	五 百 年  乃 至 末 法  皆 修 禪 定  不 得 禪 定  不得解脫 
ZH_X24_0470_001:0851b02	於此金剛經章句。能生信心。以此為實。當知是人。	001	於 此 金 剛 經 章 句  能 生 信 心  以 此 為 實  當 知 是 人  
ZH_X24_0470_001:0851b03	不於一世供養佛。二世供養佛。三四五世供養佛。	001	不 於 一 世 供 養 佛  二 世 供 養 佛  三 四 五 世 供 養 佛  
ZH_X24_0470_001:0851b04	而種善根。已於無量千萬世供養佛。所種諸善根。	001	而 種 善 根  已 於 無 量 千 萬 世 供 養 佛  所 種 諸 善 根  
ZH_X24_0470_001:0851b05	何名種諸善根。略述次下。所謂於諸佛所。一心供	001	何 名 種 諸 善 根  略 述 次 下  所 謂 於 諸 佛 所  一 心 供 
ZH_X24_0470_001:0851b06	養隨順教法。於諸菩薩善知識。師父大德高僧。父	001	養 隨 順 教 法  於 諸 菩 薩 善 知 識  師 父 大 德 高 僧  父 
ZH_X24_0470_001:0851b07	母尊長嘗行恭敬。供養承順教命。不違其意於一	001	母 尊 長 嘗 行 恭 敬  供 養 承 順 教 命  不 違 其 意 於 一 
ZH_X24_0470_001:0851b08	切貧苦眾生。起慈憫心。不生輕厭。有所須求。隨力	001	切 貧 苦 眾 生  起 慈 憫 心  不 生 輕 厭  有 所 須 求  隨 力 
ZH_X24_0470_001:0851b09	惠施。於六道眾生。不加殺害。不欺不賤。不毀不辱	001	惠 施  於 六 道 眾 生  不 加 殺 害  不 欺 不 賤  不 毀 不 辱 
ZH_X24_0470_001:0851b10	不騎不箠。不食其肉。常行饒益。是名種諸善根。今	001	不 騎 不 箠  不 食 其 肉  常 行 饒 益  是 名 種 諸 善 根  今 
ZH_X24_0470_001:0851b11	來聞是金剛經章句。乃至一念。生清淨信者。是故	001	來 聞 是 金 剛 經 章 句  乃 至 一 念  生 清 淨 信 者  是 故 
ZH_X24_0470_001:0851b12	正信希有。佛言。須菩提。如此淨信眾生。如來悉知	001	正 信 希 有  佛 言  須 菩 提  如 此 淨 信 眾 生  如 來 悉 知 
ZH_X24_0470_001:0851b13	悉見。是諸眾生得了如是之法。無量無邊福德。何	001	悉 見  是 諸 眾 生 得 了 如 是 之 法  無量無邊 福 德  何 
ZH_X24_0470_001:0851b14	以故。是諸眾生。無復有我相。人相。眾生相。壽者相。	001	以 故  是 諸 眾 生  無 復 有 我 相  人 相  眾 生 相  壽 者 相  
ZH_X24_0470_001:0851b15	無般若法相。亦無不得般若法相。此人雖行般若。	001	無 般 若 法 相  亦 無 不 得 般 若 法 相  此 人 雖 行 般 若  
ZH_X24_0470_001:0851b16	心不住空見。何以故。是諸眾生。若心上取相。則為	001	心 不 住 空 見  何 以 故  是 諸 眾 生  若 心 上 取 相  則 為 
ZH_X24_0470_001:0851b17	著我人眾生壽者。若取般若法相。即著我人眾生	001	著 我 人 眾 生 壽 者  若 取 般 若 法 相  即 著 我 人 眾 生 
ZH_X24_0470_001:0851b18	壽者。何以故。若取非般若法相。即著我人眾生壽	001	壽 者  何 以 故  若 取 非 般 若 法 相  即 著 我 人 眾 生 壽 
ZH_X24_0470_001:0851b19	者。是故。不應取法。不應取非法。此兩句。取又不是。	001	者  是 故  不 應 取 法  不 應 取 非 法  此 兩 句  取 又 不 是  
ZH_X24_0470_001:0851b20	不取又不是。以是義故。如來常說汝等比丘。知我	001	不 取 又 不 是  以是義故  如 來 常 說 汝 等 比 丘  知 我 
ZH_X24_0470_001:0851b21	說法。如筏喻者。法。尚應捨。何況這些生天等法。故	001	說 法  如 筏 喻 者  法  尚 應 捨  何 況 這 些 生 天 等 法  故 
ZH_X24_0470_001:0851b22	云。正信希有。修正信之人。喻如鐵牛。不認人情。嗷	001	云  正 信 希 有  修 正 信 之 人  喻 如 鐵 牛  不 認 人 情  嗷 
ZH_X24_0470_001:0851b23	吼一聲。萬法皆空。把一箇須彌山王。震倒了也。一	001	吼 一 聲  萬 法 皆 空  把 一 箇 須 彌 山 王  震 倒 了 也  一 
ZH_X24_0470_001:0851b24	切三界。十八梵天二十五有他化。魔王無有安身	001	切 三 界  十 八 梵 天 二十五有 他 化  魔 王 無 有 安 身 
ZH_X24_0470_001:0851c01	之地。故云震倒須彌。邪魔奔走。	001	之 地  故 云 震 倒 須 彌  邪 魔 奔 走  
ZH_X24_0470_001:0851c02	　正信希有妙法傳　　一念無差遍大千	001	 正 信 希 有 妙 法 傳   一 念 無 差 遍 大 千 
ZH_X24_0470_001:0851c03	　九曲黃河顛倒轉　　普天徹地一輪圓	001	 九 曲 黃 河 顛 倒 轉   普 天 徹 地 一 輪 圓 
ZH_X24_0470_001:0851c04	修正信之人。非在舌辨。亦非足行。全憑心地下功。	001	修 正 信 之 人  非 在 舌 辨  亦 非 足 行  全 憑 心 地 下 功  
ZH_X24_0470_001:0851c05	心地下功。全拋世事。佛告須菩提何以故。是諸眾	001	心 地 下 功  全 拋 世 事  佛 告 須 菩 提 何 以 故  是 諸 眾 
ZH_X24_0470_001:0851c06	生。若心取相或求西方。或求天上或求後世為人。	001	生  若 心 取 相 或 求 西 方  或 求 天 上 或 求 後 世 為 人  
ZH_X24_0470_001:0851c07	則為著我人眾生壽者。若取法相。我得般若波羅	001	則 為 著 我 人 眾 生 壽 者  若 取 法 相  我 得 般 若 波 羅 
ZH_X24_0470_001:0851c08	蜜法。即著我人眾生壽者。若取非法相。我不行般	001	蜜 法  即 著 我 人 眾 生 壽 者  若 取 非 法 相  我 不 行 般 
ZH_X24_0470_001:0851c09	若波羅蜜法。即著我人眾生壽者。是故。不應取法。	001	若 波 羅 蜜 法  即 著 我 人 眾 生 壽 者  是 故  不 應 取 法  
ZH_X24_0470_001:0851c10	不應取非法。修行人識得此病。明得此理乃是超	001	不 應 取 非 法  修 行 人 識 得 此 病  明 得 此 理 乃 是 超 
ZH_X24_0470_001:0851c11	生脫死的妙法。故云。正信希有妙法傳。傳箇甚麼。	001	生 脫 死 的 妙 法  故 云  正 信 希 有 妙 法 傳  傳 箇 甚 麼  
ZH_X24_0470_001:0851c12	昔日世尊。正法眼藏涅槃妙心。傳與迦葉。迦葉一	001	昔 日 世 尊  正 法 眼 藏 涅 槃 妙 心  傳 與 迦 葉  迦 葉 一 
ZH_X24_0470_001:0851c13	笑得來。直至二十八禪達磨。神光三拜得來。直至	001	笑 得 來  直 至 二 十 八 禪 達 磨  神 光 三 拜 得 來  直 至 
ZH_X24_0470_001:0851c14	六祖。慧能。俱是正信妙法。名為一念。今時有等迷	001	六 祖  慧 能  俱 是 正 信 妙 法  名 為 一 念  今 時 有 等 迷 
ZH_X24_0470_001:0851c15	人。單提一句。南無阿彌陀佛。為之一念。怎麼遍得	001	人  單 提 一 句  南 無 阿 彌 陀 佛  為 之 一 念  怎 麼 遍 得 
ZH_X24_0470_001:0851c16	大千世界。若差之毫厘。失之千里。我今直說。一念	001	大千世界  若 差 之 毫 厘  失 之 千 里  我 今 直 說  一 念 
ZH_X24_0470_001:0851c17	者。乃是無念。無念乃是般若。心經云。三世諸佛。依	001	者  乃 是 無 念  無 念 乃 是 般 若  心 經 云  三世諸佛  依 
ZH_X24_0470_001:0851c18	般若波羅蜜多。故云。阿耨多羅三藐三菩提。咄。何	001	般 若 波羅蜜多  故 云  阿耨多羅三藐三菩提  咄  何 
ZH_X24_0470_001:0851c19	者。是般若波羅蜜多法。要全般若法。一點識心無。	001	者  是 般 若 波羅蜜多 法  要 全 般 若 法  一 點 識 心 無  
ZH_X24_0470_001:0851c20	如此者。一念無差遍大千。九曲黃河通天河。水常	001	如 此 者  一 念 無 差 遍 大 千  九 曲 黃 河 通 天 河  水 常 
ZH_X24_0470_001:0851c21	東流。故此世上江湖河海水不得乾。科儀云。千江	001	東 流  故 此 世 上 江 湖 河 海 水 不 得 乾  科 儀 云  千 江 
ZH_X24_0470_001:0851c22	有水千江月。若得黃河之水。顛倒返流。世上無水。	001	有 水 千 江 月  若 得 黃 河 之 水  顛 倒 返 流  世 上 無 水  
ZH_X24_0470_001:0851c23	纔識得達磨西來。水在長江月在天。呵呵。真是不	001	纔 識 得 達 磨 西 來  水 在 長 江 月 在 天  呵 呵  真 是 不 
ZH_X24_0470_001:0851c24	知白日青天裏。開眼許多迷路人。故云。九曲黃河	001	知 白 日 青 天 裏  開 眼 許 多 迷 路 人  故 云  九 曲 黃 河 
ZH_X24_0470_001:0852a01	顛倒轉。普天徹地一輪圓。	001	顛 倒 轉  普 天 徹 地 一 輪 圓  
ZH_X24_0470_001:0852a02	正信希有。有名利貪花水上漚。功名未成就。莫要相	001	正 信 希 有  有 名 利 貪 花 水 上 漚  功 名 未 成 就  莫 要 相 
ZH_X24_0470_001:0852a03	諍鬬佛。急急早回頭。火燒眉毛。纔把頭救。一日無常	001	諍 鬬 佛  急 急 早 回 頭  火 燒 眉 毛  纔 把 頭 救  一 日 無 常 
ZH_X24_0470_001:0852a04	萬事休。一日無常無事休。	001	萬 事 休  一 日 無 常 無 事 休  
ZH_X24_0470_001:0852a05	正者。體也。禮也。信者。誠也。重也。禮而無信。意必不	001	正 者  體 也  禮 也  信 者  誠 也  重 也  禮 而 無 信  意 必 不 
ZH_X24_0470_001:0852a06	誠。信而無禮。心必不實二者具足。可謂正信。修正	001	誠  信 而 無 禮  心 必 不 實 二 者 具 足  可 謂 正 信  修 正 
ZH_X24_0470_001:0852a07	信之人。看破名利貪花。由如水上浮漚。速起速滅。	001	信 之 人  看 破 名 利 貪 花  由 如 水 上 浮 漚  速 起 速 滅  
ZH_X24_0470_001:0852a08	豈為常也。是故。名利貪花水上漚。功名未成之際。	001	豈 為 常 也  是 故  名 利 貪 花 水 上 漚  功 名 未 成 之 際  
ZH_X24_0470_001:0852a09	莫要貢高我慢諍鬬是非。故云。莫要相諍鬬。我的	001	莫 要 貢 高 我 慢 諍 鬬 是 非  故 云  莫 要 相 諍 鬬  我 的 
ZH_X24_0470_001:0852a10	佛。急急早回頭。莫等臨危要修。遲也。聽我偈曰。一	001	佛  急 急 早 回 頭  莫 等 臨 危 要 修  遲 也  聽 我 偈 曰  一 
ZH_X24_0470_001:0852a11	盞孤燈照夜臺。上床脫下襪和鞋。半夜三更隨夢	001	盞 孤 燈 照 夜 臺  上 床 脫 下 襪 和 鞋  半 夜 三 更 隨 夢 
ZH_X24_0470_001:0852a12	去。知道天明來不來。是故火燒眉毛纔把頭來救。	001	去  知 道 天 明 來 不 來  是 故 火 燒 眉 毛 纔 把 頭 來 救  
ZH_X24_0470_001:0852a13	古人云。一日無常到。方知夢裏人。萬般將不去。惟	001	古 人 云  一 日 無 常 到  方 知 夢 裏 人  萬 般 將 不 去  惟 
ZH_X24_0470_001:0852a14	有業業隨身。故云。一日無常萬事休。	001	有 業 業 隨 身  故 云  一 日 無 常 萬 事 休  
ZH_X24_0470_001:0852a15	無得無說。是真難滅。但有絲毫。眼中著屑。	001	無 得 無 說  是 真 難 滅  但 有 絲 毫  眼 中 著 屑  
ZH_X24_0470_001:0852a16	當體空寂。無物可得。但有言說。皆是誑語。佛呌須	001	當 體 空 寂  無 物 可 得  但有言說  皆 是 誑 語  佛 呌 須 
ZH_X24_0470_001:0852a17	菩提。於意云何。如來得阿耨多羅三藐三菩提耶。	001	菩 提  於意云何  如 來 得阿耨多羅三藐三菩提 耶  
ZH_X24_0470_001:0852a18	如來有所說法耶。須菩提言。如我解佛所說義。無	001	如 來 有 所 說 法 耶  須 菩 提 言  如 我 解 佛 所 說 義  無 
ZH_X24_0470_001:0852a19	有定法。得也不是說也不是。名呌做阿耨多羅。三	001	有 定 法  得 也 不 是 說 也 不 是  名 呌 做 阿 耨 多 羅  三 
ZH_X24_0470_001:0852a20	藐三菩提。亦無有定法。如來可說。是故。無得無說。	001	藐 三 菩 提  亦 無 有 定 法  如 來 可 說  是 故  無 得 無 說  
ZH_X24_0470_001:0852a21	須菩提言。何以故。如來所說法。皆不可取如來法。	001	須 菩 提 言  何 以 故  如 來 所 說 法  皆 不 可 取 如 來 法  
ZH_X24_0470_001:0852a22	不可說如來說法。口誦心不行。非法。口誦心行。乃	001	不 可 說 如 來 說 法  口 誦 心 不 行  非 法  口 誦 心 行  乃 
ZH_X24_0470_001:0852a23	是非非法。若論如此。乃是無記頑空。鬼家活計。所	001	是 非 非 法  若 論 如 此  乃 是 無 記 頑 空  鬼 家 活 計  所 
ZH_X24_0470_001:0852a24	以者何。一切賢聖。皆以無為法。而有差別。三乘根	001	以 者 何  一 切 賢 聖  皆 以 無 為 法  而有差別  三 乘 根 
ZH_X24_0470_001:0852b01	性。所解不同見有深淺。故有差別。佛說無為法者。	001	性  所 解 不 同 見 有 深 淺  故 有 差 別  佛 說 無 為 法 者  
ZH_X24_0470_001:0852b02	即是無住。無住。即是無相。無相。即是無生。無生。即	001	即 是 無 住  無 住  即 是 無 相  無 相  即 是 無 生  無 生  即 
ZH_X24_0470_001:0852b03	是無滅。咄。要見無生無滅的麼。呌張三。應喏。喚李	001	是 無 滅  咄  要 見 無生無滅 的 麼  呌 張 三  應 喏  喚 李 
ZH_X24_0470_001:0852b04	四。應咳。乃是實地解脫佛性。是故是真難滅。今時	001	四  應 咳  乃 是 實 地 解 脫 佛 性  是 故 是 真 難 滅  今 時 
ZH_X24_0470_001:0852b05	有等修行之人。妄想佛來救度。臨命終時。觀音勢	001	有 等 修 行 之 人  妄 想 佛 來 救 度  臨命終時  觀 音 勢 
ZH_X24_0470_001:0852b06	至接引。西方極樂世界。或求禪天。或求欲界。或求	001	至 接 引  西方極樂 世 界  或 求 禪 天  或 求 欲 界  或 求 
ZH_X24_0470_001:0852b07	四空定。或求後世為人。是故。金屑雖貴。落眼成塵。	001	四 空 定  或 求 後 世 為 人  是 故  金 屑 雖 貴  落 眼 成 塵  
ZH_X24_0470_001:0852b08	故云。但有絲毫。眼中著屑。	001	故 云  但 有 絲 毫  眼 中 著 屑  
ZH_X24_0470_001:0852b09	　無得無說正路頭　　加鞭進步向前修	001	 無 得 無 說 正 路 頭   加 鞭 進 步 向 前 修 
ZH_X24_0470_001:0852b10	　旹旹提起不放捨　　直到波羅彼岸頭	001	 旹 旹 提 起 不 放 捨   直 到 波 羅 彼 岸 頭 
ZH_X24_0470_001:0852b11	無得無說者。得也不是說也不是。若說得。本來無	001	無 得 無 說 者  得 也 不 是 說 也 不 是  若 說 得  本 來 無 
ZH_X24_0470_001:0852b12	眼耳鼻舌身意。非青黃赤白之妙相。得箇甚麼若	001	眼 耳 鼻 舌 身 意  非 青 黃 赤 白 之 妙 相  得 箇 甚 麼 若 
ZH_X24_0470_001:0852b13	說。說佛法不在紙。上又不在舌上。說箇甚麼。古人	001	說  說 佛 法 不 在 紙  上 又 不 在 舌 上  說 箇 甚 麼  古 人 
ZH_X24_0470_001:0852b14	云。三世諸佛。口掛壁上。歷代祖師。結舌七侯。到是	001	云  三世諸佛  口 掛 壁 上  歷 代 祖 師  結 舌 七 侯  到 是 
ZH_X24_0470_001:0852b15	箇正路頭也。若要修箇正路頭的人。要加鞭進步。	001	箇 正 路 頭 也  若 要 修 箇 正 路 頭 的 人  要 加 鞭 進 步  
ZH_X24_0470_001:0852b16	勇猛上加勇猛。向前修去。莫學懈怠之人。無有了	001	勇 猛 上 加 勇 猛  向 前 修 去  莫 學 懈 怠 之 人  無 有 了 
ZH_X24_0470_001:0852b17	期。時時刻刻。提起正念。不要放捨。是故直到波羅	001	期  時 時 刻 刻  提 起 正 念  不 要 放 捨  是 故 直 到 波 羅 
ZH_X24_0470_001:0852b18	彼岸頭。若有一時差錯。被鬼神覷破。拿到陰司那	001	彼 岸 頭  若 有 一 時 差 錯  被 鬼 神 覷 破  拿 到 陰 司 那 
ZH_X24_0470_001:0852b19	時怨不得師傅也。非是師不說。你自不肯依。	001	時 怨 不 得 師 傅 也  非 是 師 不 說  你 自 不 肯 依  
ZH_X24_0470_001:0852b20	無得無說。佛祖西來玄妙訣。笑殺大迦葉。神光將臂	001	無 得 無 說  佛 祖 西 來 玄 妙 訣  笑 殺 大 迦 葉  神 光 將 臂 
ZH_X24_0470_001:0852b21	卸。佛。方便演三車。普救眾生。早早離三界。好念彌陀	001	卸  佛  方 便 演 三 車  普 救 眾 生  早 早 離 三 界  好 念 彌 陀 
ZH_X24_0470_001:0852b22	歸去來。好念彌陀歸去來。	001	歸 去 來  好 念 彌 陀 歸 去 來  
ZH_X24_0470_001:0852b23	無得無說之正路。乃是佛祖西來之妙訣。昔日如	001	無 得 無 說 之 正 路  乃 是 佛 祖 西 來 之 妙 訣  昔 日 如 
ZH_X24_0470_001:0852b24	來。在靈山會上。世尊青蓮目瞬示。四眾無人領其	001	來  在 靈 山 會 上  世 尊 青 蓮 目 瞬 示  四 眾 無 人 領 其 
ZH_X24_0470_001:0852c01	密意。惟摩訶大迦葉。一笑。佛云。吾正法眼藏涅槃	001	密 意  惟 摩 訶 大 迦 葉  一 笑  佛 云  吾 正 法 眼 藏 涅 槃 
ZH_X24_0470_001:0852c02	妙心。付囑與汝。汝嘗流布。勿令斷絕。偈曰。法本法	001	妙 心  付 囑 與 汝  汝 嘗 流 布  勿 令 斷 絕  偈 曰  法 本 法 
ZH_X24_0470_001:0852c03	無法。無法法亦法。今付無法時。法法何曾法。大迦	001	無 法  無 法 法 亦 法  今 付 無 法 時  法 法 何 曾 法  大 迦 
ZH_X24_0470_001:0852c04	葉於雞足山。入寂滅定。後達磨西來。見梁武帝。帝	001	葉 於 雞 足 山  入 寂 滅 定  後 達 磨 西 來  見 梁 武 帝  帝 
ZH_X24_0470_001:0852c05	問曰。朕造寺。寫經齋僧。不可勝紀。有何功德。師曰。	001	問 曰  朕 造 寺  寫 經 齋 僧  不 可 勝 紀  有 何 功 德  師 曰  
ZH_X24_0470_001:0852c06	並無功德。帝。曰何無功德。師曰。此但人天小果。有	001	並 無 功 德  帝  曰 何 無 功 德  師 曰  此 但 人 天 小 果  有 
ZH_X24_0470_001:0852c07	漏之因。如影隨形。雖有非實。帝曰。如何是真功德。	001	漏 之 因  如 影 隨 形  雖 有 非 實  帝 曰  如 何 是 真 功 德  
ZH_X24_0470_001:0852c08	師曰。淨智妙圓。體目空寂。如是功德。不以世求。帝。	001	師 曰  淨 智 妙 圓  體 目 空 寂  如 是 功 德  不 以 世 求  帝  
ZH_X24_0470_001:0852c09	又問。如何是聖諦第一義。師曰。廓然無聖。帝曰對	001	又 問  如 何 是 聖 諦 第 一 義  師 曰  廓 然 無 聖  帝 曰 對 
ZH_X24_0470_001:0852c10	朕者誰師曰。不識帝。不領悟師。知機不契渡江。寓	001	朕 者 誰 師 曰  不 識 帝  不 領 悟 師  知 機 不 契 渡 江  寓 
ZH_X24_0470_001:0852c11	于少林寺。終日。面壁而坐。有僧神光。晨夕參見立	001	于 少 林 寺  終 日  面 壁 而 坐  有 僧 神 光  晨 夕 參 見 立 
ZH_X24_0470_001:0852c12	雪過膝。師憫而問。久立雪中。當求何事。光。悲淚曰。	001	雪 過 膝  師 憫 而 問  久 立 雪 中  當 求 何 事  光  悲 淚 曰  
ZH_X24_0470_001:0852c13	惟願和尚慈悲。開甘露門。師曰。諸佛妙道。曠劫精	001	惟 願 和 尚 慈 悲  開 甘 露 門  師 曰  諸 佛 妙 道  曠 劫 精 
ZH_X24_0470_001:0852c14	勤。難行能行。非忍能忍。豈以小德小智。輕心慢心。	001	勤  難行能行  非 忍 能 忍  豈 以 小 德 小 智  輕 心 慢 心  
ZH_X24_0470_001:0852c15	光即取刀斷臂。師知法器。乃曰。諸佛最初求道。為	001	光 即 取 刀 斷 臂  師 知 法 器  乃 曰  諸 佛 最 初 求 道  為 
ZH_X24_0470_001:0852c16	法忘形。汝今斷臂我前。求亦可在易。名慧可。可曰。	001	法 忘 形  汝 今 斷 臂 我 前  求 亦 可 在 易  名 慧 可  可 曰  
ZH_X24_0470_001:0852c17	諸佛法印。可得聞乎。師曰。法印匪從人得。可曰我	001	諸 佛 法 印  可 得 聞 乎  師 曰  法 印 匪 從 人 得  可 曰 我 
ZH_X24_0470_001:0852c18	心未寧。乞師與安。師曰。將心來。與汝安。可曰覔心	001	心 未 寧  乞 師 與 安  師 曰  將 心 來  與 汝 安  可 曰 覔 心 
ZH_X24_0470_001:0852c19	了。不可得。師曰。我與汝安心。竟乃是。無得無說之	001	了  不 可 得  師 曰  我 與 汝 安 心  竟 乃 是  無 得 無 說 之 
