segmentnr	original	folio	analyzed
ZH_X46_0776_001:0165a22	釋。閱者自能領會耳。	001	釋  閱 者 自 能 領 會 耳  
ZH_X46_0776_001:0165a23	光緒三十二年冬十月石埭楊文會仁山氏識(時年七十)	001	光 緒 三 十 二 年 冬 十 月 石 埭 楊 文 會 仁 山 氏 識  時 年 七 十  
ZH_X46_0776_001:0165b03	目錄	001	目 錄 
ZH_X46_0776_001:0165b05	卷第一	001	卷 第 一 
ZH_X46_0776_001:0165b06	歸依德處無邊大決擇分第一	001	歸 依 德 處 無 邊 大 決 擇 分 第 一 
ZH_X46_0776_001:0165b07	歸依德處因緣大決擇分第二	001	歸 依 德 處 因 緣 大 決 擇 分 第 二 
ZH_X46_0776_001:0165b08	一種金剛道路大決擇分第三	001	一 種 金 剛 道 路 大 決 擇 分 第 三 
ZH_X46_0776_001:0165b09	金剛寶輪山王大決擇分第四	001	金 剛 寶 輪 山 王 大 決 擇 分 第 四 
ZH_X46_0776_001:0165b10	金剛山王道路大決擇分第五	001	金 剛 山 王 道 路 大 決 擇 分 第 五 
ZH_X46_0776_001:0165b11	獨一山王摩訶山王大決擇分第六	001	獨 一 山 王 摩 訶 山 王 大 決 擇 分 第 六 
ZH_X46_0776_001:0165b12	卷第二	001	卷 第 二 
ZH_X46_0776_001:0165b13	大海部藏道路大決擇分第七	001	大 海 部 藏 道 路 大 決 擇 分 第 七 
ZH_X46_0776_001:0165b14	深里出興地藏大龍王大決擇分第八	001	深 里 出 興 地 藏 大 龍 王 大 決 擇 分 第 八 
ZH_X46_0776_001:0165b15	深里出興地藏大龍王道路大決擇分第九	001	深 里 出 興 地 藏 大 龍 王 道 路 大 決 擇 分 第 九 
ZH_X46_0776_001:0165b16	大龍王重重廣海無盡大藏大決擇分第十	001	大 龍 王 重 重 廣 海 無 盡 大 藏 大 決 擇 分 第 十 
ZH_X46_0776_001:0165b17	無盡無窮盡塵數量道路大決擇分第十一	001	無 盡 無 窮 盡 塵 數 量 道 路 大 決 擇 分 第 十 一 
ZH_X46_0776_001:0165b18	卷第三	001	卷 第 三 
ZH_X46_0776_001:0165b19	不可思議不可稱量俱俱微塵本大山王大決擇	001	不可思議 不可稱量 俱 俱 微 塵 本 大 山 王 大 決 擇 
ZH_X46_0776_001:0165b20	分第十二	001	分 第 十 二 
ZH_X46_0776_001:0165b21	不可思議俱俱微塵一切山王道路大決擇分第	001	不可思議 俱 俱 微 塵 一 切 山 王 道 路 大 決 擇 分 第 
ZH_X46_0776_001:0165b22	十三	001	十 三 
ZH_X46_0776_001:0165b23	一切虗空一切微塵數量高王大決擇分第十四	001	一 切 虗 空 一 切 微 塵 數 量 高 王 大 決 擇 分 第 十 四 
ZH_X46_0776_001:0165b24	獨地非亂一定一定道路大決擇分第十五	001	獨 地 非 亂 一 定 一 定 道 路 大 決 擇 分 第 十 五 
ZH_X46_0776_001:0165c01	獨地獨天一種廣大無二山王大決擇分第十六	001	獨 地 獨 天 一 種 廣 大 無 二 山 王 大 決 擇 分 第 十 六 
ZH_X46_0776_001:0165c02	獨一無二山王自在道路大決擇分第十七	001	獨 一 無 二 山 王 自 在 道 路 大 決 擇 分 第 十 七 
ZH_X46_0776_001:0165c03	摩訶無二山王最勝高頂一地大決擇分第十八	001	摩 訶 無 二 山 王 最 勝 高 頂 一 地 大 決 擇 分 第 十 八 
ZH_X46_0776_001:0165c04	[(王/王)*((日*日)/屾)][囗@日]陀尸梵迦諾道路大決擇分第十九	001	[王王日日屾][囗日] 陀 尸 梵 迦 諾 道 路 大 決 擇 分 第 十 九 
ZH_X46_0776_001:0165c05	[(王/王)*((日*日)/屾)][囗@日]陀尸梵迦諾本王本地大決擇分第二十	001	[王王日日屾][囗日] 陀 尸 梵 迦 諾 本 王 本 地 大 決 擇 分 第 二 十 
ZH_X46_0776_001:0165c06	[玨/覞]尸梵諾本王道路大決擇分第二十一	001	[玨覞] 尸 梵 諾 本 王 道 路 大 決 擇 分 第 二 十 一 
ZH_X46_0776_001:0165c07	摩訶[玨/覞]尸梵諾母原主天王大決擇分第二十二	001	摩 訶 [玨覞] 尸 梵 諾 母 原 主 天 王 大 決 擇 分 第 二 十 二 
ZH_X46_0776_001:0165c08	一種功德純純無雜大圓滿地道路大決擇分第	001	一 種 功 德 純 純 無 雜 大 圓 滿 地 道 路 大 決 擇 分 第 
ZH_X46_0776_001:0165c09	二十三	001	二 十 三 
ZH_X46_0776_001:0165c10	一種功德摩訶本地明白離惡品藏大決擇分第	001	一 種 功 德 摩 訶 本 地 明 白 離 惡 品 藏 大 決 擇 分 第 
ZH_X46_0776_001:0165c11	二十四	001	二 十 四 
ZH_X46_0776_001:0165c12	摩訶本地具足品藏非患道路大決擇分第二十	001	摩 訶 本 地 具 足 品 藏 非 患 道 路 大 決 擇 分 第 二 十 
ZH_X46_0776_001:0165c13	五	001	五 
ZH_X46_0776_001:0165c14	摩訶寶輪王廣大圓滿無上地地大決擇分第二	001	摩 訶 寶 輪 王 廣 大 圓 滿 無 上 地 地 大 決 擇 分 第 二 
ZH_X46_0776_001:0165c15	十六	001	十 六 
ZH_X46_0776_001:0165c16	卷第四	001	卷 第 四 
ZH_X46_0776_001:0165c17	繫縛地地品類不吉祥道路大決擇分第二十七	001	繫 縛 地 地 品 類 不 吉 祥 道 路 大 決 擇 分 第 二 十 七 
ZH_X46_0776_001:0165c18	繫縛地地自然本王摩訶[糸*為]品大決擇分第二十	001	繫 縛 地 地 自 然 本 王 摩 訶 [糸為] 品 大 決 擇 分 第 二 十 
ZH_X46_0776_001:0165c19	八	001	八 
ZH_X46_0776_001:0165c20	自然本王廣大轉地無障無礙俱行道路大決擇	001	自 然 本 王 廣 大 轉 地 無障無礙 俱 行 道 路 大 決 擇 
ZH_X46_0776_001:0165c21	分第二十九	001	分 第 二 十 九 
ZH_X46_0776_001:0165c22	最極廣大俱行山王無盡海海大決擇分第三十	001	最極廣大 俱 行 山 王 無 盡 海 海 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0165c23	出離繫縛地清白解脫道路大決擇分第三十一	001	出 離 繫 縛 地 清 白 解 脫 道 路 大 決 擇 分 第 三 十 一 
ZH_X46_0776_001:0165c24	解脫山王根本地地無礙自在大決擇分第三十	001	解 脫 山 王 根 本 地 地 無 礙 自 在 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0166a01	二	001	二 
ZH_X46_0776_001:0166a02	解脫山王大道路大決擇分第三十三	001	解 脫 山 王 大 道 路 大 決 擇 分 第 三 十 三 
ZH_X46_0776_001:0166a03	廣大無盡解脫海海摩訶山王大決擇分第三十	001	廣 大 無 盡 解 脫 海 海 摩 訶 山 王 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0166a04	四	001	四 
ZH_X46_0776_001:0166a05	摩訶空塵海藏王道路大決擇分第三十五	001	摩 訶 空 塵 海 藏 王 道 路 大 決 擇 分 第 三 十 五 
ZH_X46_0776_001:0166a06	大不可思議重重不可稱量阿說本王大決擇分	001	大 不可思議 重 重 不可稱量 阿 說 本 王 大 決 擇 分 
ZH_X46_0776_001:0166a07	第三十六	001	第 三 十 六 
ZH_X46_0776_001:0166a08	校量功德讚歎信行現示利益大決擇分第三十	001	校 量 功 德 讚 歎 信 行 現 示 利 益 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0166a09	七	001	七 
ZH_X46_0776_001:0166a10	校量過患訶責誹謗現示罪業大決擇分第三十	001	校 量 過 患 訶 責 誹 謗 現 示 罪 業 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0166a11	八	001	八 
ZH_X46_0776_001:0166a12	現示本因決定證成除疑生信大決擇分第三十	001	現 示 本 因 決 定 證 成 除 疑 生 信 大 決 擇 分 第 三 十 
ZH_X46_0776_001:0166a13	九	001	九 
ZH_X46_0776_001:0166a14	勸持流通發大願海大決擇分第四十	001	勸 持 流 通 發 大 願 海 大 決 擇 分 第 四 十 
ZH_X46_0776_001:0166a15	高麗古藏作二十卷。與起信論序相符。宋元藏	001	高 麗 古 藏 作 二 十 卷  與 起 信 論 序 相 符  宋 元 藏 
ZH_X46_0776_001:0166a16	皆未收入。明藏作八卷。復併作四卷。今從之。	001	皆 未 收 入  明 藏 作 八 卷  復 併 作 四 卷  今 從 之  
ZH_X46_0776_001:0166a17	此論窮微極妙。專接利根上智。兼為凡小權漸	001	此 論 窮 微 極 妙  專 接 利 根 上 智  兼 為 凡 小 權 漸 
ZH_X46_0776_001:0166a18	之機。作一乘勝因。伏願見者聞者。熏習成種。久	001	之 機  作 一 乘 勝 因  伏 願 見 者 聞 者  熏 習 成 種  久 
ZH_X46_0776_001:0166a19	久純熟。心光發宣。即能頓入金剛信位。圓修圓	001	久 純 熟  心 光 發 宣  即 能 頓 入 金 剛 信 位  圓 修 圓 
ZH_X46_0776_001:0166a20	證。五位齊彰。與論主大願。註者誠心。交光相羅。	001	證  五 位 齊 彰  與 論 主 大 願  註 者 誠 心  交 光 相 羅  
ZH_X46_0776_001:0166a21	如寶絲網。輾轉開導。無有既極。	001	如 寶 絲 網  輾 轉 開 導  無 有 既 極  
ZH_X46_0776_001:0166b03	略標大意	001	略 標 大 意 
ZH_X46_0776_001:0166b05	第一分　歸依德處八門。佛。法。僧。有情。無情。假有。空	001	第 一 分  歸 依 德 處 八 門  佛  法  僧  有 情  無 情  假 有  空 
ZH_X46_0776_001:0166b06	無。普融。	001	無  普 融  
ZH_X46_0776_001:0166b07	第二分　歸依德處十種因緣(已上序分已下正宗分)。	001	第 二 分  歸 依 德 處 十 種 因 緣  已 上 序 分 已 下 正 宗 分   
ZH_X46_0776_001:0166b08	第三分　金剛五位名相。根本五十一位梵名。	001	第 三 分  金 剛 五 位 名 相  根 本 五 十 一 位 梵 名  
ZH_X46_0776_001:0166b09	第四分　說八轉相。同時異時。同處異處。各種差別。	001	第 四 分  說 八 轉 相  同 時 異 時  同 處 異 處  各 種 差 別  
ZH_X46_0776_001:0166b10	第五分　五位各有三用。共十五種作用。	001	第 五 分  五 位 各 有 三 用  共 十 五 種 作 用  
ZH_X46_0776_001:0166b11	第六分　金剛五位。根本五十一位。各各互具。成立。	001	第 六 分  金 剛 五 位  根 本 五 十 一 位  各 各 互 具  成 立  
ZH_X46_0776_001:0166b12	一千二百七十五位。○以上四分。為一論綱宗。	001	一 千 二 百 七 十 五 位   以 上 四 分  為 一 論 綱 宗  
ZH_X46_0776_001:0166b13	第七分　內有六門。五種非空決定住法。五種無常	001	第 七 分  內 有 六 門  五 種 非 空 決 定 住 法  五 種 無 常 
ZH_X46_0776_001:0166b14	虗假轉法。共為第一建立名字不同門。第二所詮	001	虗 假 轉 法  共 為 第 一 建 立 名 字 不 同 門  第 二 所 詮 
ZH_X46_0776_001:0166b15	義理差別門。第三依位決定安立門。內有十種別	001	義 理 差 別 門  第 三 依 位 決 定 安 立 門  內 有 十 種 別 
ZH_X46_0776_001:0166b16	建立位。第四依位法數具闕門。第五德患對量現	001	建 立 位  第 四 依 位 法 數 具 闕 門  第 五 德 患 對 量 現 
ZH_X46_0776_001:0166b17	宗門。第六隨次別釋廣說門。	001	宗 門  第 六 隨 次 別 釋 廣 說 門  
ZH_X46_0776_001:0166b18	第八分　地藏大龍王有功德過患二義。從七分來。	001	第 八 分  地 藏 大 龍 王 有 功 德 過 患 二 義  從 七 分 來  
ZH_X46_0776_001:0166b19	第九分　功德過患二藏之中。各有十法。通為建立	001	第 九 分  功 德 過 患 二 藏 之 中  各 有 十 法  通 為 建 立 
ZH_X46_0776_001:0166b20	名字門。次說所詮義理門。內分治障對量差別門。	001	名 字 門  次 說 所 詮 義 理 門  內 分 治 障 對 量 差 別 門  
ZH_X46_0776_001:0166b21	安立金剛位地門。	001	安 立 金 剛 位 地 門  
ZH_X46_0776_001:0166b22	第十分　說三種重。廣大數量。令修止觀。斷惑證真。	001	第 十 分  說 三 種 重  廣 大 數 量  令 修 止 觀  斷 惑 證 真  
ZH_X46_0776_001:0166b23	○以上四分。說對治法門。屬漸轉位。	001	 以 上 四 分  說 對 治 法 門  屬 漸 轉 位  
ZH_X46_0776_001:0166b24	第十一分　說十種變對法門。詳示出世因果差別	001	第 十 一 分  說 十 種 變 對 法 門  詳 示 出 世 因果差別 
ZH_X46_0776_001:0166c01	之相。	001	之 相  
ZH_X46_0776_001:0166c02	第十二分　說三種數量倍。一法寶。二僧寶。三佛寶。	001	第 十 二 分  說 三 種 數 量 倍  一 法 寶  二 僧 寶  三 佛 寶  
ZH_X46_0776_001:0166c03	第十三分　現示本體安立門。現示上末轉相門。引	001	第 十 三 分  現 示 本 體 安 立 門  現 示 上 末 轉 相 門  引 
ZH_X46_0776_001:0166c04	經說次第十轉。至不可思議無量品。	001	經 說 次 第 十 轉  至 不可思議 無 量 品  
ZH_X46_0776_001:0166c05	第十四分　二門同前。數量倍增。百千萬億。乃至無	001	第 十 四 分  二 門 同 前  數 量 倍 增  百 千 萬 億  乃 至 無 
ZH_X46_0776_001:0166c06	窮盡故。○以上四分。屬俱是位。	001	窮 盡 故   以 上 四 分  屬 俱 是 位  
ZH_X46_0776_001:0166c07	第十五分　建立五種轉相。說不可合一之法。一者	001	第 十 五 分  建 立 五 種 轉 相  說 不 可 合 一 之 法  一 者 
ZH_X46_0776_001:0166c08	上上一一轉相門。二者本本一一轉相門。三者俱	001	上 上 一 一 轉 相 門  二 者 本 本 一 一 轉 相 門  三 者 俱 
ZH_X46_0776_001:0166c09	行不離轉相門。四者區區不雜轉相門。五者圓滿	001	行 不 離 轉 相 門  四 者 區 區 不 雜 轉 相 門  五 者 圓 滿 
ZH_X46_0776_001:0166c10	具足轉相門。	001	具 足 轉 相 門  
ZH_X46_0776_001:0166c11	第十六分　一者本一自性位地門。二者本一之本	001	第 十 六 分  一 者 本 一 自 性 位 地 門  二 者 本 一 之 本 
ZH_X46_0776_001:0166c12	位地門。	001	位 地 門  
ZH_X46_0776_001:0166c13	第十七分　本轉形相。上轉形相。	001	第 十 七 分  本 轉 形 相  上 轉 形 相  
ZH_X46_0776_001:0166c14	第十八分　說十二無窮。引經一千二百無窮盡品	001	第 十 八 分  說 十 二 無 窮  引 經 一 千 二 百 無 窮 盡 品 
ZH_X46_0776_001:0166c15	具足俱轉。○以上四分。屬俱非位。	001	具 足 俱 轉   以 上 四 分  屬 俱 非 位  
ZH_X46_0776_001:0166c16	第十九分　七變修行。總有三種。一者功德七變。二	001	第 十 九 分  七 變 修 行  總 有 三 種  一 者 功 德 七 變  二 
ZH_X46_0776_001:0166c17	者過患七變。三者等量七變。均有上轉下轉以為	001	者 過 患 七 變  三 者 等 量 七 變  均 有 上 轉 下 轉 以 為 
ZH_X46_0776_001:0166c18	變相。	001	變 相  
ZH_X46_0776_001:0166c19	第二十分　三種百變。過患。功德。等量。名義同前。增	001	第 二 十 分  三 種 百 變  過 患  功 德  等 量  名 義 同 前  增 
ZH_X46_0776_001:0166c20	倍數轉。	001	倍 數 轉  
ZH_X46_0776_001:0166c21	第二十一分　三種千變。名義同前。增倍數轉。	001	第 二 十 一 分  三 種 千 變  名 義 同 前  增 倍 數 轉  
ZH_X46_0776_001:0166c22	第二十二分　三種億變。名義同前。增倍數轉。○以	001	第 二 十 二 分  三 種 億 變  名 義 同 前  增 倍 數 轉   以 
ZH_X46_0776_001:0166c23	上四分。屬總持位。	001	上 四 分  屬 總 持 位  
ZH_X46_0776_001:0166c24	第二十三分　五十一位。各具五十。成二千五百五	001	第 二 十 三 分  五 十 一 位  各 具 五 十  成 二 千 五 百 五 
ZH_X46_0776_001:0167a01	十法門。位位具足性相本末四法。成立一萬二百	001	十 法 門  位 位 具 足 性 相 本 末 四 法  成 立 一 萬 二 百 
ZH_X46_0776_001:0167a02	法。合總數有一萬二千七百五十法門。	001	法  合 總 數 有 一 萬 二 千 七 百 五 十 法 門  
ZH_X46_0776_001:0167a03	第二十四分　如前所說一切位中。各各攝差別轉	001	第 二 十 四 分  如前所說 一 切 位 中  各 各 攝 差 別 轉 
ZH_X46_0776_001:0167a04	五十位。則成六億三萬七千五百法門。	001	五 十 位  則 成 六 億 三 萬 七 千 五 百 法 門  
ZH_X46_0776_001:0167a05	第二十五分　一者橫轉徧到俱行門。二者豎轉無	001	第 二 十 五 分  一 者 橫 轉 徧 到 俱 行 門  二 者 豎 轉 無 
ZH_X46_0776_001:0167a06	雜一路門。	001	雜 一 路 門  
ZH_X46_0776_001:0167a07	第二十六分　總別相攝。○以上四分。屬圓滿位。	001	第 二 十 六 分  總 別 相 攝   以 上 四 分  屬 圓 滿 位  
ZH_X46_0776_001:0167a08	第二十七分　入道初門。全仗對治。與第七分後先	001	第 二 十 七 分  入 道 初 門  全 仗 對 治  與 第 七 分 後 先 
ZH_X46_0776_001:0167a09	相映。建立智理障果四法。以為斷證公據。	001	相 映  建 立 智 理 障 果 四 法  以 為 斷 證 公 據  
ZH_X46_0776_001:0167a10	第二十八分　障輕理顯。有無齊運。上轉下轉。至小	001	第 二 十 八 分  障 輕 理 顯  有 無 齊 運  上 轉 下 轉  至 小 
ZH_X46_0776_001:0167a11	無量。	001	無 量  
ZH_X46_0776_001:0167a12	第二十九分　行藏海中。常無常德。漸漸增進。至中	001	第 二 十 九 分  行 藏 海 中  常 無 常 德  漸 漸 增 進  至 中 
ZH_X46_0776_001:0167a13	無量。	001	無 量  
ZH_X46_0776_001:0167a14	第三十分　行常山王海中。有三種大無量。一者常	001	第 三 十 分  行 常 山 王 海 中  有 三 種 大 無 量  一 者 常 
ZH_X46_0776_001:0167a15	大無量。二者無常大無量。三者轉變大無量。○以	001	大 無 量  二 者 無 常 大 無 量  三 者 轉 變 大 無 量   以 
ZH_X46_0776_001:0167a16	上四分。說信。住。行。向。進道階差。	001	上 四 分  說 信  住  行  向  進 道 階 差  
ZH_X46_0776_001:0167a17	第三十一分　十空無為。十有無為。依二十無為。五	001	第 三 十 一 分  十 空 無 為  十 有 無 為  依 二 十 無 為  五 
ZH_X46_0776_001:0167a18	十一位建立二種轉相。一者重重該攝無障礙門。	001	十 一 位 建 立 二 種 轉 相  一 者 重 重 該 攝 無 障 礙 門  
ZH_X46_0776_001:0167a19	二者次第亂轉超過門。	001	二 者 次 第 亂 轉 超 過 門  
ZH_X46_0776_001:0167a20	第三十二分　空有互生。十空無為。一一出生十有	001	第 三 十 二 分  空 有 互 生  十 空 無 為  一 一 出 生 十 有 
ZH_X46_0776_001:0167a21	無為常法。十有無為。一一出生十空無為常法。	001	無 為 常 法  十 有 無 為  一 一 出 生 十 空 無 為 常 法  
ZH_X46_0776_001:0167a22	第三十三分　一者空空轉。十空各生十空。二者有	001	第 三 十 三 分  一 者 空 空 轉  十 空 各 生 十 空  二 者 有 
ZH_X46_0776_001:0167a23	有轉。十有各生十有。三者位位轉。五十一位各生	001	有 轉  十 有 各 生 十 有  三 者 位 位 轉  五 十 一 位 各 生 
ZH_X46_0776_001:0167a24	五十。	001	五 十  
ZH_X46_0776_001:0167b01	第三十四分　通結體相用。歸於無盡。○以上四分。	001	第 三 十 四 分  通 結 體 相 用  歸 於 無 盡   以 上 四 分  
ZH_X46_0776_001:0167b02	說地上德用。自二十七分以來。凡八分。屬漸轉位。	001	說 地 上 德 用  自 二 十 七 分 以 來  凡 八 分  屬 漸 轉 位  
ZH_X46_0776_001:0167b03	第三十五分　統前三十二法。無不自在。	001	第 三 十 五 分  統 前 三 十 二 法  無 不 自 在  
ZH_X46_0776_001:0167b04	第三十六分　三十三法。沒同果海。不可思議。不能	001	第 三 十 六 分  三 十 三 法  沒 同 果 海  不可思議  不 能 
ZH_X46_0776_001:0167b05	窮了。○以上二分。因圓果滿(已上正宗分已下流通分)。	001	窮 了   以 上 二 分  因 圓 果 滿  已 上 正 宗 分 已 下 流 通 分   
ZH_X46_0776_001:0167b06	第三十七分　說十二喻。讚歎論之勝用。	001	第 三 十 七 分  說 十 二 喻  讚 歎 論 之 勝 用  
ZH_X46_0776_001:0167b07	第三十八分　先說三喻。警醒愚迷。次說十偈。令離	001	第 三 十 八 分  先 說 三 喻  警 醒 愚 迷  次 說 十 偈  令 離 
ZH_X46_0776_001:0167b08	誹謗。後說一偈。丁寧誥誡。	001	誹 謗  後 說 一 偈  丁 寧 誥 誡  
ZH_X46_0776_001:0167b09	第三十九分　馬鳴菩薩自說往因。并隨佛發願。及	001	第 三 十 九 分  馬 鳴 菩 薩 自 說 往 因  并 隨 佛 發 願  及 
ZH_X46_0776_001:0167b10	遵敕造論緣起。	001	遵 敕 造 論 緣 起  
ZH_X46_0776_001:0167b11	第四十分　普勸受持。	001	第 四 十 分  普 勸 受 持  
ZH_X46_0776_001:0168a02	大宗地玄文本論金剛五位圖	001	大 宗 地 玄 文 本 論 金 剛 五 位 圖 
ZH_X46_0776_001:0172a03	大宗地玄文本論略註卷第一	001	大 宗 地 玄 文 本 論 略 註 卷 第 一 
ZH_X46_0776_001:0172a05	馬鳴菩薩　造	001	馬 鳴 菩 薩  造 
ZH_X46_0776_001:0172a06	陳　真諦三藏　譯	001	陳  真 諦 三 藏  譯 
ZH_X46_0776_001:0172a07	清　楊文會　略註	001	清  楊 文 會  略 註 
ZH_X46_0776_001:0172a08	(大宗地者。一切法門之總綱。如地發生萬物。義理深微。故稱玄文。千枝萬葉從此分佈。故名為本。論	001	 大 宗 地 者  一切法門 之 總 綱  如 地 發 生 萬 物  義 理 深 微  故 稱 玄 文  千 枝 萬 葉 從 此 分 佈  故 名 為 本  論 
ZH_X46_0776_001:0172a09	者決擇。徵釋。翼贊佛經也。又本論之外。應有釋論以伸其義。惜未傳來)。	001	者 決 擇  徵 釋  翼 贊 佛 經 也  又 本 論 之 外  應 有 釋 論 以 伸 其 義  惜 未 傳 來   
ZH_X46_0776_001:0172a10	○歸依德處無邊大決擇分第一	001	 歸 依 德 處 無 邊 大 決 擇 分 第 一 
ZH_X46_0776_001:0172a11	　頂禮一切無餘明　　非一非一諸則地	001	 頂 禮 一 切 無 餘 明   非 一 非 一 諸 則 地 
ZH_X46_0776_001:0172a12	　不數不思無量一　　并諸種種趣生類	001	 不 數 不 思 無 量 一   并 諸 種 種 趣 生 類 
ZH_X46_0776_001:0172a13	　本無量數斷命品　　與等塵塵無有法	001	 本 無 量 數 斷 命 品   與 等 塵 塵 無 有 法 
ZH_X46_0776_001:0172a14	　兼不可說無所有　　通俱非是等諸法	001	 兼 不 可 說 無 所 有   通 俱 非 是 等 諸 法 
ZH_X46_0776_001:0172a15	論曰。就此二行偈中(天竺偈頌。八字成句。四句為一偈。貝葉梵文。橫書三十二字作	001	論 曰  就 此 二 行 偈 中  天 竺 偈 頌  八 字 成 句  四 句 為 一 偈  貝 葉 梵 文  橫 書 三 十 二 字 作 
ZH_X46_0776_001:0172a16	一行。譯成漢文。五字七字不等。亦以四句為一行偈)。則有八門。云何為八。一者	001	一 行  譯 成 漢 文  五 字 七 字 不 等  亦 以 四 句 為 一 行 偈   則 有 八 門  云 何 為 八  一 者 
ZH_X46_0776_001:0172a17	顯示中中主者門。二者顯示道路軌則門。三者顯示	001	顯 示 中 中 主 者 門  二 者 顯 示 道 路 軌 則 門  三 者 顯 示 
ZH_X46_0776_001:0172a18	離雜合一門。四者顯示無邊毛生門。五者顯示種種	001	離 雜 合 一 門  四 者 顯 示 無 邊 毛 生 門  五 者 顯 示 種 種 
ZH_X46_0776_001:0172a19	離識門。六者顯示假有無實門。七者顯示無所有事	001	離 識 門  六 者 顯 示 假 有 無 實 門  七 者 顯 示 無 所 有 事 
ZH_X46_0776_001:0172a20	門。八者顯示具足無礙門。是名為八。(思議所及處。并所不及處。無非	001	門  八 者 顯 示 具 足 無 礙 門  是 名 為 八   思 議 所 及 處  并 所 不 及 處  無 非 
ZH_X46_0776_001:0172a21	歸依德處。則能歸所歸。融合為一。十界依正。悉入自心。所造之論。攝盡十方三世一切佛法。無欠無餘。後生何	001	歸 依 德 處  則 能 歸 所 歸  融 合 為 一  十 界 依 正  悉 入 自 心  所 造 之 論  攝 盡 十 方 三 世 一切佛法  無 欠 無 餘  後 生 何 
ZH_X46_0776_001:0172a22	幸。而能得此妙典耶)就顯示中中主者門中。則有五種(佛寶)。云何	001	幸  而 能 得 此 妙 典 耶  就 顯 示 中 中 主 者 門 中  則 有 五 種  佛 寶   云 何 
ZH_X46_0776_001:0172a23	為五。一者隨順隨轉應身主者。二者有無無礙變身	001	為 五  一 者 隨 順 隨 轉 應 身 主 者  二 者 有 無 無 礙 變 身 
