segmentnr	original	folio	analyzed
ZH_X88_1649_001:0322b01	載此名身不朽。知慧命亦無盡。此帙即法喜也。能持	001	載 此 名 身 不 朽  知 慧 命 亦 無 盡  此 帙 即 法 喜 也  能 持 
ZH_X88_1649_001:0322b02	過去慧命。能資現在慧命。能生未來慧命。真法喜歟。	001	過 去 慧 命  能 資 現 在 慧 命  能 生 未 來 慧 命  真 法 喜 歟  
ZH_X88_1649_001:0322b03	真法喜歟。　　　紫竹林　觀衡　撰	001	真 法 喜 歟     紫 竹 林  觀 衡  撰 
ZH_X88_1649_001:0322b06	名公法喜志敘	001	名 公 法 喜 志 敘 
ZH_X88_1649_001:0322b08	今夫草木。自莖目葉。自葩自實。種種色色。殊形異態。	001	今 夫 草 木  自 莖 目 葉  自 葩 自 實  種 種 色 色  殊 形 異 態  
ZH_X88_1649_001:0322b09	而及乎膏殘華落。總必歸根。根在則當春而茁。一歲	001	而 及 乎 膏 殘 華 落  總 必 歸 根  根 在 則 當 春 而 茁  一 歲 
ZH_X88_1649_001:0322b10	由是。十歲由是。乃至千百歲由是。人亦一草木也。之	001	由 是  十 歲 由 是  乃 至 千 百 歲 由 是  人 亦 一 草 木 也  之 
ZH_X88_1649_001:0322b11	生而死。之死而生。夫死而生者根也。法門所謂種子	001	生 而 死  之 死 而 生  夫 死 而 生 者 根 也  法 門 所 謂 種 子 
ZH_X88_1649_001:0322b12	是也。慧根一種。雖復展轉輪迴。而衣珠自在。至寶弗	001	是 也  慧 根 一 種  雖 復 展 轉 輪 迴  而 衣 珠 自 在  至 寶 弗 
ZH_X88_1649_001:0322b13	失。如樹梧則梧。樹檟則檟。從其所樹。久且不易。未有	001	失  如 樹 梧 則 梧  樹 檟 則 檟  從 其 所 樹  久 且 不 易  未 有 
ZH_X88_1649_001:0322b14	樹優曇而得巨磨。樹菴羅而得惡叉聚者也。夫自古	001	樹 優 曇 而 得 巨 磨  樹 菴 羅 而 得 惡 叉 聚 者 也  夫 自 古 
ZH_X88_1649_001:0322b15	聖哲。其樹深矣。樹之最初。而要之再世彼其人。即復	001	聖 哲  其 樹 深 矣  樹 之 最 初  而 要 之 再 世 彼 其 人  即 復 
ZH_X88_1649_001:0322b16	習曾史法申韓勒祈連燿麟閣。犯一切空有之戒。甚	001	習 曾 史 法 申 韓 勒 祈 連 燿 麟 閣  犯 一 切 空 有 之 戒  甚 
ZH_X88_1649_001:0322b17	或絲竹寄勝。曲生埋照。蠟屐留連。金湯辨論。處身智	001	或 絲 竹 寄 勝  曲 生 埋 照  蠟 屐 留 連  金 湯 辨 論  處 身 智 
ZH_X88_1649_001:0322b18	囊。托好阿堵。于薄迦氏。不啻河漢。而究竟收拾。未有	001	囊  托 好 阿 堵  于 薄 迦 氏  不 啻 河 漢  而 究 竟 收 拾  未 有 
ZH_X88_1649_001:0322b19	不探覺海。不窺般若門者。故或始疑而終信。或迹背	001	不 探 覺 海  不 窺 般 若 門 者  故 或 始 疑 而 終 信  或 迹 背 
ZH_X88_1649_001:0322b20	而實諧。或口排而衷嗜。要於了義。十九見解。何以故。	001	而 實 諧  或 口 排 而 衷 嗜  要 於 了 義  十 九 見 解  何 以 故  
ZH_X88_1649_001:0322b21	根在故也。夏君夙稟慧性。能見本來。摭自晉魏。以迄	001	根 在 故 也  夏 君 夙 稟 慧 性  能 見 本 來  摭 自 晉 魏  以 迄 
ZH_X88_1649_001:0322b22	唐宋。諸知禪學者。若而人曰法喜志。志中若許詢劉	001	唐 宋  諸 知 禪 學 者  若 而 人 曰 法 喜 志  志 中 若 許 詢 劉 
ZH_X88_1649_001:0322b23	溉龐蘊裴休之屬。生平為佛弟子亡論。即昌黎諫佛	001	溉 龐 蘊 裴 休 之 屬  生 平 為 佛 弟 子 亡 論  即 昌 黎 諫 佛 
ZH_X88_1649_001:0322b24	骨。而從游大顛。杜祁公不信佛氏。讀楞嚴而有解。曰	001	骨  而 從 游 大 顛  杜 祁 公 不 信 佛 氏  讀 楞 嚴 而 有 解  曰 
ZH_X88_1649_001:0322c01	恨得之晚。乃知從威音至今。諸騷人墨士名臣碩宰。	001	恨 得 之 晚  乃 知 從 威 音 至 今  諸 騷 人 墨 士 名 臣 碩 宰  
ZH_X88_1649_001:0322c02	何甞不自祗洹中來哉。昔謂老子為摩訶迦葉。宣尼	001	何 甞 不 自 祗 洹 中 來 哉  昔 謂 老 子 為 摩 訶 迦 葉  宣 尼 
ZH_X88_1649_001:0322c03	乃淨名童子。事有固然。無足訝者。知禪者不言禪。亦	001	乃 淨 名 童 子  事 有 固 然  無 足 訝 者  知 禪 者 不 言 禪  亦 
ZH_X88_1649_001:0322c04	猶善易者不言易。故夫有法者。不有其法者也。世人	001	猶 善 易 者 不 言 易  故 夫 有 法 者  不 有 其 法 者 也  世 人 
ZH_X88_1649_001:0322c05	弁髦五戒。土苴大三藏。而猥云見佛。且以為盜區。且	001	弁 髦 五 戒  土 苴 大 三 藏  而 猥 云 見 佛  且 以 為 盜 區  且 
ZH_X88_1649_001:0322c06	以為名利藪。此與闡提蔑隷何異。何言佛法哉。試舉	001	以 為 名 利 藪  此 與 闡 提 蔑 隷 何 異  何 言 佛 法 哉  試 舉 
ZH_X88_1649_001:0322c07	是編示之。能淟然汗下。當一棒喝下種子否。	001	是 編 示 之  能 淟 然 汗 下  當 一 棒 喝 下 種 子 否  
ZH_X88_1649_001:0322c08	羼提居士鄒迪光譔	001	羼 提 居 士 鄒 迪 光 譔 
ZH_X88_1649_001:0322c11	灋喜志敘	001	灋 喜 志 敘 
ZH_X88_1649_001:0322c13	澄江夏孝廉。輯灋喜志成。有客過余。語及之。而曰。茂	001	澄 江 夏 孝 廉  輯 灋 喜 志 成  有 客 過 余  語 及 之  而 曰  茂 
ZH_X88_1649_001:0322c14	卿津津禪悅。迹所采擷。率從忠孝節誼中薦取。跳不	001	卿 津 津 禪 悅  迹 所 采 擷  率 從 忠 孝 節 誼 中 薦 取  跳 不 
ZH_X88_1649_001:0322c15	得儒家門戶何也。余曰。茂卿以儒用禪者也。非以儒	001	得 儒 家 門 戶 何 也  余 曰  茂 卿 以 儒 用 禪 者 也  非 以 儒 
ZH_X88_1649_001:0322c16	為禪用者也。以儒為禪用。即儒亦化而禪。以儒用禪。	001	為 禪 用 者 也  以 儒 為 禪 用  即 儒 亦 化 而 禪  以 儒 用 禪  
ZH_X88_1649_001:0322c17	即禪亦化而儒矣。此茂卿陶鑄手也。曰然則儒家擯	001	即 禪 亦 化 而 儒 矣  此 茂 卿 陶 鑄 手 也  曰 然 則 儒 家 擯 
ZH_X88_1649_001:0322c18	禪何也。曰此以正學脉也。而茂卿以廣取善也。一主	001	禪 何 也  曰 此 以 正 學 脉 也  而 茂 卿 以 廣 取 善 也  一 主 
ZH_X88_1649_001:0322c19	嚴。一主寬。兩者並行。而不悖也。曰伯升之穢焉而錄	001	嚴  一 主 寬  兩 者 並 行  而 不 悖 也  曰 伯 升 之 穢 焉 而 錄 
ZH_X88_1649_001:0322c20	休文之阿焉錄。處道之悖敵而錄。天覺之黨焉而錄。	001	休 文 之 阿 焉 錄  處 道 之 悖 敵 而 錄  天 覺 之 黨 焉 而 錄  
ZH_X88_1649_001:0322c21	奚取也。曰兵有法。期於克敵。不必出自孫吳也。醫有	001	奚 取 也  曰 兵 有 法  期 於 克 敵  不 必 出 自 孫 吳 也  醫 有 
ZH_X88_1649_001:0322c22	案。期於療病。不必出自盧扁也。客曰。善已。又語客曰。	001	案  期 於 療 病  不 必 出 自 盧 扁 也  客 曰  善 已  又 語 客 曰  
ZH_X88_1649_001:0322c23	請為子竟其說。禪教之興。本之乘儒教之衰而入。顧	001	請 為 子 竟 其 說  禪 教 之 興  本 之 乘 儒 教 之 衰 而 入  顧 
ZH_X88_1649_001:0322c24	其所以得久行而不廢。則又賴儒教之立也。有如土	001	其 所 以 得 久 行 而 不 廢  則 又 賴 儒 教 之 立 也  有 如 土 
ZH_X88_1649_001:0323a01	苴人倫。粃糠事物。胥天下而入於虗無寂滅之教。世	001	苴 人 倫  粃 糠 事 物  胥 天 下 而 入 於 虗 無 寂 滅 之 教  世 
ZH_X88_1649_001:0323a02	道人心。且蕩然靡所主持。彼禪者流。即欲雲臥霞餐。	001	道 人 心  且 蕩 然 靡 所 主 持  彼 禪 者 流  即 欲 雲 臥 霞 餐  
ZH_X88_1649_001:0323a03	雍容麈拂。以課其所謂向上第一諦。將焉能之。昔王	001	雍 容 麈 拂  以 課 其 所 謂 向 上 第 一 諦  將 焉 能 之  昔 王 
ZH_X88_1649_001:0323a04	仲祖劉真常。共訪何驃騎。驃騎看文書。不顧。王謂何	001	仲 祖 劉 真 常  共 訪 何 驃 騎  驃 騎 看 文 書  不 顧  王 謂 何 
ZH_X88_1649_001:0323a05	曰。卿何不擺撥常務。應對玄言。那復低頭看此耶。何	001	曰  卿 何 不 擺 撥 常 務  應 對 玄 言  那 復 低 頭 看 此 耶  何 
ZH_X88_1649_001:0323a06	曰。我不看此。卿等何以得存。聞者共賞。以為佳。由此	001	曰  我 不 看 此  卿 等 何 以 得 存  聞 者 共 賞  以 為 佳  由 此 
ZH_X88_1649_001:0323a07	言之。茂卿之為是編。特於忠孝節誼三致意也。其深	001	言 之  茂 卿 之 為 是 編  特 於 忠 孝 節 誼 三 致 意 也  其 深 
ZH_X88_1649_001:0323a08	乎。其深乎。客以告茂卿。曰善。遂掇幅箋受之。而標其	001	乎  其 深 乎  客 以 告 茂 卿  曰 善  遂 掇 幅 箋 受 之  而 標 其 
ZH_X88_1649_001:0323a09	端。	001	端  
ZH_X88_1649_001:0323a12	灋喜志題辭	001	灋 喜 志 題 辭 
ZH_X88_1649_001:0323a14	原夫千流萬派。莫非天一所生。滿字隻言。孰是象三	001	原 夫 千 流 萬 派  莫 非 天 一 所 生  滿 字 隻 言  孰 是 象 三 
ZH_X88_1649_001:0323a15	之外。儻能函三為一。庶幾即佛是心。爰自誕影周星。	001	之 外  儻 能 函 三 為 一  庶 幾 即 佛 是 心  爰 自 誕 影 周 星  
ZH_X88_1649_001:0323a16	通暉漢日。鷲頭峯下。演金口之微言。鷄足山中。舒玉	001	通 暉 漢 日  鷲 頭 峯 下  演 金 口 之 微 言  鷄 足 山 中  舒 玉 
ZH_X88_1649_001:0323a17	毫之瑞色。蓮花六葉。白社同開。祇樹雙林。玄風獨暢。	001	毫 之 瑞 色  蓮 花 六 葉  白 社 同 開  祇 樹 雙 林  玄 風 獨 暢  
ZH_X88_1649_001:0323a18	豈非荷持象灋汲引人倫者乎。自匪利根。寧超正果。	001	豈 非 荷 持 象 灋 汲 引 人 倫 者 乎  自 匪 利 根  寧 超 正 果  
ZH_X88_1649_001:0323a19	別相別名。各喝登堂之棒。說常說寂。共操入室之戈。	001	別 相 別 名  各 喝 登 堂 之 棒  說 常 說 寂  共 操 入 室 之 戈  
ZH_X88_1649_001:0323a20	有齊脩。有單脩。並擬折衝尊俎。無假觀。無空觀。願言	001	有 齊 脩  有 單 脩  並 擬 折 衝 尊 俎  無 假 觀  無 空 觀  願 言 
ZH_X88_1649_001:0323a21	剖破藩籬。尼師聃。聃師竺。師亦何常。墨歸揚。揚歸儒。	001	剖 破 藩 籬  尼 師 聃  聃 師 竺  師 亦 何 常  墨 歸 揚  揚 歸 儒  
ZH_X88_1649_001:0323a22	歸斯可受。何用分門立戶。自然識路知家。總屬一因	001	歸 斯 可 受  何 用 分 門 立 戶  自 然 識 路 知 家  總 屬 一 因 
ZH_X88_1649_001:0323a23	緣。乳酥流出。便說三次第。羊鹿俱無。七十二君。皆在	001	緣  乳 酥 流 出  便 說 三 次 第  羊 鹿 俱 無  七 十 二 君  皆 在 
ZH_X88_1649_001:0323a24	鈞陶之內。八萬千歲。即為俄頃之間。此夏丈茂卿所	001	鈞 陶 之 內  八 萬 千 歲  即 為 俄 頃 之 間  此 夏 丈 茂 卿 所 
ZH_X88_1649_001:0323b01	為志灋喜也。茂卿顯證一乘。深研三藏。謂此岸無非	001	為 志 灋 喜 也  茂 卿 顯 證 一 乘  深 研 三 藏  謂 此 岸 無 非 
ZH_X88_1649_001:0323b02	彼岸。法身即是報身。矧夫忠孝節義之儒。合于清淨。	001	彼 岸  法 身 即 是 報 身  矧 夫 忠 孝 節 義 之 儒  合 于 清 淨  
ZH_X88_1649_001:0323b03	精微之旨。遠泝東方而下。近沿南宋以前。凡宰官居	001	精 微 之 旨  遠 泝 東 方 而 下  近 沿 南 宋 以 前  凡 宰 官 居 
ZH_X88_1649_001:0323b04	士之闡揚。小史稗家之載記。莫不徵引所出。捃摭而	001	士 之 闡 揚  小 史 稗 家 之 載 記  莫 不 徵 引 所 出  捃 摭 而 
ZH_X88_1649_001:0323b05	來。即代不數人。人不數語。而機緣交激。若掣劒光。智	001	來  即 代 不 數 人  人 不 數 語  而 機 緣 交 激  若 掣 劒 光  智 
ZH_X88_1649_001:0323b06	藏開明。旁資鞭影。振金聲于覺苑。遠寶路于詞壇。儻	001	藏 開 明  旁 資 鞭 影  振 金 聲 于 覺 苑  遠 寶 路 于 詞 壇  儻 
ZH_X88_1649_001:0323b07	非標表禪宗。縷詳史籍。何以契傳燈之喻。施合轍之	001	非 標 表 禪 宗  縷 詳 史 籍  何 以 契 傳 燈 之 喻  施 合 轍 之 
ZH_X88_1649_001:0323b08	功乎。固知。眼裏有筋。具遊戲於花飛釧動。舌頭無骨。	001	功 乎  固 知  眼 裏 有 筋  具 遊 戲 於 花 飛 釧 動  舌 頭 無 骨  
ZH_X88_1649_001:0323b09	妙言筌于見色聞聲。寧獨破三學之中堅。抑可謂四	001	妙 言 筌 于 見 色 聞 聲  寧 獨 破 三 學 之 中 堅  抑 可 謂 四 
ZH_X88_1649_001:0323b10	禪之外護者矣。不侫愧臨川之翻譯。乏淨土之脩持。	001	禪 之 外 護 者 矣  不 侫 愧 臨 川 之 翻 譯  乏 淨 土 之 脩 持  
ZH_X88_1649_001:0323b11	文力無餘。天機最淺。聊藉阮瞻之語。以自附于玄晏	001	文 力 無 餘  天 機 最 淺  聊 藉 阮 瞻 之 語  以 自 附 于 玄 晏 
ZH_X88_1649_001:0323b12	之一言云爾。　　　莊嚴居士友弟吳亮書	001	之 一 言 云 爾     莊 嚴 居 士 友 弟 吳 亮 書 
ZH_X88_1649_001:0323b15	灋喜志自敘	001	灋 喜 志 自 敘 
ZH_X88_1649_001:0323b17	文始曰。一蜂至眇也。亦能遊觀乎天地。一鰕至微也。	001	文 始 曰  一 蜂 至 眇 也  亦 能 遊 觀 乎 天 地  一 鰕 至 微 也  
ZH_X88_1649_001:0323b18	亦能放肆乎大海。況人配二儀。超萬有。而可無寥廓	001	亦 能 放 肆 乎 大 海  況 人 配 二 儀  超 萬 有  而 可 無 寥 廓 
ZH_X88_1649_001:0323b19	遠大之思乎。幾世出世間。得灋自在。誠往喆消遙之	001	遠 大 之 思 乎  幾 世出世間  得 灋 自 在  誠 往 喆 消 遙 之 
ZH_X88_1649_001:0323b20	令圖。而亦今人曠達之玄致也。玉几山人。有物外英	001	令 圖  而 亦 今 人 曠 達 之 玄 致 也  玉 几 山 人  有 物 外 英 
ZH_X88_1649_001:0323b21	豪錄。昉古參禪學道之士。彚而成編。[(厂@((既-旡)-日+口))*頁]繁者厖雜。簡	001	豪 錄  昉 古 參 禪 學 道 之 士  彚 而 成 編  [厂既旡日口頁] 繁 者 厖 雜  簡 
ZH_X88_1649_001:0323b22	者寂寥。譎者瑣誕。佚者挂漏。余讀未卒業。而為之四	001	者 寂 寥  譎 者 瑣 誕  佚 者 挂 漏  余 讀 未 卒 業  而 為 之 四 
ZH_X88_1649_001:0323b23	顧。為之躊躇。竊有志焉。暇日山居。橫襟睨古。於諸名	001	顧  為 之 躊 躇  竊 有 志 焉  暇 日 山 居  橫 襟 睨 古  於 諸 名 
ZH_X88_1649_001:0323b24	公。次第采擷。一一校讐。人各具一小傳。盖自晉魏齊	001	公  次 第 采 擷  一 一 校 讐  人 各 具 一 小 傳  盖 自 晉 魏 齊 
ZH_X88_1649_001:0323c01	梁。迄于唐宋。按以歷朝本史。或諸名公文集。或散見	001	梁  迄 于 唐 宋  按 以 歷 朝 本 史  或 諸 名 公 文 集  或 散 見 
ZH_X88_1649_001:0323c02	本傳。或錯綜于大藏傳燈語錄諸書。裒多益寡纂要	001	本 傳  或 錯 綜 于 大 藏 傳 燈 語 錄 諸 書  裒 多 益 寡 纂 要 
ZH_X88_1649_001:0323c03	鈎玄。題曰灋喜志。釐為四卷。大都超絕殊勝于世外。	001	鈎 玄  題 曰 灋 喜 志  釐 為 四 卷  大 都 超 絕 殊 勝 于 世 外  
ZH_X88_1649_001:0323c04	別標一色。而又準乎人情。不違大道。砥名節則依忠	001	別 標 一 色  而 又 準 乎 人 情  不 違 大 道  砥 名 節 則 依 忠 
ZH_X88_1649_001:0323c05	孝。律進退則首清嚴。出則奮蹟麒麟。垂光竹帛。處則	001	孝  律 進 退 則 首 清 嚴  出 則 奮 蹟 麒 麟  垂 光 竹 帛  處 則 
ZH_X88_1649_001:0323c06	希蹤麋鹿。照耀松蘿。或以理學開基。或以文章命世。	001	希 蹤 麋 鹿  照 耀 松 蘿  或 以 理 學 開 基  或 以 文 章 命 世  
ZH_X88_1649_001:0323c07	總之遺榮履素。歸于自然。固非謬悠荒唐。恣意枯槁。	001	總 之 遺 榮 履 素  歸 于 自 然  固 非 謬 悠 荒 唐  恣 意 枯 槁  
ZH_X88_1649_001:0323c08	作一老頭陀行徑比也。間有韜斂未盡。蕩漾猶存。或	001	作 一 老 頭 陀 行 徑 比 也  間 有 韜 斂 未 盡  蕩 漾 猶 存  或 
ZH_X88_1649_001:0323c09	跳躍圓方。互有出入。而清言妙理。亦所亟収讀之如	001	跳 躍 圓 方  互 有 出 入  而 清 言 妙 理  亦 所 亟 収 讀 之 如 
ZH_X88_1649_001:0323c10	水鏡浮空。氷壺映座。頓令心膽澄徹。神骨清凉。躁競	001	水 鏡 浮 空  氷 壺 映 座  頓 令 心 膽 澄 徹  神 骨 清 凉  躁 競 
ZH_X88_1649_001:0323c11	之意烟消。而鬱結之衷霧散。學人欲打透關頭。安身	001	之 意 烟 消  而 鬱 結 之 衷 霧 散  學 人 欲 打 透 關 頭  安 身 
ZH_X88_1649_001:0323c12	立命。舍是無繇矣。老氏有言。雖有拱譬以先駟馬。不	001	立 命  舍 是 無 繇 矣  老 氏 有 言  雖 有 拱 譬 以 先 駟 馬  不 
ZH_X88_1649_001:0323c13	如坐進此道。其茲灋喜之謂乎。夫灋居三寶之一。至	001	如 坐 進 此 道  其 茲 灋 喜 之 謂 乎  夫 灋 居 三 寶 之 一  至 
ZH_X88_1649_001:0323c14	人秀世。灋所必晞。然有法法而不囿于法。譬如雪山	001	人 秀 世  灋 所 必 晞  然 有 法 法 而 不 囿 于 法  譬 如 雪 山 
ZH_X88_1649_001:0323c15	十大弟子。胷中各具一造化。決不向如來行處投足。	001	十 大 弟 子  胷 中 各 具 一 造 化  決 不 向 如 來 行 處 投 足  
ZH_X88_1649_001:0323c16	此所謂法法而不囿于法者也。此又灋喜者。所當知	001	此 所 謂 法 法 而 不 囿 于 法 者 也  此 又 灋 喜 者  所 當 知 
ZH_X88_1649_001:0323c17	也。　　　延陵　夏樹芳　譔	001	也     延 陵  夏 樹 芳  譔 
ZH_X88_1649_001:0324a01	法喜志目錄	001	法 喜 志 目 錄 
ZH_X88_1649_001:0324a03	卷一	001	卷 一 
ZH_X88_1649_001:0324a04	東方曼倩劉更生曹子建羊叔子	001	東 方 曼 倩 劉 更 生 曹 子 建 羊 叔 子 
ZH_X88_1649_001:0324a05	王茂弘劉真常陶士行謝安石	001	王 茂 弘 劉 真 常 陶 士 行 謝 安 石 
ZH_X88_1649_001:0324a06	王右軍王武岡剎嘉賓王喬之	001	王 右 軍 王 武 岡 剎 嘉 賓 王 喬 之 
ZH_X88_1649_001:0324a07	殷中軍袁彥伯王坦之何次道	001	殷 中 軍 袁 彥 伯 王 坦 之 何 次 道 
ZH_X88_1649_001:0324a08	何幼則謝仁祖羅君章孫興公	001	何 幼 則 謝 仁 祖 羅 君 章 孫 興 公 
ZH_X88_1649_001:0324a09	許玄度王簡棲王苟子習彥威	001	許 玄 度 王 簡 棲 王 苟 子 習 彥 威 
ZH_X88_1649_001:0324a10	戴安道宋少文張萊民陶靖節	001	戴 安 道 宋 少 文 張 萊 民 陶 靖 節 
ZH_X88_1649_001:0324a11	劉遺民周續之謝康樂孟　顗	001	劉 遺 民 周 續 之 謝 康 樂 孟  顗 
ZH_X88_1649_001:0324a12	高伯恭明僧紹雷仲倫王彥德	001	高 伯 恭 明 僧 紹 雷 仲 倫 王 彥 德 
ZH_X88_1649_001:0324a13	孔德璋江文通蕭雲英何彥德	001	孔 德 璋 江 文 通 蕭 雲 英 何 彥 德 
ZH_X88_1649_001:0324a14	張孝始范伯倫范蔚宗劉靈預	001	張 孝 始 范 伯 倫 范 蔚 宗 劉 靈 預 
ZH_X88_1649_001:0324a15	周彥倫顏之推戴仲若謝慶緒	001	周 彥 倫 顏 之 推 戴 仲 若 謝 慶 緒 
ZH_X88_1649_001:0324a16	顏延年何子晢劉士光袁景倩	001	顏 延 年 何 子 晢 劉 士 光 袁 景 倩 
ZH_X88_1649_001:0324a17	王淮之何子季蘇　瓊	001	王 淮 之 何 子 季 蘇  瓊 
ZH_X88_1649_001:0324a18	卷二	001	卷 二 
ZH_X88_1649_001:0324a19	陶貞白荀公普劉慧斐陸佐公	001	陶 貞 白 荀 公 普 劉 慧 斐 陸 佐 公 
ZH_X88_1649_001:0324a20	孔彥深梁敬之魏伯起劉　溉	001	孔 彥 深 梁 敬 之 魏 伯 起 劉  溉 
ZH_X88_1649_001:0324a21	沈休文劉彥和崔子約劉士湮	001	沈 休 文 劉 彥 和 崔 子 約 劉 士 湮 
ZH_X88_1649_001:0324a22	阮士宗庾彥實杜輔言徐孝穆	001	阮 士 宗 庾 彥 實 杜 輔 言 徐 孝 穆 
ZH_X88_1649_001:0324a23	徐孝克李子約楊越公張士衡	001	徐 孝 克 李 子 約 楊 越 公 張 士 衡 
ZH_X88_1649_001:0324a24	孫思邈王仲淹褚河南虞文懿	001	孫 思 邈 王 仲 淹 褚 河 南 虞 文 懿 
ZH_X88_1649_001:0324b01	孔頴達杜克明司馬喬卿王子安	001	孔 頴 達 杜 克 明 司 馬 喬 卿 王 子 安 
ZH_X88_1649_001:0324b02	駱賓王武平一宋廣平房　琯	001	駱 賓 王 武 平 一 宋 廣 平 房  琯 
ZH_X88_1649_001:0324b03	元魯山王右丞張燕公嚴挺之	001	元 魯 山 王 右 丞 張 燕 公 嚴 挺 之 
ZH_X88_1649_001:0324b04	李青蓮李公度蘇　晉韋蘇州	001	李 青 蓮 李 公 度 蘇  晉 韋 蘇 州 
ZH_X88_1649_001:0324b05	李遐叔杜子巽陸鴻漸李鄴侯	001	李 遐 叔 杜 子 巽 陸 鴻 漸 李 鄴 侯 
ZH_X88_1649_001:0324b06	顏魯公裴晉公龐道玄柳柳州	001	顏 魯 公 裴 晉 公 龐 道 玄 柳 柳 州 
ZH_X88_1649_001:0324b07	劉夢得于刺史李元賓李習之	001	劉 夢 得 于 刺 史 李 元 賓 李 習 之 
ZH_X88_1649_001:0324b08	權載之徐　岱李義山盧源一	001	權 載 之 徐  岱 李 義 山 盧 源 一 
ZH_X88_1649_001:0324b09	裴　寬	001	裴  寬 
ZH_X88_1649_001:0324b10	卷三	001	卷 三 
ZH_X88_1649_001:0324b11	白少傅李濬之杜彥之韋南康	001	白 少 傅 李 濬 之 杜 彥 之 韋 南 康 
ZH_X88_1649_001:0324b12	皇甫湜韓昌黎裴公美丁　繁	001	皇 甫 湜 韓 昌 黎 裴 公 美 丁  繁 
ZH_X88_1649_001:0324b13	陳　琡崔　群司空表聖呂許公	001	陳  琡 崔  群 司 空 表 聖 呂 許 公 
ZH_X88_1649_001:0324b14	李文靖謝宗源曾運使查湛然	001	李 文 靖 謝 宗 源 曾 運 使 查 湛 然 
ZH_X88_1649_001:0324b15	楊文公晁文元王文正朱　炎	001	楊 文 公 晁 文 元 王 文 正 朱  炎 
ZH_X88_1649_001:0324b16	朱正裕王中立王　隨富文忠	001	朱 正 裕 王 中 立 王  隨 富 文 忠 
ZH_X88_1649_001:0324b17	文潞公杜祁公范文正尹師魯	001	文 潞 公 杜 祁 公 范 文 正 尹 師 魯 
