segmentnr	original	folio	analyzed
ZH_X60_1129_002:0682c22	我某甲歸依佛。歸依法。歸依僧。盡形壽。為滿分優婆	002	我 某 甲 歸 依 佛  歸 依 法  歸 依 僧  盡 形 壽  為 滿 分 優 婆 
ZH_X60_1129_002:0682c23	塞(受一戒。應言一分。若受二。三。四戒。隨分言之)。如來至真等正覺。是我世	002	塞  受 一 戒  應 言 一 分  若 受 二  三  四 戒  隨 分 言 之   如 來 至 真 等 正 覺  是 我 世 
ZH_X60_1129_002:0682c24	尊(三說已。次授三結)。	002	尊  三 說 已  次 授 三 結   
ZH_X60_1129_002:0683a01	我某甲歸依佛竟。歸依法竟。歸依僧竟。盡形壽。為滿	002	我 某 甲 歸 依 佛 竟  歸 依 法 竟  歸 依 僧 竟  盡 形 壽  為 滿 
ZH_X60_1129_002:0683a02	分優婆塞。如來至真等正覺。是我世尊(三說。若善女人。當云優婆	002	分 優 婆 塞  如 來 至 真 等 正 覺  是 我 世 尊  三 說  若 善 女 人  當 云 優 婆 
ZH_X60_1129_002:0683a03	夷。前三歸依。第三遍訖。即發五戒。後三結。是直付囑之。次示戒相。令識持犯。故大方便經云。若受五戒。先受三	002	夷  前 三 歸 依  第 三 遍 訖  即 發 五 戒  後 三 結  是 直 付 囑 之  次 示 戒 相  令 識 持 犯  故 大 方 便 經 云  若 受 五 戒  先 受 三 
ZH_X60_1129_002:0683a04	歸。三歸既竟。乃得五戒。所以說五戒名者。欲使前人識五戒名字。應告彼言。今當示汝戒相。汝應諦聽受之)。	002	歸  三 歸 既 竟  乃 得 五 戒  所 以 說 五 戒 名 者  欲 使 前 人 識 五 戒 名 字  應 告 彼 言  今 當 示 汝 戒 相  汝 應 諦 聽 受 之   
ZH_X60_1129_002:0683a05	盡形壽不殺生。是優婆(塞夷)戒。能持不(能者。當答言能持。下准此)。	002	盡 形 壽 不 殺 生  是 優 婆  塞 夷  戒  能 持 不  能 者  當 答 言 能 持  下 准 此   
ZH_X60_1129_002:0683a06	盡形壽不偷盜。是優婆(塞夷)戒。能持不。	002	盡 形 壽 不 偷 盜  是 優 婆  塞 夷  戒  能 持 不  
ZH_X60_1129_002:0683a07	盡形壽不邪婬。是優婆(塞夷)戒。能持不。	002	盡 形 壽 不 邪 婬  是 優 婆  塞 夷  戒  能 持 不  
ZH_X60_1129_002:0683a08	盡形壽不妄語。是優婆(塞夷)戒。能持不。	002	盡 形 壽 不 妄 語  是 優 婆  塞 夷  戒  能 持 不  
ZH_X60_1129_002:0683a09	盡形壽不飲酒。是優婆(塞夷)戒。能持不。(智度論云。既說戒相已。復應語	002	盡 形 壽 不 飲 酒  是 優 婆  塞 夷  戒  能 持 不   智 度 論 云  既 說 戒 相 已  復 應 語 
ZH_X60_1129_002:0683a10	言)是優婆塞五戒。盡形壽持。當供養三寶。勤修福德。	002	言  是 優 婆 塞 五 戒  盡 形 壽 持  當 供養三寶  勤 修 福 德  
ZH_X60_1129_002:0683a11	進求修道(若斷婬者。受五戒已。於戒師前。更作誓言。從今日。於自夫婦。不復作婬)。大方	002	進 求 修 道  若 斷 婬 者  受 五 戒 已  於 戒 師 前  更 作 誓 言  從 今 日  於 自 夫 婦  不 復 作 婬   大 方 
ZH_X60_1129_002:0683a12	便經。優波離白佛言。若受一日。二日。乃至十日五戒。	002	便 經  優 波 離 白 佛 言  若 受 一 日  二 日  乃 至 十 日 五 戒  
ZH_X60_1129_002:0683a13	得受不。佛言。不得。佛本制戒。各有限齊。若受五戒。必	002	得 受 不  佛 言  不 得  佛 本 制 戒  各 有 限 齊  若 受 五 戒  必 
ZH_X60_1129_002:0683a14	盡形壽。若受八戒。必一日一夜受。是故不得。根本羯	002	盡 形 壽  若 受 八 戒  必 一 日 一 夜 受  是 故 不 得  根 本 羯 
ZH_X60_1129_002:0683a15	磨云。授與三歸。并五學處。成鄔波索迦律儀護。言護	002	磨 云  授 與 三 歸  并 五 學 處  成 鄔 波 索 迦 律 儀 護  言 護 
ZH_X60_1129_002:0683a16	者。梵語三跋羅。此譯為擁護。由受歸戒。護使不落三	002	者  梵 語 三 跋 羅  此 譯 為 擁 護  由 受 歸 戒  護 使 不 落 三 
ZH_X60_1129_002:0683a17	塗。舊云律儀。乃當義譯。云是律法儀式。若但云護。恐	002	塗  舊 云 律 儀  乃 當 義 譯  云 是 律 法 儀 式  若 但 云 護  恐 
ZH_X60_1129_002:0683a18	學者未詳。故兩俱存。即是戒體無表色也。故薩婆多	002	學 者 未 詳  故 兩 俱 存  即 是 戒 體 無 表 色 也  故 薩 婆 多 
ZH_X60_1129_002:0683a19	論云。以三寶為所歸。欲令救護。不得侵凌故也(言五學處。	002	論 云  以 三 寶 為 所 歸  欲 令 救 護  不 得 侵 凌 故 也  言 五 學 處  
ZH_X60_1129_002:0683a20	即五戒。鄔波索迦。即優婆塞。乃梵音前後不同耳。此譯為近事男。亦云親近男。或言離惡修善。謂受此戒。方能	002	即 五 戒  鄔 波 索 迦  即 優 婆 塞  乃 梵 音 前 後 不 同 耳  此 譯 為 近 事 男  亦 云 親 近 男  或 言 離 惡 修 善  謂 受 此 戒  方 能 
ZH_X60_1129_002:0683a21	親近承事佛法僧三寶。斷諸惡法。而修眾善也)。優婆塞戒經。佛言。若受戒已。	002	親 近 承 事 佛 法 僧 三 寶  斷 諸 惡 法  而 修 眾 善 也   優婆塞戒 經  佛 言  若 受 戒 已  
ZH_X60_1129_002:0683a22	當知是人。為諸人天恭敬守護。得大名稱。雖遭惡對。	002	當 知 是 人  為 諸 人 天 恭 敬 守 護  得 大 名 稱  雖 遭 惡 對  
ZH_X60_1129_002:0683a23	心無愁惱。眾生親附。樂來依止。阿那邠坻長者子。雖	002	心 無 愁 惱  眾 生 親 附  樂 來 依 止  阿 那 邠 坻 長 者 子  雖 
ZH_X60_1129_002:0683a24	為八千金錢受戒。亦得無量功德果報。為財受戒。尚	002	為 八 千 金 錢 受 戒  亦 得 無量功德 果 報  為 財 受 戒  尚 
ZH_X60_1129_002:0683b01	得利益。況有至心。為於解脫。而當不得耶。大灌頂經。	002	得 利 益  況 有 至 心  為 於 解 脫  而 當 不 得 耶  大 灌 頂 經  
ZH_X60_1129_002:0683b02	佛告執持長者。天帝所遣歸戒之神。凡有億億恒沙	002	佛 告 執 持 長 者  天 帝 所 遣 歸 戒 之 神  凡 有 億 億 恒 沙 
ZH_X60_1129_002:0683b03	之數。諸鬼神王。番代擁護。不令衰耗。諸天歡喜。皆言	002	之 數  諸 鬼 神 王  番 代 擁 護  不 令 衰 耗  諸 天 歡 喜  皆 言 
ZH_X60_1129_002:0683b04	善哉。當共護之。如是持戒。若完具者。十方現在無量	002	善 哉  當 共 護 之  如 是 持 戒  若 完 具 者  十 方 現 在 無 量 
ZH_X60_1129_002:0683b05	諸佛菩薩羅漢。皆共稱讚。是清信士女。臨命終時。佛	002	諸佛菩薩 羅 漢  皆 共 稱 讚  是 清 信 士 女  臨命終時  佛 
ZH_X60_1129_002:0683b06	皆分身。而來迎之。不使持戒男女。墮惡道中。若戒羸	002	皆 分 身  而 來 迎 之  不 使 持 戒 男 女  墮 惡 道 中  若 戒 羸 
ZH_X60_1129_002:0683b07	者。當益作福德。布施。持戒。忍辱。精進。一心。智慧。然燈	002	者  當 益 作 福 德  布 施  持 戒  忍 辱  精 進  一 心  智 慧  然 燈 
ZH_X60_1129_002:0683b08	燒香散華。懸繒旛葢。歌詠讚歎三寶。恭敬禮拜。益持	002	燒 香 散 華  懸 繒 旛 葢  歌 詠 讚 歎 三 寶  恭敬禮拜  益 持 
ZH_X60_1129_002:0683b09	齋戒。亦得過度。若不能如上修行功德。復持戒不完。	002	齋 戒  亦 得 過 度  若 不 能 如 上 修 行 功 德  復 持 戒 不 完  
ZH_X60_1129_002:0683b10	向諸邪道。求覓福祐。恒沙歸戒神王。各去離之。惡鬼	002	向 諸 邪 道  求 覓 福 祐  恒 沙 歸 戒 神 王  各 去 離 之  惡 鬼 
ZH_X60_1129_002:0683b11	數來。嬈近之也(戒羸者。無力持戒也)。如消災經說。舍衛國有一	002	數 來  嬈 近 之 也  戒 羸 者  無 力 持 戒 也   如 消 災 經 說  舍 衛 國 有 一 
ZH_X60_1129_002:0683b12	縣。皆奉行五戒十善。無釀酒者。中有一大姓家子。欲	002	縣  皆 奉 行 五 戒 十 善  無 釀 酒 者  中 有 一 大 姓 家 子  欲 
ZH_X60_1129_002:0683b13	遠賈販。臨行。父母語言。勤持五戒十善。慎莫飲酒。犯	002	遠 賈 販  臨 行  父 母 語 言  勤 持 五 戒 十 善  慎 莫 飲 酒  犯 
ZH_X60_1129_002:0683b14	佛重戒。受教而行。到他國已。見故親友。再三逼令飲	002	佛 重 戒  受 教 而 行  到 他 國 已  見 故 親 友  再 三 逼 令 飲 
ZH_X60_1129_002:0683b15	酒。事不獲己。飲之。事訖還家。具告於親。父母言。汝違	002	酒  事 不 獲 己  飲 之  事 訖 還 家  具 告 於 親  父 母 言  汝 違 
ZH_X60_1129_002:0683b16	吾教。加復犯戒。為國作先。亂法之漸。非孝子也。便以	002	吾 教  加 復 犯 戒  為 國 作 先  亂 法 之 漸  非 孝 子 也  便 以 
ZH_X60_1129_002:0683b17	販物。逐令出國。既到他國。住客舍家。主人事三鬼神。	002	販 物  逐 令 出 國  既 到 他 國  住 客 舍 家  主 人 事 三 鬼 神  
ZH_X60_1129_002:0683b18	現形語言飲食。主人事之積年疲勞。患厭此鬼。鬼知	002	現 形 語 言 飲 食  主 人 事 之 積 年 疲 勞  患 厭 此 鬼  鬼 知 
ZH_X60_1129_002:0683b19	人意。盜他寶物。來與主人。主人得寶。設食祭之。鬼來	002	人 意  盜 他 寶 物  來 與 主 人  主 人 得 寶  設 食 祭 之  鬼 來 
ZH_X60_1129_002:0683b20	詣門。見舍衛國人在舍。奔走而去。主人追呼請還。鬼	002	詣 門  見 舍 衛 國 人 在 舍  奔 走 而 去  主 人 追 呼 請 還  鬼 
ZH_X60_1129_002:0683b21	曰。卿舍尊客。吾焉得前。重復驚走。主人還歸。問曰。卿	002	曰  卿 舍 尊 客  吾 焉 得 前  重 復 驚 走  主 人 還 歸  問 曰  卿 
ZH_X60_1129_002:0683b22	有何功德。致吾所事神。畏子而走。客具說佛五戒十	002	有 何 功 德  致 吾 所 事 神  畏 子 而 走  客 具 說 佛 五 戒 十 
ZH_X60_1129_002:0683b23	善。實犯酒戒。為親所逐。向餘四戒。故為天神所護。卿	002	善  實 犯 酒 戒  為 親 所 逐  向 餘 四 戒  故 為 天 神 所 護  卿 
ZH_X60_1129_002:0683b24	神不敢當之。主人因從客受三歸五戒十善。問佛所	002	神 不 敢 當 之  主 人 因 從 客 受 三 歸 五 戒 十 善  問 佛 所 
ZH_X60_1129_002:0683c01	在。可得見不。客曰。佛在舍衛。往立可見。主人一心往	002	在  可 得 見 不  客 曰  佛 在 舍 衛  往 立 可 見  主 人 一 心 往 
ZH_X60_1129_002:0683c02	彼。路經一亭。中有一女。是噉人鬼婦。時日逼暮。從女	002	彼  路 經 一 亭  中 有 一 女  是 噉 人 鬼 婦  時 日 逼 暮  從 女 
ZH_X60_1129_002:0683c03	寄宿。女言。慎勿留此。宜急前去。男子自念。我已受三	002	寄 宿  女 言  慎 勿 留 此  宜 急 前 去  男 子 自 念  我 已 受 三 
ZH_X60_1129_002:0683c04	歸五戒十善。心不懈怠。何畏懼乎。遂自留宿。噉人鬼	002	歸 五 戒 十 善  心 不 懈 怠  何 畏 懼 乎  遂 自 留 宿  噉 人 鬼 
ZH_X60_1129_002:0683c05	見護戒神。徘徊其傍。去亭四十里。一宿不歸。明日男	002	見 護 戒 神  徘 徊 其 傍  去 亭 四 十 里  一 宿 不 歸  明 日 男 
ZH_X60_1129_002:0683c06	子進路。見鬼所噉人骨狼藉。心怖悔還。惡念便生。欲	002	子 進 路  見 鬼 所 噉 人 骨 狼 藉  心 怖 悔 還  惡 念 便 生  欲 
ZH_X60_1129_002:0683c07	還將女歸家共住。即回亭所。復從女求宿。女言。卿死	002	還 將 女 歸 家 共 住  即 回 亭 所  復 從 女 求 宿  女 言  卿 死 
ZH_X60_1129_002:0683c08	矣。吾夫是噉人鬼。不久來還。男子不信。婬意復生。不	002	矣  吾 夫 是 噉 人 鬼  不 久 來 還  男 子 不 信  婬 意 復 生  不 
ZH_X60_1129_002:0683c09	復信佛三歸之德。五戒十善之心。天神即去。無復護	002	復 信 佛 三 歸 之 德  五 戒 十 善 之 心  天 神 即 去  無 復 護 
ZH_X60_1129_002:0683c10	之。鬼得來還。女人恐鬼食此男子。哀愍藏之甕中。鬼	002	之  鬼 得 來 還  女 人 恐 鬼 食 此 男 子  哀 愍 藏 之 甕 中  鬼 
ZH_X60_1129_002:0683c11	聞人氣。問婦曰。汝得肉耶。吾欲噉之。婦曰。我不行。何	002	聞 人 氣  問 婦 曰  汝 得 肉 耶  吾 欲 噉 之  婦 曰  我 不 行  何 
ZH_X60_1129_002:0683c12	從得肉。卿昨何以不歸。鬼言。正為汝宿佛弟子。天神	002	從 得 肉  卿 昨 何 以 不 歸  鬼 言  正 為 汝 宿 佛 弟 子  天 神 
ZH_X60_1129_002:0683c13	逐我出四十里外露宿。震怖於今不安。復不得肉食。	002	逐 我 出 四 十 里 外 露 宿  震 怖 於 今 不 安  復 不 得 肉 食  
ZH_X60_1129_002:0683c14	婦聞默喜。因問夫曰。佛戒云何。鬼言。急以肉來。不須	002	婦 聞 默 喜  因 問 夫 曰  佛 戒 云 何  鬼 言  急 以 肉 來  不 須 
ZH_X60_1129_002:0683c15	問此。此是無上正真之戒。非吾所敢說也。婦言。為我	002	問 此  此 是 無 上 正 真 之 戒  非 吾 所 敢 說 也  婦 言  為 我 
ZH_X60_1129_002:0683c16	說之。當與卿肉。鬼類貪殘。因為說三歸五戒。婦輙受	002	說 之  當 與 卿 肉  鬼 類 貪 殘  因 為 說 三 歸 五 戒  婦 輙 受 
ZH_X60_1129_002:0683c17	之。心執口誦。男子甕中。復識五戒。隨言受之。天帝知	002	之  心 執 口 誦  男 子 甕 中  復 識 五 戒  隨 言 受 之  天 帝 知 
ZH_X60_1129_002:0683c18	此二人心自歸佛。即選善神五十。擁護二人。鬼遂走	002	此 二 人 心 自 歸 佛  即 選 善 神 五 十  擁 護 二 人  鬼 遂 走 
ZH_X60_1129_002:0683c19	去。婦問男子。怖乎。答曰。大怖。蒙仁者恩。心悟識佛。婦	002	去  婦 問 男 子  怖 乎  答 曰  大 怖  蒙 仁 者 恩  心 悟 識 佛  婦 
ZH_X60_1129_002:0683c20	言。吾本良家之女。為鬼所掠。今蒙仁恩。得聞佛戒。得	002	言  吾 本 良 家 之 女  為 鬼 所 掠  今 蒙 仁 恩  得 聞 佛 戒  得 
ZH_X60_1129_002:0683c21	離此鬼。賢者今欲何往。男子曰。吾欲到舍衛見佛。婦	002	離 此 鬼  賢 者 今 欲 何 往  男 子 曰  吾 欲 到 舍 衛 見 佛  婦 
ZH_X60_1129_002:0683c22	言。善哉。吾至本國。與父母隨賢者見佛。便俱前行。路	002	言  善 哉  吾 至 本 國  與 父 母 隨 賢 者 見 佛  便 俱 前 行  路 
ZH_X60_1129_002:0683c23	逢四百九十八人。因相問訊。諸賢何來。答曰。從佛所	002	逢 四 百 九 十 八 人  因 相 問 訊  諸 賢 何 來  答 曰  從 佛 所 
ZH_X60_1129_002:0683c24	來。佛日說經。意中罔罔。心不能解。今還本國。二人具	002	來  佛 日 說 經  意 中 罔 罔  心 不 能 解  今 還 本 國  二 人 具 
ZH_X60_1129_002:0684a01	說鬼所畏戒。本末因緣。諸人意乃開解。俱還見佛。佛	002	說 鬼 所 畏 戒  本 末 因 緣  諸 人 意 乃 開 解  俱 還 見 佛  佛 
ZH_X60_1129_002:0684a02	遙見之。告阿難言。此四百九十八人。今得其本師。來	002	遙 見 之  告 阿 難 言  此 四 百 九 十 八 人  今 得 其 本 師  來 
ZH_X60_1129_002:0684a03	見佛者。皆當得道。五百人至。為佛作禮。一心聽經。心	002	見 佛 者  皆 當 得 道  五 百 人 至  為 佛 作 禮  一 心 聽 經  心 
ZH_X60_1129_002:0684a04	開意解。皆作沙門。得阿羅漢。佛言。犯酒戒者。則是客	002	開 意 解  皆 作 沙 門  得阿羅漢  佛 言  犯 酒 戒 者  則 是 客 
ZH_X60_1129_002:0684a05	舍主人。與女人累世兄弟也。然此二人。是四百九十	002	舍 主 人  與 女 人 累 世 兄 弟 也  然 此 二 人  是 四 百 九 十 
ZH_X60_1129_002:0684a06	八人前世之師。凡人求道。要當得其本師。及其善友。	002	八 人 前 世 之 師  凡 人 求 道  要 當 得 其 本 師  及 其 善 友  
ZH_X60_1129_002:0684a07	乃可解耳(雖犯酒戒。元非性罪。況其十善猶全。故得天神營護。若於四重戒中。而破其一。必無	002	乃 可 解 耳  雖 犯 酒 戒  元 非 性 罪  況 其 十 善 猶 全  故 得 天 神 營 護  若 於 四 重 戒 中  而 破 其 一  必 無 
ZH_X60_1129_002:0684a08	天神衛護。又況無其十善之德也)。報恩經云。若破五戒中重戒。而受	002	天 神 衛 護  又 況 無 其 十 善 之 德 也   報 恩 經 云  若 破 五 戒 中 重 戒  而 受 
ZH_X60_1129_002:0684a09	八戒十戒。大戒。禪戒。無漏戒。一切不得。若破五戒已。	002	八 戒 十 戒  大 戒  禪 戒  無 漏 戒  一 切 不 得  若 破 五 戒 已  
ZH_X60_1129_002:0684a10	欲捨五戒。更受十戒者。無有是處。若破五戒。更受五	002	欲 捨 五 戒  更 受 十 戒 者  無 有 是 處  若 破 五 戒  更 受 五 
ZH_X60_1129_002:0684a11	戒。亦無是處(言五戒中重戒者。謂盜五錢。三處行婬。殺人。自言得聖人法。隨犯一戒。即名犯	002	戒  亦 無 是 處  言 五 戒 中 重 戒 者  謂 盜 五 錢  三 處 行 婬  殺 人  自 言 得 聖 人 法  隨 犯 一 戒  即 名 犯 
ZH_X60_1129_002:0684a12	重。不通懺悔。或遇破戒惡緣。不能持者。寧捨已乃作。後更得受。四分律云。若有捨戒者。於佛法為死。受生則難。	002	重  不 通 懺 悔  或 遇 破 戒 惡 緣  不 能 持 者  寧 捨 已 乃 作  後 更 得 受  四 分 律 云  若 有 捨 戒 者  於 佛 法 為 死  受 生 則 難  
ZH_X60_1129_002:0684a13	趣死極易。捨時無問出家在家人。但對一人言。我先受五戒為優婆塞。今捨却。作在家白衣。一說便成捨)。法	002	趣 死 極 易  捨 時 無 問 出 家 在 家 人  但 對 一 人 言  我 先 受 五 戒 為 優 婆 塞  今 捨 却  作 在 家 白 衣  一 說 便 成 捨   法 
ZH_X60_1129_002:0684a14	界次第云。破此五戒。則非清信士女。故提謂經云。五	002	界 次 第 云  破 此 五 戒  則 非 清 信 士 女  故 提 謂 經 云  五 
ZH_X60_1129_002:0684a15	戒者。天下大禁忌。若犯五戒。在天則違五星。在地則	002	戒 者  天 下 大 禁 忌  若 犯 五 戒  在 天 則 違 五 星  在 地 則 
ZH_X60_1129_002:0684a16	違五嶽。在方則違五帝。在身則違五藏。如是等世間	002	違 五 嶽  在 方 則 違 五 帝  在 身 則 違 五 藏  如 是 等 世 間 
ZH_X60_1129_002:0684a17	違犯無量。若約出世。犯五戒者。則破五分法身。及一	002	違 犯 無 量  若 約 出 世  犯 五 戒 者  則 破 五分法身  及 一 
ZH_X60_1129_002:0684a18	切佛法。所以者何。五戒是一切大小乘尸羅根本。若	002	切 佛 法  所以者何  五 戒 是 一 切 大 小 乘 尸 羅 根 本  若 
ZH_X60_1129_002:0684a19	犯五戒。則不得更受大小乘戒也。若能堅持。即是五	002	犯 五 戒  則 不 得 更 受 大 小 乘 戒 也  若 能 堅 持  即 是 五 
