segmentnr	original	folio	analyzed
ZH_X57_0975_001:0509b02	我無特操。我無專屬。而言者又非本真也。其名隨緣	001	我 無 特 操  我 無 專 屬  而 言 者 又 非 本 真 也  其 名 隨 緣 
ZH_X57_0975_001:0509b03	可矣。因編類為四。而削去十九。雜著存十一。尺牘存	001	可 矣  因 編 類 為 四  而 削 去 十 九  雜 著 存 十 一  尺 牘 存 
ZH_X57_0975_001:0509b04	百一。詩偈存千一。而源流則具存也。徐孺子曰。周易	001	百 一  詩 偈 存 千 一  而 源 流 則 具 存 也  徐 孺 子 曰  周 易 
ZH_X57_0975_001:0509b05	稱隨時之義。大矣哉。以剛來而下柔動而悅隨。天下	001	稱 隨 時 之 義  大 矣 哉  以 剛 來 而 下 柔 動 而 悅 隨  天 下 
ZH_X57_0975_001:0509b06	隨時而大貞亨。隨緣之義。取諸此乎。予曰不也。予卑	001	隨 時 而 大 貞 亨  隨 緣 之 義  取 諸 此 乎  予 曰 不 也  予 卑 
ZH_X57_0975_001:0509b07	卑雌伏。言不出羣。殆庶幾於易之澤中有雷隨以嚮	001	卑 雌 伏  言 不 出 羣  殆 庶 幾 於 易 之 澤 中 有 雷 隨 以 嚮 
ZH_X57_0975_001:0509b08	晦宴息耳。	001	晦 宴 息 耳  
ZH_X57_0975_001:0509b09	己未中元日楞嚴講寺比丘靈耀書於大樹方丈	001	己 未 中 元 日 楞 嚴 講 寺 比 丘 靈 耀 書 於 大 樹 方 丈 
ZH_X57_0975_001:0509b13	隨緣集目次	001	隨 緣 集 目 次 
ZH_X57_0975_001:0509b15	卷第一	001	卷 第 一 
ZH_X57_0975_001:0509b16	　自序	001	 自 序 
ZH_X57_0975_001:0509b17	　　雜著	001	  雜 著 
ZH_X57_0975_001:0509b18	　泗水海花記　佛海和上隱山序	001	 泗 水 海 花 記  佛 海 和 上 隱 山 序 
ZH_X57_0975_001:0509b19	　金剛經部旨序　摘微總序	001	 金 剛 經 部 旨 序  摘 微 總 序 
ZH_X57_0975_001:0509b20	　摘記五經章意序　藥師經直解敘	001	 摘 記 五 經 章 意 序  藥 師 經 直 解 敘 
ZH_X57_0975_001:0509b21	　梧桐月記　摘百家敘	001	 梧 桐 月 記  摘 百 家 敘 
ZH_X57_0975_001:0509b22	　摘佛經第一敘　普門膚說序	001	 摘 佛 經 第 一 敘  普 門 膚 說 序 
ZH_X57_0975_001:0509b23	　集註節義序　盂蘭盆經折中疏序	001	 集 註 節 義 序  盂 蘭 盆 經 折 中 疏 序 
ZH_X57_0975_001:0509b24	　玉菴興建緣起　題玉庵交單	001	 玉 菴 興 建 緣 起  題 玉 庵 交 單 
ZH_X57_0975_001:0509c01	　同戒錄序(因辰春期)　讀隱秀軒集	001	 同 戒 錄 序  因 辰 春 期   讀 隱 秀 軒 集 
ZH_X57_0975_001:0509c02	　閱鍾子評選史傳詩皈隱秀軒集	001	 閱 鍾 子 評 選 史 傳 詩 皈 隱 秀 軒 集 
ZH_X57_0975_001:0509c03	　翁永年書法敘　大藏集廣疏	001	 翁 永 年 書 法 敘  大 藏 集 廣 疏 
ZH_X57_0975_001:0509c04	　閱元白全集　血書法華經跋	001	 閱 元 白 全 集  血 書 法 華 經 跋 
ZH_X57_0975_001:0509c05	　睿公裒文引言	001	 睿 公 裒 文 引 言 
ZH_X57_0975_001:0509c06	　普薦罹難陣亡橫死軍民榜	001	 普 薦 罹 難 陣 亡 橫 死 軍 民 榜 
ZH_X57_0975_001:0509c07	　復靈芝耆宿公啟　復寂照諸護法公啟	001	 復 靈 芝 耆 宿 公 啟  復 寂 照 諸 護 法 公 啟 
ZH_X57_0975_001:0509c08	　復陳曹諸護法公啟	001	 復 陳 曹 諸 護 法 公 啟 
ZH_X57_0975_001:0509c09	卷第二	001	卷 第 二 
ZH_X57_0975_001:0509c10	　與徑山化城寂照兩常住修刻大藏書	001	 與 徑 山 化 城 寂 照 兩 常 住 修 刻 大 藏 書 
ZH_X57_0975_001:0509c11	　復吳江象護法請修藏板啟(附來啟)	001	 復 吳 江 象 護 法 請 修 藏 板 啟  附 來 啟  
ZH_X57_0975_001:0509c12	　修刻大藏經板疏　復淨慧監院公啟	001	 修 刻 大 藏 經 板 疏  復 淨 慧 監 院 公 啟 
ZH_X57_0975_001:0509c13	　復淨慧諸護法公啟　復永壽院檀護啟	001	 復 淨 慧 諸 護 法 公 啟  復 永 壽 院 檀 護 啟 
ZH_X57_0975_001:0509c14	　天溪和尚傳　餘生字說	001	 天 溪 和 尚 傳  餘 生 字 說 
ZH_X57_0975_001:0509c15	　題報恩院交單　智覺寺重興禪堂綠起	001	 題 報 恩 院 交 單  智 覺 寺 重 興 禪 堂 綠 起 
ZH_X57_0975_001:0509c16	　題智覺交單　修井文　蓮華賦	001	 題 智 覺 交 單  修 井 文  蓮 華 賦 
ZH_X57_0975_001:0509c17	　為玉菴住持愚原闍黎封龕	001	 為 玉 菴 住 持 愚 原 闍 黎 封 龕 
ZH_X57_0975_001:0509c18	　題市居漫咏集　齊物　齊物後	001	 題 市 居 漫 咏 集  齊 物  齊 物 後 
ZH_X57_0975_001:0509c19	　後五百歲有持戒修福者　後五百歲(二句)	001	 後 五 百 歲 有 持 戒 修 福 者  後 五 百 歲  二 句  
ZH_X57_0975_001:0509c20	　募米供眾疏　閱文苑英華完	001	 募 米 供 眾 疏  閱 文 苑 英 華 完 
ZH_X57_0975_001:0509c21	　為有玉靜媛落壙安位法語	001	 為 有 玉 靜 媛 落 壙 安 位 法 語 
ZH_X57_0975_001:0509c22	　法海潮瞻菉禪師化龕法語	001	 法 海 潮 瞻 菉 禪 師 化 龕 法 語 
ZH_X57_0975_001:0509c23	　紀六根清淨講章　紀夢(井敘)	001	 紀 六 根 清 淨 講 章  紀 夢  井 敘  
ZH_X57_0975_001:0509c24	　法華玄義期齋榜	001	 法 華 玄 義 期 齋 榜 
ZH_X57_0975_001:0510a01	卷第三	001	卷 第 三 
ZH_X57_0975_001:0510a02	　　源流	001	  源 流 
ZH_X57_0975_001:0510a03	　付不藏闍梨衣拂囑辭　付愚原睿子衣拂囑辭	001	 付 不 藏 闍 梨 衣 拂 囑 辭  付 愚 原 睿 子 衣 拂 囑 辭 
ZH_X57_0975_001:0510a04	　付慧昶輪子衣拂囑辭　付文可社森二子合卷	001	 付 慧 昶 輪 子 衣 拂 囑 辭  付 文 可 社 森 二 子 合 卷 
ZH_X57_0975_001:0510a05	　代付餘生月子源流　代付勝果因子源流	001	 代 付 餘 生 月 子 源 流  代 付 勝 果 因 子 源 流 
ZH_X57_0975_001:0510a06	　付伊輪圓子衣拂囑辭	001	 付 伊 輪 圓 子 衣 拂 囑 辭 
ZH_X57_0975_001:0510a07	卷第四	001	卷 第 四 
ZH_X57_0975_001:0510a08	　　尺牘	001	  尺 牘 
ZH_X57_0975_001:0510a09	　與等菴法師(二章)　復徹公(二章)	001	 與 等 菴 法 師  二 章   復 徹 公  二 章  
ZH_X57_0975_001:0510a10	　與王晉侯　與四弟	001	 與 王 晉 侯  與 四 弟 
ZH_X57_0975_001:0510a11	　與學人　復學人(二章)	001	 與 學 人  復 學 人  二 章  
ZH_X57_0975_001:0510a12	　復可中師　與龍媒護法	001	 復 可 中 師  與 龍 媒 護 法 
ZH_X57_0975_001:0510a13	　與沈輝東　與戚朗園護法(二章)	001	 與 沈 輝 東  與 戚 朗 園 護 法  二 章  
ZH_X57_0975_001:0510a14	　復曹石閭護法(三章)　與汪天真(二章)	001	 復 曹 石 閭 護 法  三 章   與 汪 天 真  二 章  
ZH_X57_0975_001:0510a15	　與門人(二章)　與學人	001	 與 門 人  二 章   與 學 人 
ZH_X57_0975_001:0510a16	　與僧幢　與晉揚茂才(二章)	001	 與 僧 幢  與 晉 揚 茂 才  二 章  
ZH_X57_0975_001:0510a17	　復冷關老師　復引岩子(二章)	001	 復 冷 關 老 師  復 引 岩 子  二 章  
ZH_X57_0975_001:0510a18	　復朱茂才　復范黽公	001	 復 朱 茂 才  復 范 黽 公 
ZH_X57_0975_001:0510a19	　與神山和尚　與死心禪師	001	 與 神 山 和 尚  與 死 心 禪 師 
ZH_X57_0975_001:0510a20	　興蓮居法師　復南屏和尚	001	 興 蓮 居 法 師  復 南 屏 和 尚 
ZH_X57_0975_001:0510a21	　復雪渠張護法　與指開法姪	001	 復 雪 渠 張 護 法  與 指 開 法 姪 
ZH_X57_0975_001:0510a22	　復杜吏部　與文可	001	 復 杜 吏 部  與 文 可 
ZH_X57_0975_001:0510a24	隨緣集目次(終)	001	隨 緣 集 目 次  終  
ZH_X57_0975_001:0510b06	隨緣集雜著一	001	隨 緣 集 雜 著 一 
ZH_X57_0975_001:0510b08	嘉禾楞嚴講寺靈耀全彰著	001	嘉 禾 楞 嚴 講 寺 靈 耀 全 彰 著 
ZH_X57_0975_001:0510b09	泗水梅花記	001	泗 水 梅 花 記 
ZH_X57_0975_001:0510b10	梅之見聞於世者。吳曰玄墓。鄧太尉玄以游以穴之	001	梅 之 見 聞 於 世 者  吳 曰 玄 墓  鄧 太 尉 玄 以 游 以 穴 之 
ZH_X57_0975_001:0510b11	別業也。杭曰孤山。林高士逋以飡以妻之隱居也。皆	001	別 業 也  杭 曰 孤 山  林 高 士 逋 以 飡 以 妻 之 隱 居 也  皆 
ZH_X57_0975_001:0510b12	載於志記。傳於雅俗者久矣。而獨吾鄉泗水之梅。於	001	載 於 志 記  傳 於 雅 俗 者 久 矣  而 獨 吾 鄉 泗 水 之 梅  於 
ZH_X57_0975_001:0510b13	志記不少概見何哉。無乃去郡遼遠。僻在山村。既不	001	志 記 不 少 概 見 何 哉  無 乃 去 郡 遼 遠  僻 在 山 村  既 不 
ZH_X57_0975_001:0510b14	便於游觀。故山史亦失采輯。如天台之不列於五嶽。	001	便 於 游 觀  故 山 史 亦 失 采 輯  如 天 台 之 不 列 於 五 嶽  
ZH_X57_0975_001:0510b15	闕載於常典之謂乎。泗水在吳興府治之西南三十	001	闕 載 於 常 典 之 謂 乎  泗 水 在 吳 興 府 治 之 西 南 三 十 
ZH_X57_0975_001:0510b16	里。菁山之北麓焉。傍山百十畝皆植梅。居人以梅為	001	里  菁 山 之 北 麓 焉  傍 山 百 十 畝 皆 植 梅  居 人 以 梅 為 
ZH_X57_0975_001:0510b17	地利。故不加損折。不雜他樹。當春陽煖發。予有時歸	001	地 利  故 不 加 損 折  不 雜 他 樹  當 春 陽 煖 發  予 有 時 歸 
ZH_X57_0975_001:0510b18	鄉。則縱往觀焉。凝神一望。繡色迷天。把茗長趺。錦茵	001	鄉  則 縱 往 觀 焉  凝 神 一 望  繡 色 迷 天  把 茗 長 趺  錦 茵 
ZH_X57_0975_001:0510b19	逐地。香魂襲襲。常恐羅浮入夢墜瓣。徐徐想到壽陽	001	逐 地  香 魂 襲 襲  常 恐 羅 浮 入 夢 墜 瓣  徐 徐 想 到 壽 陽 
ZH_X57_0975_001:0510b20	額上。掩映參差。杳迷出處。低佪歎咏。絕欲忘歸。且北	001	額 上  掩 映 參 差  杳 迷 出 處  低 佪 歎 咏  絕 欲 忘 歸  且 北 
ZH_X57_0975_001:0510b21	臨泗澗。時浮清淺之溪。南負青山。益顯氷霜之秀。而	001	臨 泗 澗  時 浮 清 淺 之 溪  南 負 青 山  益 顯 氷 霜 之 秀  而 
ZH_X57_0975_001:0510b22	深遠之趣。廣濶之觀。有非一時心目所能領略。筆舌	001	深 遠 之 趣  廣 濶 之 觀  有 非 一 時 心 目 所 能 領 略  筆 舌 
ZH_X57_0975_001:0510b23	所能殫述。惟曠懷者自得之耳。要之孤山玄墓亦遜	001	所 能 殫 述  惟 曠 懷 者 自 得 之 耳  要 之 孤 山 玄 墓 亦 遜 
ZH_X57_0975_001:0510b24	揖下風者也。然予重有感焉。當孤山玄墓之梅放。則	001	揖 下 風 者 也  然 予 重 有 感 焉  當 孤 山 玄 墓 之 梅 放  則 
ZH_X57_0975_001:0510c01	蘇杭士女。結駟邊騎。絡繹縱橫。紛紛觀賞。藉藉稱傳。	001	蘇 杭 士 女  結 駟 邊 騎  絡 繹 縱 橫  紛 紛 觀 賞  藉 藉 稱 傳  
ZH_X57_0975_001:0510c02	雖婦人小子。亦知有二處之梅矣。而吾鄉泗水無聞	001	雖 婦 人 小 子  亦 知 有 二 處 之 梅 矣  而 吾 鄉 泗 水 無 聞 
ZH_X57_0975_001:0510c03	焉。與伍唯一二山樵。地癖罕有知其臭味。一為歎賞	001	焉  與 伍 唯 一 二 山 樵  地 癖 罕 有 知 其 臭 味  一 為 歎 賞 
ZH_X57_0975_001:0510c04	者。予方徘徊諷詠其間。人皆指顧而笑曰。是子癡與。	001	者  予 方 徘 徊 諷 詠 其 間  人 皆 指 顧 而 笑 曰  是 子 癡 與  
ZH_X57_0975_001:0510c05	今枝頭未實。何乃妮妮此空花為。予笑而問曰。若輩	001	今 枝 頭 未 實  何 乃 妮 妮 此 空 花 為  予 笑 而 問 曰  若 輩 
ZH_X57_0975_001:0510c06	對此寧不樂乎。對曰。去年猶不樂。予曰。何謂也。曰青	001	對 此 寧 不 樂 乎  對 曰  去 年 猶 不 樂  予 曰  何 謂 也  曰 青 
ZH_X57_0975_001:0510c07	梅價賤耳。予乃慼然而嘆曰。均是物也。天何獨厚於	001	梅 價 賤 耳  予 乃 慼 然 而 嘆 曰  均 是 物 也  天 何 獨 厚 於 
ZH_X57_0975_001:0510c08	彼。而過薄於此乎。既而恍然笑曰。均是物也。天何過	001	彼  而 過 薄 於 此 乎  既 而 恍 然 笑 曰  均 是 物 也  天 何 過 
ZH_X57_0975_001:0510c09	薄於彼。而獨厚於此乎。葢二處之梅。雖為人見賞。然	001	薄 於 彼  而 獨 厚 於 此 乎  葢 二 處 之 梅  雖 為 人 見 賞  然 
ZH_X57_0975_001:0510c10	玄墓則奇枝秀幹。即為游人攀折者。十八九。餘唯庸	001	玄 墓 則 奇 枝 秀 幹  即 為 游 人 攀 折 者  十 八 九  餘 唯 庸 
ZH_X57_0975_001:0510c11	枝禿幹而已。孤山則腥風雜遝。而香魂虔劉一空矣。	001	枝 禿 幹 而 已  孤 山 則 腥 風 雜 遝  而 香 魂 虔 劉 一 空 矣  
ZH_X57_0975_001:0510c12	吾泗水之梅。翛然無恙也。得非晦養深者悠長。榮華	001	吾 泗 水 之 梅  翛 然 無 恙 也  得 非 晦 養 深 者 悠 長  榮 華 
ZH_X57_0975_001:0510c13	露者摧傷歟。予聞泗水之陽。宋季為顯者之第也。今	001	露 者 摧 傷 歟  予 聞 泗 水 之 陽  宋 季 為 顯 者 之 第 也  今 
ZH_X57_0975_001:0510c14	則掬為茂草土人。時有從钁頭下。得其遺簪墮珥者。	001	則 掬 為 茂 草 土 人  時 有 從 钁 頭 下  得 其 遺 簪 墮 珥 者  
ZH_X57_0975_001:0510c15	予見泗水之左。國朝為范殿元之它也。陽春聳峙。層	001	予 見 泗 水 之 左  國 朝 為 范 殿 元 之 它 也  陽 春 聳 峙  層 
ZH_X57_0975_001:0510c16	閣翬飛。今則町疃鹿畼。狐狸穿屋矣。而泗水之梅。固	001	閣 翬 飛  今 則 町 疃 鹿 畼  狐 狸 穿 屋 矣  而 泗 水 之 梅  固 
ZH_X57_0975_001:0510c17	挺然全盛也。嗚呼豈非晦養者悠長。顯露者摧傷之	001	挺 然 全 盛 也  嗚 呼 豈 非 晦 養 者 悠 長  顯 露 者 摧 傷 之 
ZH_X57_0975_001:0510c18	大章較矣乎。又豈非天之獨厚於此者乎。是予之所	001	大 章 較 矣 乎  又 豈 非 天 之 獨 厚 於 此 者 乎  是 予 之 所 
ZH_X57_0975_001:0510c19	以重有感。而且欲記之也。夫玄墓孤山梅。既不堪矣。	001	以 重 有 感  而 且 欲 記 之 也  夫 玄 墓 孤 山 梅  既 不 堪 矣  
ZH_X57_0975_001:0510c20	而世尚藉藉傳聞者。徒以鄧太尉林高士之重也。今	001	而 世 尚 藉 藉 傳 聞 者  徒 以 鄧 太 尉 林 高 士 之 重 也  今 
ZH_X57_0975_001:0510c21	泗水去郭既遠。遊觀者難之。未遇幽人歎賞者。其誰	001	泗 水 去 郭 既 遠  遊 觀 者 難 之  未 遇 幽 人 歎 賞 者  其 誰 
ZH_X57_0975_001:0510c22	是此梅抱獨拔之奇。而世則終無聞見矣。予是用一	001	是 此 梅 抱 獨 拔 之 奇  而 世 則 終 無 聞 見 矣  予 是 用 一 
ZH_X57_0975_001:0510c23	言。以告夫來之探奇者。使知吾鄉泗水之有梅。葢天	001	言  以 告 夫 來 之 探 奇 者  使 知 吾 鄉 泗 水 之 有 梅  葢 天 
ZH_X57_0975_001:0510c24	所獨厚。而山史不可闕載。以俾梅魂抱不遭之歎。終	001	所 獨 厚  而 山 史 不 可 闕 載  以 俾 梅 魂 抱 不 遭 之 歎  終 
ZH_X57_0975_001:0511a01	笑世無曠懷者。若謂比鄧林之不朽於玄墓孤山。則	001	笑 世 無 曠 懷 者  若 謂 比 鄧 林 之 不 朽 於 玄 墓 孤 山  則 
ZH_X57_0975_001:0511a02	吾豈敢。	001	吾 豈 敢  
ZH_X57_0975_001:0511a03	佛海和上隱山序	001	佛 海 和 上 隱 山 序 
ZH_X57_0975_001:0511a04	隱山。比丘之常也。惡足言言。夫守道恒一。而利生必	001	隱 山  比 丘 之 常 也  惡 足 言 言  夫 守 道 恒 一  而 利 生 必 
ZH_X57_0975_001:0511a05	溥者耳。蓋僧之無識而在山者。可言山。不可言隱。若	001	溥 者 耳  蓋 僧 之 無 識 而 在 山 者  可 言 山  不 可 言 隱  若 
ZH_X57_0975_001:0511a06	見道已明。而懼其未固。或用世之才疎。而人緣猶未	001	見 道 已 明  而 懼 其 未 固  或 用 世 之 才 疎  而 人 緣 猶 未 
ZH_X57_0975_001:0511a07	洽也。則就養於山以需之。乃可名隱。或有隱而未久。	001	洽 也  則 就 養 於 山 以 需 之  乃 可 名 隱  或 有 隱 而 未 久  
ZH_X57_0975_001:0511a08	遇薄緣而一感。遂出營營焉。汲汲焉。世諦流布。而彌	001	遇 薄 緣 而 一 感  遂 出 營 營 焉  汲 汲 焉  世 諦 流 布  而 彌 
ZH_X57_0975_001:0511a09	見其不足。疇昔名高一旦隳矣。如世之指終南為仕	001	見 其 不 足  疇 昔 名 高 一 旦 隳 矣  如 世 之 指 終 南 為 仕 
ZH_X57_0975_001:0511a10	途捷逕。而致北山之檄者。比比是也。何哉。葢守道不	001	途 捷 逕  而 致 北 山 之 檄 者  比 比 是 也  何 哉  葢 守 道 不 
ZH_X57_0975_001:0511a11	恒。而秉志不一也。若是者雖出。吾知其見必不明。養	001	恒  而 秉 志 不 一 也  若 是 者 雖 出  吾 知 其 見 必 不 明  養 
ZH_X57_0975_001:0511a12	必不固。用世之才必不充。所化之機必不溥。而於法	001	必 不 固  用 世 之 才 必 不 充  所 化 之 機 必 不 溥  而 於 法 
ZH_X57_0975_001:0511a13	門亦必無卓卓裨補樹立也。古人云。在山為遠志。出	001	門 亦 必 無 卓 卓 裨 補 樹 立 也  古 人 云  在 山 為 遠 志  出 
ZH_X57_0975_001:0511a14	山為小草。譏夫出者。不如不出者之為愈也。斯葢名	001	山 為 小 草  譏 夫 出 者  不 如 不 出 者 之 為 愈 也  斯 葢 名 
ZH_X57_0975_001:0511a15	為隱山。而非真隱山者也。真隱山者。其守恒。其志一。	001	為 隱 山  而 非 真 隱 山 者 也  真 隱 山 者  其 守 恒  其 志 一  
ZH_X57_0975_001:0511a16	世不苟出。出不徒然。高峯妙石屋珙。而今之佛海和	001	世 不 苟 出  出 不 徒 然  高 峯 妙 石 屋 珙  而 今 之 佛 海 和 
ZH_X57_0975_001:0511a17	尚。此其選也。予幼而披緇。即聞湖海衲子。藉藉相傳。	001	尚  此 其 選 也  予 幼 而 披 緇  即 聞 湖 海 衲 子  藉 藉 相 傳  
ZH_X57_0975_001:0511a18	有秋衲禪師。見道精明。異日化緣必不聊爾。予時敬	001	有 秋 衲 禪 師  見 道 精 明  異 日 化 緣 必 不 聊 爾  予 時 敬 
ZH_X57_0975_001:0511a19	慕。欲一見之。而良無由緣。越數年。獲交師之令師仁	001	慕  欲 一 見 之  而 良 無 由 緣  越 數 年  獲 交 師 之 令 師 仁 
ZH_X57_0975_001:0511a20	源乃孫福城於武原之資聖。言師已得林野老人之	001	源 乃 孫 福 城 於 武 原 之 資 聖  言 師 已 得 林 野 老 人 之 
ZH_X57_0975_001:0511a21	法印。隱於吳興之菁山深處者。十餘載矣。予恍然喜	001	法 印  隱 於 吳 興 之 菁 山 深 處 者  十 餘 載 矣  予 恍 然 喜 
ZH_X57_0975_001:0511a22	曰。菁山吾鄉也。何幸駐高人哉。吾當歸而一禮之矣。	001	曰  菁 山 吾 鄉 也  何 幸 駐 高 人 哉  吾 當 歸 而 一 禮 之 矣  
ZH_X57_0975_001:0511a23	既復自憂曰。師見地明白。久為海內推重。必且應化	001	既 復 自 憂 曰  師 見 地 明 白  久 為 海 內 推 重  必 且 應 化 
ZH_X57_0975_001:0511a24	多方去矣。吾雖歸。恐見之不逮也。及歸而訪諸慧嚴	001	多 方 去 矣  吾 雖 歸  恐 見 之 不 逮 也  及 歸 而 訪 諸 慧 嚴 
ZH_X57_0975_001:0511b01	古址。則更號為佛海矣。而身固未出也。師賦性嚴正。	001	古 址  則 更 號 為 佛 海 矣  而 身 固 未 出 也  師 賦 性 嚴 正  
ZH_X57_0975_001:0511b02	不苟失言色與人。而不以予之鄙陋。止予宿談。且達	001	不 苟 失 言 色 與 人  而 不 以 予 之 鄙 陋  止 予 宿 談  且 達 
ZH_X57_0975_001:0511b03	旦。油然莫逆予心。及出隱山詩偈見示。予則目眩然	001	旦  油 然 莫 逆 予 心  及 出 隱 山 詩 偈 見 示  予 則 目 眩 然 
ZH_X57_0975_001:0511b04	而不眴。舌撟然而不下。葢不惟見道精明。抑且綽綽	001	而 不 眴  舌 撟 然 而 不 下  葢 不 惟 見 道 精 明  抑 且 綽 綽 
ZH_X57_0975_001:0511b05	乎具應世全才者也。又十年而今往見之。其養益固。	001	乎 具 應 世 全 才 者 也  又 十 年 而 今 往 見 之  其 養 益 固  
ZH_X57_0975_001:0511b06	凡四方道俗。及吾鄉之有識者。咸望師出。以灑同雲	001	凡 四 方 道 俗  及 吾 鄉 之 有 識 者  咸 望 師 出  以 灑 同 雲 
ZH_X57_0975_001:0511b07	之潤。俾草木昆蟲皆知佛性。而師固恬然無出意。所	001	之 潤  俾 草 木 昆 蟲 皆 知 佛 性  而 師 固 恬 然 無 出 意  所 
ZH_X57_0975_001:0511b08	謂潛龍在野。確乎不可拔者耶。嗚呼見道精明。久為	001	謂 潛 龍 在 野  確 乎 不 可 拔 者 耶  嗚 呼 見 道 精 明  久 為 
ZH_X57_0975_001:0511b09	海內衲子推戴。加以養道之固。充以應世之才。緇白	001	海 內 衲 子 推 戴  加 以 養 道 之 固  充 以 應 世 之 才  緇 白 
ZH_X57_0975_001:0511b10	顒顒然望其化道者。幾二十年所矣。而不出。豈以見	001	顒 顒 然 望 其 化 道 者  幾 二 十 年 所 矣  而 不 出  豈 以 見 
ZH_X57_0975_001:0511b11	不明。養不固。才不充。感扣之機不溥而不出哉。葢以	001	不 明  養 不 固  才 不 充  感 扣 之 機 不 溥 而 不 出 哉  葢 以 
ZH_X57_0975_001:0511b12	精明之見。貞固之養。充裕之才。化機之溥。積之二十	001	精 明 之 見  貞 固 之 養  充 裕 之 才  化 機 之 溥  積 之 二 十 
ZH_X57_0975_001:0511b13	年。而猶然不出。然後知其守道恒。秉志一。而隱山之	001	年  而 猶 然 不 出  然 後 知 其 守 道 恒  秉 志 一  而 隱 山 之 
ZH_X57_0975_001:0511b14	真者也。然貞固足以幹事異日者天龍不容。師獨居	001	真 者 也  然 貞 固 足 以 幹 事 異 日 者 天 龍 不 容  師 獨 居 
ZH_X57_0975_001:0511b15	有餘。不得已而出。必將一鳴驚人。振作聾瞶。方之娑	001	有 餘  不 得 已 而 出  必 將 一 鳴 驚 人  振 作 聾 瞶  方 之 娑 
