segmentnr	original	folio	analyzed
ZH_X16_0311_002:0383a18	最親切者為喻。使人起信行也。於中亦有二。先喻	002	最 親 切 者 為 喻  使 人 起 信 行 也  於 中 亦 有 二  先 喻 
ZH_X16_0311_002:0383a19	單憶有離。首三句即上一人專憶。次二句即上一	002	單 憶 有 離  首 三 句 即 上 一 人 專 憶  次 二 句 即 上 一 
ZH_X16_0311_002:0383a20	人專忘。如來母也。眾生子也。世間慈念最切者。莫	002	人 專 忘  如 來 母 也  眾 生 子 也  世 間 慈 念 最 切 者  莫 
ZH_X16_0311_002:0383a21	如母親。子若悖逆。忘恩負義。母念或衰。心生悔恨。	002	如 母 親  子 若 悖 逆  忘 恩 負 義  母 念 或 衰  心 生 悔 恨  
ZH_X16_0311_002:0383a22	佛念眾生。更過於母。逆惡重者。佛念愈深。乃至入	002	佛 念 眾 生  更 過 於 母  逆 惡 重 者  佛 念 愈 深  乃 至 入 
ZH_X16_0311_002:0383a23	於阿鼻地獄。代此眾生受無量苦。又母念子。慈止	002	於 阿鼻地獄  代 此 眾 生 受 無 量 苦  又 母 念 子  慈 止 
ZH_X16_0311_002:0383a24	一世。佛念眾生。慈心無盡。世世相隨無有退轉。故	002	一 世  佛 念 眾 生  慈 心 無 盡  世 世 相 隨 無有退轉  故 
ZH_X16_0311_002:0383b01	云佛念眾生如母憶子也。若子逃逝者。喻眾生不	002	云 佛 念 眾 生 如 母 憶 子 也  若 子 逃 逝 者  喻 眾 生 不 
ZH_X16_0311_002:0383b02	念佛而墮惡道苦也。雖憶何為者。喻如來單憶	002	念 佛 而 墮 惡 道 苦 也  雖 憶 何 為 者  喻 如 來 單 憶 
ZH_X16_0311_002:0383b03	無益也。子若下。後喻雙憶不離。初二句即上相憶	002	無 益 也  子 若 下  後 喻 雙 憶 不 離  初 二 句 即 上 相 憶 
ZH_X16_0311_002:0383b04	念深。末二句即上生生不異。謂六道眾生慕念如	002	念 深  末 二 句 即 上 生 生 不 異  謂 六 道 眾 生 慕 念 如 
ZH_X16_0311_002:0383b05	來。猶如如來憐念眾生者。然方得感應道交生佛	002	來  猶 如 如 來 憐 念 眾 生 者  然 方 得 感 應 道 交 生 佛 
ZH_X16_0311_002:0383b06	不二也。故高齊大行和尚云。宗崇念佛四字教詔。	002	不 二 也  故 高 齊 大 行 和 尚 云  宗 崇 念 佛 四 字 教 詔  
ZH_X16_0311_002:0383b07	謂信憶二字不離於心。稱敬二字不離於口。任意	002	謂 信 憶 二 字 不 離 於 心  稱 敬 二 字 不 離 於 口  任 意 
ZH_X16_0311_002:0383b08	早晚終無再住娑婆之法。此為念佛第一要策。	002	早 晚 終 無 再 住 娑 婆 之 法  此 為 念 佛 第 一 要 策  
ZH_X16_0311_002:0383b09	【鈔】泛指者。師資君臣。皆該在許。如來下。問。前言念	002	 鈔  泛 指 者  師 資 君 臣  皆 該 在 許  如 來 下  問  前 言 念 
ZH_X16_0311_002:0383b10	佛但念彌陀。不念諸佛。云何此言十方如來耶。答。	002	佛 但 念 彌 陀  不 念 諸 佛  云 何 此 言 十 方 如 來 耶  答  
ZH_X16_0311_002:0383b11	有二意。一即指彌陀一佛。以三世十方有無量彌	002	有 二 意  一 即 指 彌 陀 一 佛  以 三 世 十 方 有 無 量 彌 
ZH_X16_0311_002:0383b12	陀佛故。觀經云從下方金佛光剎。乃至上方光明	002	陀 佛 故  觀 經 云 從 下 方 金 佛 光 剎  乃 至 上 方 光 明 
ZH_X16_0311_002:0383b13	王佛剎。於其中間。無量塵數分身無量壽佛。二通	002	王 佛 剎  於其中間  無 量 塵 數 分 身 無 量 壽 佛  二 通 
ZH_X16_0311_002:0383b14	指十方諸佛。謂不唯我彌陀一佛悲願如是。即十	002	指 十方諸佛  謂 不 唯 我 彌 陀 一 佛 悲 願 如 是  即 十 
ZH_X16_0311_002:0383b15	方諸佛憐念亦然。正顯佛佛道同。故華嚴問明品	002	方 諸 佛 憐 念 亦 然  正 顯 佛 佛 道 同  故 華 嚴 問 明 品 
ZH_X16_0311_002:0383b16	云。十方諸如來。同共一法身。一心一智慧。力無畏	002	云  十 方 諸 如 來  同 共 一 法 身  一 心 一 智 慧  力 無 畏 
ZH_X16_0311_002:0383b17	亦然。楞伽第四云。一切諸佛有四平等。所謂字平	002	亦 然  楞 伽 第 四 云  一切諸佛 有 四 平 等  所 謂 字 平 
ZH_X16_0311_002:0383b18	等。語平等。身平等。法平等。觀經云。見無量壽佛者。	002	等  語 平 等  身 平 等  法 平 等  觀 經 云  見 無 量 壽 佛 者  
ZH_X16_0311_002:0383b19	即見十方無量諸佛。憐念者。三昧經云。諸佛心者	002	即 見 十 方 無 量 諸 佛  憐 念 者  三 昧 經 云  諸 佛 心 者 
ZH_X16_0311_002:0383b20	大慈悲是。慈悲所緣。緣苦眾生。若見眾生受苦惱	002	大 慈 悲 是  慈 悲 所 緣  緣 苦 眾 生  若 見 眾 生 受 苦 惱 
ZH_X16_0311_002:0383b21	時。如箭入心。欲拔其苦。是以求往生者。不可思惟	002	時  如 箭 入 心  欲 拔 其 苦  是 以 求 往 生 者  不 可 思 惟 
ZH_X16_0311_002:0383b22	己惡而疑佛不來接。誰知佛心專於逆苦眾生之	002	己 惡 而 疑 佛 不 來 接  誰 知 佛 心 專 於 逆 苦 眾 生 之 
ZH_X16_0311_002:0383b23	中種種救度。如何自生疑阻甘心苦趣耶。問。逃逝	002	中 種 種 救 度  如 何 自 生 疑 阻 甘 心 苦 趣 耶  問  逃 逝 
ZH_X16_0311_002:0383b24	二句。與上專忘逢不逢義。有差別否。答。亦同亦異。	002	二 句  與 上 專 忘 逢 不 逢 義  有 差 別 否  答  亦 同 亦 異  
ZH_X16_0311_002:0383c01	同者。不念佛則不能見佛。雖見佛亦不蒙法利。此	002	同 者  不 念 佛 則 不 能 見 佛  雖 見 佛 亦 不 蒙 法 利  此 
ZH_X16_0311_002:0383c02	與逃逝無異。憶他何為。異者。謂前之喻意。尚明眾	002	與 逃 逝 無 異  憶 他 何 為  異 者  謂 前 之 喻 意  尚 明 眾 
ZH_X16_0311_002:0383c03	生或有時而念。但念之不切。憶之不深。故若逢不	002	生 或 有 時 而 念  但 念 之 不 切  憶 之 不 深  故 若 逢 不 
ZH_X16_0311_002:0383c04	逢。於佛憶猶為有益。此中喻意。竟明眾生不唯忘	002	逢  於 佛 憶 猶 為 有 益  此 中 喻 意  竟 明 眾 生 不 唯 忘 
ZH_X16_0311_002:0383c05	念而且謗佛。以不信故。墮在三途受無量苦。故若	002	念 而 且 謗 佛  以 不 信 故  墮 在 三 途 受 無 量 苦  故 若 
ZH_X16_0311_002:0383c06	逃逝。於佛憶則為無益。感應生佛者。子喻生感。母	002	逃 逝  於 佛 憶 則 為 無 益  感 應 生 佛 者  子 喻 生 感  母 
ZH_X16_0311_002:0383c07	喻佛應也。道交不二合不違也。故高齊下。彼論云。	002	喻 佛 應 也  道 交 不 二 合 不 違 也  故 高 齊 下  彼 論 云  
ZH_X16_0311_002:0383c08	往生淨土。要須有信。信千即千生。信萬即萬生。信	002	往 生 淨 土  要 須 有 信  信 千 即 千 生  信 萬 即 萬 生  信 
ZH_X16_0311_002:0383c09	佛名字。不離心口。諸佛即救。諸佛即護。心常憶佛。	002	佛 名 字  不 離 心 口  諸 佛 即 救  諸 佛 即 護  心 常 憶 佛  
ZH_X16_0311_002:0383c10	口常稱名。身常尊敬。始名深信。△二合法。	002	口 常 稱 名  身 常 尊 敬  始 名 深 信   二 合 法  
ZH_X16_0311_002:0383c11	若眾生心。憶佛念佛。現前當來必定見佛。	002	若 眾 生 心  憶 佛 念 佛  現 前 當 來 必 定 見 佛  
ZH_X16_0311_002:0383c12	【疏】眾生心者。揀口念而心不念也。憶記持不忘也。	002	 疏  眾 生 心 者  揀 口 念 而 心 不 念 也  憶 記 持 不 忘 也  
ZH_X16_0311_002:0383c13	念繫緣在懷也。又初時偶然勉強記憶曰憶。後時	002	念 繫 緣 在 懷 也  又 初 時 偶 然 勉 強 記 憶 曰 憶  後 時 
ZH_X16_0311_002:0383c14	長久熟脫緣念曰念。又憶是暫念一憶之謂。念是	002	長 久 熟 脫 緣 念 曰 念  又 憶 是 暫 念 一 憶 之 謂  念 是 
ZH_X16_0311_002:0383c15	數憶常念之謂。若事憶念。則專心注意。毫無雜緣。	002	數 憶 常 念 之 謂  若 事 憶 念  則 專 心 注 意  毫 無 雜 緣  
ZH_X16_0311_002:0383c16	若理憶念。則唯妙覺明圓照法界。佛亦有二。一事	002	若 理 憶 念  則 唯 妙 覺 明 圓 照 法 界  佛 亦 有 二  一 事 
ZH_X16_0311_002:0383c17	相。即是三身十身。二理性。唯是一真法界。又事理	002	相  即 是 三 身 十 身  二 理 性  唯 是 一 真 法 界  又 事 理 
ZH_X16_0311_002:0383c18	憶念佛中。復各有二。一行布。二圓融。謂先念化報。	002	憶 念 佛 中  復 各 有 二  一 行 布  二 圓 融  謂 先 念 化 報  
ZH_X16_0311_002:0383c19	然後法等。是事次第也。若三若十。同在一心。是事	002	然 後 法 等  是 事 次 第 也  若 三 若 十  同 在 一 心  是 事 
ZH_X16_0311_002:0383c20	一時也。先空次不空後空不空。是理次第也。三如	002	一 時 也  先 空 次 不 空 後 空 不 空  是 理 次 第 也  三 如 
ZH_X16_0311_002:0383c21	來藏心佛同在一時中念。是理圓融也。問。若心外	002	來 藏 心 佛 同 在 一 時 中 念  是 理 圓 融 也  問  若 心 外 
ZH_X16_0311_002:0383c22	有佛。何容理念。設心外無佛。烏用事為。答。心外有。	002	有 佛  何 容 理 念  設 心 外 無 佛  烏 用 事 為  答  心 外 有  
ZH_X16_0311_002:0383c23	佛者。由我心佛。成彼外佛。經云。諸佛正知從心想	002	佛 者  由 我 心 佛  成 彼 外 佛  經 云  諸 佛 正 知 從 心 想 
ZH_X16_0311_002:0383c24	生。故須理念。心外無佛者。託心外佛。顯我心佛。經	002	生  故 須 理 念  心 外 無 佛 者  託 心 外 佛  顯 我 心 佛  經 
ZH_X16_0311_002:0384a01	云。心想佛時是心作佛。故須事念。若離事理二念。	002	云  心 想 佛 時 是 心 作 佛  故 須 事 念  若 離 事 理 二 念  
ZH_X16_0311_002:0384a02	何名即心即佛。問。若即佛是心。秪應念心。何必念	002	何 名 即 心 即 佛  問  若 即 佛 是 心  秪 應 念 心  何 必 念 
ZH_X16_0311_002:0384a03	佛。又即心是佛。秪應念佛。何必念心。答。但執即佛	002	佛  又 即 心 是 佛  秪 應 念 佛  何 必 念 心  答  但 執 即 佛 
ZH_X16_0311_002:0384a04	是心。不知即我本覺心性是彼究竟覺佛。經云。是	002	是 心  不 知 即 我 本 覺 心 性 是 彼 究 竟 覺 佛  經 云  是 
ZH_X16_0311_002:0384a05	心即佛三十二相。故不妨念佛。又執即心是佛。不	002	心 即 佛 三十二相  故 不 妨 念 佛  又 執 即 心 是 佛  不 
ZH_X16_0311_002:0384a06	知即彼究竟覺佛是我本覺心性。經云。諸佛入於	002	知 即 彼 究 竟 覺 佛 是 我 本 覺 心 性  經 云  諸 佛 入 於 
ZH_X16_0311_002:0384a07	眾生心中。故不妨念心。若心佛偏念。即義不成矣。	002	眾 生 心 中  故 不 妨 念 心  若 心 佛 偏 念  即 義 不 成 矣  
ZH_X16_0311_002:0384a08	問。一真法界。體無二相。何存內外心佛念耶。答。法	002	問  一 真 法 界  體 無 二 相  何 存 內 外 心 佛 念 耶  答  法 
ZH_X16_0311_002:0384a09	界一真。本無內外。不屬佛心。佛自證窮知生等有。	002	界 一 真  本 無 內 外  不 屬 佛 心  佛 自 證 窮 知 生 等 有  
ZH_X16_0311_002:0384a10	欲令生悟。義分心佛。佛為外境。心為內境。憶念功	002	欲 令 生 悟  義 分 心 佛  佛 為 外 境  心 為 內 境  憶 念 功 
ZH_X16_0311_002:0384a11	成。自然證知。心無佛外之心。佛無心外之佛。唯一	002	成  自 然 證 知  心 無 佛 外 之 心  佛 無 心 外 之 佛  唯 一 
ZH_X16_0311_002:0384a12	法界。普融無盡。現前見佛者。謂不離現陰。於定中	002	法 界  普 融 無 盡  現 前 見 佛 者  謂 不 離 現 陰  於 定 中 
ZH_X16_0311_002:0384a13	見。或於夢中見也。當來見佛者。謂報終陰壞。見佛	002	見  或 於 夢 中 見 也  當 來 見 佛 者  謂 報 終 陰 壞  見 佛 
ZH_X16_0311_002:0384a14	來迎。或於華中見也。而云必定者。有二意。一感應	002	來 迎  或 於 華 中 見 也  而 云 必 定 者  有 二 意  一 感 應 
ZH_X16_0311_002:0384a15	道交難思議故。謂信得即心是佛。專於事念念相	002	道 交 難 思 議 故  謂 信 得 即 心 是 佛  專 於 事 念 念 相 
ZH_X16_0311_002:0384a16	好佛故。見果報佛來入我心中。經云。是心作佛。諸	002	好 佛 故  見 果 報 佛 來 入 我 心 中  經 云  是 心 作 佛  諸 
ZH_X16_0311_002:0384a17	佛如來來入一切眾生想中。二始本契合。法爾然	002	佛 如 來 來 入 一 切 眾 生 想 中  二 始 本 契 合  法 爾 然 
ZH_X16_0311_002:0384a18	故。謂信得即佛是心。專於理念念本性佛故。於自	002	故  謂 信 得 即 佛 是 心  專 於 理 念 念 本 性 佛 故  於 自 
ZH_X16_0311_002:0384a19	心中見法身佛現。經云。是心是佛。心想佛時。是心	002	心 中 見 法 身 佛 現  經 云  是 心 是 佛  心 想 佛 時  是 心 
ZH_X16_0311_002:0384a20	即是三十二相。此中不合佛念眾生者。重在眾生	002	即 是 三十二相  此 中 不 合 佛 念 眾 生 者  重 在 眾 生 
ZH_X16_0311_002:0384a21	念佛故。	002	念 佛 故  
ZH_X16_0311_002:0384a22	【鈔】憶下。唯識云。云何為念。於曾習境。令心明記。不	002	 鈔  憶 下  唯 識 云  云 何 為 念  於 曾 習 境  令 心 明 記  不 
ZH_X16_0311_002:0384a23	忘為性。定依為業。謂數憶持曾所受境。令不忘失。	002	忘 為 性  定 依 為 業  謂 數 憶 持 曾 所 受 境  令 不 忘 失  
ZH_X16_0311_002:0384a24	能引定故。於曾未受體類境中。全不起念。設曾所	002	能 引 定 故  於 曾 未 受 體 類 境 中  全 不 起 念  設 曾 所 
ZH_X16_0311_002:0384b01	受。不能明記。念亦不生。慈雲懺主云。凡涉歷緣務。	002	受  不 能 明 記  念 亦 不 生  慈 雲 懺 主 云  凡 涉 歷 緣 務  
ZH_X16_0311_002:0384b02	而內心不忘於佛。謂之憶念。譬如世人切事繫心。	002	而 內 心 不 忘 於 佛  謂 之 憶 念  譬 如 世 人 切 事 繫 心  
ZH_X16_0311_002:0384b03	雖經歷語言去來坐臥種種作務。而不妨密憶前	002	雖 經 歷 語 言 去 來 坐 臥 種 種 作 務  而 不 妨 密 憶 前 
ZH_X16_0311_002:0384b04	事宛然。念佛之心。亦應如是。若或失念。數數攝還。	002	事 宛 然  念 佛 之 心  亦 應 如 是  若 或 失 念  數 數 攝 還  
ZH_X16_0311_002:0384b05	久久成性。任運常憶。又復覺心微起惡念。即便憶	002	久 久 成 性  任 運 常 憶  又 復 覺 心 微 起 惡 念  即 便 憶 
ZH_X16_0311_002:0384b06	佛。以佛力故。惡念自息。若見他人受苦。以念佛心。	002	佛  以 佛 力 故  惡 念 自 息  若 見 他 人 受 苦  以 念 佛 心  
ZH_X16_0311_002:0384b07	憐愍於彼。願其離苦。如是相續。念佛繫心。能辦一	002	憐 愍 於 彼  願 其 離 苦  如 是 相 續  念 佛 繫 心  能 辦 一 
ZH_X16_0311_002:0384b08	切淨土功德。若事下。謂此中專心憶念。及下攝根	002	切 淨 土 功 德  若 事 下  謂 此 中 專 心 憶 念  及 下 攝 根 
ZH_X16_0311_002:0384b09	淨念。即彌陀經一心不亂一向專念。觀經一心繫	002	淨 念  即 彌 陀 經 一心不亂 一 向 專 念  觀 經 一 心 繫 
ZH_X16_0311_002:0384b10	念也。皆通事理。事則能所緣歷心佛分明。唯此一	002	念 也  皆 通 事 理  事 則 能 所 緣 歷 心 佛 分 明  唯 此 一 
ZH_X16_0311_002:0384b11	念。更無餘念。念念相續。成就定力。起信謂。以專意	002	念  更 無 餘 念  念 念 相 續  成 就 定 力  起 信 謂  以 專 意 
ZH_X16_0311_002:0384b12	念佛因緣。是也。理則能所一如。心佛不二。唯此一	002	念 佛 因 緣  是 也  理 則 能 所 一 如  心 佛 不 二  唯 此 一 
ZH_X16_0311_002:0384b13	緣。更無餘緣。緣心自在。成就慧力。起信所謂雖念	002	緣  更 無 餘 緣  緣 心 自 在  成 就 慧 力  起 信 所 謂 雖 念 
ZH_X16_0311_002:0384b14	亦無能念可念。是也。又普門疏云。若用心存念。無	002	亦 無 能 念 可 念  是 也  又 普 門 疏 云  若 用 心 存 念  無 
ZH_X16_0311_002:0384b15	有間斷。名事一心。若了此念心四性不生。名理一	002	有 間 斷  名 事 一 心  若 了 此 念 心 四 性 不 生  名 理 一 
ZH_X16_0311_002:0384b16	心。對前四種五種念佛。一一具此事理二念。問。前	002	心  對 前 四 種 五 種 念 佛  一 一 具 此 事 理 二 念  問  前 
ZH_X16_0311_002:0384b17	四五門。與此事理。俱約能念。為義有異否。答。前之	002	四 五 門  與 此 事 理  俱 約 能 念  為 義 有 異 否  答  前 之 
ZH_X16_0311_002:0384b18	四五。乃標法門方便有多。此之事理。是約行人用	002	四 五  乃 標 法 門 方 便 有 多  此 之 事 理  是 約 行 人 用 
ZH_X16_0311_002:0384b19	心各別。是故四五門中必具二心。二心之中必攝	002	心 各 別  是 故 四 五 門 中 必 具 二 心  二 心 之 中 必 攝 
ZH_X16_0311_002:0384b20	四五。無混濫也。問。此中事理。與前四五念佛判事	002	四 五  無 混 濫 也  問  此 中 事 理  與 前 四 五 念 佛 判 事 
ZH_X16_0311_002:0384b21	理觀。何別。答。前則別判四五門各屬事理。此則通	002	理 觀  何 別  答  前 則 別 判 四 五 門 各 屬 事 理  此 則 通 
ZH_X16_0311_002:0384b22	判四五一一并有事理。較之。前略今細。故不同也。	002	判 四 五 一 一 并 有 事 理  較 之  前 略 今 細  故 不 同 也  
ZH_X16_0311_002:0384b23	然此二念中。雖不可缺一。亦有上智專於理念。或	002	然 此 二 念 中  雖 不 可 缺 一  亦 有 上 智 專 於 理 念  或 
ZH_X16_0311_002:0384b24	有鈍根專於事念。或有中人兼於理事。皆隨機宜。	002	有 鈍 根 專 於 事 念  或 有 中 人 兼 於 理 事  皆 隨 機 宜  
ZH_X16_0311_002:0384c01	不必疑阻。以得見佛利益同故。佛亦下。問。三中法	002	不 必 疑 阻  以 得 見 佛 利 益 同 故  佛 亦 下  問  三 中 法 
ZH_X16_0311_002:0384c02	身。十中智空身等。何亦稱為事耶。答。墮數量(三十數也)	002	身  十 中 智 空 身 等  何 亦 稱 為 事 耶  答  墮 數 量  三 十 數 也  
ZH_X16_0311_002:0384c03	故。屬佛身(身相事也)故。問。起信云。若人專念阿彌陀佛。	002	故  屬 佛 身  身 相 事 也  故  問  起 信 云  若 人 專 念 阿 彌 陀 佛  
ZH_X16_0311_002:0384c04	所修善根。即得見佛。豈非事念。又云。若觀彼佛真	002	所 修 善 根  即 得 見 佛  豈 非 事 念  又 云  若 觀 彼 佛 真 
ZH_X16_0311_002:0384c05	如法身。常勤修習。畢竟得生。豈非理念。今何以法	002	如 法 身  常勤修習  畢 竟 得 生  豈 非 理 念  今 何 以 法 
ZH_X16_0311_002:0384c06	不屬理耶。答。論對報化。故屬理念。今對一真。故又	002	不 屬 理 耶  答  論 對 報 化  故 屬 理 念  今 對 一 真  故 又 
ZH_X16_0311_002:0384c07	屬事。所以文殊般若明一行念佛三昧。先明不動	002	屬 事  所 以 文 殊 般 若 明 一 行 念佛三昧  先 明 不 動 
ZH_X16_0311_002:0384c08	法界繫緣法界等。大疏亦云。一法界行亦無一故。	002	法 界 繫 緣 法 界 等  大 疏 亦 云  一 法 界 行 亦 無 一 故  
ZH_X16_0311_002:0384c09	問。十身佛。獨出華嚴。餘所無者。云何今教念耶。答。	002	問  十 身 佛  獨 出 華 嚴  餘 所 無 者  云 何 今 教 念 耶  答  
ZH_X16_0311_002:0384c10	諸佛說教雖別。三十身同。故觀經云。諸佛如來是	002	諸 佛 說 教 雖 別  三 十 身 同  故 觀 經 云  諸佛如來 是 
ZH_X16_0311_002:0384c11	法界身。如德雲但念十身佛也。清涼疏鈔亦云。然	002	法 界 身  如 德 雲 但 念 十 身 佛 也  清 涼 疏 鈔 亦 云  然 
