segmentnr	original	folio	analyzed
ZH_X54_0873_001:0330b07	蓋以人名論也。公為什門高弟。從譯場翻譯諸經。	001	蓋 以 人 名 論 也  公 為 什 門 高 弟  從 譯 場 翻 譯 諸 經  
ZH_X54_0873_001:0330b08	久參什師。深達實相。比因佛法西來甚少。大義未	001	久 參 什 師  深 達 實 相  比 因 佛 法 西 來 甚 少  大 義 未 
ZH_X54_0873_001:0330b09	暢。時人多尚老莊虗無之談。而沙門釋子亦相尚	001	暢  時 人 多 尚 老 莊 虗 無 之 談  而 沙 門 釋 子 亦 相 尚 
ZH_X54_0873_001:0330b10	之。多宗虗無以談佛義。各立為宗。如晉道恒。述無	001	之  多 宗 虗 無 以 談 佛 義  各 立 為 宗  如 晉 道 恒  述 無 
ZH_X54_0873_001:0330b11	心論。東晉道林。作即色遊玄論。晉竺法汰。作本無	001	心 論  東 晉 道 林  作 即 色 遊 玄 論  晉 竺 法 汰  作 本 無 
ZH_X54_0873_001:0330b12	論。皆墮相言無。都墮斷滅。公愍大道未明。故造此	001	論  皆 墮 相 言 無  都 墮 斷 滅  公 愍 大 道 未 明  故 造 此 
ZH_X54_0873_001:0330b13	四論。以破邪執。斯立言之本意也。論者。謂假立賓	001	四 論  以 破 邪 執  斯 立 言 之 本 意 也  論 者  謂 假 立 賓 
ZH_X54_0873_001:0330b14	主。徵析論量。以顯正理。摧破邪執。人法雙影。故曰	001	主  徵 析 論 量  以 顯 正 理  摧 破 邪 執  人 法 雙 影  故 曰 
ZH_X54_0873_001:0330b15	肇論。	001	肇 論  
ZH_X54_0873_001:0330b16	後秦長安釋僧肇作	001	後 秦 長 安 釋 僧 肇 作 
ZH_X54_0873_001:0330b17	苻堅有國。據關中。號為大秦。暨姚萇篡立。亦號為	001	苻 堅 有 國  據 關 中  號 為 大 秦  暨 姚 萇 篡 立  亦 號 為 
ZH_X54_0873_001:0330b18	秦。故史以前後別之。萇崩。其子興。嗣國。什師譯經。	001	秦  故 史 以 前 後 別 之  萇 崩  其 子 興  嗣 國  什 師 譯 經  
ZH_X54_0873_001:0330b19	當興之時。故公稱後秦。按公傳略云。法師僧肇。京	001	當 興 之 時  故 公 稱 後 秦  按 公 傳 略 云  法 師 僧 肇  京 
ZH_X54_0873_001:0330b20	兆人。幼家貧。為人傭書。遂博觀子史。志好虗玄。每	001	兆 人  幼 家 貧  為 人 傭 書  遂 博 觀 子 史  志 好 虗 玄  每 
ZH_X54_0873_001:0330b21	以老莊為心要。既而歎曰。美則美矣。然其栖神冥	001	以 老 莊 為 心 要  既 而 歎 曰  美 則 美 矣  然 其 栖 神 冥 
ZH_X54_0873_001:0330b22	累之方。猶未盡善。後見舊維摩經。歡喜頂受。乃曰	001	累 之 方  猶 未 盡 善  後 見 舊 維 摩 經  歡 喜 頂 受  乃 曰 
ZH_X54_0873_001:0330b23	始知所歸矣。因此出家。年二十為沙門。名震三輔。	001	始 知 所 歸 矣  因 此 出 家  年 二 十 為 沙 門  名 震 三 輔  
ZH_X54_0873_001:0330b24	什公在姑臧。肇走依之。什與語。驚曰法中龍象也。	001	什 公 在 姑 臧  肇 走 依 之  什 與 語  驚 曰 法 中 龍 象 也  
ZH_X54_0873_001:0330c01	及歸關中。詳定經論。四方學者。輻輳而至。設難交	001	及 歸 關 中  詳 定 經 論  四 方 學 者  輻 輳 而 至  設 難 交 
ZH_X54_0873_001:0330c02	攻。肇迎刃而解。皆出意表。著般若無知論。什覽之	001	攻  肇 迎 刃 而 解  皆 出 意 表  著 般 若 無 知 論  什 覽 之 
ZH_X54_0873_001:0330c03	曰。吾解不謝子。文當相揖耳。傳其論至匡山。劉遺	001	曰  吾 解 不 謝 子  文 當 相 揖 耳  傳 其 論 至 匡 山  劉 遺 
ZH_X54_0873_001:0330c04	民以似遠公。公拊髀歎曰未曾有也。復作物不遷	001	民 以 似 遠 公  公 拊 髀 歎 曰 未 曾 有 也  復 作 物 不 遷 
ZH_X54_0873_001:0330c05	等論。皆妙盡精微。秦主尤重其筆札。傳布中外。年	001	等 論  皆 妙 盡 精 微  秦 主 尤 重 其 筆 札  傳 布 中 外  年 
ZH_X54_0873_001:0330c06	三十二而卒。當時惜其早世云。	001	三 十 二 而 卒  當 時 惜 其 早 世 云  
ZH_X54_0873_001:0330c07	宗本義	001	宗 本 義 
ZH_X54_0873_001:0330c08	宗本者。示其立論所宗有本也。以四論非一時作。	001	宗 本 者  示 其 立 論 所 宗 有 本 也  以 四 論 非 一 時 作  
ZH_X54_0873_001:0330c09	論既成。乃以宗本義統之。蓋所宗本乎一心。以窮	001	論 既 成  乃 以 宗 本 義 統 之  蓋 所 宗 本 乎 一 心  以 窮 
ZH_X54_0873_001:0330c10	萬法迷悟凡聖之源也。如起信以一心為宗。有法	001	萬 法 迷 悟 凡 聖 之 源 也  如 起 信 以 一 心 為 宗  有 法 
ZH_X54_0873_001:0330c11	有義。故曰宗本義。	001	有 義  故 曰 宗 本 義  
ZH_X54_0873_001:0330c12	本無。實相。法性。性空。緣會。一義耳。	001	本 無  實 相  法 性  性 空  緣 會  一 義 耳  
ZH_X54_0873_001:0330c13	此標宗揀法。以為四論之本也。本無者。直指寂滅	001	此 標 宗 揀 法  以 為 四 論 之 本 也  本 無 者  直 指 寂 滅 
ZH_X54_0873_001:0330c14	一心。了無一法。離一切相。逈絕聖凡。故曰本無。非	001	一 心  了 無 一 法  離一切相  逈 絕 聖 凡  故 曰 本 無  非 
ZH_X54_0873_001:0330c15	推之使無也。以一切諸法。皆一心隨緣之所變現。	001	推 之 使 無 也  以 一切諸法  皆 一 心 隨 緣 之 所 變 現  
ZH_X54_0873_001:0330c16	心本無生。但緣會而生。故曰緣會。以緣生諸法。本	001	心 本 無 生  但 緣 會 而 生  故 曰 緣 會  以 緣 生 諸 法  本 
ZH_X54_0873_001:0330c17	無實體。緣生故空。故曰性空。以全體真如所變。故	001	無 實 體  緣 生 故 空  故 曰 性 空  以 全 體 真 如 所 變  故 
ZH_X54_0873_001:0330c18	曰法性。真如法性所成諸法。真如無相。故諸法本	001	曰 法 性  真 如 法 性 所 成 諸 法  真 如 無 相  故 諸 法 本 
ZH_X54_0873_001:0330c19	體寂滅。故曰實相。是以本無。為一心之體。緣會。為	001	體 寂 滅  故 曰 實 相  是 以 本 無  為 一 心 之 體  緣 會  為 
ZH_X54_0873_001:0330c20	一心之用。實相。法性。性空。皆一心所成萬法之義。	001	一 心 之 用  實 相  法 性  性 空  皆 一 心 所 成 萬 法 之 義  
ZH_X54_0873_001:0330c21	故曰一義耳。依一心法。立此四論。不遷當俗。不真	001	故 曰 一 義 耳  依 一 心 法  立 此 四 論  不 遷 當 俗  不 真 
ZH_X54_0873_001:0330c22	當真。二諦為所觀之境。般若為能觀之心。三論為	001	當 真  二 諦 為 所 觀 之 境  般 若 為 能 觀 之 心  三 論 為 
ZH_X54_0873_001:0330c23	因。涅槃為果。故首為宗體。	001	因  涅 槃 為 果  故 首 為 宗 體  
ZH_X54_0873_001:0330c24	何則。(此徵起四論。各有所宗)一切諸法。緣會而生。	001	何 則   此 徵 起 四 論  各 有 所 宗  一切諸法  緣 會 而 生  
ZH_X54_0873_001:0331a01	此下標顯不遷宗體也。寂滅一心本無諸法。本無	001	此 下 標 顯 不 遷 宗 體 也  寂 滅 一 心 本 無 諸 法  本 無 
ZH_X54_0873_001:0331a02	今有。故曰緣會而生。	001	今 有  故 曰 緣 會 而 生  
ZH_X54_0873_001:0331a03	緣會而生。則未生無有。緣離則滅。	001	緣 會 而 生  則 未 生 無 有  緣 離 則 滅  
ZH_X54_0873_001:0331a04	此顯心本不生。但是緣生。非心生也。以生本無生。	001	此 顯 心 本 不 生  但 是 緣 生  非 心 生 也  以 生 本 無 生  
ZH_X54_0873_001:0331a05	故滅亦緣滅。非心滅也。不生不滅一心之義。於是	001	故 滅 亦 緣 滅  非 心 滅 也  不生不滅 一 心 之 義  於 是 
ZH_X54_0873_001:0331a06	乎顯矣。	001	乎 顯 矣  
ZH_X54_0873_001:0331a07	如其真有。有則無滅。	001	如 其 真 有  有 則 無 滅  
ZH_X54_0873_001:0331a08	此返顯緣生諸法非實有也。真。實也。若諸法果是	001	此 返 顯 緣 生 諸 法 非 實 有 也  真  實 也  若 諸 法 果 是 
ZH_X54_0873_001:0331a09	實有。則不應隨緣散滅。今既隨緣滅。則法非實有	001	實 有  則 不 應 隨 緣 散 滅  今 既 隨 緣 滅  則 法 非 實 有 
ZH_X54_0873_001:0331a10	矣。	001	矣  
ZH_X54_0873_001:0331a11	以此而推。故知雖今現有。有而性常自空。性常自空。	001	以 此 而 推  故 知 雖 今 現 有  有 而 性 常 自 空  性 常 自 空  
ZH_X54_0873_001:0331a12	故謂之性空。	001	故 謂 之 性 空  
ZH_X54_0873_001:0331a13	以此緣生緣滅而觀諸法。則知雖今現有而非實	001	以 此 緣 生 緣 滅 而 觀 諸 法  則 知 雖 今 現 有 而 非 實 
ZH_X54_0873_001:0331a14	有。以體常自空。體常自空。故義說性空。	001	有  以 體 常 自 空  體 常 自 空  故 義 說 性 空  
ZH_X54_0873_001:0331a15	性空故。故曰法性。	001	性 空 故  故 曰 法 性  
ZH_X54_0873_001:0331a16	諸法實性即是真如。真如性空。以真如性現成諸	001	諸法實性 即 是 真 如  真 如 性 空  以 真 如 性 現 成 諸 
ZH_X54_0873_001:0331a17	法。法法全真。良由真如性空。故諸法性空。稱為法	001	法  法 法 全 真  良 由 真 如 性 空  故 諸 法 性 空  稱 為 法 
ZH_X54_0873_001:0331a18	性。	001	性  
ZH_X54_0873_001:0331a19	法性如是。故曰實相。	001	法 性 如 是  故 曰 實 相  
ZH_X54_0873_001:0331a20	諸法之性全體真如。真如之相本自無相。法性如	001	諸 法 之 性 全 體 真 如  真 如 之 相 本 自 無 相  法 性 如 
ZH_X54_0873_001:0331a21	如。寂滅離相。故曰實相。	001	如  寂 滅 離 相  故 曰 實 相  
ZH_X54_0873_001:0331a22	實相自無。非推之使無。故名本無。	001	實 相 自 無  非 推 之 使 無  故 名 本 無  
ZH_X54_0873_001:0331a23	實相乃真如實體。今既隨緣成一切法。則法法皆	001	實 相 乃 真 如 實 體  今 既 隨 緣 成 一 切 法  則 法 法 皆 
ZH_X54_0873_001:0331a24	真。若觀法法全真。則了無一法可當情者。斯則不	001	真  若 觀 法 法 全 真  則 了 無 一 法 可 當 情 者  斯 則 不 
ZH_X54_0873_001:0331b01	待推測使無。則法本無也。萬法本無。又何有一毫	001	待 推 測 使 無  則 法 本 無 也  萬 法 本 無  又 何 有 一 毫 
ZH_X54_0873_001:0331b02	可轉動哉。以此而觀諸法。則不遷之旨。昭昭心目	001	可 轉 動 哉  以 此 而 觀 諸 法  則 不 遷 之 旨  昭 昭 心 目 
ZH_X54_0873_001:0331b03	矣。上明不遷宗本。	001	矣  上 明 不 遷 宗 本  
ZH_X54_0873_001:0331b04	言不有不無者。(此標不真空宗本也)不如有見常見之有。邪見	001	言 不 有 不 無 者   此 標 不 真 空 宗 本 也  不 如 有 見 常 見 之 有  邪 見 
ZH_X54_0873_001:0331b05	斷見之無耳。	001	斷 見 之 無 耳  
ZH_X54_0873_001:0331b06	此標立論所破之執也。不如。猶不比也。凡夫外道。	001	此 標 立 論 所 破 之 執 也  不 如  猶 不 比 也  凡 夫 外 道  
ZH_X54_0873_001:0331b07	定執諸法是實有。確執諸法為斷滅之無。政在所	001	定 執 諸 法 是 實 有  確 執 諸 法 為 斷 滅 之 無  政 在 所 
ZH_X54_0873_001:0331b08	破。但以不字破之。故曰不有不無。	001	破  但 以 不 字 破 之  故 曰 不 有 不 無  
ZH_X54_0873_001:0331b09	若以有為有。則以無為無。	001	若 以 有 為 有  則 以 無 為 無  
ZH_X54_0873_001:0331b10	此出計也。若以諸法為實有。則墮常見。若以諸法	001	此 出 計 也  若 以 諸 法 為 實 有  則 墮 常 見  若 以 諸 法 
ZH_X54_0873_001:0331b11	為實無。則墮斷見。	001	為 實 無  則 墮 斷 見  
ZH_X54_0873_001:0331b12	夫不存無以觀法者。可謂識法實相矣。	001	夫 不 存 無 以 觀 法 者  可 謂 識 法 實 相 矣  
ZH_X54_0873_001:0331b13	此示正觀也。存無下應添一有字。言不存有無二	001	此 示 正 觀 也  存 無 下 應 添 一 有 字  言 不 存 有 無 二 
ZH_X54_0873_001:0331b14	見以觀法。可謂識法之實相矣。以有無二見。顛倒	001	見 以 觀 法  可 謂 識 法 之 實 相 矣  以 有無二見  顛 倒 
ZH_X54_0873_001:0331b15	見也。	001	見 也  
ZH_X54_0873_001:0331b16	雖觀有而無所取相。然則法相為無相之相。聖人之	001	雖 觀 有 而 無 所 取 相  然 則 法 相 為 無 相 之 相  聖 人 之 
ZH_X54_0873_001:0331b17	心。為住無所住矣。	001	心  為 住 無 所 住 矣  
ZH_X54_0873_001:0331b18	此出觀益也。謂離有無二見以觀諸法。則法法寂	001	此 出 觀 益 也  謂 離 有無二見 以 觀 諸 法  則 法 法 寂 
ZH_X54_0873_001:0331b19	然。故法雖有而不取相。不取法相。則當體如如。故	001	然  故 法 雖 有 而 不 取 相  不 取 法 相  則 當 體 如 如  故 
ZH_X54_0873_001:0331b20	相即為無相之相矣。諸相無相。寂滅性空。斯則所	001	相 即 為 無 相 之 相 矣  諸 相 無 相  寂 滅 性 空  斯 則 所 
ZH_X54_0873_001:0331b21	觀之境空。境空則心自寂。故聖人之心。為無住之	001	觀 之 境 空  境 空 則 心 自 寂  故 聖 人 之 心  為 無 住 之 
ZH_X54_0873_001:0331b22	住。此心空也。心境俱空。於何不寂。	001	住  此 心 空 也  心 境 俱 空  於 何 不 寂  
ZH_X54_0873_001:0331b23	三乘等觀性空而得道也。性空者。謂諸法實相也。見	001	三 乘 等 觀 性 空 而 得 道 也  性 空 者  謂 諸法實相 也  見 
ZH_X54_0873_001:0331b24	法實相。故云正觀。若其異者。便為邪觀。設二乘不見	001	法 實 相  故 云 正 觀  若 其 異 者  便 為 邪 觀  設 二 乘 不 見 
ZH_X54_0873_001:0331c01	此理。則顛倒也。	001	此 理  則 顛 倒 也  
ZH_X54_0873_001:0331c02	此約法以顯能觀之人也。三乘之人。同觀性空而	001	此 約 法 以 顯 能 觀 之 人 也  三乘之人  同 觀 性 空 而 
ZH_X54_0873_001:0331c03	得道果。然此諸法性空。即是實相。能見諸法實相。	001	得 道 果  然 此 諸 法 性 空  即 是 實 相  能 見 諸法實相  
ZH_X54_0873_001:0331c04	方為正觀。設使二乘不見此理。則同凡夫顛倒矣。	001	方 為 正 觀  設 使 二 乘 不 見 此 理  則 同 凡 夫 顛 倒 矣  
ZH_X54_0873_001:0331c05	此單約諸法盡皆實相。二乘所見偏空。亦是實相	001	此 單 約 諸 法 盡 皆 實 相  二 乘 所 見 偏 空  亦 是 實 相 
ZH_X54_0873_001:0331c06	性空。若不是實相性空。何以得證道果。意謂法一	001	性 空  若 不 是 實 相 性 空  何 以 得 證 道 果  意 謂 法 一 
ZH_X54_0873_001:0331c07	人異。故下難明。	001	人 異  故 下 難 明  
ZH_X54_0873_001:0331c08	是以三乘觀法無異。但心有大小為差耳。	001	是 以 三 乘 觀 法 無 異  但 心 有 大 小 為 差 耳  
ZH_X54_0873_001:0331c09	此明法一人異也。伏難。難曰。既三乘同見一法。何	001	此 明 法 一 人 異 也  伏 難  難 曰  既 三 乘 同 見 一 法  何 
ZH_X54_0873_001:0331c10	以證果有差。答曰。其實三乘觀法無異。但為心有	001	以 證 果 有 差  答 曰  其 實 三 乘 觀 法 無 異  但 為 心 有 
ZH_X54_0873_001:0331c11	大小。故證果有差耳。足知法本是一。但人心大小	001	大 小  故 證 果 有 差 耳  足 知 法 本 是 一  但 人 心 大 小 
ZH_X54_0873_001:0331c12	有異。故所證果不同。以取不取相故耳。非法異也。	001	有 異  故 所 證 果 不 同  以 取 不 取 相 故 耳  非 法 異 也  
ZH_X54_0873_001:0331c13	正若三獸渡河。河本是一。但三獸大小不同。故所	001	正 若 三 獸 渡 河  河 本 是 一  但 三 獸 大 小 不 同  故 所 
ZH_X54_0873_001:0331c14	履淺深不一。斯乃獸三而河非三也。詳夫立論之	001	履 淺 深 不 一  斯 乃 獸 三 而 河 非 三 也  詳 夫 立 論 之 
ZH_X54_0873_001:0331c15	意。蓋以不遷當俗。不真當真。二諦為所觀之境。般	001	意  蓋 以 不 遷 當 俗  不 真 當 真  二 諦 為 所 觀 之 境  般 
ZH_X54_0873_001:0331c16	若為能觀之智。境智為因。涅槃為果。其三乘乃能	001	若 為 能 觀 之 智  境 智 為 因  涅 槃 為 果  其 三 乘 乃 能 
ZH_X54_0873_001:0331c17	修之人。故介宗本之中。良有以也。	001	修 之 人  故 介 宗 本 之 中  良 有 以 也  
ZH_X54_0873_001:0331c18	漚和般若者。大慧之稱也。	001	漚 和 般 若 者  大 慧 之 稱 也  
ZH_X54_0873_001:0331c19	此標般若無知宗本也。梵云漚和。此云方便。般若。	001	此 標 般 若 無 知 宗 本 也  梵 云 漚 和  此 云 方 便  般 若  
ZH_X54_0873_001:0331c20	此云智慧。以有方便之智。乃稱大慧。若無方便。但	001	此 云 智 慧  以 有 方 便 之 智  乃 稱 大 慧  若 無 方 便  但 
ZH_X54_0873_001:0331c21	名孤慧。故所取偏空。非大慧也。前二論真俗二諦。	001	名 孤 慧  故 所 取 偏 空  非 大 慧 也  前 二 論 真 俗 二 諦  
ZH_X54_0873_001:0331c22	當所觀之境。今漚和般若。為能觀之心。雙照二諦。	001	當 所 觀 之 境  今 漚 和 般 若  為 能 觀 之 心  雙 照 二 諦  
ZH_X54_0873_001:0331c23	不取有無。不墮二邊。故云大慧。	001	不 取 有 無  不墮二邊  故 云 大 慧  
ZH_X54_0873_001:0331c24	諸法實相。謂之般若。能不形證。漚和功也。適化眾生。	001	諸法實相  謂 之 般 若  能 不 形 證  漚 和 功 也  適 化 眾 生  
ZH_X54_0873_001:0332a01	謂之漚和。不染塵累。般若力也。	001	謂 之 漚 和  不 染 塵 累  般 若 力 也  
ZH_X54_0873_001:0332a02	此釋大慧之義也。能見諸法實相。是謂般若。雖觀	001	此 釋 大 慧 之 義 也  能 見 諸法實相  是 謂 般 若  雖 觀 
ZH_X54_0873_001:0332a03	空而不取證。仍起方便度生之事。是仗漚和之功	001	空 而 不 取 證  仍 起 方 便 度 生 之 事  是 仗 漚 和 之 功 
ZH_X54_0873_001:0332a04	也。適化眾生。乃方便之事。雖涉生死。不被塵勞所	001	也  適 化 眾 生  乃 方 便 之 事  雖 涉 生 死  不 被 塵 勞 所 
ZH_X54_0873_001:0332a05	累。全仗般若之力也。是以菩薩觀空而萬行沸騰。	001	累  全 仗 般 若 之 力 也  是 以 菩 薩 觀 空 而 萬 行 沸 騰  
ZH_X54_0873_001:0332a06	涉有而一道清淨。淨名云。無方便慧縛。有方便慧	001	涉 有 而 一 道 清 淨  淨 名 云  無 方 便 慧 縛  有 方 便 慧 
ZH_X54_0873_001:0332a07	解。無慧方便縛。有慧方便解。雙照二諦。不取有無	001	解  無 慧 方 便 縛  有 慧 方 便 解  雙 照 二 諦  不 取 有 無 
ZH_X54_0873_001:0332a08	之相。故能出空入假而無礙。故云大慧。	001	之 相  故 能 出 空 入 假 而 無 礙  故 云 大 慧  
ZH_X54_0873_001:0332a09	然則般若之門觀空。漚和之門涉有。涉有未始迷虗。	001	然 則 般 若 之 門 觀 空  漚 和 之 門 涉 有  涉 有 未 始 迷 虗  
ZH_X54_0873_001:0332a10	故常處有而不染。不厭有而觀空。故觀空而不證。是	001	故 常 處 有 而 不 染  不 厭 有 而 觀 空  故 觀 空 而 不 證  是 
ZH_X54_0873_001:0332a11	謂一念之力。權慧具矣。一念之力。權慧具矣。好思。歷	001	謂 一 念 之 力  權 慧 具 矣  一 念 之 力  權 慧 具 矣  好 思  歷 
ZH_X54_0873_001:0332a12	然可解。	001	然 可 解  
ZH_X54_0873_001:0332a13	此重明不證不染之義也。以般若唯照空。漚和唯	001	此 重 明 不 證 不 染 之 義 也  以 般 若 唯 照 空  漚 和 唯 
ZH_X54_0873_001:0332a14	涉有。以涉有而不迷虗。是仗般若之力。故處有而	001	涉 有  以 涉 有 而 不 迷 虗  是 仗 般 若 之 力  故 處 有 而 
ZH_X54_0873_001:0332a15	不染。以不厭有而觀空。故觀空而不取證。是仗漚	001	不 染  以 不 厭 有 而 觀 空  故 觀 空 而 不 取 證  是 仗 漚 
ZH_X54_0873_001:0332a16	和之功也。斯則空有不異之二諦。權實不二之一	001	和 之 功 也  斯 則 空 有 不 異 之 二 諦  權 實 不 二 之 一 
ZH_X54_0873_001:0332a17	心。同時雙照。存泯無礙。故曰一念之力權慧具矣。	001	心  同 時 雙 照  存 泯 無 礙  故 曰 一 念 之 力 權 慧 具 矣  
ZH_X54_0873_001:0332a18	好思歷然可解者。勉其用心觀照分明。則心境歷	001	好 思 歷 然 可 解 者  勉 其 用 心 觀 照 分 明  則 心 境 歷 
ZH_X54_0873_001:0332a19	然。權實並顯。當不勞而妙契矣。	001	然  權 實 並 顯  當 不 勞 而 妙 契 矣  
ZH_X54_0873_001:0332a20	泥洹盡諦者。直結盡而已。則生死永滅。故謂盡耳。無	001	泥 洹 盡 諦 者  直 結 盡 而 已  則 生 死 永 滅  故 謂 盡 耳  無 
ZH_X54_0873_001:0332a21	復別有一盡處耳。	001	復 別 有 一 盡 處 耳  
ZH_X54_0873_001:0332a22	此標涅槃無名宗本也。言泥洹。亦名涅槃。稱為盡	001	此 標 涅 槃 無 名 宗 本 也  言 泥 洹  亦 名 涅 槃  稱 為 盡 
ZH_X54_0873_001:0332a23	諦者。直是煩惱結盡而已。所謂五住究盡。故二死	001	諦 者  直 是 煩 惱 結 盡 而 已  所 謂 五 住 究 盡  故 二 死 
ZH_X54_0873_001:0332a24	永亡。是生死永滅。名為盡耳。非復別有一盡處可	001	永 亡  是 生 死 永 滅  名 為 盡 耳  非 復 別 有 一 盡 處 可 
ZH_X54_0873_001:0332b01	歸。亦非實有一名可稱也。故曰涅槃無名。四論所	001	歸  亦 非 實 有 一 名 可 稱 也  故 曰 涅 槃 無 名  四 論 所 
ZH_X54_0873_001:0332b02	宗。一心為本。謂不有不無之二諦。以非知不知之	001	宗  一 心 為 本  謂 不 有 不 無 之 二 諦  以 非 知 不 知 之 
ZH_X54_0873_001:0332b03	觀照。證不生不滅之一心。因果冥會。妙契環中。宗	001	觀 照  證 不生不滅 之 一 心  因 果 冥 會  妙 契 環 中  宗 
ZH_X54_0873_001:0332b04	本之義。盡乎是矣。	001	本 之 義  盡 乎 是 矣  
ZH_X54_0873_001:0332b05	物不遷論第一	001	物 不 遷 論 第 一 
ZH_X54_0873_001:0332b06	此論俗諦即真。為所觀之境也。物者。指所觀之萬	001	此 論 俗 諦 即 真  為 所 觀 之 境 也  物 者  指 所 觀 之 萬 
ZH_X54_0873_001:0332b07	法。不遷。指諸法當體之實相。以常情妄見諸法。似	001	法  不 遷  指 諸 法 當 體 之 實 相  以 常 情 妄 見 諸 法  似 
ZH_X54_0873_001:0332b08	有遷流。若以般若而觀。則頓見諸法實相。當體寂	001	有 遷 流  若 以 般 若 而 觀  則 頓 見 諸法實相  當 體 寂 
ZH_X54_0873_001:0332b09	滅真常。了無遷動之相。所謂無有一法可動轉者。	001	滅 真 常  了 無 遷 動 之 相  所 謂 無 有 一 法 可 動 轉 者  
ZH_X54_0873_001:0332b10	以緣生性空。斯則法法當體本自不遷。非相遷而	001	以 緣 生 性 空  斯 則 法 法 當 體 本 自 不 遷  非 相 遷 而 
ZH_X54_0873_001:0332b11	性不遷也。能見物物不遷。故即物即真。真則了無	001	性 不 遷 也  能 見 物 物 不 遷  故 即 物 即 真  真 則 了 無 
ZH_X54_0873_001:0332b12	一法可當情者。以此觀俗。則俗即真也。良由全理	001	一 法 可 當 情 者  以 此 觀 俗  則 俗 即 真 也  良 由 全 理 
ZH_X54_0873_001:0332b13	成事。事事皆真。諸法實相。於是乎顯矣。論主宗維	001	成 事  事 事 皆 真  諸法實相  於 是 乎 顯 矣  論 主 宗 維 
ZH_X54_0873_001:0332b14	摩法華。深悟實相。以不遷當俗。即俗而真。不遷之	001	摩 法 華  深 悟 實 相  以 不 遷 當 俗  即 俗 而 真  不 遷 之 
ZH_X54_0873_001:0332b15	旨。昭然心目。	001	旨  昭 然 心 目  
ZH_X54_0873_001:0332b16	夫生死交謝。寒暑迭遷。有物流動。人之常情。余則謂	001	夫 生 死 交 謝  寒 暑 迭 遷  有 物 流 動  人 之 常 情  余 則 謂 
ZH_X54_0873_001:0332b17	之不然。	001	之 不 然  
ZH_X54_0873_001:0332b18	將明不遷。先立遷流之相。為所觀之境。要在即遷	001	將 明 不 遷  先 立 遷 流 之 相  為 所 觀 之 境  要 在 即 遷 
