segmentnr	original	folio	analyzed
ZH_X31_0612_001:0605b07	經蕩化城之執教。廢草菴之滯情。開方便之權門。示	001	經 蕩 化 城 之 執 教  廢 草 菴 之 滯 情  開 方 便 之 權 門  示 
ZH_X31_0612_001:0605b08	真實之妙理。會眾善之小行。歸廣大之一乘。文愽義	001	真 實 之 妙 理  會 眾 善 之 小 行  歸 廣 大 之 一 乘  文 愽 義 
ZH_X31_0612_001:0605b09	深。餘經莫及)。	001	深  餘 經 莫 及   
ZH_X31_0612_001:0605b10	山谷意曰。梵云薩達磨。此云妙法。或云正法。盖薩	001	山 谷 意 曰  梵 云 薩 達 磨  此 云 妙 法  或 云 正 法  盖 薩 
ZH_X31_0612_001:0605b11	字之中含攝二義。故秦本妙法。晉本正法。皆無失	001	字 之 中 含 攝 二 義  故 秦 本 妙 法  晉 本 正 法  皆 無 失 
ZH_X31_0612_001:0605b12	也。具十妙義獨勝餘經。故云妙也。一乘真宗中道	001	也  具 十 妙 義 獨 勝 餘 經  故 云 妙 也  一 乘 真 宗 中 道 
ZH_X31_0612_001:0605b13	了義。故云正也。住持真理為物軌範。故云法也。蓮	001	了 義  故 云 正 也  住 持 真 理 為 物 軌 範  故 云 法 也  蓮 
ZH_X31_0612_001:0605b14	華。梵云奔茶利迦。此云白蓮華。白為眾色之本。一	001	華  梵 云 奔 茶 利 迦  此 云 白 蓮 華  白 為 眾 色 之 本  一 
ZH_X31_0612_001:0605b15	乘為餘乘之宗。故取喻之。如下經中初放白毫之	001	乘 為 餘 乘 之 宗  故 取 喻 之  如 下 經 中 初 放 白 毫 之 
ZH_X31_0612_001:0605b16	光。終賜白牛之駕。是此義也。蓮華者。居泥不染。因	001	光  終 賜 白 牛 之 駕  是 此 義 也  蓮 華 者  居 泥 不 染  因 
ZH_X31_0612_001:0605b17	果齊彰。喻前妙法開權顯實會三歸一。明佛知見。	001	果 齊 彰  喻 前 妙 法 開 權 顯 實 會 三 歸 一  明 佛 知 見  
ZH_X31_0612_001:0605b18	不同餘經。法喻雙題。故云妙法蓮華經。梵云素呾	001	不 同 餘 經  法 喻 雙 題  故 云 妙法蓮華 經  梵 云 素 呾 
ZH_X31_0612_001:0605b19	纜。此云契經。契謂契理契機。經謂貫攝常法。即契	001	纜  此 云 契 經  契 謂 契 理 契 機  經 謂 貫 攝 常 法  即 契 
ZH_X31_0612_001:0605b20	理合機之教。故云契經。今略契字。務從前簡也。	001	理 合 機 之 教  故 云 契 經  今 略 契 字  務 從 前 簡 也  
ZH_X31_0612_001:0605b21	白樂天序法華院石壁金字經云。開上悟入。諸佛	001	白 樂 天 序 法 華 院 石 壁 金 字 經 云  開 上 悟 入  諸 佛 
ZH_X31_0612_001:0605b22	知見。以了義度無邊。以圓教垂無窮。莫尊於妙法	001	知 見  以 了 義 度 無 邊  以 圓 教 垂 無 窮  莫 尊 於 妙 法 
ZH_X31_0612_001:0605b23	蓮華經。是經也。三乘之要首。萬佛之秘藏盡矣。	001	蓮 華 經  是 經 也  三 乘 之 要 首  萬 佛 之 秘 藏 盡 矣  
ZH_X31_0612_001:0605b24	○序品第一	001	 序 品 第 一 
ZH_X31_0612_001:0605b25	行簡子曰。此經二十八品。初序分一品。二正宗分	001	行 簡 子 曰  此 經 二 十 八 品  初 序 分 一 品  二 正 宗 分 
ZH_X31_0612_001:0605b26	十九品。三流通分八品。	001	十 九 品  三 流 通 分 八 品  
ZH_X31_0612_001:0605b27	如是我聞。一時佛住王舍城耆闍崛山中。	001	如是我聞  一 時 佛 住 王 舍 城 耆 闍 崛 山 中  
ZH_X31_0612_001:0605c01	(及南曰。華嚴展轉十處。為圓彰法戒。圓覺依大光明	001	 及 南 曰  華 嚴 展 轉 十 處  為 圓 彰 法 戒  圓 覺 依 大 光 明 
ZH_X31_0612_001:0605c02	藏。為直示本起。此依人間之城者。同染淨以明蓮華	001	藏  為 直 示 本 起  此 依 人 間 之 城 者  同 染 淨 以 明 蓮 華 
ZH_X31_0612_001:0605c03	之義。據古佛之處者。示祖述以繼燈明之道耳)。	001	之 義  據 古 佛 之 處 者  示 祖 述 以 繼 燈 明 之 道 耳   
ZH_X31_0612_001:0605c04	戒環曰。如是之法我從佛聞。此阿難結集時。升座	001	戒 環 曰  如 是 之 法 我 從 佛 聞  此 阿 難 結 集 時  升 座 
ZH_X31_0612_001:0605c05	最初之唱。以證法有所授而已。王舍城。即靈山所	001	最 初 之 唱  以 證 法 有 所 授 而 已  王 舍 城  即 靈 山 所 
ZH_X31_0612_001:0605c06	附之城。摩竭陀國之屬境也。即西域人間。耆闍崛	001	附 之 城  摩 竭 陀 國 之 屬 境 也  即 西 域 人 間  耆 闍 崛 
ZH_X31_0612_001:0605c07	山。此云鷲頭山。從形得名。即古佛住處。以古佛所	001	山  此 云 鷲 頭 山  從 形 得 名  即 古 佛 住 處  以 古 佛 所 
ZH_X31_0612_001:0605c08	住。故稱靈鷲。	001	住  故 稱 靈 鷲  
ZH_X31_0612_001:0605c09	與大比丘眾萬二千人俱。皆是阿羅漢。諸漏已盡。無	001	與 大 比 丘 眾 萬 二 千 人 俱  皆 是 阿 羅 漢  諸漏已盡  無 
ZH_X31_0612_001:0605c10	復煩惱。逮得己利。盡諸有結。心得自在。	001	復 煩 惱  逮得己利  盡諸有結  心得自在  
ZH_X31_0612_001:0605c11	(戒環曰。三界因果皆為他事。知斷功德乃名己利。乃	001	 戒 環 曰  三 界 因 果 皆 為 他 事  知 斷 功 德 乃 名 己 利  乃 
ZH_X31_0612_001:0605c12	堪為人天福田。故號應供。律文凡於應供須忖己德	001	堪 為 人 天 福 田  故 號 應 供  律 文 凡 於 應 供 須 忖 己 德 
ZH_X31_0612_001:0605c13	行全缺者。使忖己利也。盖夫苦身而作。端坐而食。擎	001	行 全 缺 者  使 忖 己 利 也  盖 夫 苦 身 而 作  端 坐 而 食  擎 
ZH_X31_0612_001:0605c14	跪而拜。逆立而受。苟無己利之德。其害非細。行人識	001	跪 而 拜  逆 立 而 受  苟 無 己 利 之 德  其 害 非 細  行 人 識 
ZH_X31_0612_001:0605c15	之)。	001	之   
ZH_X31_0612_001:0605c16	祥邁曰。佛隨眾。止千二百五十人。今言萬二千者。	001	祥 邁 曰  佛 隨 眾  止 千二百五十 人  今 言 萬 二 千 者  
ZH_X31_0612_001:0605c17	兼他方所集也。阿羅漢。義翻殺賊。亦曰應供。亦曰	001	兼 他 方 所 集 也  阿 羅 漢  義 翻 殺 賊  亦 曰 應 供  亦 曰 
ZH_X31_0612_001:0605c18	不生。善淵之心不能全一。粘湛發識。流逸奔境名	001	不 生  善 淵 之 心 不 能 全 一  粘 湛 發 識  流 逸 奔 境 名 
ZH_X31_0612_001:0605c19	漏。諸漏者。謂欲漏有漏無明漏。皆以粘湛妄識為	001	漏  諸 漏 者  謂 欲 漏 有 漏 無 明 漏  皆 以 粘 湛 妄 識 為 
ZH_X31_0612_001:0605c20	體。為三界煩惱之本。煩惱即貪嗔癡等十使。為諸	001	體  為 三 界 煩 惱 之 本  煩 惱 即 貪 嗔 癡 等 十 使  為 諸 
ZH_X31_0612_001:0605c21	漏之緣。戕害法身。偪惱正性。名煩惱賊。言漏盡無	001	漏 之 緣  戕 害 法 身  偪 惱 正 性  名 煩 惱 賊  言 漏 盡 無 
ZH_X31_0612_001:0605c22	惱者。以本盡故緣無。是謂殺賊也。己利即證智斷	001	惱 者  以 本 盡 故 緣 無  是 謂 殺 賊 也  己 利 即 證 智 斷 
ZH_X31_0612_001:0605c23	惑之事。諸有結者。即惑習之業。為二十五有之生	001	惑 之 事  諸 有 結 者  即 惑 習 之 業  為 二十五有 之 生 
ZH_X31_0612_001:0605c24	因。以因盡則果亡。是謂不生也。小乘有定無慧為	001	因  以 因 盡 則 果 亡  是 謂 不 生 也  小 乘 有 定 無 慧 為 
ZH_X31_0612_001:0605c25	偏。溥未得自有。名之自在。乃定慧兩足。俱解脫矣。	001	偏  溥 未 得 自 有  名 之 自 在  乃 定 慧 兩 足  俱 解 脫 矣  
ZH_X31_0612_001:0605c26	其名曰阿若憍陳如。摩訶迦葉。優樓頻螺迦葉。伽耶	001	其 名 曰 阿 若 憍 陳 如  摩 訶 迦 葉  優 樓 頻 螺 迦 葉  伽 耶 
ZH_X31_0612_001:0606a01	迦葉。那提迦葉。舍利弗。大目犍連。摩訶迦旃延。阿[少/兔]	001	迦 葉  那 提 迦 葉  舍 利 弗  大 目 犍 連  摩 訶 迦 旃 延  阿 [少兔] 
ZH_X31_0612_001:0606a02	樓馱。劫賓那。憍梵波提。離婆多。畢凌伽婆蹉。薄拘羅。	001	樓 馱  劫 賓 那  憍 梵 波 提  離 婆 多  畢 凌 伽 婆 蹉  薄 拘 羅  
ZH_X31_0612_001:0606a03	摩訶俱絺羅。難陀。孫陀羅難陀。富樓那彌多羅尼子。	001	摩 訶 俱 絺 羅  難 陀  孫 陀 羅 難 陀  富 樓 那 彌 多 羅 尼 子  
ZH_X31_0612_001:0606a04	須菩提。阿難。羅睺羅。如是眾所知識大阿羅漢等。	001	須 菩 提  阿 難  羅 睺 羅  如 是 眾 所 知 識 大阿羅漢 等  
ZH_X31_0612_001:0606a05	(增一阿含云。憍陳初悟解。優樓供養眾。伽耶伏諸結。	001	 增 一 阿 含 云  憍 陳 初 悟 解  優 樓 供 養 眾  伽 耶 伏 諸 結  
ZH_X31_0612_001:0606a06	那提善教化。劫賓知星宿。憍梵受天供。離婆不倒亂。	001	那 提 善 教 化  劫 賓 知 星 宿  憍 梵 受 天 供  離 婆 不 倒 亂  
ZH_X31_0612_001:0606a07	畢凌能苦坐。薄拘壽不夭。俱絺善答難。孫陀容挺特。	001	畢 凌 能 苦 坐  薄 拘 壽 不 夭  俱 絺 善 答 難  孫 陀 容 挺 特  
ZH_X31_0612_001:0606a08	各第一也)。	001	各 第 一 也   
ZH_X31_0612_001:0606a09	戒環曰。此舉萬二千人領袖上德。即十大弟子之	001	戒 環 曰  此 舉 萬 二 千 人 領 袖 上 德  即 十 大 弟 子 之 
ZH_X31_0612_001:0606a10	列也。佛有十大弟子。為法王法臣。各備眾德。權示	001	列 也  佛 有 十 大 弟 子  為 法 王 法 臣  各 備 眾 德  權 示 
ZH_X31_0612_001:0606a11	專門。輔弼大化故。大迦葉頭陀第一。身子智慧第	001	專 門  輔 弼 大 化 故  大 迦 葉 頭 陀 第 一  身 子 智 慧 第 
ZH_X31_0612_001:0606a12	一。目連神通。旃延論議。阿[少/兔]天眼。富那說法。善吉	001	一  目 連 神 通  旃 延 論 議  阿 [少兔] 天 眼  富 那 說 法  善 吉 
ZH_X31_0612_001:0606a13	解空。阿難多聞。波離持律。羅云蜜行。各居第一。如	001	解 空  阿 難 多 聞  波 離 持 律  羅 云 蜜 行  各 居 第 一  如 
ZH_X31_0612_001:0606a14	孔門十哲之列。是其常數。今從憍陳至羅云。有二	001	孔 門 十 哲 之 列  是 其 常 數  今 從 憍 陳 至 羅 云  有 二 
ZH_X31_0612_001:0606a15	十人者。旁兼眾德。圓彰法化也。亦各有第一之德。	001	十 人 者  旁 兼 眾 德  圓 彰 法 化 也  亦 各 有 第 一 之 德  
ZH_X31_0612_001:0606a16	菩薩摩訶薩八萬人。皆於阿耨多羅三藐三菩提不	001	菩薩摩訶薩 八 萬 人  皆 於 阿耨多羅三藐三菩提 不 
ZH_X31_0612_001:0606a17	退轉。皆得陀羅尼。樂說辯才。轉不退轉法輪。供養無	001	退 轉  皆 得陀羅尼  樂 說 辯 才  轉 不退轉法輪  供 養 無 
ZH_X31_0612_001:0606a18	量百千諸佛。於諸佛所植眾德本。常為諸佛之所稱	001	量 百 千 諸 佛  於 諸 佛 所 植 眾 德 本  常 為 諸 佛 之 所 稱 
ZH_X31_0612_001:0606a19	歎。以慈修身。善入佛慧。通達大智。到於彼岸。名稱普	001	歎  以 慈 修 身  善 入 佛 慧  通 達 大 智  到 於 彼 岸  名 稱 普 
ZH_X31_0612_001:0606a20	聞無量世界。能度無數百千眾生。	001	聞 無量世界  能 度 無 數 百 千 眾 生  
ZH_X31_0612_001:0606a21	(戒環曰。菩薩摩訶薩者。謂菩薩中之大菩薩也。阿耨	001	 戒 環 曰  菩薩摩訶薩 者  謂 菩 薩 中 之 大 菩 薩 也  阿 耨 
ZH_X31_0612_001:0606a22	菩提。云無上正真也。陀羅尼云總持。謂得一切智。總	001	菩 提  云 無 上 正 真 也  陀 羅 尼 云 總 持  謂 得 一 切 智  總 
ZH_X31_0612_001:0606a23	持萬法也)。(祥邁曰。內德通達。則有見而化者。外德	001	持 萬 法 也    祥 邁 曰  內 德 通 達  則 有 見 而 化 者  外 德 
ZH_X31_0612_001:0606a24	普聞。則有聞而化者。故其所度。至於無數百千。皆大	001	普 聞  則 有 聞 而 化 者  故 其 所 度  至 於 無 數 百 千  皆 大 
ZH_X31_0612_001:0606a25	菩薩之德。地前無所矣)。	001	菩 薩 之 德  地 前 無 所 矣   
ZH_X31_0612_001:0606a26	及南曰。樂說辯。即四辯之想。八地已上。名不退位。	001	及 南 曰  樂 說 辯  即 四 辯 之 想  八 地 已 上  名 不 退 位  
ZH_X31_0612_001:0606a27	五地七地。得陀羅尼。說決定法。名不退輪。諸皆離	001	五 地 七 地  得陀羅尼  說 決 定 法  名 不 退 輪  諸 皆 離 
ZH_X31_0612_001:0606b01	德也。住不退位者。得是道以處己。轉不退輪者。運	001	德 也  住 不 退 位 者  得 是 道 以 處 己  轉 不 退 輪 者  運 
ZH_X31_0612_001:0606b02	是道以利人。此自覺覺他之德也。以慈修身者。意	001	是 道 以 利 人  此 自覺覺他 之 德 也  以 慈 修 身 者  意 
ZH_X31_0612_001:0606b03	在供濟。善入佛慧。謂能運漚和。通達大智。則所證	001	在 供 濟  善 入 佛 慧  謂 能 運 漚 和  通 達 大 智  則 所 證 
ZH_X31_0612_001:0606b04	者明。到於彼岸。則所造者實。此內德也。由是充實	001	者 明  到 於 彼 岸  則 所 造 者 實  此 內 德 也  由 是 充 實 
ZH_X31_0612_001:0606b05	著現。故名稱普聞。此外德也。故能度眾生。	001	著 現  故 名稱普聞  此 外 德 也  故 能 度 眾 生  
ZH_X31_0612_001:0606b06	其名曰文殊師利菩薩。觀世音菩薩。得大勢菩薩。常	001	其 名 曰 文 殊 師 利 菩 薩  觀 世 音 菩 薩  得 大 勢 菩 薩  常 
ZH_X31_0612_001:0606b07	精進菩薩。不休息菩薩。寶掌菩薩。藥上菩薩。勇施菩	001	精 進 菩 薩  不 休 息 菩 薩  寶 掌 菩 薩  藥 上 菩 薩  勇 施 菩 
ZH_X31_0612_001:0606b08	薩。寶月菩薩。月光菩薩。滿月菩薩。大力菩薩。無量力	001	薩  寶 月 菩 薩  月 光 菩 薩  滿 月 菩 薩  大力菩薩  無 量 力 
ZH_X31_0612_001:0606b09	菩薩。越三界菩薩。跋陀婆羅菩薩。彌勒菩薩。寶積菩	001	菩 薩  越 三 界 菩 薩  跋 陀 婆 羅 菩 薩  彌 勒 菩 薩  寶 積 菩 
ZH_X31_0612_001:0606b10	薩。導師菩薩。如是等菩薩摩訶薩。八萬人俱。	001	薩  導 師 菩 薩  如 是 等 菩薩摩訶薩  八 萬 人 俱  
ZH_X31_0612_001:0606b11	(此經以智立体。故文殊居首。盖文殊具大智妙德。為	001	 此 經 以 智 立 体  故 文 殊 居 首  盖 文 殊 具 大 智 妙 德  為 
ZH_X31_0612_001:0606b12	法身体。為諸佛師。為世間眼。開佛知見。莫先於此。餘	001	法 身 体  為 諸 佛 師  為 世 間 眼  開 佛 知 見  莫 先 於 此  餘 
ZH_X31_0612_001:0606b13	各表此經之德也。盖由大智開佛知見。而助智以悲	001	各 表 此 經 之 德 也  盖 由 大 智 開 佛 知 見  而 助 智 以 悲 
ZH_X31_0612_001:0606b14	歷脩中德。乃至道邪人正。則一乘之体。具方行之用	001	歷 脩 中 德  乃 至 道 邪 人 正  則 一 乘 之 体  具 方 行 之 用 
ZH_X31_0612_001:0606b15	全矣。不及普賢者。自觀音已下。皆普賢之行。但初且	001	全 矣  不 及 普 賢 者  自 觀 音 已 下  皆 普 賢 之 行  但 初 且 
ZH_X31_0612_001:0606b16	以智立体。開佛知見。終至以行成德。乃見普賢。各專	001	以 智 立 体  開 佛 知 見  終 至 以 行 成 德  乃 見 普 賢  各 專 
ZH_X31_0612_001:0606b17	表也)。	001	表 也   
ZH_X31_0612_001:0606b18	戒環曰。觀音助智行悲。大勢具大德用。精進念不	001	戒 環 曰  觀 音 助 智 行 悲  大 勢 具 大 德 用  精 進 念 不 
ZH_X31_0612_001:0606b19	退轉。不息億劫勤修。寶掌掌握法寶。藥王應機發	001	退 轉  不 息 億 劫 勤 修  寶 掌 掌 握 法 寶  藥 王 應 機 發 
ZH_X31_0612_001:0606b20	藥。勇施一切能捨。寶月覺體明淨。月光能除痴闇。	001	藥  勇 施 一 切 能 捨  寶 月 覺 體 明 淨  月 光 能 除 痴 闇  
ZH_X31_0612_001:0606b21	滿月兼上二德。大力負荷大法。無量力對境不動。	001	滿 月 兼 上 二 德  大 力 負 荷 大 法  無 量 力 對 境 不 動  
ZH_X31_0612_001:0606b22	越三界不現身意。跋陀羅善護正見。彌勒以慈續	001	越 三 界 不 現 身 意  跋 陀 羅 善 護 正 見  彌 勒 以 慈 續 
ZH_X31_0612_001:0606b23	佛。寶積能聚能利。導師導邪入正。此八萬之上首。	001	佛  寶 積 能 聚 能 利  導 師 導 邪 入 正  此 八 萬 之 上 首  
ZH_X31_0612_001:0606b24	一經之表法也。	001	一 經 之 表 法 也  
ZH_X31_0612_001:0606b25	爾時世尊。四眾圍繞。供養恭敬。尊重讚歎。為諸菩薩	001	爾 時 世 尊  四 眾 圍 繞  供養恭敬  尊 重 讚 歎  為 諸 菩 薩 
ZH_X31_0612_001:0606b26	說大乘經。名無量義教菩薩法。佛所護念。佛說此經	001	說 大 乘 經  名 無 量 義 教 菩 薩 法  佛 所 護 念  佛 說 此 經 
ZH_X31_0612_001:0606c01	已。結跏趺坐。入於無量義處三昧。身心不動。	001	已  結跏趺坐  入 於 無量義處三昧  身 心 不 動  
ZH_X31_0612_001:0606c02	(祥邁曰。示於一理一動一寂之開莫不具無量義。然	001	 祥 邁 曰  示 於 一 理 一 動 一 寂 之 開 莫 不 具 無 量 義  然 
ZH_X31_0612_001:0606c03	後可入妙法)。	001	後 可 入 妙 法   
ZH_X31_0612_001:0606c04	無量義經云。無量義者。從一實相生無量法。眾集	001	無 量 義 經 云  無 量 義 者  從 一 實 相 生 無 量 法  眾 集 
ZH_X31_0612_001:0606c05	先說無量義經。經畢復入無量義定者。所以發妙	001	先 說 無 量 義 經  經 畢 復 入 無 量 義 定 者  所 以 發 妙 
ZH_X31_0612_001:0606c06	法端緒也。	001	法 端 緒 也  
ZH_X31_0612_001:0606c07	爾時佛放眉間白毫相。光照東方萬八千世界。靡不	001	爾 時 佛 放 眉間白毫相  光 照 東 方 萬 八 千 世 界  靡 不 
ZH_X31_0612_001:0606c08	周遍。	001	周 遍  
ZH_X31_0612_001:0606c09	(戒環曰。一光周亘。全彰妙体也。白毫即本覺妙明。東	001	 戒 環 曰  一 光 周 亘  全 彰 妙 体 也  白 毫 即 本 覺 妙 明  東 
ZH_X31_0612_001:0606c10	方為不動智境。萬八千界。依根塵識十八界言也)。	001	方 為 不 動 智 境  萬 八 千 界  依 根 塵 識 十 八 界 言 也   
ZH_X31_0612_001:0606c11	及南曰。眾生迷此本明本智。成十八界。自為限礙。	001	及 南 曰  眾 生 迷 此 本 明 本 智  成 十 八 界  自 為 限 礙  
ZH_X31_0612_001:0606c12	難造妙體。故將說法華。先現此瑞。使行人直下自	001	難 造 妙 體  故 將 說 法 華  先 現 此 瑞  使 行 人 直 下 自 
ZH_X31_0612_001:0606c13	發本明。照了本智。則根塵識界。通為智境。無復限	001	發 本 明  照 了 本 智  則 根 塵 識 界  通 為 智 境  無 復 限 
ZH_X31_0612_001:0606c14	痴。廓達圓融。故言萬八千界。	001	痴  廓 達 圓 融  故 言 萬 八 千 界  
ZH_X31_0612_001:0606c15	并見彼諸比丘。比丘尼。優婆塞。優婆夷。諸修行得道	001	并 見 彼 諸 比 丘  比 丘 尼  優 婆 塞  優 婆 夷  諸 修 行 得 道 
ZH_X31_0612_001:0606c16	者。復見諸菩薩摩訶薩。種種因緣。種種信解。種種相	001	者  復 見 諸 菩薩摩訶薩  種種因緣  種 種 信 解  種 種 相 
ZH_X31_0612_001:0606c17	貌。行菩薩道。復見諸佛般涅槃者。復見諸佛般涅槃	001	貌  行菩薩道  復 見 諸 佛 般涅槃者  復 見 諸 佛 般 涅 槃 
ZH_X31_0612_001:0606c18	後。以佛舍利起七寶塔。	001	後  以 佛 舍 利 起 七 寶 塔  
ZH_X31_0612_001:0606c19	(祥邁曰。世間萬法。自識境觀之。悉皆幻惑。莫得其實。	001	 祥 邁 曰  世 間 萬 法  自 識 境 觀 之  悉 皆 幻 惑  莫 得 其 實  
ZH_X31_0612_001:0606c20	自智境觀之。如是性相因緣。如是果報本末。咸一妙	001	自 智 境 觀 之  如 是 性 相 因 緣  如 是 果 報 本 末  咸 一 妙 
ZH_X31_0612_001:0606c21	明。無非實相。若諸眾生本明洞發。本智現前。則廓照	001	明  無 非 實 相  若 諸 眾 生 本 明 洞 發  本 智 現 前  則 廓 照 
ZH_X31_0612_001:0606c22	圓現。與佛不殊。妙体實相昭昭心目矣)。	001	圓 現  與 佛 不 殊  妙 体 實 相 昭 昭 心 目 矣   
ZH_X31_0612_001:0606c23	及南曰。始自比丘四眾。修行得道。次見菩薩諸佛	001	及 南 曰  始 自 比 丘 四 眾  修 行 得 道  次 見 菩 薩 諸 佛 
ZH_X31_0612_001:0606c24	行相。終至涅槃起塔。是現眾生諸佛之始終也。一	001	行 相  終 至 涅 槃 起 塔  是 現 眾 生 諸 佛 之 始 終 也  一 
ZH_X31_0612_001:0606c25	光東照。周亘圓現。如此詳悉者。直依智境。示諸法	001	光 東 照  周 亘 圓 現  如 此 詳 悉 者  直 依 智 境  示 諸 法 
ZH_X31_0612_001:0606c26	實相也。	001	實 相 也  
ZH_X31_0612_001:0607a01	爾時彌勒菩薩作是念。今者世尊現神變相。以何因	001	爾 時 彌 勒 菩 薩 作 是 念  今 者 世 尊 現 神 變 相  以 何 因 
ZH_X31_0612_001:0607a02	緣而有此端。今佛世尊。入於三昧。是不可思議。現希	001	緣 而 有 此 端  今 佛 世 尊  入於三昧  是 不可思議  現 希 
ZH_X31_0612_001:0607a03	有事。當以問誰。誰能答者。復作此念。是文殊師利。法	001	有 事  當 以 問 誰  誰 能 答 者  復 作 此 念  是 文 殊 師 利  法 
ZH_X31_0612_001:0607a04	王之子。已曾親近供養過去無量諸佛。必應見此希	001	王 之 子  已 曾 親近供養 過 去 無 量 諸 佛  必 應 見 此 希 
ZH_X31_0612_001:0607a05	有之相。我今當問。爾時比丘。比丘尼。優婆塞。優婆夷。	001	有 之 相  我 今 當 問  爾 時 比 丘  比 丘 尼  優 婆 塞  優 婆 夷  
ZH_X31_0612_001:0607a06	及諸天龍鬼神等。咸作此念。是佛光明神通之相。今	001	及 諸 天 龍 鬼 神 等  咸 作 此 念  是 佛 光 明 神 通 之 相  今 
ZH_X31_0612_001:0607a07	當問誰。爾時彌勒菩薩。欲自決疑。又觀四眾比丘。比	001	當 問 誰  爾 時 彌 勒 菩 薩  欲 自 決 疑  又 觀 四 眾 比 丘  比 
ZH_X31_0612_001:0607a08	丘尼。優婆塞。優婆夷。及諸天龍鬼神等。眾會之心。而	001	丘 尼  優 婆 塞  優 婆 夷  及 諸 天 龍 鬼 神 等  眾 會 之 心  而 
ZH_X31_0612_001:0607a09	問文殊師利言。以何因緣而有此瑞。神通之相。放大	001	問 文 殊 師 利 言  以何因緣 而 有 此 瑞  神 通 之 相  放 大 
ZH_X31_0612_001:0607a10	光明。照于東方萬八千土。悉見彼佛國界莊嚴。	001	光 明  照 于 東 方 萬 八 千 土  悉 見 彼 佛 國 界 莊 嚴  
ZH_X31_0612_001:0607a11	(戒環曰。彌勒為補處之主。欲作當來之利。故於此示	001	 戒 環 曰  彌 勒 為 補 處 之 主  欲 作 當 來 之 利  故 於 此 示 
ZH_X31_0612_001:0607a12	疑。以問文殊。為世間之眼。欲發群盲之智。故於後援	001	疑  以 問 文 殊  為 世 間 之 眼  欲 發 群 盲 之 智  故 於 後 援 
ZH_X31_0612_001:0607a13	占以證。是謂助發)。	001	占 以 證  是 謂 助 發   
ZH_X31_0612_001:0607a14	爾時文殊師利。語彌勒菩薩摩訶薩。及諸大士。善男	001	爾 時 文 殊 師 利  語 彌 勒 菩薩摩訶薩  及 諸 大 士  善 男 
ZH_X31_0612_001:0607a15	子等。如我惟忖。今佛世尊。欲說大法。雨大法雨。吹大	001	子 等  如 我 惟 忖  今 佛 世 尊  欲 說 大 法  雨大法雨  吹 大 
