segmentnr	original	folio	analyzed
ZH_X88_1649_003:0337c16	夫。朝有闕政。輙附章列上。孤摻自將。雖屢斥不少衰	003	夫  朝 有 闕 政  輙 附 章 列 上  孤 摻 自 將  雖 屢 斥 不 少 衰 
ZH_X88_1649_003:0337c17	其節。為江州刺史日。嘗問歸宗禪師曰。須彌納芥子	003	其 節  為 江 州 刺 史 日  嘗 問 歸 宗 禪 師 曰  須 彌 納 芥 子 
ZH_X88_1649_003:0337c18	即不問。如何是芥子納須彌。師曰人傳使君讀萬卷	003	即 不 問  如 何 是 芥 子 納 須 彌  師 曰 人 傳 使 君 讀 萬 卷 
ZH_X88_1649_003:0337c19	書是否。渤曰然。師曰。摩頂至踵如椰子大。萬卷書何	003	書 是 否  渤 曰 然  師 曰  摩 頂 至 踵 如 椰 子 大  萬 卷 書 何 
ZH_X88_1649_003:0337c20	處。著渤有省。	003	處  著 渤 有 省  
ZH_X88_1649_003:0337c21	杜彥之	003	杜 彥 之 
ZH_X88_1649_003:0337c22	杜荀鶴。字彥之。牧之子。大中間登科。官至翰林學士。	003	杜 荀 鶴  字 彥 之  牧 之 子  大 中 間 登 科  官 至 翰 林 學 士  
ZH_X88_1649_003:0337c23	所居得香林之勝。與顧雲諸賢為友。自號九華山人。	003	所 居 得 香 林 之 勝  與 顧 雲 諸 賢 為 友  自 號 九 華 山 人  
ZH_X88_1649_003:0337c24	有詩集行世。其送僧詩曰。利門名路兩何憑。百歲風	003	有 詩 集 行 世  其 送 僧 詩 曰  利 門 名 路 兩 何 憑  百 歲 風 
ZH_X88_1649_003:0338a01	前短焰燈。只恐為僧心不了。為僧心了總輸僧。	003	前 短 焰 燈  只 恐 為 僧 心 不 了  為 僧 心 了 總 輸 僧  
ZH_X88_1649_003:0338a02	韋南康	003	韋 南 康 
ZH_X88_1649_003:0338a03	韋皋。字城武。萬年人。皋初生。厥父飯僧祈福。忽有應	003	韋 皋  字 城 武  萬 年 人  皋 初 生  厥 父 飯 僧 祈 福  忽 有 應 
ZH_X88_1649_003:0338a04	真尊者至。齋畢。乳媼抱兒求呪願。尊者起謂眾曰。此	003	真 尊 者 至  齋 畢  乳 媼 抱 兒 求 呪 願  尊 者 起 謂 眾 曰  此 
ZH_X88_1649_003:0338a05	兒諸葛武侯也。他日有美政於蜀。宜以武字之。言訖	003	兒 諸 葛 武 侯 也  他 日 有 美 政 於 蜀  宜 以 武 字 之  言 訖 
ZH_X88_1649_003:0338a06	不見。其後皋游宦出處。節義功名。大槩與武侯相類。	003	不 見  其 後 皋 游 宦 出 處  節 義 功 名  大 槩 與 武 侯 相 類  
ZH_X88_1649_003:0338a07	始李白為蜀道難以斥嚴武。陸揚更為蜀道易以美	003	始 李 白 為 蜀 道 難 以 斥 嚴 武  陸 揚 更 為 蜀 道 易 以 美 
ZH_X88_1649_003:0338a08	皋焉。治蜀二十一年。官至大尉中書令。封南康郡王。	003	皋 焉  治 蜀 二 十 一 年  官 至 大 尉 中 書 令  封 南 康 郡 王  
ZH_X88_1649_003:0338a09	雅好釋氏法。嘉州彌勒如來石像初成。皋為之記曰。	003	雅 好 釋 氏 法  嘉 州 彌 勒 如 來 石 像 初 成  皋 為 之 記 曰  
ZH_X88_1649_003:0338a10	頭圍七尺。目廣二丈。其餘相好。一一稱是。世美其簡	003	頭 圍 七 尺  目 廣 二 丈  其 餘 相 好  一 一 稱 是  世 美 其 簡 
ZH_X88_1649_003:0338a11	而雅。又嘗訓鸚鵡念佛。鸚鵡斃。以桑門故事闇維之。	003	而 雅  又 嘗 訓 鸚 鵡 念 佛  鸚 鵡 斃  以 桑 門 故 事 闇 維 之  
ZH_X88_1649_003:0338a12	得舍利十餘粒。皋為之記。其抑揚讚歎。頗得禪那之	003	得 舍 利 十 餘 粒  皋 為 之 記  其 抑 揚 讚 歎  頗 得 禪 那 之 
ZH_X88_1649_003:0338a13	妙。	003	妙  
ZH_X88_1649_003:0338a14	皇甫湜	003	皇 甫 湜 
ZH_X88_1649_003:0338a15	皇甫湜。字持正。新安人。元和中擢進士。游心內典。其	003	皇 甫 湜  字 持 正  新 安 人  元 和 中 擢 進 士  游 心 內 典  其 
ZH_X88_1649_003:0338a16	送簡師敘曰。鳳羽而麟毛。此鳥獸也。經傳以比聖人。	003	送 簡 師 敘 曰  鳳 羽 而 麟 毛  此 鳥 獸 也  經 傳 以 比 聖 人  
ZH_X88_1649_003:0338a17	師雖佛氏而儒其行。雖夷狄其衣服。而仁義其心。即	003	師 雖 佛 氏 而 儒 其 行  雖 夷 狄 其 衣 服  而 仁 義 其 心  即 
ZH_X88_1649_003:0338a18	未齒於士。與鳳麟類矣。不猶愈於冠冤朝服。或漏於	003	未 齒 於 士  與 鳳 麟 類 矣  不 猶 愈 於 冠 冤 朝 服  或 漏 於 
ZH_X88_1649_003:0338a19	淫怪之說。以斁彝倫者耶。官至工部郎中。韓愈愛其	003	淫 怪 之 說  以 斁 彝 倫 者 耶  官 至 工 部 郎 中  韓 愈 愛 其 
ZH_X88_1649_003:0338a20	才。與李翱張籍齊名。	003	才  與 李 翱 張 籍 齊 名  
ZH_X88_1649_003:0338a21	韓昌黎	003	韓 昌 黎 
ZH_X88_1649_003:0338a22	韓愈。字退之。南陽人。三歲而孤。鞠於嫂鄭氏。自知讀	003	韓 愈  字 退 之  南 陽 人  三 歲 而 孤  鞠 於 嫂 鄭 氏  自 知 讀 
ZH_X88_1649_003:0338a23	書。日記數千言。既長。盡通經史百家之學。擢進士第。	003	書  日 記 數 千 言  既 長  盡 通 經 史 百 家 之 學  擢 進 士 第  
ZH_X88_1649_003:0338a24	累官刑部侍郎。憲宗迎佛骨。上表極諫。貶潮州刺史。	003	累 官 刑 部 侍 郎  憲 宗 迎 佛 骨  上 表 極 諫  貶 潮 州 刺 史  
ZH_X88_1649_003:0338b01	既至潮。聞大顛禪師之名。致書問道。書三至。顛始入	003	既 至 潮  聞 大 顛 禪 師 之 名  致 書 問 道  書 三 至  顛 始 入 
ZH_X88_1649_003:0338b02	郭。愈敬禮焉。留師旬日乃返。後因祀神海上。登靈山。	003	郭  愈 敬 禮 焉  留 師 旬 日 乃 返  後 因 祀 神 海 上  登 靈 山  
ZH_X88_1649_003:0338b03	復造其居問道。尋改袁州。施衣二襲為別。後周茂叔	003	復 造 其 居 問 道  尋 改 袁 州  施 衣 二 襲 為 別  後 周 茂 叔 
ZH_X88_1649_003:0338b04	往靈山寺訪大顛遺迹。見文公留衣亭故事。題詩壁	003	往 靈 山 寺 訪 大 顛 遺 迹  見 文 公 留 衣 亭 故 事  題 詩 壁 
ZH_X88_1649_003:0338b05	間曰。退之自謂如夫子。原道深排釋老非。不識大顛	003	間 曰  退 之 自 謂 如 夫 子  原 道 深 排 釋 老 非  不 識 大 顛 
ZH_X88_1649_003:0338b06	何似者。數書珍重更留衣。	003	何 似 者  數 書 珍 重 更 留 衣  
ZH_X88_1649_003:0338b07	裴公美	003	裴 公 美 
ZH_X88_1649_003:0338b08	裴休。字公美。孟州人。兒時與兄弟偕隱。晝講經。夜著	003	裴 休  字 公 美  孟 州 人  兒 時 與 兄 弟 偕 隱  晝 講 經  夜 著 
ZH_X88_1649_003:0338b09	書。經年不出戶。有饋鹿者諸生薦之。休不食。曰蔬食	003	書  經 年 不 出 戶  有 饋 鹿 者 諸 生 薦 之  休 不 食  曰 蔬 食 
ZH_X88_1649_003:0338b10	猶不足。今一啗肉。後將何繼。擢進士為監察御史。同	003	猶 不 足  今 一 啗 肉  後 將 何 繼  擢 進 士 為 監 察 御 史  同 
ZH_X88_1649_003:0338b11	中書門下平章事。嗜浮圖法。講求其說。雖當世嘲之	003	中 書 門 下 平 章 事  嗜 浮 圖 法  講 求 其 說  雖 當 世 嘲 之 
ZH_X88_1649_003:0338b12	而所好不衰。公守新安日。屬運禪師初於黃蘗山。捨	003	而 所 好 不 衰  公 守 新 安 日  屬 運 禪 師 初 於 黃 蘗 山  捨 
ZH_X88_1649_003:0338b13	眾入大安精舍。混迹勞侶。公入寺因觀壁間畵。乃問	003	眾 入 大 安 精 舍  混 迹 勞 侶  公 入 寺 因 觀 壁 間 畵  乃 問 
ZH_X88_1649_003:0338b14	是何圖相。主事者對曰。高僧真儀公曰。真儀可觀。高	003	是 何 圖 相  主 事 者 對 曰  高 僧 真 儀 公 曰  真 儀 可 觀  高 
ZH_X88_1649_003:0338b15	僧何在。僧皆無對。公曰此間有禪人否。曰近有一僧	003	僧 何 在  僧 皆 無 對  公 曰 此 間 有 禪 人 否  曰 近 有 一 僧 
ZH_X88_1649_003:0338b16	投寺執役。頗似禪者。公命至。覩之欣然。曰休適有一	003	投 寺 執 役  頗 似 禪 者  公 命 至  覩 之 欣 然  曰 休 適 有 一 
ZH_X88_1649_003:0338b17	問。諸德吝辭。今請和尚代詶一語。運曰。第言之。公即	003	問  諸 德 吝 辭  今 請 和 尚 代 詶 一 語  運 曰  第 言 之  公 即 
ZH_X88_1649_003:0338b18	舉前問。運朗聲曰裴休。公應諾。運曰。在什麼處。公當	003	舉 前 問  運 朗 聲 曰 裴 休  公 應 諾  運 曰  在 什 麼 處  公 當 
ZH_X88_1649_003:0338b19	下知旨。如獲髻珠。遂迎入府第。旦夕問法。及移鎮宛	003	下 知 旨  如 獲 髻 珠  遂 迎 入 府 第  旦 夕 問 法  及 移 鎮 宛 
ZH_X88_1649_003:0338b20	陵亦命與俱。由是深徹法源。復與圭峯密禪師道緣	003	陵 亦 命 與 俱  由 是 深 徹 法 源  復 與 圭 峯 密 禪 師 道 緣 
ZH_X88_1649_003:0338b21	尤密。年七十有四卒。休能文章。書楷遒媚有體法。為	003	尤 密  年 七 十 有 四 卒  休 能 文 章  書 楷 遒 媚 有 體 法  為 
ZH_X88_1649_003:0338b22	人摻守嚴正。進止雍閑。宣宗嘗曰。此真儒者。居嘗不	003	人 摻 守 嚴 正  進 止 雍 閑  宣 宗 嘗 曰  此 真 儒 者  居 嘗 不 
ZH_X88_1649_003:0338b23	御酒肉。著釋氏文數萬言。如作勸發菩提心文。圓覺	003	御 酒 肉  著 釋 氏 文 數 萬 言  如 作 勸 發菩提心 文  圓 覺 
ZH_X88_1649_003:0338b24	經敘。法界觀敘。禪源詮敘。世皆服其精要。	003	經 敘  法 界 觀 敘  禪 源 詮 敘  世 皆 服 其 精 要  
ZH_X88_1649_003:0338c01	丁繁	003	丁 繁 
ZH_X88_1649_003:0338c02	丁繁。自尚書郎參靈度師。去官求道。日食脫粟二外。	003	丁 繁  自 尚 書 郎 參 靈 度 師  去 官 求 道  日 食 脫 粟 二 外  
ZH_X88_1649_003:0338c03	鉢水一盂。夏月夜禪。雖飛蚊咂食終不搖動。	003	鉢 水 一 盂  夏 月 夜 禪  雖 飛 蚊 咂 食 終 不 搖 動  
ZH_X88_1649_003:0338c04	陳琡	003	陳 琡 
ZH_X88_1649_003:0338c05	陳琡。鴻之子。咸通中佐廉使郭常侍銓之幕於徐。性	003	陳 琡  鴻 之 子  咸 通 中 佐 廉 使 郭 常 侍 銓 之 幕 於 徐  性 
ZH_X88_1649_003:0338c06	耿介。非其人不與之交。同院有姓武者。為元衡相國	003	耿 介  非 其 人 不 與 之 交  同 院 有 姓 武 者  為 元 衡 相 國 
ZH_X88_1649_003:0338c07	之後。汾陽之壻也。琡心不屑與為侶。遂挈家居於芧	003	之 後  汾 陽 之 壻 也  琡 心 不 屑 與 為 侶  遂 挈 家 居 於 芧 
ZH_X88_1649_003:0338c08	山。與妻子隔山而居。短褐束縧。焚香習禪而已。在職	003	山  與 妻 子 隔 山 而 居  短 褐 束 縧  焚 香 習 禪 而 已  在 職 
ZH_X88_1649_003:0338c09	之時。惟流溝寺長老與之款接。自述壇經三卷。今在	003	之 時  惟 流 溝 寺 長 老 與 之 款 接  自 述 壇 經 三 卷  今 在 
ZH_X88_1649_003:0338c10	藏中。臨行留一章與僧云。行若獨輪車。常畏大道覆。	003	藏 中  臨 行 留 一 章 與 僧 云  行 若 獨 輪 車  常 畏 大 道 覆  
ZH_X88_1649_003:0338c11	止若圓底器。常恐他物觸。行止既如此。安得不離俗。	003	止 若 圓 底 器  常 恐 他 物 觸  行 止 既 如 此  安 得 不 離 俗  
ZH_X88_1649_003:0338c12	乾符中弟璉復佐薜能幕於徐。薜公重其為人。延請	003	乾 符 中 弟 璉 復 佐 薜 能 幕 於 徐  薜 公 重 其 為 人  延 請 
ZH_X88_1649_003:0338c13	入城。遂堅拒之曰。琡已有誓不踐公門矣。薜乃攜舟	003	入 城  遂 堅 拒 之 曰  琡 已 有 誓 不 踐 公 門 矣  薜 乃 攜 舟 
ZH_X88_1649_003:0338c14	造之。清言永日。不宿而去。	003	造 之  清 言 永 日  不 宿 而 去  
ZH_X88_1649_003:0338c15	崔群	003	崔 群 
ZH_X88_1649_003:0338c16	崔群。武城人。未冠舉進士。累官翰林學士。數進讜言。	003	崔 群  武 城 人  未 冠 舉 進 士  累 官 翰 林 學 士  數 進 讜 言  
ZH_X88_1649_003:0338c17	憲宗嘉納之。後被譖出為湖廣觀察使。公至任。即訪	003	憲 宗 嘉 納 之  後 被 譖 出 為 湖 廣 觀 察 使  公 至 任  即 訪 
ZH_X88_1649_003:0338c18	湖南如會禪師問曰。師以何得。師曰。見性得。時師方	003	湖 南 如 會 禪 師 問 曰  師 以 何 得  師 曰  見 性 得  時 師 方 
ZH_X88_1649_003:0338c19	病眼。公曰。既云見性。其奈眼何。師曰。見性非眼。眼病	003	病 眼  公 曰  既 云 見 性  其 奈 眼 何  師 曰  見 性 非 眼  眼 病 
ZH_X88_1649_003:0338c20	何害。公稽首稱謝。穆宗朝超拜吏部尚書。	003	何 害  公 稽 首 稱 謝  穆 宗 朝 超 拜 吏 部 尚 書  
ZH_X88_1649_003:0338c21	司空表聖	003	司 空 表 聖 
ZH_X88_1649_003:0338c22	司空圖。字表聖。河內人。咸通末進士。拜諫議大夫不	003	司 空 圖  字 表 聖  河 內 人  咸 通 末 進 士  拜 諫 議 大 夫 不 
ZH_X88_1649_003:0338c23	赴。居中條山官谷。作休休亭。以禪悅為樂。號耐辱居	003	赴  居 中 條 山 官 谷  作 休 休 亭  以 禪 悅 為 樂  號 耐 辱 居 
ZH_X88_1649_003:0338c24	士。有詩云。昨日流鶯今日蟬。起來又是夕陽天。六龍	003	士  有 詩 云  昨 日 流 鶯 今 日 蟬  起 來 又 是 夕 陽 天  六 龍 
ZH_X88_1649_003:0339a01	飛轡常相窘。更忍臨危自著鞭。	003	飛 轡 常 相 窘  更 忍 臨 危 自 著 鞭  
ZH_X88_1649_003:0339a02	呂許公	003	呂 許 公 
ZH_X88_1649_003:0339a03	呂蒙正。字聖功。太宗時舉進士第一。累官參知政事。	003	呂 蒙 正  字 聖 功  太 宗 時 舉 進 士 第 一  累 官 參 知 政 事  
ZH_X88_1649_003:0339a04	封許國公。少時寄食僧房。得以安意書史。後執政十	003	封 許 國 公  少 時 寄 食 僧 房  得 以 安 意 書 史  後 執 政 十 
ZH_X88_1649_003:0339a05	年。郊祀俸給皆不請。帝問其故。對以私恩未報。帝詰	003	年  郊 祀 俸 給 皆 不 請  帝 問 其 故  對 以 私 恩 未 報  帝 詰 
ZH_X88_1649_003:0339a06	之。以實對。帝曰。僧中有若人耶。賜紫袍加號以旌之。	003	之  以 實 對  帝 曰  僧 中 有 若 人 耶  賜 紫 袍 加 號 以 旌 之  
ZH_X88_1649_003:0339a07	於是恩俸悉推之寺僧以酬夙德。公嘗晨興禮佛。祝	003	於 是 恩 俸 悉 推 之 寺 僧 以 酬 夙 德  公 嘗 晨 興 禮 佛  祝 
ZH_X88_1649_003:0339a08	曰。不信三寶者願勿生我家。願子孫世世食祿。護持	003	曰  不 信 三 寶 者 願 勿 生 我 家  願 子 孫 世 世 食 祿  護 持 
ZH_X88_1649_003:0339a09	佛法。從子夷簡申國公。每遇元日拜家廟後。歸焚香	003	佛 法  從 子 夷 簡 申 國 公  每 遇 元 日 拜 家 廟 後  歸 焚 香 
ZH_X88_1649_003:0339a10	發廣慧璉公書一封展禮之。申公之子公著亦封申	003	發 廣 慧 璉 公 書 一 封 展 禮 之  申 公 之 子 公 著 亦 封 申 
ZH_X88_1649_003:0339a11	國公。元日發天衣懷禪師書。左丞好問。元日發圓照	003	國 公  元 日 發 天 衣 懷 禪 師 書  左 丞 好 問  元 日 發 圓 照 
ZH_X88_1649_003:0339a12	禪師書。左丞之子用中。元日發佛照禪師書。其家世	003	禪 師 書  左 丞 之 子 用 中  元 日 發 佛 照 禪 師 書  其 家 世 
ZH_X88_1649_003:0339a13	崇信有自來矣。	003	崇 信 有 自 來 矣  
ZH_X88_1649_003:0339a14	李文靖	003	李 文 靖 
ZH_X88_1649_003:0339a15	李沆。字太初。太宗時為右補闕。真宗時拜相。日取水	003	李 沆  字 太 初  太 宗 時 為 右 補 闕  真 宗 時 拜 相  日 取 水 
ZH_X88_1649_003:0339a16	旱盜賊奏聞。曰人主少年當使知四方艱難。不然則	003	旱 盜 賊 奏 聞  曰 人 主 少 年 當 使 知 四 方 艱 難  不 然 則 
ZH_X88_1649_003:0339a17	留意於土木禱祠之事矣。厥後其言果驗。王文正公	003	留 意 於 土 木 禱 祠 之 事 矣  厥 後 其 言 果 驗  王 文 正 公 
ZH_X88_1649_003:0339a18	且歎曰。李丈靖真聖人也。居常端默寡言。深通釋典。	003	且 歎 曰  李 丈 靖 真 聖 人 也  居 常 端 默 寡 言  深 通 釋 典  
ZH_X88_1649_003:0339a19	尤厭榮利。家人以所居第湫隘勸治之。公曰。身食厚	003	尤 厭 榮 利  家 人 以 所 居 第 湫 隘 勸 治 之  公 曰  身 食 厚 
ZH_X88_1649_003:0339a20	祿。時有橫賜。計亦可治。但念內典以此世界為缺陷。	003	祿  時 有 橫 賜  計 亦 可 治  但 念 內 典 以 此 世 界 為 缺 陷  
ZH_X88_1649_003:0339a21	安得圓滿如意。自求稱足耶。堂下花檻欹損。經歲不	003	安 得 圓 滿 如 意  自 求 稱 足 耶  堂 下 花 檻 欹 損  經 歲 不 
ZH_X88_1649_003:0339a22	問。有請之者。曰豈以此故動吾一念哉。臨終右脇而	003	問  有 請 之 者  曰 豈 以 此 故 動 吾 一 念 哉  臨 終 右 脇 而 
ZH_X88_1649_003:0339a23	逝。時盛暑停屍七日。顏色不變。吐香如蓮花。人謂履	003	逝  時 盛 暑 停 屍 七 日  顏 色 不 變  吐 香 如 蓮 花  人 謂 履 
ZH_X88_1649_003:0339a24	踐之驗。	003	踐 之 驗  
ZH_X88_1649_003:0339b01	謝宗源	003	謝 宗 源 
ZH_X88_1649_003:0339b02	謝泌。字宗源。舉進士為右諫議大夫。太宗時修正殿。	003	謝 泌  字 宗 源  舉 進 士 為 右 諫 議 大 夫  太 宗 時 修 正 殿  
ZH_X88_1649_003:0339b03	泌諫不當用采繪。丞命代以丹堊。且獎其忠藎。公知	003	泌 諫 不 當 用 采 繪  丞 命 代 以 丹 堊  且 獎 其 忠 藎  公 知 
ZH_X88_1649_003:0339b04	人能得士。每發薦牘。必望闕再拜曰。老臣又為陛下	003	人 能 得 士  每 發 薦 牘  必 望 闕 再 拜 曰  老 臣 又 為 陛 下 
ZH_X88_1649_003:0339b05	得一人矣。王文正公旦。皆公所薦引也。與查待制道	003	得 一 人 矣  王 文 正 公 旦  皆 公 所 薦 引 也  與 查 待 制 道 
ZH_X88_1649_003:0339b06	博通佛典。其亡也沐浴儼衣冠。無疾端坐而盡。	003	博 通 佛 典  其 亡 也 沐 浴 儼 衣 冠  無 疾 端 坐 而 盡  
ZH_X88_1649_003:0339b07	曾運使	003	曾 運 使 
ZH_X88_1649_003:0339b08	曾會。字宗元。端拱二年進士。官翰林學士。丁謂建捍	003	曾 會  字 宗 元  端 拱 二 年 進 士  官 翰 林 學 士  丁 謂 建 捍 
ZH_X88_1649_003:0339b09	海塘。索民太急。時無敢言者。公極論奏罷。軍民得安。	003	海 塘  索 民 太 急  時 無 敢 言 者  公 極 論 奏 罷  軍 民 得 安  
ZH_X88_1649_003:0339b10	幼時與雪竇顯禪師同舍。及冠異途。天禧初值於淮	003	幼 時 與 雪 竇 顯 禪 師 同 舍  及 冠 異 途  天 禧 初 值 於 淮 
ZH_X88_1649_003:0339b11	甸。公遂將中庸大學。參以楞嚴符宗門語句質顯。顯	003	甸  公 遂 將 中 庸 大 學  參 以 楞 嚴 符 宗 門 語 句 質 顯  顯 
ZH_X88_1649_003:0339b12	曰這箇尚不與教乘合。況中庸大學耶。學士須直揵	003	曰 這 箇 尚 不 與 教 乘 合  況 中 庸 大 學 耶  學 士 須 直 揵 
ZH_X88_1649_003:0339b13	理會。乃彈指一下曰。但恁麼薦。取公於言下領旨。	003	理 會  乃 彈 指 一 下 曰  但 恁 麼 薦  取 公 於 言 下 領 旨  
ZH_X88_1649_003:0339b14	查湛然	003	查 湛 然 
ZH_X88_1649_003:0339b15	查道。字湛然。性慈孝。母病思鱖魚羮。市無鬻者。道泣	003	查 道  字 湛 然  性 慈 孝  母 病 思 鱖 魚 羮  市 無 鬻 者  道 泣 
ZH_X88_1649_003:0339b16	禱於河。鑿氷得之。母病尋愈端拱初舉進士。官至龍	003	禱 於 河  鑿 氷 得 之  母 病 尋 愈 端 拱 初 舉 進 士  官 至 龍 
ZH_X88_1649_003:0339b17	圖閣待制。公嘗守果州。洞賊作亂。相戒曰。查使君以	003	圖 閣 待 制  公 嘗 守 果 州  洞 賊 作 亂  相 戒 曰  查 使 君 以 
ZH_X88_1649_003:0339b18	仁義撫此境。未可犯也。及城而遁。所著文集二十卷。	003	仁 義 撫 此 境  未 可 犯 也  及 城 而 遁  所 著 文 集 二 十 卷  
ZH_X88_1649_003:0339b19	嘗為石門聰禪師作僧堂記曰。自佛法廣被。達磨西	003	嘗 為 石 門 聰 禪 師 作 僧 堂 記 曰  自 佛 法 廣 被  達 磨 西 
ZH_X88_1649_003:0339b20	來。具信根者求證本原。衣不禦寒。食不充腹。邇來禪	003	來  具 信 根 者 求 證 本 原  衣 不 禦 寒  食 不 充 腹  邇 來 禪 
ZH_X88_1649_003:0339b21	剎競規宏壯。少年初學恣臥其間。明因果者如臥鐵	003	剎 競 規 宏 壯  少 年 初 學 恣 臥 其 間  明 因 果 者 如 臥 鐵 
ZH_X88_1649_003:0339b22	牀。若當冤敵。自非朝夕密養聖胎。潛求解脫。其或心	003	牀  若 當 冤 敵  自 非 朝 夕 密 養 聖 胎  潛 求 解 脫  其 或 心 
ZH_X88_1649_003:0339b23	汩盖纏。身利溫暖。不察無明。惟究文字。自謂究竟。紀	003	汩 盖 纏  身 利 溫 暖  不 察 無 明  惟 究 文 字  自 謂 究 竟  紀 
ZH_X88_1649_003:0339b24	盡遷謝。墮彼惡趣。猛利丈夫得不為之動心哉。	003	盡 遷 謝  墮 彼 惡 趣  猛 利 丈 夫 得 不 為 之 動 心 哉  
ZH_X88_1649_003:0339c01	楊文公	003	楊 文 公 
ZH_X88_1649_003:0339c02	楊億。字大年。浦城人。累官朝林學士。性鯁介。尚名節。	003	楊 億  字 大 年  浦 城 人  累 官 朝 林 學 士  性 鯁 介  尚 名 節  
ZH_X88_1649_003:0339c03	文格雄徤。學者宗之。諡曰文。所著文集一百九十四	003	文 格 雄 徤  學 者 宗 之  諡 曰 文  所 著 文 集 一 百 九 十 四 
